Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Nets,Coordination,Last update,YSF Digital Enabled,DG-ID,Mixed-Mode,Web links,Features,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Wyoming,WyLOCAL,Affiliate,Links,EchoLink,Colorado,Northern Colorado,Downlink Tone,Notes,On-air,D-STAR Enabled,Node,Sources,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,Commands,Worldwide,English,TAC 310,Mountain Reg USA,IRLP,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,P25 Digital Enabled,NAC,Default Reflector,AllStar,Southern Colorado,Denver Regional,Feed,Location Photo
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,86.5,S,,145.46,144.86,107.2,Boulder,On-Air,Boulder/Denver Metro,Colorado Repeater Association (CRA),,CCARC,,,,,,"Closed autopatch, e-power.",,,,,,,,CRA VHF Link System,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",347086,,,107.2,,,,,,,,,,,Member-only IRLP and Echolink node,,,,,3990,,,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,86.5,S,,445.05,440.05,,Boulder,On-Air,Wide area,Rocky Mountain Ham Radio,,CCARC,,,,,,The DMR-MARC Worldwide Network,,1,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,,1,,2,,,1,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,86.6,SSW,,446.875,441.875,,Clear Creek,On-Air,,,,,,,,,http://www.rmham.org,,,,,,,,,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,86.6,SSW,,146.82,146.22,123,Grand,,,GCARA,,CCARC,,,,,,E-power.,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,86.8,S,,146.91,147.51,123,Boulder,On-Air,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,"Summer Tue at 19:30P, Winter 19:00.",,,,,,http://goldhilltown.com/,,,,,,,,,"Town of Gold Hill, Colorado",,,,,127.3,There is a MOU With BCARES for repeater use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,91.5,K0DK,Boulder,CO,OPEN,E,88.6,SSE,,146.73,146.13,91.5,Boulder,Off-Air,Local,BARC,,CCARC,,,,,http://www.ked-wireless.com/products1.htm,12,,,,,,,,,,115482,,,91.5,,,,,,,,,,,,,,,,,DN70jb,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,89.7,SSE,,146.76,146.16,100,Boulder,On-Air,Wide area.,Rocky Mtn VHF Soc,,CCARC,,,,,,5,,,,,,,,Boulder County ARES,,,,,,"ARES primary repeater. 
 Voting Receivers:  
 
   
    RX Location    Tone    Pitch    PL  
   
   Gunbarrel  single beep  low  100.0 
   
   Lousville  single beep  low  100.0 
   
   Lyons  double beep  high followed by medium  100.0 
   
   Louisville #2  double beep  high followed by low  100.0",,,,,,,,,,,,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,,
1283.8625,-20,,KC0DS,Boulder,CO,OPEN,,90,SSE,,1283.8625,1263.8625,,Boulder,On-Air,20,Boulder County ARES,,CCARC,,,,,,E-power.,,,,,,,,,,,,,,,,,KC0DS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,90,SSE,,145.3875,144.7875,,Boulder,On-Air,20,Boulder County ARES,,CCARC,,,,,http://bouldercountyares.org/technical/d-star,E-power.,,,,,,,,,,,,,,,,,KC0DS (C),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,91.1,S,,1299.5,1279.5,,Boulder,On-Air,,Boulder County ARES,,CCARC,,,,,,E-power.,,,,,,,,,,,,,,,,,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,91.1,S,,446.8625,441.8625,,Boulder,On-Air,,Boulder County ARES,,CCARC,,,,,,,,,,,,,,,,,,,,,,,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,91.1,S,,449.55,444.55,100,Boulder,On-Air,Denver metro area.,Rocky Mtn VHF Soc,,CCARC,,,,,,8,,,,,,,,,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,91.1,S,,446.8,441.8,,Boulder,On-Air,Wide area.,Rocky Mountain Ham Radio,,CCARC,,,,,Rocky Mountain Ham Radio,,,7,,,,,,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,,,,,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,91.1,S,,449.4,444.4,91.5,Boulder,Off-Air,,BARC,,CCARC,,,,,http://www.ked-wireless.com/products1.htm,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KC7OZU,Rawlins,WY,OPEN,,91.4,WNW,,146.76,146.16,100,Carbon,On-Air,Wide area.,CCARS,Sunday nite net 2030 local time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,100,KD7BN,Rawlins,WY,OPEN,,91.4,WNW,,147.39,147.99,100,Carbon,On-Air,Wide area.,HERC,,,,,,,,E-power.,,,,,,,,N7ZEF (EchoLink).,"Full-time to  
        146.80500 (W7BEQ) at Shoshoni, Copper Mtn, WY .
 


Full-time to  
        146.94000 (W7VNJ) at Casper, Casper Mountain, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC11,WY7EOC,Rawlins,WY,CLOSED,,91.4,WNW,,445.05,440.05,,Carbon,On-Air,Wide area.,Laramie County EM,,WRCG,,,,,,,,11,,Wyoming DMR Project,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Wyoming  1  3156  Full-Time    WyLOCAL  2  100  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Wyoming DMR Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,146.2,N7RON,Rawlins,WY,OPEN,,91.4,WNW,,449.8,444.8,146.2,Carbon,,,Wyocomm,,WRCG,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,162.2,N7RON,Rawlins,WY,OPEN,I,91.4,WNW,,146.7,146.1,162.2,Carbon,On-Air,,,,WRCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7045,,,,,,,,,,,,,,,
448.3,-5,100,KD7SU,Rawlins,WY,OPEN,,91.4,WNW,,448.3,443.3,100,Carbon,,,,,WRCG,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,93.6,S,,448.9,443.9,100,Boulder,On-Air,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",Boulder ARC,,CCARC,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,93.6,S,,146.61,146.01,100,Boulder,Off-Air,,Boulder Amateur Radio Club,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7007,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,93.6,S,,146.7,146.1,100,Boulder,On-Air,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",Boulder Co ARC,,CCARC,,,,,BARC Repeaters,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,94,SSE,,224.96,223.36,CSQ,Weld,On-Air,,AC0KC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,94.9,S,,447.45,442.45,103.5,Grand,On-Air,,W0IG,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,-0.6,103.5,N0NEB,Harrisburg,NE,OPEN,,96,ESE,,147,146.4,103.5,Banner,On-Air,,Tri-City Radio Amateur Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,96.1,SSW,,147.075,147.675,88.5,Grand,On-Air,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,Colorado Connection,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",CCARC,,,,,,,,,,,,,,,Full-time to the  Colorado Connection System .,,,,123,Part of the Colorado Connection system of Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,96.4,S,,224.6,223,100,Gilpin,,,W0RM,,CCARC,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,98.2,SSE,,447.3,442.3,107.2,Weld,On-Air,,,,CCARC,,,,,,,,,,,,,,,,405804,,,,,,,,,,,,,,,,,,,3887,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,98.8,S,,145.31,144.71,88.5,Gilpin,On-Air,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Colorado Connection,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",CCARC,,,,,,10,,,,,,,,,Full-time to the  Colorado Connection System .,,,,123,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,98.8,S,,449.225,444.225,141.3,Gilpin,On-Air,Wide area.,Rocky Mountain Ham Radio (RMHR),,CCARC,,,,,,Emergency Power,,,,,,,,,,,,,141.3,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,98.9,S,,147.285,147.885,88.5,Grand,On-Air,,Colorado Connection,,CCARC,,,,,,,,,,,,,,,Full-time to the  Colorado Connection System .,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,99.7,SSE,,448.925,443.925,131.8,Boulder,On-Air,,W0LMA,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,99.7,SSE,,449.825,444.825,103.5,Boulder,On-Air,Along the foothills and into Boulder where the 94 repeater is shadowed.,Rocky Mountain Radio League,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",CCARC,,,,,Repeater,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,101.1,SSE,,447.625,442.625,100,Adams,On-Air,Local/North Metro,Intermountain Repeater Group,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,KD0RG,Hudson,CO,OPEN,E,102.1,SSE,,449.925,444.925,114.8,Weld,On-Air,,KD0RG,,CCARC,,,,,,,,,,,,,,K0UPS Club,,448035,,,114.8,,,,,,,,,,,,,,,,,DN70,,,,,,,,,,,,,,
444.125,5,114.8,WB7GR,"Scottsbluff, Stage Hill",NE,OPEN,,102.4,E,,444.125,449.125,114.8,Scotts Bluff,On-Air,Wide area,SBCEMA,,,,,,,,Linked to Albin (147.165) and Cheyenne (146.775),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1,0,100,WD0BQM,Mitchell,NE,OPEN,I,102.5,E,,445.1,445.1,100,Scotts Bluff,On-Air,,,,,,,,,,,,,,,,,,,,,,,100,This is a simplex IRLP node.,,,,,,,,,,,,,,,3942,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,103.5,SSE,,147.045,147.645,123,Adams,On-Air,,Northglenn RA,,CCARC,,,,,,E-power.,,,,,,,,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,110.9,K7PLA,"Casper, Casper Mountain",WY,OPEN,,105.1,NNW,,145.46,144.86,110.9,Natrona,On-Air,"Wide area: East to Douglas, South to Saratoga, Rawlings. West to Moneta, Jeffery city/muddy gap, independence rock.North to Buffalo",W7QQA,"Buffalo roll call, Tuesday night",WRCG,,,,,http://wyoham.com,,,,,,,,,"Buffalo Radio Club, Casper Radio Club",,,,,110.9,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,106,SSE,,449.3,444.3,100,Adams,On-Air,,N1UPS,,CCARC,,,,,,,,,,,,,,,,43699,,,,,,,,,,,,,,,,,,,3699,,,,,,,,,,,,,,,
146.94,-0.6,123,W7VNJ,"Casper, Casper Mountain",WY,OPEN,,106.3,NNW,,146.94,146.34,123,Natrona,On-Air,Wide area.,Casper ARC,RACES/ARES: Sun at 20:00.,WRCG,,,,,http://casperarc.net/wiki/index.php/146.940,E-power.,,,,,,,,,"Full-time to  
        147.39000 (KD7BN) at Rawlins, WY .
 


Full-time to the  Wyocom System .",,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,173.8,KD7AGA,"Casper, Casper Mountain",WY,OPEN,,106.3,NNW,,146.64,146.04,173.8,Natrona,Off-Air,Regional.,CDK Net,,WRCG,,,,,,E-power.,,,,,,,,,"Full-time to  
        449.57500 (W7VNJ) at Casper, Wyoming Med Center, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,,N7RRB,"Casper, Casper Mountain",WY,OPEN,W,106.3,NNW,,449.9,444.9,,Natrona,On-Air,Metro area.,Casper Amateur Radio Club,,WRCG,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11941,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,106.9,S,,145.22,144.62,103.5,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,,CCARC,,,,Yes; analog capable.,Repeater,8,,,,,,,,,,,,,103.5,Talk-Group of $FFFF.,,,,,,,,,,,,,,,,,,,,,,,,293,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,106.9,S,,224.74,223.14,88.5,Jefferson,On-Air,,Aurora Repeater Assoc,ARA: Wed at 2000.,CCARC,,,,,ARA Repeaters,e-power,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,106.9,S,,224,222.4,103.5,Jefferson,On-Air,,Rocky Mountain Radio League,,CCARC,,,,,Repeater,8,,,,,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,106.9,S,,449.75,444.75,103.5,Jefferson,On-Air,,Rocky Mtn Radio League,,CCARC,,,,,Repeater,8,,,,,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,106.9,S,,448.85,443.85,88.5,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc,ARA: Wed at 20:00.,CCARC,,,,,ARA Repeaters,e-power.,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,106.9,S,,147.15,147.75,100,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc (ARA),ARA: Wed at 20:00.,CCARC,,,,,ARA Repeaters,e-power,,,,,,,,,"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,,WD0BQM,Scottsbluff,NE,OPEN,,107.2,E,,145.475,144.875,,Scotts Bluff,On-Air,20,RWMC,,,,,,,,e-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.825,5,,W0KAV,Scottsbluff,NE,OPEN,,107.2,E,,444.825,449.825,,Scotts Bluff,On-Air,,W0KAV/KW0R,,,,,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,107.3,S,,446.975,441.975,,Jefferson,On-Air,Denver Metro Area,W0DMR,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,,,,,http://www.w0dmr.org/,,,0,,,,,,,,,,,,,,,,,,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,107.4,S,,446.7875,441.7875,,Jefferson,On-Air,,Denver Radio Club,,CCARC,,,,,http://www.w0tx.org/,,,1,,,,,,Brandmeister Network,,,,,,,,,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,107.4,S,,927.8375,902.025,,Jefferson,On-Air,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,,CCARC,,,,,,,,,,,,,,,,,,,,The offset is -25.8125,,,,,,,,,,,,,,,,,,,,,,,,293,,45770,,,,
449.5,-5,100,NB7I,"Casper, Casper Mtn.",WY,OPEN,,108.2,NNW,,449.5,444.5,100,Natrona,On-Air,"Wide area, linked to 147.390 Rawlins",Versatel,,,,,,,,Solar Powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,108.4,S,,448.625,443.625,100,Jefferson,On-Air,Denver metro area.,Denver Radio Club,DRC: Sun at 20:30.,CCARC,,,,,DRC Repeaters,E-power.,,,,,,,,,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,108.4,S,,146.985,146.385,100,Denver,On-Air,,El Jebel RADOPS,RADOPS: Sun at 19:00.,CCARC,,,,,,E-power.,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,3346,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,108.4,S,,449.525,444.525,CSQ,Jefferson,On-Air,,KE0SJ,,CCARC,,,,,Intermountain Repeater Group,E-power.,,,,,,,,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,108.4,S,,145.28,144.68,100,Jefferson,On-Air,Wide area.,,Sun at 19:30. Everyone welcome.,CCARC,,,,,Intermountain Repeater Group,"Closed autopatch, e-power, linked.",,,,,,,,,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,"PL is usually off, allowing use by older transceivers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,108.4,S,,146.64,146.04,100,Jefferson,On-Air,"Wide area. 
   Repeater Coverage Map",Denver Radio League,,CCARC,,,,,DRL Repeaters,E-power.,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,108.5,S,,449.05,444.05,107.2,Denver,On-Air,Wide area.,WG0N,,CCARC,,,,,,E-power.,,,,,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,,N0NEB,Scottsbluff,NE,OPEN,,109,E,,147.075,147.675,,Scotts Bluff,On-Air,,Tri-City Radio Amateur Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,109.2,S,,448.125,443.125,107.2,Jefferson,On-Air,,Denver PD EEB,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,109.2,S,,927.7875,902.7875,156.7,Jefferson,On-Air,Golden and Denver.,N0PYY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,109.2,S,,448.975,443.975,123,Jefferson,On-Air,Wide area.,FRG,,CCARC,,,,,,Linkable VHF/UHF Remote Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42845,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,110.3,S,,447.85,442.85,141.3,Clear Creek,On-Air,Wide area at 9500',AC0KQ,,CCARC,,,,,,AllStar node repeater providing wide area coverage along the Front Range,,,,,,,,Rocky Mountain Ham Radio,,,,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,29571,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,110.6,SSE,,147.21,147.81,100,Jefferson,On-Air,,Denver Water Amateur Radio Club,DVARC: Thu at 15:30. The net allows DWARC members the ability to test the radio capabilities as well as policies and procedures. This NET is a work in progress and has a good possibility to change times and locations.,,,,23,Yes; analog capable.,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,110.6,S,,449.625,444.625,141.3,Jefferson,On-Air,,Rocky Mountain Ham Radio,,CCARC,,,,,,E-power,,,,,,,,,,,,,141.3,,,,,,,,,,,,,,,,3750,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,110.8,S,,446.9625,441.9625,,Jefferson,On-Air,,Colorado D-Star,,CCARC,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,110.8,S,,1299.9,1299.9,,Jefferson,On-Air,,Colorado D-Star,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,110.8,S,,145.37,144.77,,Jefferson,On-Air,,Rocky Mountain Ham Radio,,CCARC,,,,,Rocky Mountain Ham Radio,,,7,,,,,,,,,,,,See the website for programming information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,110.8,S,,145.25,144.65,,Jefferson,On-Air,,Colorado D-Star,,CCARC,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,110.8,S,,1283.9625,1263.9625,,Jefferson,On-Air,,Colorado D-Star,,CCARC,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,110.8,S,,446.8375,441.8375,,Jefferson,On-Air,,WA2YZT,,CCARC,,,,,,200,,7,,,,,,,Full-time to the  Colorado TRBO System .,,,,,See website for more info on CC/TS/TG programming.  www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,112.1,SSE,,447.175,442.175,100,Denver,On-Air,,W0JRL,,CCARC,,,,,,,,,,,,,,,,201712,,,100,,,,,,,,,,,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,29997,,,,
