Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtscRxCode,DtcsPolarity,Mode,TStep,Comment,Distance,Downlink,Uplink,Uplink Tone,County,Call,Use,On-air,Coverage,Sponsor,Features,Coordination,Last update,,Links,Nets,Op Status,Downlink Tone,Notes,Feed,Web links,Affiliate,AllStar,EchoLink,IRLP,Commands,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Location Photo,YSF Digital Enabled,DG-ID,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,WIRES-X,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Worldwide,North America,Local/Cluster,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA
10,CDS 145.250,145.25,-,0.6,,88.5,88.5,23,23,NN,DIG,5,,12.9,145.2500,144.6500,,Jefferson,W0CDS,OPEN,,,Colorado D-Star,,CCARC,"2014-01-03   
     Please help us confirm this repeater!",,,,On-Air,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
11,CDS 446.962,446.9625,-,5,,88.5,88.5,23,23,NN,DIG,5,,12.9,446.9625,"441.9625  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Jefferson,W0CDS,OPEN,,,Colorado D-Star,,CCARC,2017-03-11,,,,On-Air,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
12,CMRG 145.375,145.375,-,0.6,,88.5,88.5,23,23,NN,DIG,5,,6.6,145.3750,144.7700,,El Paso,KC0CVU,OPEN,,wide area,Cheyenne Mountain Repeater Group (CMRG),,CCARC,2017-03-09,,,,On-Air,,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
13,CMRG 146.760,146.76,-,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,,7.4,146.7600,146.1600,107.2,El Paso,KC0CVU,OPEN,,,Cheyenne Mountain Repeater Group,"Closed autopatch, e-power.",CCARC,2018-01-15,,,,On-Air,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CMRG 446.913,446.9125,-,5,,88.5,88.5,23,23,NN,DIG,5,,6.5,446.9125,"441.9125  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,El Paso,KC0CVU,OPEN,,,Cheyenne Mountain Repeater Group (CMRG),,,"2012-10-17   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
15,CMRG 53.130,53.13,-,1.7,TSQL,107.2,107.2,23,23,NN,FM,5,,6.5,53.1300,"51.4300  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",107.2,El Paso,WA6IFI,OPEN,,,Cheyenne Mountain Repeater Group (CMRG),,CCARC,2017-03-09,,,,On-Air,107.2,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CMRG 927.850,927.85,-,25,DTCS,88.5,88.5,114,114,NN,FM,5,,6.5,927.8500,"902.8500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",D114,Teller,KC0CVU,OPEN,,,CMRG,"9,500'.",CCARC,2017-03-09,,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,On-Air,,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CMRGR 448.000,448,-,5,Tone,107.2,88.5,23,23,NN,FM,5,,7.4,448.0000,443.0000,107.2,El Paso,KC0CVU,OPEN,,,,,CCARC,2018-01-15,,,,On-Air,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CMRGR 448.100,448.1,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,,7.4,448.1000,443.1000,107.2,El Paso,KC0CVU,OPEN,,Wide area.,,"Closed autopatch, e-power.",CCARC,2018-01-15,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,On-Air,107.2,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CRAVHFLS 145.160,145.16,-,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,,7.4,145.1600,144.5600,107.2,El Paso,W0CRA,OPEN,,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,2017-11-13,,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,On-Air,107.2,Switch to this repeater at mile marker 170 on I-25.,,http://www.w0cra.org/info/cosprgs.html#145160,CRA VHF Link System,,347086,"3990 
          n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CRRG 448.500,448.5,-,5,Tone,100,88.5,23,23,NN,FM,5,,8.5,448.5000,"443.5000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",100.0,Denver,KB0UDD,OPEN,,Greater Denver area.,Castle Rock Repeater Group,E-power.,CCARC,2017-03-11,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CSARA 447.025,447.025,-,5,Tone,123,88.5,23,23,NN,FM,5,,0,447.0250,"442.0250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",123.0,El Paso,KF0WF,OPEN,,,Colorado Springs ARA,"Closed autopatch, e-power, linked, remote base.",CCARC,2016-08-10,,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,DPDEEB 448.125,448.125,-,5,Tone,107.2,88.5,23,23,NN,FM,5,,12.3,448.1250,"443.1250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",107.2,Jefferson,N0PYY,OPEN,,,Denver PD EEB,,CCARC,"2014-04-28   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,DRC 447.825,447.825,-,5,DTCS,88.5,88.5,73,73,NN,FM,5,,7.6,447.8250,"442.8250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",D073,Jefferson,W0TX,OPEN,,,Denver Radio Club,,CCARC,2017-03-11,,,,On-Air,D073,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,DRC 449.775,449.775,-,5,TSQL,100,100,23,23,NN,DIG,5,,9,449.7750,"444.7750  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",100.0,Jefferson,W0TX,OPEN,,Metro Denver,Denver Radio Club,,CCARC,2015-06-02,,,,On-Air,100.0,,,Denver Radio Club,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,
25,DRCR 147.330,147.33,+,0.6,Tone,100,88.5,23,23,NN,FM,5,,9,147.3300,147.9300,100.0,Jefferson,W0TX,OPEN,,Metro Denver and the foothills.,Denver Radio Club,E-power.,CCARC,2017-03-31,,,SATERN: Thu at 19:30.,On-Air,,Not recommeded to use tone squelch on this repeater.,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,DRCR 224.380,224.38,-,1.6,TSQL,100,100,23,23,NN,FM,5,,9,224.3800,222.7800,100.0,Jefferson,W0TX,OPEN,,,Denver Radio Club,,CCARC,2017-03-11,,,,On-Air,100.0,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,DRCR 53.090,53.09,-,1.7,Tone,107.2,88.5,23,23,NN,FM,5,,10.3,53.0900,"51.3900  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",107.2,Jefferson,W0TX,OPEN,,Metro Denver area.,Denver Radio Club,E-power.,CCARC,2017-03-11,,,,On-Air,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,DWARC 147.210,147.21,+,0.6,TSQL,100,100,23,23,NN,DIG,5,,7.1,147.2100,147.8100,100.0,Jefferson,KD0SSP,OPEN,,,Denver Water Amateur Radio Club,,,2017-05-08,,,DVARC: Thu at 15:30. The net allows DWARC members the ability to test the radio capabilities as well as policies and procedures. This NET is a work in progress and has a good possibility to change times and locations.,On-Air,100.0,,,,,,,,,,,,,,,,,023 ↑ / 023 ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,
29,EARS 146.715,146.715,-,0.6,TSQL,123,123,23,23,NN,FM,5,,0.3,146.7150,146.1150,123.0,Denver,N0JXN,OPEN,,,EARS,E-power.,CCARC,2017-04-09,,,,On-Air,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,FRG 448.975,448.975,-,5,Tone,123,88.5,23,23,NN,FM,5,,12.3,448.9750,443.9750,123.0,Jefferson,W0GV,OPEN,,Wide area.,FRG,Linkable VHF/UHF Remote Base,CCARC,2016-08-12,,,,On-Air,,,,,,"42845 
   
     n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,GGARC 146.910,146.91,-,0.6,TSQL,151.4,151.4,23,23,NN,FM,5,,0.3,146.9100,146.3100,151.4,El Paso,K0IRP,OPEN,,,GGARC,E-power.,CCARC,2016-08-10,,,,On-Air,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,GGARC 447.350,447.35,-,5,Tone,151.4,88.5,23,23,NN,FM,5,,0,447.3500,"442.3500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",151.4,El Paso,K0IRP,OPEN,,,GGARC,E-power.,CCARC,"2015-03-04   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,HPRA 448.550,448.55,-,5,Tone,82.5,88.5,23,23,NN,FM,5,,0.3,448.5500,"443.5500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",82.5,Denver,W0KIZ,OPEN,,,HPRA,E-power.,CCARC,2017-03-11,,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,IRG 145.475,145.475,-,0.6,Tone,100,88.5,23,23,NN,FM,5,,0.3,145.4750,144.8750,100.0,Jefferson,KE0SJ,OPEN,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,E-power.,CCARC,2015-05-22,,,,On-Air,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,KA0TTF 448.725,448.725,-,5,Tone,123,88.5,23,23,NN,FM,5,,4,448.7250,"443.7250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",123.0,El Paso,KA0TTF,OPEN,,,KA0TTF,,CCARC,2016-04-19,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,KC0CVU 147.345,147.345,+,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,,7.4,147.3450,147.9450,107.2,El Paso,KC0CVU,OPEN,,Wide area.,,"Closed autopatch, e-power.",CCARC,2018-01-15,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,On-Air,107.2,,,http://www.cmrg.org/,,,,"3854 
          n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MARC 447.475,447.475,-,5,Tone,107.2,88.5,23,23,NN,FM,5,,0,447.4750,"442.4750  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",107.2,El Paso,NX0G,OPEN,Unknown,,Mountain ARC (MARC),"Closed autopatch, e-power.",CCARC,"2012-11-10   
     Please help us confirm this repeater!",,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",MARC/PCRC: Tue at 1930.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,N0ELY 448.750,448.75,-,5,TSQL,100,100,23,23,NN,FM,5,,7.4,448.7500,"443.7500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",100.0,Jefferson,N0ELY,OPEN,,Local.,,E-power.,CCARC,"2012-11-16   
     Please help us confirm this repeater!",,,,On-Air,100.0,,,,N0ELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,N0KG 448.250,448.25,-,5,Tone,123,88.5,23,23,NN,FM,5,,0,448.2500,"443.2500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",123.0,El Paso,N0KG,OPEN,,Colorado Springs,,,CCARC,"2013-08-06   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,N0PYY 927.788,927.7875,-,25,Tone,156.7,88.5,23,23,NN,FM,5,,12.3,927.7875,"902.7875  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",156.7,Jefferson,N0PYY,OPEN,,Golden and Denver.,N0PYY,,,2017-12-24,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,N0ZUQ 448.400,448.4,-,5,Tone,94.8,88.5,23,23,NN,FM,5,,8.4,448.4000,"443.4000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",94.8,Arapahoe,N0ZUQ,OPEN,,,,,CCARC,"2012-11-12   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,N1UPS 449.300,449.3,-,5,Tone,100,88.5,23,23,NN,FM,5,,7.2,449.3000,"444.3000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",100.0,Adams,N1UPS,OPEN,,,N1UPS,,CCARC,2017-04-24,,,,On-Air,,,,,,,43699,"3699 
          n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,N6LXX 447.875,447.875,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,,12.9,447.8750,"442.8750  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",107.2,Jefferson,N6LXX,OPEN,,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,2017-03-09,,Full-time to the  N6LXX System .,,On-Air,107.2,,,,N6LXX,"29913 
   
     n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,N6LXX 53.170,53.17,-,1.7,Tone,107.2,88.5,23,23,NN,FM,5,,12.9,53.1700,"51.4700  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",107.2,Jefferson,N6LXX,OPEN,,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,2017-03-09,,Full-time to the  N6LXX System .,,On-Air,CSQ,,,,N6LXX,"29883 
   
     n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,NRA 147.045,147.045,+,0.6,Tone,123,88.5,23,23,NN,FM,5,,10.1,147.0450,147.6450,123.0,Adams,K0ML,OPEN,,,Northglenn RA,E-power.,CCARC,2017-04-10,,,,On-Air,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PPFMA 224.060,224.06,-,1.6,,88.5,88.5,23,23,NN,FM,5,,0,224.0600,222.4600,,El Paso,KB0SRJ,CLOSED,Unknown,Wide area.,Pikes Peak FM Association (PPFMA),"E-power, linked.",CCARC,"2012-11-12   
     Please help us confirm this repeater!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PPFMAR 145.265,145.265,-,0.6,TSQL,100,100,23,23,NN,DIG,5,,10.2,145.2650,144.6650,100.0,El Paso,KB0SRJ,OPEN,,Local. Good coverage of I25 in Colorado Springs.,Pikes Peak FM Association,"Closed autopatch, e-power.",CCARC,2016-11-23,,,,Off-Air,100.0,Repeater has been moved.,,PPFMA Repeaters,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,
48,PPFMAR 146.970,146.97,-,0.6,TSQL,100,123,23,23,NN,FM,5,,11.9,146.9700,146.3700,100.0,El Paso,KB0SRJ,OPEN,,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",Pikes Peak FM Assoc,"Closed autopatch, e-power.",CCARC,2017-08-28,,"Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .","Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",On-Air,123.0,,,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PPFMAR 448.450,448.45,-,5,Tone,100,88.5,23,23,NN,FM,5,,11.9,448.4500,"443.4500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",100.0,El Paso,KB0SRJ,OPEN,,Wide area.,Pikes Pk FM Assoc,E-power.,CCARC,"2015-03-14   
     Please help us confirm this repeater!",,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,On-Air,,,,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PPFMAR 448.800,448.8,-,5,TSQL,100,100,23,23,NN,DIG,5,,10.2,448.8000,"443.8000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",100.0,El Paso,KB0SRJ,OPEN,,,Pikes Peak FM Assoc,,CCARC,2016-11-23,,,,Off-Air,100.0,,,PPFMA Repeaters,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,
51,RADOPSEJS 447.925,447.925,-,5,TSQL,100,100,23,23,NN,FM,5,,0.3,447.9250,"442.9250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",100.0,Denver,K0FEZ,OPEN,,,RADOPS El Jebel Shriners,,CCARC,"2014-07-03   
     Please help us confirm this repeater!",,,,On-Air,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,RMHAM 446.950,446.95,-,5,,88.5,88.5,23,23,NN,DIG,5,,10.2,446.9500,"441.9500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Teller,K7PFJ,OPEN,,Monument Hill through Pueblo.,Rocky Mountain Ham Radio,,,2017-03-11,,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,On-Air,,,,,RMHAM,,,,,,,,,,,,,,,,,,,,,,7,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,
53,RMHARC 449.575,449.575,-,5,,88.5,88.5,23,23,NN,FM,5,,0,449.5750,"444.5750  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,El Paso,,CLOSED,,,RMHARC,,CCARC,2016-08-10,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,RMHR 145.370,145.37,-,0.6,,88.5,88.5,23,23,NN,DIG,5,,12.9,145.3700,144.7700,,Jefferson,N0SZ,OPEN,,,Rocky Mountain Ham Radio,,CCARC,2017-03-11,,,,On-Air,,See the website for programming information.,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
