Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtscRxCode,DtcsPolarity,Mode,TStep,Comment,Distance,Downlink,Uplink,Uplink Tone,County,Call,Use,On-air,Coverage,Sponsor,Features,Coordination,Last update,,Links,Nets,Op Status,Downlink Tone,Notes,Feed,Web links,Affiliate,AllStar,EchoLink,IRLP,Commands,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Location Photo,YSF Digital Enabled,DG-ID,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,WIRES-X,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Worldwide,North America,Local/Cluster,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA
10,TRA 147.270,147.27,+,0.6,,88.5,88.5,23,23,NN,FM,5,,0.3,147.2700,147.8700,,El Paso,,OPEN,,,TRA,E-power.,,2016-08-10,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,IRG 145.475,145.475,-,0.6,Tone,100,88.5,23,23,NN,FM,5,,0.3,145.4750,144.8750,100.0,Jefferson,KE0SJ,OPEN,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,E-power.,CCARC,2015-05-22,,,,On-Air,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CARN 449.675,449.675,-,5,,88.5,88.5,23,23,NN,DIG,5,,0.3,449.6750,"444.6750  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Denver,WR0AEN,OPEN,,,Colorado Amateur Repeater Network (CARN),,CCARC,"2012-11-16   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,"7708 
          n/a",,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
13,WB0TPT 447.900,447.9,-,5,,88.5,88.5,23,23,NN,FM,5,,0.3,447.9000,"442.9000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",CSQ,Denver,WB0TPT,OPEN,,,WB0TPT,,CCARC,2017-03-11,,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,HPRA 448.550,448.55,-,5,Tone,82.5,88.5,23,23,NN,FM,5,,0.3,448.5500,"443.5500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",82.5,Denver,W0KIZ,OPEN,,,HPRA,E-power.,CCARC,2017-03-11,,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,RADOPSEJS 447.925,447.925,-,5,TSQL,100,100,23,23,NN,FM,5,,0.3,447.9250,"442.9250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",100.0,Denver,K0FEZ,OPEN,,,RADOPS El Jebel Shriners,,CCARC,"2014-07-03   
     Please help us confirm this repeater!",,,,On-Air,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GGARC 146.910,146.91,-,0.6,TSQL,151.4,151.4,23,23,NN,FM,5,,0.3,146.9100,146.3100,151.4,El Paso,K0IRP,OPEN,,,GGARC,E-power.,CCARC,2016-08-10,,,,On-Air,151.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,W0IG 448.075,448.075,-,5,Tone,123,88.5,23,23,NN,FM,5,,0.3,448.0750,"443.0750  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",123.0,Denver,N5EHP,OPEN,,,W0IG,,CCARC,2017-03-11,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,W0MOG 147.390,147.39,+,0.6,Tone,103.5,88.5,23,23,NN,FM,5,,0.3,147.3900,147.9900,103.5,El Paso,W0MOG,OPEN,,,W0MOG,,CCARC,2016-08-10,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CARN 449.650,449.65,-,5,,88.5,88.5,23,23,NN,DIG,5,,0.3,449.6500,"444.6500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Denver,WR0AEN,OPEN,,,Colorado Amateur Repeater Network (CARN),,CCARC,"2012-11-16   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
20,EARS 146.715,146.715,-,0.6,TSQL,123,123,23,23,NN,FM,5,,0.3,146.7150,146.1150,123.0,Denver,N0JXN,OPEN,,,EARS,E-power.,CCARC,2017-04-09,,,,On-Air,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,W0RSH 146.850,146.85,-,0.6,Tone,103.5,88.5,23,23,NN,FM,5,,0.3,146.8500,146.2500,103.5,El Paso,W0RSH,OPEN,,,W0RSH,,CCARC,"2012-11-12   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,W0JRL 447.175,447.175,-,5,TSQL,100,100,23,23,NN,FM,5,,1.1,447.1750,"442.1750  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",100.0,Denver,W0JRL,OPEN,,,W0JRL,,CCARC,2015-05-15,,,,On-Air,100.0,,,,,"29997 
   
     n/a",201712 W0JRL-R,,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AA0L 147.135,147.135,+,0.6,Tone,100,88.5,23,23,NN,FM,5,,1.2,147.1350,147.7350,100.0,El Paso,AA0L,OPEN,,,AA0L,"6,065'.",CCARC,2016-04-08,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,KA0TTF 448.725,448.725,-,5,Tone,123,88.5,23,23,NN,FM,5,,4,448.7250,"443.7250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",123.0,El Paso,KA0TTF,OPEN,,,KA0TTF,,CCARC,2016-04-19,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,W0MOG 224.720,224.72,-,1.6,TSQL,103.5,103.5,23,23,NN,FM,5,,4.7,224.7200,223.1200,103.5,El Paso,W0MOG,OPEN,,Local,w0mog,,,2017-04-07,,,,On-Air,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CMRG 446.913,446.9125,-,5,,88.5,88.5,23,23,NN,DIG,5,,6.5,446.9125,"441.9125  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,El Paso,KC0CVU,OPEN,,,Cheyenne Mountain Repeater Group (CMRG),,,"2012-10-17   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
27,RMHR 445.063,445.0625,-,5,,88.5,88.5,23,23,NN,DIG,5,,6.5,445.0625,"440.0625  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,El Paso,N0SZ,OPEN,,,Rocky Mountain Ham Radio,The DMR-MARC Worldwide Network,CCARC,2017-03-11,,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,1,1,2,,,,,,
28,CMRG 53.130,53.13,-,1.7,TSQL,107.2,107.2,23,23,NN,FM,5,,6.5,53.1300,"51.4300  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",107.2,El Paso,WA6IFI,OPEN,,,Cheyenne Mountain Repeater Group (CMRG),,CCARC,2017-03-09,,,,On-Air,107.2,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,CMRG 927.850,927.85,-,25,DTCS,88.5,88.5,114,114,NN,FM,5,,6.5,927.8500,"902.8500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",D114,Teller,KC0CVU,OPEN,,,CMRG,"9,500'.",CCARC,2017-03-09,,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,On-Air,,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CC 145.130,145.13,-,0.6,TSQL,88.5,123,23,23,NN,FM,5,,6.5,145.1300,144.5300,88.5,El Paso,KB0VJJ,OPEN,,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,"9,350', e-power.",CCARC,2016-04-03,,Full-time to the  Colorado Connection System .,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",On-Air,123.0,Linked into the Colorado Connection System,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CMRG 145.375,145.375,-,0.6,,88.5,88.5,23,23,NN,DIG,5,,6.6,145.3750,144.7700,,El Paso,KC0CVU,OPEN,,wide area,Cheyenne Mountain Repeater Group (CMRG),,CCARC,2017-03-09,,,,On-Air,,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
32,DWARC 147.210,147.21,+,0.6,TSQL,100,100,23,23,NN,DIG,5,,7.1,147.2100,147.8100,100.0,Jefferson,KD0SSP,OPEN,,,Denver Water Amateur Radio Club,,,2017-05-08,,,DVARC: Thu at 15:30. The net allows DWARC members the ability to test the radio capabilities as well as policies and procedures. This NET is a work in progress and has a good possibility to change times and locations.,On-Air,100.0,,,,,,,,,,,,,,,,,023 ↑ / 023 ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,
33,N1UPS 449.300,449.3,-,5,Tone,100,88.5,23,23,NN,FM,5,,7.2,449.3000,"444.3000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",100.0,Adams,N1UPS,OPEN,,,N1UPS,,CCARC,2017-04-24,,,,On-Air,,,,,,,43699,"3699 
          n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,CRAVHFLS 145.160,145.16,-,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,,7.4,145.1600,144.5600,107.2,El Paso,W0CRA,OPEN,,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,2017-11-13,,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,On-Air,107.2,Switch to this repeater at mile marker 170 on I-25.,,http://www.w0cra.org/info/cosprgs.html#145160,CRA VHF Link System,,347086,"3990 
          n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,CMRGR 448.100,448.1,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,,7.4,448.1000,443.1000,107.2,El Paso,KC0CVU,OPEN,,Wide area.,,"Closed autopatch, e-power.",CCARC,2018-01-15,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,On-Air,107.2,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,KC0CVU 147.345,147.345,+,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,,7.4,147.3450,147.9450,107.2,El Paso,KC0CVU,OPEN,,Wide area.,,"Closed autopatch, e-power.",CCARC,2018-01-15,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,On-Air,107.2,,,http://www.cmrg.org/,,,,"3854 
          n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,N0ELY 448.750,448.75,-,5,TSQL,100,100,23,23,NN,FM,5,,7.4,448.7500,"443.7500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",100.0,Jefferson,N0ELY,OPEN,,Local.,,E-power.,CCARC,"2012-11-16   
     Please help us confirm this repeater!",,,,On-Air,100.0,,,,N0ELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CMRG 146.760,146.76,-,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,,7.4,146.7600,146.1600,107.2,El Paso,KC0CVU,OPEN,,,Cheyenne Mountain Repeater Group,"Closed autopatch, e-power.",CCARC,2018-01-15,,,,On-Air,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CMRGR 448.000,448,-,5,Tone,107.2,88.5,23,23,NN,FM,5,,7.4,448.0000,443.0000,107.2,El Paso,KC0CVU,OPEN,,,,,CCARC,2018-01-15,,,,On-Air,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,DRC 447.825,447.825,-,5,DTCS,88.5,88.5,73,73,NN,FM,5,,7.6,447.8250,"442.8250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",D073,Jefferson,W0TX,OPEN,,,Denver Radio Club,,CCARC,2017-03-11,,,,On-Air,D073,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,N0ZUQ 448.400,448.4,-,5,Tone,94.8,88.5,23,23,NN,FM,5,,8.4,448.4000,"443.4000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",94.8,Arapahoe,N0ZUQ,OPEN,,,,,CCARC,"2012-11-12   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,WN7ANT 448.825,448.825,-,5,,88.5,88.5,23,23,NN,DIG,5,,8.4,448.8250,"443.8250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Arapahoe,WN7ANT,OPEN,,,,,,2017-12-13,,,,On-Air,,,,,,,,,,,,,,,,,,Open ↑ / Open ↓,,,,,,,,,,,30584,,,,,,,,,,,,,,,
43,W0BG 448.275,448.275,-,5,Tone,156.7,88.5,23,23,NN,FM,5,,8.4,448.2750,"443.2750  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",156.7,Arapahoe,W0BG,OPEN,,,W0BG,,CCARC,"2013-01-05   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,CRRG 448.500,448.5,-,5,Tone,100,88.5,23,23,NN,FM,5,,8.5,448.5000,"443.5000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",100.0,Denver,KB0UDD,OPEN,,Greater Denver area.,Castle Rock Repeater Group,E-power.,CCARC,2017-03-11,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,DRCR 147.330,147.33,+,0.6,Tone,100,88.5,23,23,NN,FM,5,,9,147.3300,147.9300,100.0,Jefferson,W0TX,OPEN,,Metro Denver and the foothills.,Denver Radio Club,E-power.,CCARC,2017-03-31,,,SATERN: Thu at 19:30.,On-Air,,Not recommeded to use tone squelch on this repeater.,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,DRCR 224.380,224.38,-,1.6,TSQL,100,100,23,23,NN,FM,5,,9,224.3800,222.7800,100.0,Jefferson,W0TX,OPEN,,,Denver Radio Club,,CCARC,2017-03-11,,,,On-Air,100.0,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,DRC 449.775,449.775,-,5,TSQL,100,100,23,23,NN,DIG,5,,9,449.7750,"444.7750  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",100.0,Jefferson,W0TX,OPEN,,Metro Denver,Denver Radio Club,,CCARC,2015-06-02,,,,On-Air,100.0,,,Denver Radio Club,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,
48,CARN 449.150,449.15,-,5,,88.5,88.5,23,23,NN,DIG,5,,10,449.1500,444.1500,,Arapahoe,WR0AEN,OPEN,,,Colorado Amateur Repeater Network (CARN),,CCARC,"2012-11-12   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
49,NRA 147.045,147.045,+,0.6,Tone,123,88.5,23,23,NN,FM,5,,10.1,147.0450,147.6450,123.0,Adams,K0ML,OPEN,,,Northglenn RA,E-power.,CCARC,2017-04-10,,,,On-Air,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,YG 927.725,927.725,-,25,DTCS,88.5,88.5,114,114,NN,FM,5,,10.2,927.7250,"902.7250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",D114,Teller,WA6IFI,OPEN,,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.",WA6IFI,"12,340', remote base.",CCARC,2017-03-11,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",,On-Air,D114,,,Yahoo Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,RMHAM 446.950,446.95,-,5,,88.5,88.5,23,23,NN,DIG,5,,10.2,446.9500,"441.9500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Teller,K7PFJ,OPEN,,Monument Hill through Pueblo.,Rocky Mountain Ham Radio,,,2017-03-11,,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,On-Air,,,,,RMHAM,,,,,,,,,,,,,,,,,,,,,,7,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,
52,PPFMAR 145.265,145.265,-,0.6,TSQL,100,100,23,23,NN,DIG,5,,10.2,145.2650,144.6650,100.0,El Paso,KB0SRJ,OPEN,,Local. Good coverage of I25 in Colorado Springs.,Pikes Peak FM Association,"Closed autopatch, e-power.",CCARC,2016-11-23,,,,Off-Air,100.0,Repeater has been moved.,,PPFMA Repeaters,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,
53,AA0SP 147.180,147.18,+,0.6,Tone,100,88.5,23,23,NN,FM,5,,10.2,147.1800,147.7800,100.0,El Paso,AA0SP,PRIVATE,,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",AA0SP,E-power (solar).,CCARC,2017-03-09,,,,On-Air,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PPFMAR 448.800,448.8,-,5,TSQL,100,100,23,23,NN,DIG,5,,10.2,448.8000,"443.8000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",100.0,El Paso,KB0SRJ,OPEN,,,Pikes Peak FM Assoc,,CCARC,2016-11-23,,,,Off-Air,100.0,,,PPFMA Repeaters,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,
55,DRCR 53.090,53.09,-,1.7,Tone,107.2,88.5,23,23,NN,FM,5,,10.3,53.0900,"51.3900  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",107.2,Jefferson,W0TX,OPEN,,Metro Denver area.,Denver Radio Club,E-power.,CCARC,2017-03-11,,,,On-Air,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
