Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtscRxCode,DtcsPolarity,Mode,TStep,Comment,Distance,Downlink,Uplink,Uplink Tone,County,Call,Use,On-air,Coverage,Sponsor,Features,Coordination,Last update,,Links,Nets,Op Status,Downlink Tone,Notes,Feed,Web links,Affiliate,AllStar,EchoLink,IRLP,Commands,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Location Photo,YSF Digital Enabled,DG-ID,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,WIRES-X,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Worldwide,North America,Local/Cluster,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA
10,ARAR 448.850,448.85,-,5,TSQL,88.5,88.5,23,23,NN,FM,5,,18.2,448.8500,"443.8500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",88.5,Jefferson,K0IBM,OPEN,,"Denver metro, central front range",Aurora Repeater Assoc,e-power.,CCARC,2016-01-17,,,ARA: Wed at 20:00.,On-Air,88.5,,,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ARESDEC 448.425,448.425,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,,26.2,448.4250,"443.4250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",107.2,Douglas,W0CRA,OPEN,,Wide area,Colorado Repeater Association (CRA),,,2017-11-14,,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,On-Air,107.2,,,http://www.w0cra.org,ARESDEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ARMC 449.325,449.325,-,5,TSQL,103.5,103.5,23,23,NN,FM,5,,16.8,449.3250,"444.3250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",103.5,Teller,KA4EPS,OPEN,,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",KA4EPS,E-power. Allstar Node 27976,CCARC,2015-06-29,,,"Sunday 1500 MST
Tuesday 1730 MST",On-Air,103.5,Node # 27976,,,Amateur Radio Motorcycle Club,"27976 
   
     n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BARC 146.610,146.61,-,0.6,Tone,100,88.5,23,23,NN,FM,5,,22.4,146.6100,146.0100,100.0,Boulder,W0DK,OPEN,,,Boulder Amateur Radio Club,,CCARC,2017-05-02,,,,Off-Air,,,,,,,,"7007 
          n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,BARC 146.730,146.73,-,0.6,TSQL,91.5,91.5,23,23,NN,FM,5,,25.7,146.7300,146.1300,91.5,Boulder,K0DK,OPEN,,Local,BARC,12 watts.,CCARC,2017-05-02,,,,Off-Air,91.5,,,http://www.ked-wireless.com/products1.htm,,,115482 K0DK-R,,,DN70jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BARC 448.900,448.9,-,5,Tone,100,88.5,23,23,NN,FM,5,,22.4,448.9000,"443.9000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",100.0,Boulder,W0DK,OPEN,,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",Boulder ARC,"6,285', closed autopatch.",CCARC,"2013-03-17   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BARC 449.400,449.4,-,5,Tone,91.5,88.5,23,23,NN,FM,5,,24.1,449.4000,"444.4000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",91.5,Boulder,K0DK,OPEN,,,BARC,"2 watts, remote base.",CCARC,"2013-01-08   
     Please help us confirm this repeater!",,,,Off-Air,,,,http://www.ked-wireless.com/products1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BARCR 146.700,146.7,-,0.6,Tone,100,88.5,23,23,NN,FM,5,,22.5,146.7000,146.1000,100.0,Boulder,W0DK,OPEN,,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",Boulder Co ARC,"6,185', closed autopatch.",CCARC,"2013-03-17   
     Please help us confirm this repeater!",,,,On-Air,,,,BARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,BCARES 1283.862,1283.8625,-,20,,88.5,88.5,23,23,NN,DIG,5,,24.2,1283.8625,"1263.8625  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Boulder,KC0DS,OPEN,,20 mi radius.,Boulder County ARES,E-power.,CCARC,"2013-12-21   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,KC0DS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
19,BCARES 1299.500,1299.5,-,20,,88.5,88.5,23,23,NN,DIG,5,,24.2,1299.5000,"1279.5000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Boulder,W0DK,OPEN,,,Boulder County ARES,E-power.,CCARC,"2012-11-12   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
20,BCARES 145.387,145.3875,-,0.6,,88.5,88.5,23,23,NN,DIG,5,,24.2,145.3875,144.7875,,Boulder,KC0DS,OPEN,,20 mi radius.,Boulder County ARES,E-power.,CCARC,"2012-11-12   
     Please help us confirm this repeater!",,,,On-Air,,,,http://bouldercountyares.org/technical/d-star,,,,,,,,,,,,,,,,,,,,KC0DS (C),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
21,BCARES 146.760,146.76,-,0.6,Tone,100,88.5,23,23,NN,FM,5,,23.6,146.7600,146.1600,100.0,Boulder,W0IA,OPEN,,Wide area.,Rocky Mtn VHF Soc,"5,250', 400 watts ERP, e-power.",CCARC,2017-03-11,,,,On-Air,,"ARES primary repeater. 
 Voting Receivers:  
 
   
    RX Location    Tone    Pitch    PL  
   
   Gunbarrel  single beep  low  100.0 
   
   Lousville  single beep  low  100.0 
   
   Lyons  double beep  high followed by medium  100.0 
   
   Louisville #2  double beep  high followed by low  100.0",,,Boulder County ARES,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BCARES 446.863,446.8625,-,5,,88.5,88.5,23,23,NN,DIG,5,,24.2,446.8625,"441.8625  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Boulder,KC0DS,OPEN,,,Boulder County ARES,,CCARC,2017-03-11,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
23,BN 446.788,446.7875,-,5,,88.5,88.5,23,23,NN,DIG,5,,20,446.7875,"441.7875  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Jefferson,W0TX,OPEN,,,Denver Radio Club,,CCARC,2017-12-09,,,,On-Air,,,,http://www.w0tx.org/,Brandmeister Network,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
24,CARES 447.525,447.525,-,5,TSQL,203.5,146.2,23,23,NN,FM,5,,18.8,447.5250,"442.5250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",203.5,Douglas,N0ESQ,OPEN,,"Denver metropolitan area, front range foothills",EmComm Colorado,,CCARC,2017-03-11,,,,On-Air,146.2,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CARN 449.000,449,-,5,TSQL,136.5,136.5,23,23,NN,FM,5,,26.4,449.0000,"444.0000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",136.5,Clear Creek,WR0AEN,OPEN,,,CARN,,CCARC,2017-03-11,,,,On-Air,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CARN 449.150,449.15,-,5,,88.5,88.5,23,23,NN,DIG,5,,10,449.1500,444.1500,,Arapahoe,WR0AEN,OPEN,,,Colorado Amateur Repeater Network (CARN),,CCARC,"2012-11-12   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
27,CARN 449.650,449.65,-,5,,88.5,88.5,23,23,NN,DIG,5,,0.3,449.6500,"444.6500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Denver,WR0AEN,OPEN,,,Colorado Amateur Repeater Network (CARN),,CCARC,"2012-11-16   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
28,CARN 449.675,449.675,-,5,,88.5,88.5,23,23,NN,DIG,5,,0.3,449.6750,"444.6750  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Denver,WR0AEN,OPEN,,,Colorado Amateur Repeater Network (CARN),,CCARC,"2012-11-16   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,"7708 
          n/a",,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
29,CC 145.130,145.13,-,0.6,TSQL,88.5,123,23,23,NN,FM,5,,6.5,145.1300,144.5300,88.5,El Paso,KB0VJJ,OPEN,,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,"9,350', e-power.",CCARC,2016-04-03,,Full-time to the  Colorado Connection System .,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",On-Air,123.0,Linked into the Colorado Connection System,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CC 145.310,145.31,-,0.6,TSQL,88.5,123,23,23,NN,FM,5,,25.3,145.3100,144.7100,88.5,Gilpin,KB0VJJ,OPEN,,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Colorado Connection,"10,500', e-power.",CCARC,2015-12-06,,Full-time to the  Colorado Connection System .,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",On-Air,123.0,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CDS 1283.963,1283.9625,-,20,,88.5,88.5,23,23,NN,DIG,5,,12.9,1283.9625,"1263.9625  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Jefferson,W0CDS,OPEN,,,Colorado D-Star,,CCARC,"2014-01-03   
     Please help us confirm this repeater!",,,,On-Air,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
32,CDS 1299.900,1299.9,,"0 MHz  b 
          The offset has been calculated based on the band plan. If the offset is incorrect, please update the downlink record.",,88.5,88.5,23,23,NN,DIG,5,,12.9,1299.9000,"1299.9000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Jefferson,W0CDS,OPEN,,,Colorado D-Star,,,"2014-01-03   
     Please help us confirm this repeater!",,,,On-Air,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
33,CDS 145.250,145.25,-,0.6,,88.5,88.5,23,23,NN,DIG,5,,12.9,145.2500,144.6500,,Jefferson,W0CDS,OPEN,,,Colorado D-Star,,CCARC,"2014-01-03   
     Please help us confirm this repeater!",,,,On-Air,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
34,CDS 446.962,446.9625,-,5,,88.5,88.5,23,23,NN,DIG,5,,12.9,446.9625,"441.9625  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,Jefferson,W0CDS,OPEN,,,Colorado D-Star,,CCARC,2017-03-11,,,,On-Air,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
35,CMRG 145.375,145.375,-,0.6,,88.5,88.5,23,23,NN,DIG,5,,6.6,145.3750,144.7700,,El Paso,KC0CVU,OPEN,,wide area,Cheyenne Mountain Repeater Group (CMRG),,CCARC,2017-03-09,,,,On-Air,,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
36,CMRG 146.760,146.76,-,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,,7.4,146.7600,146.1600,107.2,El Paso,KC0CVU,OPEN,,,Cheyenne Mountain Repeater Group,"Closed autopatch, e-power.",CCARC,2018-01-15,,,,On-Air,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,CMRG 446.913,446.9125,-,5,,88.5,88.5,23,23,NN,DIG,5,,6.5,446.9125,"441.9125  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",,El Paso,KC0CVU,OPEN,,,Cheyenne Mountain Repeater Group (CMRG),,,"2012-10-17   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,
38,CMRG 53.130,53.13,-,1.7,TSQL,107.2,107.2,23,23,NN,FM,5,,6.5,53.1300,"51.4300  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",107.2,El Paso,WA6IFI,OPEN,,,Cheyenne Mountain Repeater Group (CMRG),,CCARC,2017-03-09,,,,On-Air,107.2,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CMRG 927.850,927.85,-,25,DTCS,88.5,88.5,114,114,NN,FM,5,,6.5,927.8500,"902.8500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",D114,Teller,KC0CVU,OPEN,,,CMRG,"9,500'.",CCARC,2017-03-09,,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,On-Air,,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,CMRGR 448.000,448,-,5,Tone,107.2,88.5,23,23,NN,FM,5,,7.4,448.0000,443.0000,107.2,El Paso,KC0CVU,OPEN,,,,,CCARC,2018-01-15,,,,On-Air,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,CMRGR 448.100,448.1,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,,7.4,448.1000,443.1000,107.2,El Paso,KC0CVU,OPEN,,Wide area.,,"Closed autopatch, e-power.",CCARC,2018-01-15,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,On-Air,107.2,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,CRA 1287.900,1287.9,-,20,,88.5,88.5,23,23,NN,FM,5,,22.5,1287.9000,"1267.9000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",CSQ,Jefferson,W0CRA,OPEN,,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,CCARC,2017-10-07,,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,CRA 147.225,147.225,+,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,,26.2,147.2250,147.8250,107.2,Douglas,W0CRA,OPEN,,Wide area,Colorado Repeater Association (CRA),Closed autopatch,CCARC,2017-11-13,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .","CRA Net, Sunday 9AM",On-Air,107.2,,,Colorado Repeater Association,CRA VHF Link System,,347086,"3990 
          n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,CRA 224.980,224.98,-,1.6,TSQL,107.2,107.2,23,23,NN,FM,5,,22.5,224.9800,223.3800,107.2,Jefferson,W0CRA,OPEN,,Wide area. Denver.,Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,2017-03-11,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,Off-Air,107.2,,,,,,347086,"3990 
          n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,CRA 447.150,447.15,-,5,TSQL,107.2,107.2,23,23,NN,FM,5,,22.5,447.1500,"442.1500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",107.2,Jefferson,W0CRA,OPEN,,Wide area: Denver.,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,2017-10-07,,,,Off-Air,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,CRA 53.050,53.05,-,1.7,TSQL,107.2,107.2,23,23,NN,FM,5,,24.9,53.0500,"51.3500  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",107.2,Jefferson,W0CRA,OPEN,,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",Colorado Repeater Association (CRA),"10,000', e-power.",CCARC,2017-10-07,,,,Off-Air,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,CRAVHFLS 145.160,145.16,-,0.6,TSQL,107.2,107.2,23,23,NN,FM,5,,7.4,145.1600,144.5600,107.2,El Paso,W0CRA,OPEN,,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,2017-11-13,,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,On-Air,107.2,Switch to this repeater at mile marker 170 on I-25.,,http://www.w0cra.org/info/cosprgs.html#145160,CRA VHF Link System,,347086,"3990 
          n/a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CRRG 145.400,145.4,-,0.8,Tone,100,88.5,23,23,NN,FM,5,,16.1,145.4000,144.6000,100.0,Arapahoe,KB0UDD,OPEN,,Greater Denver area.,Castle Rock Repeater Group,"Autopatch, e-power.",CCARC,2015-07-30,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,CRRG 448.500,448.5,-,5,Tone,100,88.5,23,23,NN,FM,5,,8.5,448.5000,"443.5000  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",100.0,Denver,KB0UDD,OPEN,,Greater Denver area.,Castle Rock Repeater Group,E-power.,CCARC,2017-03-11,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,CSARA 447.025,447.025,-,5,Tone,123,88.5,23,23,NN,FM,5,,0,447.0250,"442.0250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",123.0,El Paso,KF0WF,OPEN,,,Colorado Springs ARA,"Closed autopatch, e-power, linked, remote base.",CCARC,2016-08-10,,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,DPDEEB 147.300,147.3,+,0.6,TSQL,103.5,103.5,23,23,NN,FM,5,,26.7,147.3000,147.9000,103.5,Clear Creek,N0PYY,OPEN,,Wide area.,Denver PD EEB,,CCARC,2017-03-11,,,,On-Air,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,DPDEEB 448.125,448.125,-,5,Tone,107.2,88.5,23,23,NN,FM,5,,12.3,448.1250,"443.1250  a 
          The downlink frequency has been calculated based on the band plan. If the frequency is incorrect, please update the downlink record.",107.2,Jefferson,N0PYY,OPEN,,,Denver PD EEB,,CCARC,"2014-04-28   
     Please help us confirm this repeater!",,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
