Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Last update,Downlink Tone,Coverage,AllStar,Sponsor,Notes,Coordination,Grid,Affiliate,Links,Web links,Features,EchoLink,IRLP,Nets,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,On-air,Location Photo,Feed,Denver Regional,Mixed-Mode,Commands,YSF Digital Enabled,DG-ID,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Local/Cluster,Northern Colorado,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,N. Colorado,Worldwide English,Mountain Reg USA
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,97.5,NE,yes,224.94,223.34,67,Teller,Testing,yes,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,97.5,NE,yes,447.4,442.4,67,Teller,On-Air,yes,,,,WB0WDF,,CCARC,,,,,"E-power, Solar, Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,98.1,NNE,yes,446.7625,441.7625,,Park,On-Air,yes,,,,K7PFJ,,,,RMHAM,,,,,,,,,,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,98.2,E,yes,448.975,443.975,100,Pueblo,On-Air,yes,100,,28368,,Off air.  Will return to service,CCARC,,,Full-time to the  The Fun Machine System .,http://www.k0jsc.com,,363976,7301,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Eagle Nest, Touch Me Not",NM,OPEN,,99.2,SE,yes,147.04,147.64,141.3,Colfax,On-Air,yes,,,,NMEMA ARC,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,99.5,NW,yes,146.91,146.31,107.2,Montrose,On-Air,yes,107.2,,,,,CCARC,,,,,E-Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,99.5,NW,yes,146.79,146.19,107.2,Montrose,On-Air,yes,107.2,,,KC0UXX,,CCARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,100.9,WSW,yes,442.375,447.375,100,Montezuma,On-Air,yes,,,,San Juan Connection,,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Abiquiu, Cerro Pelon",NM,OPEN,,101.7,S,yes,147.04,147.64,141.3,Rio Arriba,Off-Air,yes,,,,NMEMA ARC,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,102.3,E,yes,446.9875,441.9875,,Pueblo,Off-Air,yes,,,,,,CCARC,,RMHAM,Full-time to the  Colorado TRBO System .,Rocky Mountain Ham Radio,,,,,,,,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,102.3,E,yes,147.24,147.84,103.5,Pueblo,Off-Air,yes,CSQ,Pueblo and Fremont Counties,,TARA,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,102.3,E,yes,447.275,442.275,100,Pueblo,On-Air,yes,100,,,,"Moved to Pueblo.  Now called ""Pueblo Metro""",CCARC,,The Fun Machine,Full-time to the  The Fun Machine System .,The Fun Machine,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,103,E,yes,447.7,442.7,210.7,Pueblo,Off-Air,yes,210.7,,29228,,,CCARC,,,,,,,7389,,,,,yes,0,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,103,E,yes,146.655,146.055,123,Pueblo,On-Air,yes,CSQ,,,K0ST,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,103,E,yes,449.725,444.725,100,El Paso,On-Air,yes,,,,N0PWZ,,CCARC,,,,,,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,103,E,yes,145.115,144.515,88.5,Pueblo,Off-Air,yes,,,,Pueblo Ham Club,,CCARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,103,E,yes,146.88,146.28,88.5,Pueblo,On-Air,yes,CSQ,Wide area.,,Pueblo HC,,CCARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,103.9,E,yes,147,147.6,,Pueblo,On-Air,yes,,,,Carl Higbee,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,ND0Q,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,103.9,ESE,yes,146.73,146.13,88.5,Huerfano,On-Air,yes,,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",,Pueblo Ham Club,,CCARC,,,,Pueblo Ham Club,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Trinidad, Raton Pass",CO,OPEN,,104.5,SE,yes,446.775,441.775,,Las Animas,On-Air,yes,,,,Cheyenne Mountain Repeater Group (CMRG),,CCARC,,,,,,,,,yes,KD0RDI (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,104.6,E,yes,449.975,444.975,100,Pueblo,On-Air,yes,100,"I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",28368,K0JSC,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,CCARC,DM78SA18,,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",K0JSC dot Com,2,363976,7301,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.",,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,104.9,NNE,yes,449.7,444.7,107.2,Park,,yes,,,,CMRG,,CCARC,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,105.1,NNE,yes,146.685,146.085,107.2,Park,On-Air,yes,107.2,,,Mountain ARC (MARC),,CCARC,,,"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,"Closed autopatch, e-power.",,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,105.1,NNE,yes,147.36,147.96,107.2,Park,On-Air,yes,107.2,Wide area.,,,,CCARC,,,,CMRG Repeaters,E-power.,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,KD5PX,"Dixon, Cerro Abajo",NM,OPEN,,105.4,SSE,yes,147.18,147.78,100,Rio Arriba,On-Air,yes,100,Dixon Embudo Ojo Sarco St Rd 68 Rio Grande Canyon,,,,NMFCC,DM76BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,105.6,NE,yes,147.18,147.78,100,El Paso,On-Air,yes,,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",,AA0SP,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,CCARC,,,,,E-power (solar).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.725,-25,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,105.7,NE,yes,927.725,902.725,D114,Teller,On-Air,yes,D114,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.",,WA6IFI,,CCARC,,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",Yahoo Group,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,105.7,NE,yes,446.95,441.95,,Teller,On-Air,yes,,Monument Hill through Pueblo.,,Rocky Mountain Ham Radio,,,,RMHAM,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,,,,,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,Colorado Springs,CO,OPEN,,105.9,NE,yes,145.265,144.665,100,El Paso,Off-Air,yes,100,Local. Good coverage of I25 in Colorado Springs.,,Pikes Peak FM Association,Repeater has been moved.,CCARC,,,,PPFMA Repeaters,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,Yes; analog capable.,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, UCCS",CO,OPEN,,105.9,NE,yes,448.8,443.8,100,El Paso,Off-Air,yes,100,,,Pikes Peak FM Assoc,,CCARC,,,,PPFMA Repeaters,,,,,,,,,,,,,,,,,,Yes; analog capable.,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,106.1,NW,yes,147.33,147.93,107.2,Delta,On-Air,yes,,Wide area.,,North Fork Repeater Assoc.,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5,0,100,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,106.2,SSE,yes,51.5,51.5,100,Taos,On-Air,yes,,,,Taos ARC,,,,,,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,67,KF5PFO,"Taos, Picuris Peak",NM,OPEN,E,106.2,SSE,yes,147.12,147.72,67,Taos,On-Air,yes,,Wide area.,,Taos Amateur Radio Club,,NMFCC,,ARRL,,http://taosarc.org/,E-power.,828279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.4,-1.6,225.7,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,106.2,SSE,yes,224.4,222.8,225.7,Taos,On-Air,yes,,,,Taos ARC,,NMFCC,,,,http://taosarc.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.875,-5,123,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,106.3,SSE,yes,449.875,444.875,123,Taos,Off-Air,yes,,,,Taos ARC,,NMFCC,,,,,"Linked to 147.34, E-Power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292.3,-20,,KF5VBD,"Bloomfield, Harris Mesa",NM,CLOSED,,106.4,SW,yes,1292.3,1272.3,,San Juan,On-Air,yes,,,,San Juan County,,NMFCC,,,,,,,,,yes,KF5VBD (A) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,106.6,NNW,yes,447.05,442.05,136.5,Pitkin,On-Air,yes,136.5,Aspen-Snowmass areas.,,Roaring Fork Amateur Repeater Cooperative,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,106.7,WSW,yes,145.325,144.725,100,Montezuma,On-Air,yes,,Wide area.,,,Full time to the San Juan Connection,CCARC,,,,http://www.sjcham.com,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,KC0UFO,"Fairplay, Sacramento Mountain",CO,OPEN,,106.8,N,yes,447.125,442.125,103.5,Park,On-Air,yes,103.5,"Covers Fairplay, Alma, and western South Park.",,KC0UFO,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.",CCARC,DM69wf,"Park County Radio Club, AB0PC",,,Emergency automatic generator.,,,"When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,107.2,NE,yes,448.45,443.45,100,El Paso,On-Air,yes,,Wide area.,,Pikes Pk FM Assoc,,CCARC,,,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",PPFMA Repeaters,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,107.2,NE,yes,146.97,146.37,100,El Paso,On-Air,yes,123,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",,Pikes Peak FM Assoc,,CCARC,,,"Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",PPFMA Repeaters,"Closed autopatch, e-power.",,,"Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,100,K0BV,"Trinidad, Raton Pass",CO,OPEN,,107.6,SE,yes,147.375,147.975,100,Las Animas,Off-Air,yes,100,Good coverage along I-25 between CO/NM state line and 40 miles north.,,K0BV,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.375,-5,100,KG5JL,"Trinidad, Raton Pass",CO,OPEN,,107.6,SE,yes,447.375,442.375,100,Las Animas,On-Air,yes,,"Covers I-25 from CO/NM border to north of Trinidad, CO.",,KG5JL,,CCARC,,,,,E-power (batt).,,,,,,,,,,,,,,,,,Yes; analog capable.,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,KC0CVU,"Trinidad, Raton Pass",CO,OPEN,,107.6,SE,yes,449.6,444.6,107.2,Las Animas,Off-Air,yes,,Wide area.,,Cheyenne Mtn Rptr Grp,,CCARC,,,,CMRG Repeaters,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,107.8,WSW,yes,146.74,146.14,100,San Juan,On-Air,yes,,,,Totah ARC,,NMFCC,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,107.8,WSW,yes,447.45,442.45,107.2,San Juan,On-Air,yes,,,,KB5ITS,,NMFCC,,,,,"E-power, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC1,N5UBJ,Aztec,NM,OPEN,,107.9,WSW,yes,442.25,447.25,,San Juan,On-Air,yes,,,,,,NMFCC,,,,http://www.aztrbonet.com/MinimalNetwatch,,,,,,,,yes,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,107.9,WSW,yes,146.88,146.28,100,San Juan,On-Air,yes,,,,,,NMFCC,,,Full-time to the  San Juan Connection System .,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,108.3,NE,yes,146.76,146.16,107.2,El Paso,On-Air,yes,107.2,,,Cheyenne Mountain Repeater Group,,CCARC,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,108.3,NE,yes,448,443,107.2,El Paso,On-Air,yes,,,,,,CCARC,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,108.3,NE,yes,448.1,443.1,107.2,El Paso,On-Air,yes,107.2,Wide area.,,,,CCARC,,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",CMRG Repeaters,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,108.4,NE,yes,147.345,147.945,107.2,El Paso,On-Air,yes,107.2,Wide area.,,,,CCARC,,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",http://www.cmrg.org/,"Closed autopatch, e-power.",,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,108.4,NE,yes,145.16,144.56,107.2,El Paso,On-Air,yes,107.2,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",,Colorado Repeater Association,Switch to this repeater at mile marker 170 on I-25.,CCARC,,CRA VHF Link System,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",http://www.w0cra.org/info/cosprgs.html#145160,"Closed autopatch, e-power.",347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC6,N5UBJ,"Mancos, Caviness Mountain",CO,OPEN,,108.6,WSW,yes,446.7375,441.7375,,Montezuma,On-Air,yes,,,,RMHAM,Talkgroup 700 TS 1 Talkgroup 719 TS 2,CCARC,,,,http://www.rmham.org,,,,,,,,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  1  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,108.7,N,yes,147.24,147.84,156.7,Lake,Off-Air,yes,156.7,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,67,NM5ML,"Bloomfield, Harris Mesa",NM,OPEN,,109,SW,yes,147.28,147.88,67,San Juan,On-Air,yes,,Wide area.,,,,NMFCC,,,Full-time to the  Mega-Link System .,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,KB5ITS,"Bloomfield, Harris mesa",NM,OPEN,,109,SW,yes,147.1,147.7,100,San Juan,On-Air,yes,,,,San Juan connection,,NMFCC,,,Full-time to the  San Juan Connection System .,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.1,-20,,KF5VBE,Aztec,NM,CLOSED,,109.2,SW,yes,1291.1,1271.1,,Bernalillo,On-Air,yes,,,,San Juan County,,NMFCC,,,,,DV only,,,,yes,KF5VBE (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,,KF5VBE,Farmington,NM,OPEN,,109.3,SW,yes,145.115,144.515,,San Juan,On-Air,yes,,,,,,,,,,,,,,,yes,KF5VBE (C) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,109.4,NE,yes,145.375,144.77,,El Paso,Off-Air,yes,,wide area,,Cheyenne Mountain Repeater Group (CMRG),Repeater off air for now.,CCARC,,,,http://www.cmrg.org,,,,,yes,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,109.5,NE,yes,445.0625,440.0625,,El Paso,Off-Air,yes,,,,Rocky Mountain Ham Radio,,CCARC,,,,,The DMR-MARC Worldwide Network,,,,,,,yes,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,1,1,,,,,,2,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,109.5,NE,yes,145.13,144.53,88.5,El Paso,On-Air,yes,123,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,,Colorado Connection,Linked into the Colorado Connection System,CCARC,,,Full-time to the  Colorado Connection System .,,9,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,109.5,NE,yes,927.85,902.85,D114,Teller,On-Air,yes,,,,CMRG,,CCARC,,,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",http://www.cmrg.org,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,109.5,NE,yes,53.13,51.43,107.2,El Paso,On-Air,yes,107.2,,,Cheyenne Mountain Repeater Group (CMRG),,CCARC,,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
