Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,EchoLink,IRLP,Coordination,Last update,Coverage,Sponsor,Web links,Downlink Tone,Grid,Affiliate,Features,Links,AllStar,Notes,Nets,Feed,YSF Digital Enabled,DG-ID,WIRES-X,Commands,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,D-STAR Enabled,Node,Sources,Mixed-Mode,DMR Enabled,Color Code,Wide Network,Local Network,P25 Digital Enabled,NAC,Default Reflector,On-air,Talkgroups,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Worldwide,North America,English,Talkgroup Network,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Worldwide English,Wyoming,WyLOCAL,Location Photo
147,0.6,100,KC0KWD,Greeley,CO,OPEN,I,30.8,N,,147,147.6,100,Weld,On-Air,,3839,CCARC,,,Weld ARS,,100,,,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",,,,,,,Open ↑ / Open ↓,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,
448.475,-5,100,KC0KWD,Greeley,CO,OPEN,I,30.8,N,,448.475,443.475,100,Weld,On-Air,,3839,CCARC,,,Weld Amateur Radio Society (WARS),http://www.warsco.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,30.8,N,,449.325,444.325,,Weld,On-Air,,,CCARC,,,Colorado Amateur Repeater Network (CARN),,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,31.5,NNW,,449.575,444.575,100,Larimer,On-Air,,,CCARC,,,Loveland Rptr Assoc,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,100,KN6VV,Loveland,CO,OPEN,,31.5,NNW,,224.32,222.72,100,Larimer,Off-Air,,,CCARC,,,KN6VV,,100,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,31.7,W,,146.91,147.51,123,Boulder,On-Air,,,,,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,http://goldhilltown.com/,127.3,,"Town of Gold Hill, Colorado",,,,There is a MOU With BCARES for repeater use.,"Summer Tue at 19:30P, Winter 19:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,32.7,WSW,,927.8375,902.025,,Jefferson,On-Air,,,CCARC,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,,,,,,,45770,The offset is -25.8125,,,,,,,,,,,,,,,,,,,,,293,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,32.7,WSW,,446.7875,441.7875,,Jefferson,On-Air,,,CCARC,,,Denver Radio Club,http://www.w0tx.org/,,,Brandmeister Network,,,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,32.7,WSW,,448.625,443.625,100,Jefferson,On-Air,,,CCARC,,Denver metro area.,Denver Radio Club,DRC Repeaters,100,,,E-power.,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,32.8,WSW,,146.64,146.04,100,Jefferson,On-Air,,,CCARC,,"Wide area. 
   Repeater Coverage Map",Denver Radio League,DRL Repeaters,,,,E-power.,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,32.8,NNW,,147.195,147.795,100,Larimer,On-Air,,,CCARC,,,Loveland Repeater Assoc,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,32.8,WSW,,449.225,444.225,141.3,Gilpin,On-Air,,,CCARC,,Wide area.,Rocky Mountain Ham Radio (RMHR),,141.3,,,Emergency Power,,,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,32.8,WSW,,145.28,144.68,100,Jefferson,On-Air,,,CCARC,,Wide area.,,Intermountain Repeater Group,,,,"Closed autopatch, e-power, linked.","Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",,"PL is usually off, allowing use by older transceivers.",Sun at 19:30. Everyone welcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,32.8,WSW,,145.31,144.71,88.5,Gilpin,On-Air,,,CCARC,,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Colorado Connection,,123,,,10,Full-time to the  Colorado Connection System .,,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX","Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,32.8,WSW,,449.525,444.525,CSQ,Jefferson,On-Air,,,CCARC,,,KE0SJ,Intermountain Repeater Group,,,,E-power.,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,32.8,WSW,,146.985,146.385,100,Denver,On-Air,,3346,CCARC,,,El Jebel RADOPS,,100,,,E-power.,,,,RADOPS: Sun at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.025,-5,100,W0UPS,"Loveland, Budweiser Event Center",CO,OPEN,,32.9,NNW,,448.025,443.025,100,Larimer,On-Air,,,CCARC,,,Northern Colorado ARC,,100,,,,,,,,,,Open ↑ / Open ↓,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,33.6,SSE,,927.8375,902.025,,Douglas,On-Air,,,CCARC,,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,,,,,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,,,,,,,,,,,,,,,,,,,294,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,33.9,S,,447.525,442.525,203.5,Douglas,On-Air,,,CCARC,,"Denver metropolitan area, front range foothills",EmComm Colorado,,146.2,,Colorado ARES,,,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,35.7,S,,449.95,444.95,77,Douglas,On-Air,,,CCARC,,Primarily to the North along I-25 corridor,W9SL Owner,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,35.9,SW,,145.175,144.575,D073,Clear Creek,Off-Air,,,CCARC,,,Rocky Mountain Ham Radio,Rocky Mountain Ham Radio,D073,,,,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,,,,,,,,,,,,,Yes; analog capable.,,1,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,35.9,SW,,145.34,144.74,103.5,Jefferson,On-Air,,3350,CCARC,,Wide area.,Rocky Mtn Radio League,Repeater,127.3,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,36.3,W,,224.6,223,100,Gilpin,,,,CCARC,,,W0RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,
147.03,0.6,100,KI0HG,"Allenspark, AFPD Station #5",CO,OPEN,,36.6,WNW,,147.03,147.63,100,Boulder,On-Air,,,CCARC,,,KI0HG,,,,Boulder County Amateur Radio Emergency Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,37,SSW,,449.6,444.6,100,Jefferson,On-Air,690473,3345,CCARC,,,Denver Radio League,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,37,SSW,,146.88,146.28,100,Jefferson,On-Air,,,CCARC,,Wide Area,Denver Radio League,DRL Repeaters,,,,E-power.,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC1,K0PRA,Parker,CO,OPEN,,37.6,S,,445.075,440.075,,Douglas,On-Air,,,CCARC,,,Parker Radio Association,http://www.parkerradio.org,,,,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,,,Mixed Mode,Mondays 20:30 MST,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,37.7,WSW,,447.85,442.85,141.3,Clear Creek,On-Air,,,CCARC,,Wide area at 9500',AC0KQ,,141.3,,Rocky Mountain Ham Radio,AllStar node repeater providing wide area coverage along the Front Range,,29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,37.8,NNW,,447.725,442.725,131.8,Larimer,On-Air,,,CCARC,,,W7RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,39.2,N,,147.39,147.99,,Larimer,On-Air,,,CCARC,,"Fort Collins east side, into Red Feather Lakes area.",KT0L - NoCo C-Bridge Network,Documentation,,,,,,,,Tac 310 Net: Sun at 18:00.,,,,,,,,,,,,,,,,2,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  TAC 310  1  310      DCI Bridge  1  3100      N. Colorado  1  3171      Mountain Reg USA  1  3177      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,1,1,2,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,40.4,WSW,,449.05,444.05,107.2,Denver,On-Air,,,CCARC,,Wide area.,WG0N,,107.2,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,40.5,NNW,,447.45,442.45,123,Larimer,On-Air,447450,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.55,-20,100,K1TJ,Fort Collins,CO,OPEN,,40.5,NNW,,1283.55,1263.55,100,Larimer,On-Air,,,CCARC,,Northern Colorado Front Range,K1TJ Repeater System,http://www.k1tj.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC2,N0AOL,Fort Collins,CO,OPEN,,40.5,NNW,,446.7375,441.7375,,Larimer,On-Air,,,CCARC,,Wide area: North Front Range.,N0AOL - NoCo C-Bridge Network,http://nocodmr.kt0l.net:8080/nocodmr/documentation.htm,,,,DMR-MARC World Wide Network,,,Repeater ID: 310803,"DMR World Wide Net: Sat at 10:00. 
TS 1 Group Call 1 http://www.dmr-marc.net/ 
Tac 310 Net: Sun at 18:00, TS 1 Group Call 310 .",,,,,,,,,,,,,,,,2,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      English  1  13      TAC 310  1  310      Local/Cluster  2  2      N. Colorado  2  3171    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,2,,2,1,1,1,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,40.8,SSW,,447.5,442.5,88.5,Jefferson,On-Air,,,CCARC,,Wide area.,Aurora Repeater Association,,88.5,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,41.1,SW,,224.98,223.38,107.2,Jefferson,Off-Air,347086,3990,CCARC,,Wide area. Denver.,Colorado Repeater Association,,107.2,,,"Closed autopatch, e-power.","Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,41.1,SW,,447.15,442.15,107.2,Jefferson,Off-Air,,,CCARC,,Wide area: Denver.,Colorado Repeater Association (CRA),,107.2,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,41.1,WSW,,449,444,136.5,Clear Creek,On-Air,,,CCARC,,,CARN,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,41.1,SW,,1287.9,1267.9,CSQ,Jefferson,Off-Air,,,CCARC,,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,41.2,WSW,,147.3,147.9,103.5,Clear Creek,On-Air,,,CCARC,,Wide area.,Denver PD EEB,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,41.3,WSW,,448.675,443.675,100,Denver,On-Air,,,CCARC,,Wide area.,W0CFI,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,41.4,WSW,,449.35,444.35,100,Clear Creek,On-Air,4140,,CCARC,,Wide area.,Denver Radio Club,DRC Repeaters,100,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,41.4,WSW,,447.575,442.575,107.2,Clear Creek,On-Air,347088,3291,CCARC,,Wide area: Denver metro.,Colorado Repeater Association (CRA),http://www.w0cra.org,107.2,,,,,,,,,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,41.4,WSW,,145.145,144.545,107.2,Clear Creek,On-Air,,,CCARC,,Wide area. Denver metro.,Colorado Repeater Assoc,http://www.w0cra.org/info/squaw.html#145145,107.2,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,41.4,N,,447.2,442.2,82.5,Weld,On-Air,,,CCARC,,,N6RFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,41.4,WSW,,146.67,146.07,100,Clear Creek,On-Air,,,CCARC,,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",Castle Rock Repeater Group,,100,,,11,,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,41.4,WSW,,145.49,144.89,100,Jefferson,On-Air,,,CCARC,,,"KB0VIU,  Denver Radio Club",DRC Repeaters,100,,,E-power.,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",,,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,41.5,WSW,,449.45,444.45,103.5,Clear Creek,On-Air,,,CCARC,,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",Rocky Mountain Radio League,Repeater,127.3,,,11,,,,RMRL: Mon at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,41.5,WSW,,448.225,443.225,141.3,Clear Creek,On-Air,,,CCARC,,,Rocky Mountain Ham Radio,,141.3,,,E-power(gen).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,41.5,WSW,,446.9375,441.9375,,Clear Creek,On-Air,,,CCARC,,,Rocky Mountain Ham Radio,Rocky Mountain Ham Radio,,,,,Full-time to the  Colorado TRBO System .,,See the website for programming information.,,,,,,,,,,,,,,,,,7,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,RMHAM,1,2,2,2,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,41.5,WSW,,146.94,146.34,103.5,Clear Creek,On-Air,,,CCARC,,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",Rocky Mtn Radio League,Repeater,103.5,,,11,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",Listen Live,,,,Autopatch: 911* / Off 0*.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,41.6,S,,446.85,441.85,,Douglas,On-Air,,,CCARC,,,Parker Radio Association,http://parkerradio.org,,,,D-Star B module,,,,,,,,,,,,,,,,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,42.2,NW,,146.685,146.085,123,Larimer,On-Air,625757,7268,CCARC,,Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),Estes Valley ARC,,,,,E-power.,"Full-time to  
        449.80000 (N0FH) at Estes Park, CO .",,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",ARES D-10: Thu at 19:00.,,,,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,42.4,N,,446.775,441.775,,Larimer,On-Air,,,CCARC,,"Fort Collins east side, into Red Feather Lakes area.",W0DMR - NoCo C-bridge Network,W0DMR,,,Brandmeister Network,,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,,,,,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,,2,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,1,2,,2,,1,,BrandMeister US,2,,,,1,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,42.7,NNW,,147.36,147.96,100,Larimer,On-Air,,,CCARC,,Map,CO State Univ ARC,,100,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC2,KB0VGD,"Fort Collins , Horsetooth Mountain",CO,OPEN,,42.7,NNW,,145.265,144.665,,Larimer,On-Air,,,CCARC,,Northern Colorado Front Range Wide Area coverage.,W0DMR - NoCo C-bridge Network,http://www.w0dmr.org/,,,Brandmeister Network,,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,,,,,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,,2,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,1,2,,2,,1,,BrandMeister US,2,,,,1,,,
446.75,-5,CC7,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,42.7,NNW,,446.75,441.75,,Larimer,On-Air,,,CCARC,,,Rocky Mountain Ham Radio,http://www.rmham.org,,,,,Full-time to the  Colorado TRBO System .,,See website for complete info on color codes/time slot assignment.,,,,,,,,,,,,,,,,,7,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,1,,,2,,,,
224.52,-1.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,43.1,NNW,,224.52,222.92,100,Larimer,Off-Air,,,CCARC,,,Northern Colorado ARC,,100,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,43.1,NNW,,145.115,144.515,100,Larimer,On-Air,4236,,CCARC,,Wide area.,Northern Colorado ARC,,100,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,43.1,SW,,147.12,147.72,88.5,Jefferson,On-Air,,,CCARC,,Denver metro and east.,Aurora Repeater Association,http://www.n0ara.org,88.5,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.825,-25,100,AB0SF,"Fort Collins, Horsetooth Mountain",CO,OPEN,,43.1,NNW,,927.825,902.825,100,Larimer,On-Air,,,CCARC,,"Decent coverage throughout northern Fort Collins, out east to beyond Windsor.",AB0SF,,100,,,,,,Converted 800 MHz beam antenna pointed directly down Horsetooth Road in Fort Collins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.95,-25,100,K1TJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,43.1,NNW,,927.95,902.95,100,Larimer,On-Air,,,CCARC,,Northern Front Range,K1TJ Repeater System,,100,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,43.1,NNW,,447.275,442.275,100,Larimer,On-Air,,,CCARC,,Wide area.,Northern Colorado ARC,,100,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,43.1,SW,,53.05,51.35,107.2,Jefferson,Off-Air,,,CCARC,,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",Colorado Repeater Association (CRA),,107.2,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
