Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Notes,Coordination,Last update,Downlink Tone,Grid,Affiliate,Links,AllStar,Features,Web links,Coverage,On-air,IRLP,Nets,DMR Enabled,Color Code,Wide Network,EchoLink,Talkgroups,Colorado,Southern Colorado,D-STAR Enabled,Node,Sources,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Location Photo,Feed,Commands,Denver Regional,Northern Colorado,YSF Digital Enabled,DG-ID,Mixed-Mode,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,N. Colorado,Worldwide English,Mountain Reg USA
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,98.2,E,yes,446.7375,441.7375,,Fremont,On-Air,,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,CCARC,yes,,DM78ii,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,,IPSC Link to the Colorado network on Talk Slot 2.,http://www.k0jsc.com,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",,,,yes,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,98.2,E,yes,53.03,51.33,88.5,Fremont,On-Air,WB0WDF,Split site Fremont peak transmitter and 8 mile mountain reciever.,CCARC,yes,88.5,,RGARC,,,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",Http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,98.2,E,yes,447.75,442.75,103.5,Fremont,On-Air,RGARC,,CCARC,yes,103.5,,,,,E-power (Bat),Royal Gorge Amateur Radio Club,,,3081,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,98.2,E,yes,447.25,442.25,100,Fremont,On-Air,,,CCARC,yes,100,DM78ik,,Full-time to the  The Fun Machine System .,28368,,K0JSC dot Com,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",,7301,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,363976,,,,,,,,,,,,,,,yes,Listen Live,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,98.2,E,yes,223.96,222.36,103.5,Fremont,On-Air,RGARC,,CCARC,yes,103.5,,,,,"E-power (Bat), Remote Base",,"Wide area. 
   Repeater Coverage Map",,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,98.2,E,yes,145.49,144.89,103.5,Fremont,On-Air,Royal Gorge Amateur Radio Club,,CCARC,yes,103.5,DM78ik,Colorado ARES Region 5 District 1,,,E-power (Bat),Royal Gorge Amateur Radio Club,,,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Tres Piedras, San Antonio Mtn.",NM,OPEN,,98.4,SSE,yes,145.175,144.575,141.3,Taos,Off-Air,NMEMA ARC,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras, San Antonio Mountain",NM,OPEN,,98.4,SSE,yes,146.76,146.16,67,Taos,On-Air,Taos ARC,,,yes,,,,,,11,,"Wide area: Most of Taos County, Eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,98.4,E,yes,927.7,902.7,D114,Fremont,On-Air,Royal Gorge ARC,,CCARC,yes,D114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,KB5ITS,"Bloomfield, Harris mesa",NM,OPEN,,98.5,SSW,yes,147.1,147.7,100,San Juan,On-Air,San Juan connection,,NMFCC,yes,,,,Full-time to the  San Juan Connection System .,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,67,NM5ML,"Bloomfield, Harris Mesa",NM,OPEN,,98.5,SSW,yes,147.28,147.88,67,San Juan,On-Air,,,NMFCC,yes,,,,Full-time to the  Mega-Link System .,,6,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,100.3,NNW,yes,145.355,144.755,88.5,Mesa,On-Air,Colorado Connection,Colorado Connection system of repeaters,CCARC,yes,123,,,Full-time to the  Colorado Connection System .,,E-power.,,"Rifle to the east, several miles east of Green River, Utah to the west.",,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,100.3,NNW,yes,449.65,444.65,151.4,Mesa,On-Air,Keri Washburn,,CCARC,yes,151.4,,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,NWS weather alert system.,,Wide area coverage,,8162,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,100.4,E,yes,447.975,442.975,100,Fremont,On-Air,K0JSC,,CCARC,yes,100,,,Full-time to the  The Fun Machine System .,28368,Autopatch.,http://www.k0jsc.com,"Canon City area. 
   Repeater Coverage Map",,7301,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,363976,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,100.6,NE,yes,446.7625,441.7625,,Park,On-Air,K7PFJ,,,yes,,,RMHAM,,,,,,,,,yes,0,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,102.7,NNE,yes,147.24,147.84,156.7,Lake,Off-Air,,,CCARC,yes,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,102.8,E,yes,449.975,444.975,100,Fremont,On-Air,K0JSC,,CCARC,yes,100,,The Fun Machine,Full-time to the  The Fun Machine System .,,Simulcast TX / Voted RX with Cedarwood and Salida,http://www.k0jsc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,KC0UFO,"Fairplay, Sacramento Mountain",CO,OPEN,,104.4,NNE,yes,447.125,442.125,103.5,Park,On-Air,KC0UFO,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.",CCARC,yes,103.5,DM69wf,"Park County Radio Club, AB0PC",,,Emergency automatic generator.,,"Covers Fairplay, Alma, and western South Park.",,,"When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,K5WXI,Farmington,NM,OPEN,,105.1,SW,yes,146.85,146.25,100,San Juan,On-Air,Totah ARC,,NMFCC,yes,100,,,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,100,K5WY,Farmington,NM,OPEN,,105.1,SW,yes,449,444,100,San Juan,,K5WY,,NMFCC,yes,,,,,,E-power.,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.15,5,,KF5VBF,Farmington,NM,OPEN,,105.1,SW,yes,444.15,449.15,,San Juan,On-Air,San Juan County,,,yes,,,,,,DV only,,,,,,,,,,,,,yes,KF5VBF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.325,5,CC1,N5UBJ,Farmington,NM,OPEN,,105.1,SW,yes,442.325,447.325,,San Juan,On-Air,,,NMFCC,yes,,,,,,AZ-TRBONET,http://www.aztrbonet.com/MinimalNetwatch,,,,,yes,1,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,,105.1,SW,yes,146.76,146.16,100,San Juan,On-Air,,,NMFCC,yes,100,,,Full-time to the  San Juan Connection System .,,"Closed autopatch, e-power.",http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KB5ITS,Farmington,NM,OPEN,,105.1,SW,yes,147,147.6,100,San Juan,On-Air,,,NMFCC,yes,,,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,,105.1,SW,yes,53.01,52.01,131.8,San Juan,On-Air,KB5ITS,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,105.8,NNE,yes,445.05,440.05,,Lake,On-Air,K2AD,,CCARC,yes,,,Rocky Mountain Ham Radio,,,,http://www.rmham.org/,,,,,yes,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,RMHAM,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,106.1,WNW,yes,449.4,444.4,131.8,Mesa,On-Air,"WA4HND,  Grand Mesa Repeater Association",Closed IRLP out - Ask for a control op,CCARC,yes,131.8,,,Full-time to the  GMRA Open System .,,E-power.,http://www.gmra.org,Wide area via links - Western Colorado - Eastern Utah,,3710,RACES Wed 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.7,-20,,KF5VBF,"Farmington, Farmington Bluffs",NM,CLOSED,,106.4,SW,yes,1291.7,1271.7,,San Juan,On-Air,San Juan County,,NMFCC,yes,,,,,,DV only,,,,,,,,,,,,,yes,KF5VBF (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,106.7,NNE,yes,145.445,144.845,88.5,Lake,On-Air,Colorado Connection,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",CCARC,yes,,,,Full-time to the  Colorado Connection System .,,E-power (solar).,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,107.6,SE,yes,145.355,144.755,100,Huerfano,On-Air,N0JPX,,CCARC,yes,,,,,,"E-power, linked.",,,,3974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,109.2,N,yes,447.15,442.15,136.5,Garfield,On-Air,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,yes,,,,,,,,,,,,,,,8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,109.2,N,yes,147.39,147.99,107.2,Garfield,On-Air,Roaring Fork Amateur Repeater Cooperative,,,yes,,,,,,,,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,109.2,N,yes,449.725,444.725,179.9,Garfield,On-Air,Roaring Fork Amateur Repeater Cooperative (RFARC),,CCARC,yes,,,,,28434,EchoLink.,,Wide area.,,3722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,109.9,NW,yes,449.3,444.3,107.2,Mesa,On-Air,,Closed IRLP out,CCARC,yes,107.2,,,,,e-power Linked to GMRA Open System,http://www.gmra.org/,Wide Area I-70 West Rifle to Western Utah,,3710,RACES Wed 1930 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,109.9,SE,yes,449.75,444.75,100,Las Animas,On-Air,N0ZSN,,CCARC,yes,100,,The Fun Machine,Full-time to the  The Fun Machine System .,28368,,The Fun Machine,,,7301,,,,,363976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC1,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,110.8,NW,yes,446.9125,441.9125,,Mesa,On-Air,Bill Frost,Brandmeister network,,yes,,,,,,,,"Grand Junction, I70",,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,111.2,NNW,yes,449.5,444.5,107.2,Mesa,Off-Air,Grand Mesa Repeater Association (GMRA),,CCARC,yes,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.39,-0.6,100,KF5PFO,"Red River, Molycorp",NM,OPEN,,111.4,SE,yes,145.39,144.79,100,Taos,On-Air,Taos ARC,,NMFCC,yes,,,,,,"E-power, linked.",Taos Amateur Radio Club,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,111.7,NNW,yes,447.1,442.1,107.2,Garfield,On-Air,Ski Country ARC,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,111.7,NNW,yes,449.6,444.6,107.2,Garfield,On-Air,,,CCARC,yes,,,,,,e-power Linked to GMRA open system,http://www.gmra.org,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,111.7,NNW,yes,146.85,146.25,88.5,Garfield,On-Air,Colorado Connection,Part of the Colorado Connection System of Repeaters,CCARC,yes,123,,,,,70,,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",,,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,111.7,NNW,yes,146.88,146.28,107.2,Garfield,On-Air,Ski Country ARC,,CCARC,yes,,,,"Full-time to  
        447.60000 (KI0G) at Glenwood Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,111.8,NW,yes,448.15,443.15,100,Mesa,On-Air,,,CCARC,yes,,,,,,,,,,7963,,,,,312189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,112.8,NE,yes,147.36,147.96,107.2,Park,On-Air,,,CCARC,yes,107.2,,,,,E-power.,CMRG Repeaters,Wide area.,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,112.8,NE,yes,146.685,146.085,107.2,Park,On-Air,Mountain ARC (MARC),,CCARC,yes,107.2,,,"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,"Closed autopatch, e-power.",,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,113.3,E,yes,1287.7,1267.7,67,Teller,Testing,WB0WDF,Testing in Canon City,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,113.3,E,yes,145.46,144.86,67,Teller,On-Air,WB0WDF,,CCARC,yes,,,RGARC,,,"E-power, 100% Solar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,113.3,E,yes,447.4,442.4,67,Teller,On-Air,WB0WDF,,CCARC,yes,,,,,,"E-power, Solar, Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,113.3,E,yes,147.015,147.615,107.2,Teller,On-Air,Mountain ARC,,CCARC,yes,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,E-power.,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,113.3,E,yes,224.94,223.34,67,Teller,Testing,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,115.4,NE,yes,449.7,444.7,107.2,Park,,CMRG,,CCARC,yes,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,123,KF5PFO,"Red River, Valle Vidal",NM,OPEN,,116.4,SE,yes,145.25,144.65,123,Taos,On-Air,Taos ARC,,NMFCC,yes,,,,,,,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,NM5SJ,Lybrook,NM,OPEN,,117,SSW,yes,145.49,144.89,100,Rio Arriba,On-Air,Totah ARC,,NMFCC,yes,,,,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Abiquiu, Cerro Pelon",NM,OPEN,,118.3,SSE,yes,147.04,147.64,141.3,Rio Arriba,Off-Air,NMEMA ARC,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,67,NM5ML,"Taos, Ski Valley",NM,OPEN,,118.8,SE,yes,147.14,147.74,67,Taos,On-Air,,,,yes,,,TaosARC,Full-time to the  Mega-Link System .,,11,http://www.taosarc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,119.5,N,yes,449.85,444.85,131.8,Garfield,On-Air,,RACES net Wed 1930 Hrs Local,CCARC,yes,131.8,,Grand Mesa Repeater Assoc,Full-time to the  GMRA Open System .,,e-power  Linked to GMRA Open System,http://GMRA.org,Glenwood Springs,,,Colorado State RACES  Wed 1930 local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,119.5,N,yes,447.6,442.6,,Garfield,,Ski Country ARC (SCARC),Link Hub for 146.880.,CCARC,yes,,,,"Full-time to  
        146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",,50,,40,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,119.5,N,yes,147.3,147.9,107.2,Garfield,Off-Air,Roaring Fork Amateur Repeater Cooperative,Single beep courtesy tone when linked and none when unlinked.,CCARC,yes,,,,,,8,,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",,,,,,,266359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,119.5,N,yes,224.02,222.42,,Garfield,,SCARC,,CCARC,yes,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,121.2,NNW,yes,146.76,146.16,107.2,Garfield,Off-Air,"N0SWE,  Roaring Fork Amateur Repeater Cooperative",,CCARC,yes,,DM69cl,,,,E-power.,,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",,,,,,,243117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,121.5,NW,yes,446.775,441.775,,Mesa,On-Air,,,,yes,,,,,,,,,,,,,,,,,,,yes,KD0RED (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,Grand Junction,CO,OPEN,A,121.5,NW,yes,146.82,146.22,107.2,Mesa,On-Air,,,CCARC,yes,,,,,28515,,,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,121.5,NW,yes,447.5,442.5,114.8,Mesa,,KC0ARV,,CCARC,yes,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,121.5,NW,yes,145.22,144.62,107.2,Mesa,,KE0TY,,CCARC,yes,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,121.5,NW,yes,147.105,147.705,,Mesa,On-Air,K0SSI,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,121.5,NW,yes,147.39,147.99,107.2,Mesa,,KE0TY,,CCARC,yes,,,,,,Linked.,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,121.5,NW,yes,449,444,,Mesa,On-Air,KB0SW,,CCARC,yes,107.2,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,121.5,NW,yes,449.775,444.775,173.8,Mesa,On-Air,,,CCARC,yes,88.5,,,,,,,,,7573,,,,,7572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,121.5,NW,yes,147.355,146.755,88.5,Mesa,On-Air,Colorado Connection,,CCARC,yes,123,,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,121.7,NNE,yes,147.39,147.99,88.5,Summit,On-Air,Colorado Connection,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",CCARC,yes,123,,,Full-time to the  Colorado Connection System .,,12,Breckenridge Repeater,Wide area.,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
