Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,DMR Enabled,Color Code,Wide Network,County,Op Status,Mixed-Mode,IRLP,AllStar,Coordination,Last update,Coverage,Sponsor,Features,Talkgroups,Colorado,Southern Colorado,Affiliate,Links,Web links,Notes,Nets,Feed,EchoLink,Grid,YSF Digital Enabled,DG-ID,D-STAR Enabled,Node,Sources,Worldwide,North America,Local/Cluster,Location Photo,On-air,WIRES-X,Talkgroup Network,Denver Regional,Northern Colorado,Commands,P25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,English,TAC 310,N. Colorado,DCI Bridge,Mountain Reg USA,Worldwide English,Europe,Southwest USA,Texas,COMM 1,Texas/Oklahoma Regional USA,Amarillo WIRES-X
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,45.9,NW,yes,224.94,223.34,67,,,,,Teller,Testing,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,45.9,NW,yes,147.015,147.615,107.2,,,,,Teller,On-Air,,,,CCARC,yes,,Mountain ARC,E-power.,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,45.9,NW,yes,145.46,144.86,67,,,,,Teller,On-Air,,,,CCARC,yes,,WB0WDF,"E-power, 100% Solar",,,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,45.9,NW,yes,1287.7,1267.7,67,,,,,Teller,Testing,,,,CCARC,yes,,WB0WDF,,,,,,,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,45.9,NW,yes,447.4,442.4,67,,,,,Teller,On-Air,,,,CCARC,yes,,WB0WDF,"E-power, Solar, Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,46.8,NNW,yes,146.97,146.37,100,123,,,,El Paso,On-Air,,,,CCARC,yes,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",Pikes Peak FM Assoc,"Closed autopatch, e-power.",,,,,"Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",PPFMA Repeaters,,"Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,46.8,NNW,yes,448.45,443.45,100,,,,,El Paso,On-Air,,,,CCARC,yes,Wide area.,Pikes Pk FM Assoc,E-power.,,,,,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,46.9,N,yes,447.2,442.2,,,,,,El Paso,Testing,,,,,yes,"Falcon, Black Forest, Peyton Areas",GGARC,,,,,Garden of the Gods Amateur Radio Club,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,47.2,W,yes,147.06,147.66,77,77,,,,Custer,On-Air,,,,CCARC,yes,,http://www.qsl.net/rghc,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,47.2,W,yes,927.775,902.775,D116,D116,,,,Custer,On-Air,,,,CCARC,yes,,Royal Gorge Amateur Radio Club,,,,,,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,47.2,W,yes,448.15,443.15,103.5,103.5,,,,Custer,On-Air,,,,CCARC,yes,,Royal George ARC,E-power.,,,,,,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,47.3,W,yes,448.325,443.325,100,100,,,,Custer,On-Air,,,,,yes,,,,,,,The Fun Machine,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,47.3,W,yes,919.1,894.1,88.5,CSQ,,,,Pueblo,Off-Air,,,,CCARC,yes,Wide area.,Pueblo HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,54.5,N,yes,447.625,442.625,100,100,,,,El Paso,On-Air,,7301,28299,,yes,,KD0MDP,Linked.,,,,The Fun Machine,Full-time to the  The Fun Machine System .,,,,,363976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,56.1,SSW,yes,145.355,144.755,100,,,,,Huerfano,On-Air,,3974,,CCARC,yes,,N0JPX,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,56.5,NNW,yes,449.025,444.025,141.3,,,,,Teller,,,,,CCARC,yes,,Mountain Amateur Radio Club (MARC),Linked.,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,56.5,NNW,yes,146.82,146.22,107.2,,,,,Teller,On-Air,,,,CCARC,yes,,Mountain ARC,E-power.,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,56.5,NNW,yes,145.415,144.815,179.9,,,,,Teller,,,,,CCARC,yes,,MARC,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,56.5,NNW,yes,927.9,902.9,D205,D205,,,,Teller,On-Air,,,,CCARC,yes,,MARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,56.5,NNW,yes,449.325,444.325,103.5,103.5,,,,Teller,On-Air,,,27976,CCARC,yes,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",KA4EPS,E-power. Allstar Node 27976,,,,Amateur Radio Motorcycle Club,,,Node # 27976,"Sunday 1500 MST
Tuesday 1730 MST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,56.5,NNW,yes,448.65,443.65,107.2,,,,,Teller,On-Air,,,,CCARC,yes,,Mountain ARC (MARC),E-power.,,,,MARC,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,56.5,NNW,yes,447.675,442.675,179.9,179.9,,,,Teller,On-Air,,,,CCARC,yes,,Mountain Amateur Radio Club (MARC),E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,59.6,NNW,yes,447.725,442.725,100,100,,,,El Paso,On-Air,,,,CCARC,yes,Local.,K0NR,30,,,,,,http://www.k0nr.com/wordpress/k0nr-repeater/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,W,61.3,SE,yes,147.36,147.96,,123,,,,Otero,On-Air,Yes; analog capable.,,,,yes,La Junta: U.S. Route 50 CO State Hwy 10 CO State Hwy 109 CO State Hwy 194 U.S. Route 350,,E-power,,,,KC0ITF,,,Digital Wires-X,,,,,yes,Open ↑ / Open ↓,,,,,,,,,11360,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC0,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,,61.3,SE,yes,446.75,441.75,,,yes,0,,Otero,On-Air,,,,,yes,La Junta,,E-power.,,,,KC0ITF,,,Please use Busy Channel LockOut,,,,,yes,Open ↑ / Open ↓,yes,KC0ITF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,63.3,NNW,yes,145.19,144.59,131.8,131.8,,,,Douglas,On-Air,,,,,yes,Wide area coverage at 8300,N0OBA Owner,,,,,,,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,64.2,NE,yes,449.9,444.9,107.2,,,,,Lincoln,On-Air,,,,CCARC,yes,,,,,,,BSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,64.4,NW,yes,449.7,444.7,107.2,,,,,Park,,,,,CCARC,yes,,CMRG,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,67.1,SSW,yes,449.75,444.75,100,100,,,,Las Animas,On-Air,,7301,28368,CCARC,yes,,N0ZSN,,,,,The Fun Machine,Full-time to the  The Fun Machine System .,The Fun Machine,,,,363976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,67.6,NNW,yes,448.425,443.425,107.2,107.2,,,,Douglas,On-Air,,,,,yes,Wide area,Colorado Repeater Association (CRA),,,,,ARESDEC,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",http://www.w0cra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,67.6,NNW,yes,449.975,444.975,100,100,,,,Douglas,On-Air,,,,CCARC,yes,,K0JSC,Simulcast and Voted with Cedarwood and Methodist.,,,,The Fun Machine,Full-time to the  The Fun Machine System .,The Fun Machine,"Can be linked to Allstar, Echolink and others by a Sysop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,67.6,NNW,yes,147.225,147.825,107.2,107.2,,,,Douglas,On-Air,,3990,,CCARC,yes,Wide area,Colorado Repeater Association (CRA),Closed autopatch,,,,CRA VHF Link System,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",Colorado Repeater Association,,"CRA Net, Sunday 9AM",,347086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,68.9,NNW,yes,446.875,441.875,,,yes,6,,Douglas,On-Air,,,,CCARC,yes,,W0VG,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,RMHAM,Full-time to the  Colorado TRBO System .,http://www.rmham.org,,,,,,,,,,,,,,,,,RMHAM,2,2,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,72.8,NNE,yes,147.105,147.705,107.2,107.2,,,,Elbert,On-Air,,,,CCARC,yes,"I-70, E. Arapahoe, Elbert, Lincoln Counties",ARES of Douglas and Elbert Counties,Linked to CRA 447.150 - Conifer,,,,Colorado Repeater Association,"Full-time to  
        448.42500 (W0CRA) at Larkspur, Westcreek, CO .",http://www.w0cra.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,73.4,NW,yes,147.36,147.96,107.2,107.2,,,,Park,On-Air,,3854,,CCARC,yes,Wide area.,,E-power.,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,73.5,NW,yes,146.685,146.085,107.2,107.2,,,,Park,On-Air,,,,CCARC,yes,,Mountain ARC (MARC),"Closed autopatch, e-power.",,,,,"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,74.9,NNW,yes,447.525,442.525,146.2,146.2,,,,Douglas,On-Air,,,,CCARC,yes,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",EmComm Colorado,,,,,Colorado ARES,,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,74.9,NNW,yes,446.925,441.925,,,yes,7,,Douglas,On-Air,,,,CCARC,yes,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,1,,Full-time to the  Colorado TRBO System .,Rocky Mountain Ham Radio,See the website for programming info.,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
447.375,-5,100,KG5JL,"Trinidad, Raton Pass",CO,OPEN,,75.2,S,yes,447.375,442.375,100,,,,,Las Animas,On-Air,Yes; analog capable.,,,CCARC,yes,"Covers I-25 from CO/NM border to north of Trinidad, CO.",KG5JL,E-power (batt).,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,KC0CVU,"Trinidad, Raton Pass",CO,OPEN,,75.2,S,yes,449.6,444.6,107.2,,,,,Las Animas,Off-Air,,,,CCARC,yes,Wide area.,Cheyenne Mtn Rptr Grp,E-power.,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,100,K0BV,"Trinidad, Raton Pass",CO,OPEN,,75.2,S,yes,147.375,147.975,100,100,,,,Las Animas,Off-Air,,,,CCARC,yes,Good coverage along I-25 between CO/NM state line and 40 miles north.,K0BV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Trinidad, Raton Pass",CO,OPEN,,76.6,S,yes,446.775,441.775,,,,,,Las Animas,On-Air,,,,CCARC,yes,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,,,,,,,,yes,KD0RDI (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,77.1,W,yes,449.975,444.975,100,100,,,,Chaffee,On-Air,,7301,28368,CCARC,yes,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,,2,,,,,Full-time to the  The Fun Machine System .,K0JSC.COM,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,363976,DM68xk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,77.3,W,yes,145.295,144.695,107.2,,,,,Chaffee,On-Air,,,,CCARC,yes,Wide area.,Cheyenne Mtn Repeater Group,,,,,,,CMRG Repeaters,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,77.3,W,yes,147.285,147.885,88.5,123,,,,Chaffee,On-Air,,,,CCARC,yes,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",Colorado Connection,11,,,,,Full-time to the  Colorado Connection System .,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,77.6,W,yes,449.65,444.65,107.2,,,,,Chaffee,On-Air,,,,CCARC,yes,Wide area.,,E-power.,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,77.6,W,yes,449.925,444.925,103.5,103.5,,,,Chaffee,On-Air,,,,CCARC,yes,"Upper Arkansas and Platte Rivers, and the SLV",,E-power (Bat),,,,Colorado ARES,,,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,77.7,WNW,yes,446.975,441.975,,,,,,Chaffee,On-Air,,,,CCARC,yes,,Crestone Amateur Radio Emergency Services,,,,,Crestone Amateur Radio Emergency Services,,KD0QPG,,,,,,,,yes,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,77.7,WNW,yes,446.8125,441.8125,,,yes,0,,Chaffee,On-Air,,,,,yes,,RMHAM,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,78.8,N,yes,446.85,441.85,,,,,,Douglas,On-Air,,,,CCARC,yes,,Parker Radio Association,D-Star B module,,,,,,http://parkerradio.org,,,,,,,,yes,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,103.5,KC0VJD,Hugo,CO,OPEN,W,82.2,NE,yes,447,442,103.5,,,,,Lincoln,On-Air,Yes; analog capable.,,,,yes,"I-70, US-71, US-287, US-40, US-24, Hugo, Limon, Genoa, Punkin Center, Arriba.",Delbert Noakes (KC0VJD),APRS repeater &amp; I-Gate / Weather station,,,,,,,,,,,DM89gb,yes,Open ↑ / Open ↓,,,,,,,,,30534,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC1,K0PRA,Parker,CO,OPEN,,82.7,N,yes,445.075,440.075,,,yes,1,,Douglas,On-Air,,,,CCARC,yes,,Parker Radio Association,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,,,,,,http://www.parkerradio.org,Mixed Mode,Mondays 20:30 MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,83.7,WNW,yes,448.575,443.575,103.5,103.5,,,,Park,Off-Air,,,,CCARC,yes,Western Park County,,,,,,,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,85.5,N,yes,449.95,444.95,77,77,,,,Douglas,On-Air,,,,CCARC,yes,Primarily to the North along I-25 corridor,W9SL Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,86.5,N,yes,447.525,442.525,203.5,146.2,,,,Douglas,On-Air,,,,CCARC,yes,"Denver metropolitan area, front range foothills",EmComm Colorado,,,,,Colorado ARES,,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,107.2,WA6IFI,"Trinidad, Raton Pass",CO,OPEN,,87.2,S,yes,145.43,144.83,107.2,,,,,Las Animas,On-Air,,,,CCARC,yes,,Cheyenne Mountain Repeater Group,,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,87.3,NW,yes,446.7625,441.7625,,,yes,0,,Park,On-Air,,,,,yes,,K7PFJ,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,RMHAM,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Raton, Raton Pass",NM,OPEN,,87.5,S,yes,446.775,441.775,,,,,,Colfax,On-Air,,,,NMFCC,yes,,Cheyenne Mountain Repeater Group,,,,,,,http://www.cmrg.org/,,,,,,,,yes,KD0RDI (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,88.5,NNE,yes,449.25,444.25,123,123,,,,Elbert,On-Air,,3349,,CCARC,yes,"I-70 Limon, Co area.",K0UPS Club c/o N1UPS,Full duplex node.,,,,,,,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",,,3349,,,,,,,,,,,,,,,,** [StarStar] Prefix for Echolink Node.,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,88.7,WSW,yes,146.64,146.04,77,77,,,,Rio Grande,On-Air,,,28781,,yes,Low level local coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,88.8,N,yes,927.8375,902.025,,,,,,Douglas,On-Air,,,,CCARC,yes,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,,,,,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,,,,,,,,,,,,,,,,,,yes,294,yes,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,89.1,WSW,yes,447.1,442.1,77,,,,,Saguache,On-Air,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,89.8,NNW,yes,447.5,442.5,88.5,88.5,,,,Jefferson,On-Air,,,,CCARC,yes,Wide area.,Aurora Repeater Association,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,90.6,N,yes,448.7,443.7,146.2,,,,,Douglas,On-Air,,,,,yes,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,90.7,NNW,yes,449.6,444.6,100,,,,,Jefferson,On-Air,,3345,,CCARC,yes,,Denver Radio League,,,,,,,DRL Repeaters,,,,690473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,90.7,NNW,yes,146.88,146.28,100,,,,,Jefferson,On-Air,,,,CCARC,yes,Wide Area,Denver Radio League,E-power.,,,,,,DRL Repeaters,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
