Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coordination,Last update,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Sponsor,Affiliate,Web links,Coverage,Features,Links,Notes,Nets,Grid,IRLP,Commands,EchoLink,AllStar,Feed,D-STAR Enabled,Node,Sources,On-air,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,YSF Digital Enabled,DG-ID,Local Network,Location Photo,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,North America,Local/Cluster,WIRES-X,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,45.1,E,yes,146.895,146.295,100,100,Park,On-Air,CCARC,yes,,,,,,,,,,AB0RR,,Park County Radio Club (PCRC),285,25,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",,Wed at 19:30.,,,,,45835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,46.1,SSW,yes,447.65,442.65,151.4,151.4,Gunnison,On-Air,CCARC,yes,,,,,,,,,,KB0YNA,,,Gunnison valley and along East and west on Highway 50.,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.","Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,"Maysville, CO",CO,OPEN,,51.5,S,yes,145.325,144.725,100,,Chaffee,On-Air,,yes,,,,,,,,,,Chaffee Lake Amateur Repeater Association,,,wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,51.9,NE,yes,146.94,146.34,103.5,103.5,Clear Creek,On-Air,CCARC,yes,,,,,,,,,,Rocky Mtn Radio League,,Repeater,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",11,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,Autopatch: 911* / Off 0*.,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,51.9,NE,yes,448.225,443.225,141.3,141.3,Clear Creek,On-Air,CCARC,yes,,,,,,,,,,Rocky Mountain Ham Radio,,,,E-power(gen).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,51.9,SSE,yes,446.975,441.975,,,Chaffee,On-Air,CCARC,yes,,,,,,,,,,Crestone Amateur Radio Emergency Services,Crestone Amateur Radio Emergency Services,KD0QPG,,,,,,,,,,,,yes,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,51.9,SSE,yes,446.8125,441.8125,,,Chaffee,On-Air,,yes,yes,0,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,51.9,NE,yes,446.9375,441.9375,,,Clear Creek,On-Air,CCARC,yes,yes,7,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,Rocky Mountain Ham Radio,,Rocky Mountain Ham Radio,,,Full-time to the  Colorado TRBO System .,See the website for programming information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,51.9,NE,yes,449.45,444.45,103.5,127.3,Clear Creek,On-Air,CCARC,yes,,,,,,,,,,Rocky Mountain Radio League,,Repeater,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",11,,,RMRL: Mon at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,52,NE,yes,145.49,144.89,100,100,Jefferson,On-Air,CCARC,yes,,,,,,,,,,"KB0VIU,  Denver Radio Club",,DRC Repeaters,,E-power.,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,52,NE,yes,449.35,444.35,100,100,Clear Creek,On-Air,CCARC,yes,,,,,,,,,,Denver Radio Club,,DRC Repeaters,Wide area.,11,,,,,,,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,52,NE,yes,146.67,146.07,100,100,Clear Creek,On-Air,CCARC,yes,,,,,,,,,,Castle Rock Repeater Group,,,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",11,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,52,NE,yes,145.145,144.545,107.2,107.2,Clear Creek,On-Air,CCARC,yes,,,,,,,,,,Colorado Repeater Assoc,,http://www.w0cra.org/info/squaw.html#145145,Wide area. Denver metro.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,52,NE,yes,447.575,442.575,107.2,107.2,Clear Creek,On-Air,CCARC,yes,,,,,,,,,,Colorado Repeater Association (CRA),,http://www.w0cra.org,Wide area: Denver metro.,,,,,,3291,Member-only IRLP and Echolink node,347088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,52.1,NE,yes,448.675,443.675,100,100,Denver,On-Air,CCARC,yes,,,,,,,,,,W0CFI,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,52.1,NE,yes,147.3,147.9,103.5,103.5,Clear Creek,On-Air,CCARC,yes,,,,,,,,,,Denver PD EEB,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,52.2,NNE,yes,147.285,147.885,88.5,123,Grand,On-Air,CCARC,yes,,,,,,,,,,Colorado Connection,,,,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,52.3,NE,yes,449,444,136.5,136.5,Clear Creek,On-Air,CCARC,yes,,,,,,,,,,CARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,53.2,E,yes,53.05,51.35,107.2,107.2,Jefferson,Off-Air,CCARC,yes,,,,,,,,,,Colorado Repeater Association (CRA),,,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,53.4,E,yes,147.12,147.72,88.5,88.5,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Aurora Repeater Association,,http://www.n0ara.org,Denver metro and east.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,53.5,SE,yes,449.7,444.7,107.2,,Park,,CCARC,yes,,,,,,,,,,CMRG,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,53.6,NE,yes,449.05,444.05,107.2,107.2,Denver,On-Air,CCARC,yes,,,,,,,,,,WG0N,,,Wide area.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,54.9,NNE,yes,447.45,442.45,103.5,,Grand,On-Air,CCARC,yes,,,,,,,,,,W0IG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,55.6,W,yes,147.39,147.99,107.2,,Garfield,On-Air,,yes,,,,,,,,,,Roaring Fork Amateur Repeater Cooperative,,,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,55.6,W,yes,449.725,444.725,179.9,,Garfield,On-Air,CCARC,yes,,,,,,,,,,Roaring Fork Amateur Repeater Cooperative (RFARC),,,Wide area.,EchoLink.,,,,,3722,,,28434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,55.8,NE,yes,447.85,442.85,141.3,141.3,Clear Creek,On-Air,CCARC,yes,,,,,,,,,,AC0KQ,Rocky Mountain Ham Radio,,Wide area at 9500',AllStar node repeater providing wide area coverage along the Front Range,,,,,,,,29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,55.9,E,yes,224.98,223.38,107.2,107.2,Jefferson,Off-Air,CCARC,yes,,,,,,,,,,Colorado Repeater Association,,,Wide area. Denver.,"Closed autopatch, e-power.","Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,3990,,347086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,55.9,E,yes,1287.9,1267.9,CSQ,,Jefferson,Off-Air,CCARC,yes,,,,,,,,,,Colorado Repeater Association (CRA),,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,55.9,E,yes,447.15,442.15,107.2,107.2,Jefferson,Off-Air,CCARC,yes,,,,,,,,,,Colorado Repeater Association (CRA),,,Wide area: Denver.,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,56.1,N,yes,147.075,147.675,88.5,123,Grand,On-Air,CCARC,yes,,,,,,,,,,Colorado Connection,,,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of Repeaters,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,56.7,SSE,yes,147.285,147.885,88.5,123,Chaffee,On-Air,CCARC,yes,,,,,,,,,,Colorado Connection,,,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",11,Full-time to the  Colorado Connection System .,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,56.7,SSE,yes,145.295,144.695,107.2,,Chaffee,On-Air,CCARC,yes,,,,,,,,,,Cheyenne Mtn Repeater Group,,CMRG Repeaters,Wide area.,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,57.1,SSE,yes,449.65,444.65,107.2,,Chaffee,On-Air,CCARC,yes,,,,,,,,,,,,CMRG Repeaters,Wide area.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,57.1,SSE,yes,449.925,444.925,103.5,103.5,Chaffee,On-Air,CCARC,yes,,,,,,,,,,,Colorado ARES,,"Upper Arkansas and Platte Rivers, and the SLV",E-power (Bat),,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,57.6,SSE,yes,449.975,444.975,100,100,Chaffee,On-Air,CCARC,yes,,,,,,,,,,,,K0JSC.COM,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,2,Full-time to the  The Fun Machine System .,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",DM68xk,7301,,363976,28368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,58.4,E,yes,145.34,144.74,103.5,127.3,Jefferson,On-Air,CCARC,yes,,,,,,,,,,Rocky Mtn Radio League,,Repeater,Wide area.,E-power.,,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,58.4,E,yes,145.175,144.575,D073,D073,Clear Creek,Off-Air,CCARC,yes,yes,1,,,,,,,,Rocky Mountain Ham Radio,,Rocky Mountain Ham Radio,,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,58.8,WNW,yes,147.3,147.9,107.2,,Garfield,Off-Air,CCARC,yes,,,,,,,,,,Roaring Fork Amateur Repeater Cooperative,,,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",8,,Single beep courtesy tone when linked and none when unlinked.,,,,,266359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,58.9,WNW,yes,447.6,442.6,,,Garfield,,CCARC,yes,,,,,,,,,,Ski Country ARC (SCARC),,,40,50,"Full-time to  
        146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",Link Hub for 146.880.,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,58.9,WNW,yes,224.02,222.42,,,Garfield,,CCARC,yes,,,,,,,,,,SCARC,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,58.9,WNW,yes,449.85,444.85,131.8,131.8,Garfield,On-Air,CCARC,yes,,,,,,,,,,,Grand Mesa Repeater Assoc,http://GMRA.org,Glenwood Springs,e-power  Linked to GMRA Open System,Full-time to the  GMRA Open System .,RACES net Wed 1930 Hrs Local,Colorado State RACES  Wed 1930 local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,59.4,WNW,yes,447.1,442.1,107.2,,Garfield,On-Air,CCARC,yes,,,,,,,,,,Ski Country ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,59.4,WNW,yes,146.88,146.28,107.2,,Garfield,On-Air,CCARC,yes,,,,,,,,,,Ski Country ARC,,,,,"Full-time to  
        447.60000 (KI0G) at Glenwood Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
