Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Coordination,Last update,Coverage,Web links,Links,Nets,DMR Enabled,Color Code,Wide Network,Affiliate,Notes,Features,Talkgroups,Colorado,Southern Colorado,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,D-STAR Enabled,Node,Sources,EchoLink,AllStar,On-air,IRLP,Grid,Commands,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,YSF Digital Enabled,DG-ID,Location Photo,Feed,Denver Regional,Northern Colorado,Local/Cluster,Local Network,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,Mountain Reg USA,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,20.5,W,,145.325,144.725,100,,Montezuma,On-Air,,CCARC,,Wide area.,http://www.sjcham.com,,,,,,,Full time to the San Juan Connection,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,22.5,S,,147.06,147.66,100,,San Juan,On-Air,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC6,N5UBJ,"Mancos, Caviness Mountain",CO,OPEN,,23,WNW,,446.7375,441.7375,,,Montezuma,On-Air,RMHAM,CCARC,,,http://www.rmham.org,,,,6,,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  1  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,29.6,N,,147.27,147.87,127.3,,San Juan,On-Air,KB5ITT,CCARC,,Wide area.,,,,,,,Durango ARC,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,31.9,S,,447.45,442.45,107.2,,San Juan,On-Air,KB5ITS,NMFCC,,,,,,,,,,,"E-power, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,31.9,SSW,,146.88,146.28,100,,San Juan,On-Air,,NMFCC,,,http://www.sjcham.com,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,31.9,S,,146.74,146.14,100,,San Juan,On-Air,Totah ARC,NMFCC,,,,,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC1,N5UBJ,Aztec,NM,OPEN,,31.9,SSW,,442.25,447.25,,,San Juan,On-Air,,NMFCC,,,http://www.aztrbonet.com/MinimalNetwatch,,,,1,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.1,-20,,KF5VBE,Aztec,NM,CLOSED,,34.6,S,,1291.1,1271.1,,,Bernalillo,On-Air,San Juan County,NMFCC,,,,,,,,,,,DV only,,,,,,,,,,,,,KF5VBE (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,,KF5VBE,Farmington,NM,OPEN,,34.6,S,,145.115,144.515,,,San Juan,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,KF5VBE (C) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,KB5ITS,"Navajo Dam, Navajo Lake",NM,OPEN,,35.8,SSE,,147.36,147.96,100,,San Juan,On-Air,,NMFCC,,,http://www.sjcham.com,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,37,WNW,,447.275,442.275,100,,Montezuma,On-Air,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,37,WNW,,145.19,144.59,100,,Montezuma,On-Air,,CCARC,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,38.3,NNE,,147.375,147.975,156.7,,San Juan,On-Air,,CCARC,,Wide area.,http://www.sjcham.com,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,38.9,NNE,,447.525,442.525,127.3,,San Juan,On-Air,KB5ITS,CCARC,,Wide area.,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,38.9,NNE,,444,449,67,,San Juan,On-Air,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,38.9,NNE,,145.325,144.725,127.3,,San Juan,On-Air,,CCARC,,,http://www.sjcham.com,,,,,,,,Solar powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.175,-5,127.3,KD5LWU,Cortez,CO,OPEN,E,39.1,W,,449.175,444.175,127.3,,Montezuma,Off-Air,KD5LWU,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,24336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,127.3,KD5LWU,"Cortez, Downtown",CO,OPEN,EA,39.1,W,,146.79,146.19,127.3,127.3,Montezuma,On-Air,KD5LWU,CCARC,,,,,4,,,,,,,,,,,,,,,,,,,,,24336,29317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,,39.4,S,,146.92,146.32,100,,San Juan,On-Air,San Juan County OEM,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,39.4,S,,448.65,443.65,127.3,,San Juan,On-Air,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,100,K5WY,Farmington,NM,OPEN,,42.2,SSW,,449,444,100,,San Juan,,K5WY,NMFCC,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.325,5,CC1,N5UBJ,Farmington,NM,OPEN,,42.2,SSW,,442.325,447.325,,,San Juan,On-Air,,NMFCC,,,http://www.aztrbonet.com/MinimalNetwatch,,,,1,,,,AZ-TRBONET,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KB5ITS,Farmington,NM,OPEN,,42.2,SSW,,147,147.6,100,,San Juan,On-Air,,NMFCC,,,,,,,,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,K5WXI,Farmington,NM,OPEN,,42.2,SSW,,146.85,146.25,100,100,San Juan,On-Air,Totah ARC,NMFCC,,,,,,,,,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,,42.2,SSW,,146.76,146.16,100,100,San Juan,On-Air,,NMFCC,,,http://www.sjcham.com,Full-time to the  San Juan Connection System .,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.15,5,,KF5VBF,Farmington,NM,OPEN,,42.2,SSW,,444.15,449.15,,,San Juan,On-Air,San Juan County,,,,,,,,,,,,DV only,,,,,,,,,,,,,KF5VBF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,,42.2,SSW,,53.01,52.01,131.8,,San Juan,On-Air,KB5ITS,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,,43.3,ESE,,146.61,146.01,123,,Archuleta,On-Air,,CCARC,,,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292.3,-20,,KF5VBD,"Bloomfield, Harris Mesa",NM,CLOSED,,43.5,S,,1292.3,1272.3,,,San Juan,On-Air,San Juan County,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,KF5VBD (A) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.7,-20,,KF5VBF,"Farmington, Farmington Bluffs",NM,CLOSED,,43.6,SSW,,1291.7,1271.7,,,San Juan,On-Air,San Juan County,NMFCC,,,,,,,,,,,DV only,,,,,,,,,,,,,KF5VBF (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,KB5ITS,"Bloomfield, Harris mesa",NM,OPEN,,46.1,S,,147.1,147.7,100,,San Juan,On-Air,San Juan connection,NMFCC,,,http://www.sjcham.com,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,67,NM5ML,"Bloomfield, Harris Mesa",NM,OPEN,,46.4,S,,147.28,147.88,67,,San Juan,On-Air,,NMFCC,,Wide area.,,Full-time to the  Mega-Link System .,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,49.7,N,,449.7,444.7,107.2,107.2,San Miguel,On-Air,Grand Mesa Repeater Association ( GMRA ),CCARC,,Wide Area via links - Western Colorado - Eastern Utah,,Full-time to the  GMRA Open System .,RACES: Wed at 19:30.,,,,,Closed IRLP out - Ask for a control Op,E-power.,,,,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,52.9,NNE,,147.27,147.87,127.3,,Ouray,On-Air,,CCARC,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,,54,SE,,145.43,144.83,136.5,,Rio Arriba,On-Air,SJC EMCOMM,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,57.7,NE,,449.525,444.525,100,100,Mineral,On-Air,N0PKT,,,,,Full-time to the  The Fun Machine System .,,,,,The Fun Machine,,,,,,,,,,,,,,,,,,43265,,,DM67lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,60.6,NNE,,147.135,146.535,123,,Hinsdale,On-Air,,CCARC,,,http://www.sjcham.com,,,,,,,,E-power (solar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,65.6,NE,,146.925,146.325,,,Mineral,Off-Air,Creede ARC,CCARC,,,,,,,,,,WA0JS license expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,NM5SJ,Lybrook,NM,OPEN,,74.1,SSE,,145.49,144.89,100,,Rio Arriba,On-Air,Totah ARC,NMFCC,,,,,,,,,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,162.2,W5SF,"Chama, Overlook Mtn",NM,OPEN,,76,SE,,147.08,147.68,162.2,,Rio Arriba,On-Air,SFARC,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,77.7,N,,447.2,442.2,107.2,107.2,Montrose,On-Air,,CCARC,,Delta/Montrose,GMRA Repeaters,Full-time to the  GMRA Open System .,RACES Net Wed at 1930 Hrs.,,,,Grand Mesa Repeater Assoc,Closed IRLP out - Ask for a control op,9,,,,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,77.7,N,,448.65,443.65,,151.4,Montrose,On-Air,KB0YNA,,,Wide area.,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,83.1,N,,146.91,146.31,107.2,107.2,Montrose,On-Air,,CCARC,,,,,,,,,,,E-Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,83.1,N,,146.79,146.19,107.2,107.2,Montrose,On-Air,KC0UXX,CCARC,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,100,NM5SJ,"Lukachukai, Roof Butte",AZ,OPEN,,87.6,SW,,146.82,146.22,100,,Apache,On-Air,Totah ARC,ARCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,100,KB5ITS,"Lukachukai, Roof Butte",AZ,OPEN,,87.6,SW,,145.25,144.65,100,,Apache,On-Air,San Juan Connection,ARCA,,,,Full-time to the  San Juan Connection System .,,,,,,,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,K7QEQ,"Monticello, Abajo Peak",UT,OPEN,,95,WNW,,447.1,442.1,107.2,107.2,San Juan,On-Air,Grand Mesa Repeater Association (GMRA),UVHFS,,Wide area.,http://gmra.org,Full-time to the  GMRA Open System .,,,,,,11,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,,K7QEQ,"Monticello, Abajo Peak",UT,CLOSED,,95,WNW,,447.4,442.4,,,San Juan,,,UVHFS,,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",,,,,,,Cactus-Intertie,,11,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.94,-1.6,,K7QEQ,"Monticello, Abajo Pk",UT,CLOSED,,95,WNW,,223.94,222.34,,,San Juan,,Grand Mesa Rptr Assoc,UVHFS,,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",,,,,,,,,11,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,88.5,K7SDC,"Monticello, Abajo Peak",UT,OPEN,EI,95,WNW,,146.61,146.01,88.5,,San Juan,On-Air,Sinbad Desert ARC,UVHFS,,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",http://www.sdarc.us/repeaters/abajo.html,,,,,,,11.36,Remote base.,,,,,,,,,,,,,,,64264,,,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,99.2,NNW,,449.4,444.4,131.8,131.8,Mesa,On-Air,"WA4HND,  Grand Mesa Repeater Association",CCARC,,Wide area via links - Western Colorado - Eastern Utah,http://www.gmra.org,Full-time to the  GMRA Open System .,RACES Wed 1930 Hrs,,,,,Closed IRLP out - Ask for a control op,E-power.,,,,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Cuba, Eureka Mesa",NM,OPEN,,100.5,SSE,,145.175,144.575,141.3,,Sandoval,Off-Air,NMEMA ARC,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,102.1,E,,447.1,442.1,77,,Saguache,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,102.1,NNE,,147.12,147.72,,,Gunnison,On-Air,W0VTL,CCARC,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,102.1,NNE,,449.95,444.95,,,Gunnison,,K5GF,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,102.5,E,,146.64,146.04,77,77,Rio Grande,On-Air,,,,Low level local coverage,,,,,,,,,,,,,,,,,,,,,,,,,28781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,67,NM5ML,"Cuba, Eureka Mesa",NM,OPEN,,104.4,SSE,,147.24,147.84,67,,Sandoval,On-Air,,NMFCC,,Wide area.,,Full-time to the  Mega-Link System .,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras,  San Antonio Mountain",NM,OPEN,,106.5,SE,,146.76,146.16,67,,Rio Arriba,On-Air,Taos ARC,,,"Most of Taos County, eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,100,NM5ML,"Tres Piedras, San Antonio Mountain",NM,OPEN,,106.6,SE,,147.22,147.82,100,,Rio Arriba,On-Air,New Mexico Mega Link Assoc,NMFCC,,Wide area.,,Full-time to the  Mega-Link System .,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,67,NM5ML,"Gallup, Deza Bluffs",NM,OPEN,,106.9,SSW,,147.22,147.82,67,,McKinley,On-Air,New Mexico Mega Link Assoc,NMFCC,,Wide area.,,Full-time to the  Mega-Link System .,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,100,KC5WDV,"Gallup, Deza Bluffs",NM,OPEN,,106.9,SSW,,448.2,443.2,100,,McKinley,On-Air,,NMFCC,,,,,,,,,McKinley County ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,111.2,N,,147.33,147.93,107.2,,Delta,On-Air,North Fork Repeater Assoc.,CCARC,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,112.4,N,,147.195,147.795,107.2,,Delta,,,,,Local.,,,,,,,Colorado District 25 ARES,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,112.4,N,,449.825,444.825,100,,Delta,,W0ALC,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
