Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,DMR Enabled,Color Code,Wide Network,Op Status,Affiliate,Web links,Downlink Tone,Coverage,Links,Notes,Nets,EchoLink,IRLP,Commands,Local Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Feed,AllStar,D-STAR Enabled,Node,Sources,P25 Digital Enabled,NAC,Default Reflector,Grid,Mixed-Mode,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,YSF Digital Enabled,DG-ID,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,Worldwide,English,TAC 310,Mountain Reg USA,WIRES-X,Wyoming,WyLOCAL,Location Photo
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,47.8,NW,yes,449.625,444.625,123,Routt,,"Colorado Connection Repeaters, Inc.",Statewide Linked System,,yes,,,,On-Air,,http://colcon.org,123,Local Steamboat Area,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,47.8,NW,yes,147.165,147.765,88.5,Routt,,Colorado Connection,,,yes,,,,On-Air,,,123,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,50,ESE,yes,146.76,146.16,100,Boulder,,Rocky Mtn VHF Soc,5,CCARC,yes,,,,On-Air,Boulder County ARES,,,Wide area.,,"ARES primary repeater. 
 Voting Receivers:  
 
   
    RX Location    Tone    Pitch    PL  
   
   Gunbarrel  single beep  low  100.0 
   
   Lousville  single beep  low  100.0 
   
   Lyons  double beep  high followed by medium  100.0 
   
   Louisville #2  double beep  high followed by low  100.0",,,,,,,,,,,,,,,,,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,51,SE,yes,446.975,441.975,,Jefferson,,W0DMR,,,yes,yes,0,,On-Air,,http://www.w0dmr.org/,,Denver Metro Area,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,51.5,SE,yes,449.625,444.625,141.3,Jefferson,,Rocky Mountain Ham Radio,E-power,CCARC,yes,,,,On-Air,,,141.3,,,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,51.6,SE,yes,448.975,443.975,123,Jefferson,,FRG,Linkable VHF/UHF Remote Base,CCARC,yes,,,,On-Air,,,,Wide area.,,,,,,,,,,,,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,51.6,SE,yes,927.7875,902.7875,156.7,Jefferson,,N0PYY,,,yes,,,,On-Air,,,,Golden and Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,51.6,SE,yes,145.175,144.575,D073,Clear Creek,,Rocky Mountain Ham Radio,,CCARC,yes,yes,1,,Off-Air,,Rocky Mountain Ham Radio,D073,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,51.6,SE,yes,145.34,144.74,103.5,Jefferson,,Rocky Mtn Radio League,E-power.,CCARC,yes,,,,On-Air,,Repeater,127.3,Wide area.,,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,51.6,SE,yes,448.125,443.125,107.2,Jefferson,,Denver PD EEB,,CCARC,yes,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,51.8,SE,yes,145.25,144.65,,Jefferson,,Colorado D-Star,,CCARC,yes,,,,On-Air,,Colorado D-Star,,,,,,,,,,,,,,,,,,yes,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,51.8,SE,yes,145.37,144.77,,Jefferson,,Rocky Mountain Ham Radio,,CCARC,yes,yes,7,,On-Air,,Rocky Mountain Ham Radio,,,,See the website for programming information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,51.8,SE,yes,1283.9625,1263.9625,,Jefferson,,Colorado D-Star,,CCARC,yes,,,,On-Air,,Colorado D-Star,,,,,,,,,,,,,,,,,,yes,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,51.8,SE,yes,1299.9,1299.9,,Jefferson,,Colorado D-Star,,,yes,,,,On-Air,,Colorado D-Star,,,,,,,,,,,,,,,,,,yes,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,51.8,SE,yes,446.9625,441.9625,,Jefferson,,Colorado D-Star,,CCARC,yes,,,,On-Air,,Colorado D-Star,,,,,,,,,,,,,,,,,,yes,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,51.9,SE,yes,446.8375,441.8375,,Jefferson,,WA2YZT,200,CCARC,yes,yes,7,,On-Air,,,,,Full-time to the  Colorado TRBO System .,See website for more info on CC/TS/TG programming.  www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,53.3,ESE,yes,147.27,147.87,100,Boulder,,Longmont ARC (LARC),"Closed autopatch, e-power, EchoLink.",CCARC,yes,,,,On-Air,,http://w0eno.org/?q=node/11,100,Wide area: Northern Colorado.,"Linkable to  
        448.80000 (W0ENO) at Longmont, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,53.3,ESE,yes,448.8,443.8,88.5,Boulder,,Longmont ARC,30,CCARC,yes,,,,On-Air,,,88.5,,"Linkable to  
        147.27000 (W0ENO) at Longmont, CO .",,LARC: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,53.3,ESE,yes,448.525,443.525,151.4,Boulder,,N0EPA,,CCARC,yes,,,,On-Air,,,,,,,,223853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,54.4,SE,yes,447.875,442.875,107.2,Jefferson,,N6LXX,,CCARC,yes,,,,On-Air,N6LXX,,107.2,"I-70,I-76,I-25,I-225",Full-time to the  N6LXX System .,,,,,,,,,,,,,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,54.4,SE,yes,53.17,51.47,107.2,Jefferson,,N6LXX,,CCARC,yes,,,,On-Air,N6LXX,,CSQ,"I-70,I-76,I-25,I-225",Full-time to the  N6LXX System .,,,,,,,,,,,,,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,54.8,ESE,yes,448.925,443.925,131.8,Boulder,,W0LMA,,CCARC,yes,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,54.8,ESE,yes,449.825,444.825,103.5,Boulder,,Rocky Mountain Radio League,6,CCARC,yes,,,,On-Air,,Repeater,,Along the foothills and into Boulder where the 94 repeater is shadowed.,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,54.9,S,yes,145.445,144.845,88.5,Lake,,Colorado Connection,E-power (solar).,CCARC,yes,,,,On-Air,,,,,Full-time to the  Colorado Connection System .,"At 13,685;, it is one of the highest 2-meter repeaters in North America.","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,55,SE,yes,53.05,51.35,107.2,Jefferson,,Colorado Repeater Association (CRA),10,CCARC,yes,,,,Off-Air,,,107.2,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25,D114,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,55.3,NE,yes,927.875,902.875,D114,Larimer,,WA6IMI,,CCARC,yes,,,,Off-Air,,,,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",Down due to lightning strike. Scheduled to return end of June 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,94.8,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,55.3,NE,yes,449.425,444.425,94.8,Larimer,,,,,yes,,,,On-Air,,,,,"Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,55.4,SE,yes,147.12,147.72,88.5,Jefferson,,Aurora Repeater Association,E-power.,CCARC,yes,,,,On-Air,,http://www.n0ara.org,88.5,Denver metro and east.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,55.4,SE,yes,53.09,51.39,107.2,Jefferson,,Denver Radio Club,E-power.,CCARC,yes,,,,On-Air,,DRC Repeaters,,Metro Denver area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,55.4,NE,yes,447.7,442.7,100,Larimer,,Northern Colorado Amateur Radio Club,,,yes,,,,On-Air,,http://ncarc.net/,100,Wide Area Coverage,"Linkable to  
        146.62500 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .
 


Linkable to  
        146.85000 (W0UPS) at Greeley, UNC, CO .
 


Full-time to  
        224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.84,-1.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,55.5,NE,yes,224.84,223.24,100,Larimer,,Northern Colorado ARC,"E-power, 25 watts.",,yes,,,,On-Air,,,100,"Wide Area: Northern CO Front Range and into Cheyenne - Laramie, WY","Full-time to  
        447.70000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.625,-0.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,55.5,NE,yes,146.625,146.025,100,Larimer,,Northern Colorado ARC,E-power.,CCARC,yes,,,,On-Air,,,100,Wide area: Northern front range.,"Linkable to  
        146.85000 (W0UPS) at Greeley, UNC, CO .
 


Linkable to  
        224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,56,S,yes,445.05,440.05,,Lake,,K2AD,,CCARC,yes,yes,7,,On-Air,Rocky Mountain Ham Radio,http://www.rmham.org/,,,,,,,,,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,56.3,E,yes,147.195,147.795,100,Larimer,,Loveland Repeater Assoc,"Closed autopatch, e-power.",CCARC,yes,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,56.5,SE,yes,147.21,147.81,100,Jefferson,,Denver Water Amateur Radio Club,,,yes,,,,On-Air,,http://www.dwarc.com,100,,,,,,3241,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,56.5,SE,yes,448.35,443.35,,Jefferson,,Denver Water Amateur Radio Club (DWARC),,CCARC,yes,,,,On-Air,,http://www.DWARC.com,,Denver Metro and surrounding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,57,SE,yes,224.98,223.38,107.2,Jefferson,,Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,yes,,,,Off-Air,,,107.2,Wide area. Denver.,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,57,SE,yes,146.895,146.295,100,Park,,AB0RR,25,CCARC,yes,,,,On-Air,,Park County Radio Club (PCRC),100,285,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",,Wed at 19:30.,,,,,,,,,,,,45835,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,57,SE,yes,1287.9,1267.9,CSQ,Jefferson,,Colorado Repeater Association (CRA),,CCARC,yes,,,,Off-Air,,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,57,SE,yes,447.15,442.15,107.2,Jefferson,,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,yes,,,,Off-Air,,,107.2,Wide area: Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,57.2,SE,yes,447.825,442.825,D073,Jefferson,,Denver Radio Club,,CCARC,yes,,,,On-Air,,,D073,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,57.6,SE,yes,224.38,222.78,100,Jefferson,,Denver Radio Club,,CCARC,yes,,,,On-Air,,DRC Repeaters,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,57.6,SE,yes,147.33,147.93,100,Jefferson,,Denver Radio Club,E-power.,CCARC,yes,,,,On-Air,,DRC Repeaters,,Metro Denver and the foothills.,,Not recommeded to use tone squelch on this repeater.,SATERN: Thu at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.825,-25,100,AB0SF,"Fort Collins, Horsetooth Mountain",CO,OPEN,,57.6,NE,yes,927.825,902.825,100,Larimer,,AB0SF,,CCARC,yes,,,,On-Air,,,100,"Decent coverage throughout northern Fort Collins, out east to beyond Windsor.",,Converted 800 MHz beam antenna pointed directly down Horsetooth Road in Fort Collins.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.52,-1.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,57.6,NE,yes,224.52,222.92,100,Larimer,,Northern Colorado ARC,E-power.,CCARC,yes,,,,Off-Air,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.95,-25,100,K1TJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,57.6,NE,yes,927.95,902.95,100,Larimer,,K1TJ Repeater System,25,CCARC,yes,,,,On-Air,,,100,Northern Front Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,57.6,NE,yes,447.275,442.275,100,Larimer,,Northern Colorado ARC,"Closed autopatch, e-power.",CCARC,yes,,,,On-Air,,,100,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,57.6,SE,yes,449.775,444.775,100,Jefferson,,Denver Radio Club,,CCARC,yes,,,,On-Air,,Denver Radio Club,100,Metro Denver,,,,,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,57.6,NE,yes,145.115,144.515,100,Larimer,,Northern Colorado ARC,7,CCARC,yes,,,,On-Air,,,100,Wide area.,,,,4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,57.7,S,yes,147.24,147.84,156.7,Lake,,,,CCARC,yes,,,,Off-Air,,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,57.8,SE,yes,448.75,443.75,100,Jefferson,,,E-power.,CCARC,yes,,,,On-Air,N0ELY,,100,Local.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC7,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,58.4,NE,yes,446.75,441.75,,Larimer,,Rocky Mountain Ham Radio,,CCARC,yes,yes,7,,On-Air,,http://www.rmham.org,,,Full-time to the  Colorado TRBO System .,See website for complete info on color codes/time slot assignment.,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC2,KB0VGD,"Fort Collins , Horsetooth Mountain",CO,OPEN,,58.4,NE,yes,145.265,144.665,,Larimer,,W0DMR - NoCo C-bridge Network,,CCARC,yes,yes,2,,On-Air,Brandmeister Network,http://www.w0dmr.org/,,Northern Colorado Front Range Wide Area coverage.,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,,,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,BrandMeister US,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",2,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,,,,,,,,
224.32,-1.6,100,KN6VV,Loveland,CO,OPEN,,58.7,E,yes,224.32,222.72,100,Larimer,,KN6VV,"Closed autopatch, e-power.",CCARC,yes,,,,Off-Air,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,58.7,E,yes,449.575,444.575,100,Larimer,,Loveland Rptr Assoc,"Closed autopatch, e-power.",CCARC,yes,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,58.8,SE,yes,449.3,444.3,100,Adams,,N1UPS,,CCARC,yes,,,,On-Air,,,,,,,,43699,3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.55,-20,100,K1TJ,Fort Collins,CO,OPEN,,58.9,E,yes,1283.55,1263.55,100,Larimer,,K1TJ Repeater System,,CCARC,yes,,,,On-Air,,http://www.k1tj.com/,,Northern Colorado Front Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC2,N0AOL,Fort Collins,CO,OPEN,,58.9,E,yes,446.7375,441.7375,,Larimer,,N0AOL - NoCo C-Bridge Network,DMR-MARC World Wide Network,CCARC,yes,yes,2,,On-Air,,http://nocodmr.kt0l.net:8080/nocodmr/documentation.htm,,Wide area: North Front Range.,,Repeater ID: 310803,"DMR World Wide Net: Sat at 10:00. 
TS 1 Group Call 1 http://www.dmr-marc.net/ 
Tac 310 Net: Sun at 18:00, TS 1 Group Call 310 .",,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      English  1  13      TAC 310  1  310      Local/Cluster  2  2      N. Colorado  2  3171    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,,,,,,,,,,1,,2,2,1,1,1,,,,,
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,58.9,E,yes,447.45,442.45,123,Larimer,,,,CCARC,yes,,,,On-Air,,,,,,,,447450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,KC0UFO,"Fairplay, Sacramento Mountain",CO,OPEN,,59.6,S,yes,447.125,442.125,103.5,Park,,KC0UFO,Emergency automatic generator.,CCARC,yes,,,,On-Air,"Park County Radio Club, AB0PC",,103.5,"Covers Fairplay, Alma, and western South Park.",,"Normally linked via Allstar to 45835 - AB0PC, Bailey, CO.","When connected to AB0PC - Bailey: ARES Mon 19:00, Park County Radio Club Wed 19:30.",,,,,,,,,,,,,,,,,,,DM69wf,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,60.5,SE,yes,147.045,147.645,123,Adams,,Northglenn RA,E-power.,CCARC,yes,,,,On-Air,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,61.4,E,yes,447.725,442.725,131.8,Larimer,,W7RF,,CCARC,yes,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,63.1,SE,yes,447.175,442.175,100,Denver,,W0JRL,,CCARC,yes,,,,On-Air,,,100,,,,,201712,,Standard AllStar Link access commands.,,,,,,,,,29997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,63.6,SE,yes,448.55,443.55,82.5,Denver,,HPRA,E-power.,CCARC,yes,,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,63.6,E,yes,446.8125,441.8125,,Larimer,,W0QEY CSU,D-Star Gateway,CCARC,yes,,,,On-Air,,,,Fort Collins Local Area,,Free Star,,,,,,,,,,,,,,yes,W0QEY (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,63.6,SE,yes,447.5,442.5,88.5,Jefferson,,Aurora Repeater Association,E-power.,CCARC,yes,,,,On-Air,,,88.5,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,63.6,SE,yes,447.9,442.9,CSQ,Denver,,WB0TPT,,CCARC,yes,,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,63.6,SE,yes,146.715,146.115,123,Denver,,EARS,E-power.,CCARC,yes,,,,On-Air,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
