Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,YSF Digital Enabled,DG-ID,WIRES-X,County,Grid,Op Status,Coverage,Sponsor,Features,Mixed-Mode,Last update,EchoLink,IRLP,AllStar,Nets,Web links,Coordination,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Denver Regional,Affiliate,Notes,Downlink Tone,Commands,Links,P25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,On-air,Northern Colorado,Worldwide,North America,Local/Cluster,Feed,Southern Colorado,Talkgroup Network,Location Photo,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Worldwide English,English,Wyoming,WyLOCAL
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,85.6,WSW,,446.95,441.95,,,,,Teller,,On-Air,Monument Hill through Pueblo.,Rocky Mountain Ham Radio,,,,,,,,,,,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,RMHAM,,,,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
927.725,-25,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,85.6,WSW,,927.725,902.725,D114,,,,Teller,,On-Air,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.",WA6IFI,12,,,,,,,Yahoo Group,CCARC,,,,,,,,,D114,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,85.6,WSW,,147.18,147.78,100,,,,El Paso,,On-Air,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",AA0SP,E-power (solar).,,,,,,,,CCARC,,,,,,,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,85.7,W,,146.82,146.22,107.2,,,,Teller,,On-Air,,Mountain ARC,E-power.,,,,,,MARC/PCRC: Tue at 19:30.,,CCARC,,,,,,,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,85.7,W,,447.675,442.675,179.9,,,,Teller,,On-Air,,Mountain Amateur Radio Club (MARC),E-power.,,,,,,,,CCARC,,,,,,,,,179.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,85.7,W,,448.65,443.65,107.2,,,,Teller,,On-Air,,Mountain ARC (MARC),E-power.,,,,,,MARC/PCRC: Tue at 19:30.,,CCARC,,,,,,,MARC,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,85.7,W,,449.025,444.025,141.3,,,,Teller,,,,Mountain Amateur Radio Club (MARC),Linked.,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,85.7,W,,449.325,444.325,103.5,,,,Teller,,On-Air,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",KA4EPS,E-power. Allstar Node 27976,,,,,27976,"Sunday 1500 MST
Tuesday 1730 MST",,CCARC,,,,,,,Amateur Radio Motorcycle Club,Node # 27976,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,85.7,W,,927.9,902.9,D205,,,,Teller,,On-Air,,MARC,,,,,,,,,CCARC,,,,,,,,,D205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,85.7,W,,145.415,144.815,179.9,,,,Teller,,,,MARC,"Closed autopatch, e-power.",,,,,,,,CCARC,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,KC0HH,Lamar,CO,OPEN,EI,85.7,SSE,,146.61,146.01,123,,,,Prowers,,On-Air,Hwy 287 - Springfield to Eads Hwy 50 - Holly to Rocky Ford. 45 mi radius.,Lamar Amateur Radio Club,,,,37784,3774,,,,CCARC,,,,,,,,,123,,"Full-time to  
        449.50000 (KC0HH) at Lamar, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,123,KC0HH,Lamar,CO,OPEN,EI,85.8,SSE,,449.5,444.5,123,,,,Prowers,,On-Air,45,Lamar ARC,,,,37784,3774,,,,CCARC,,,,,,,,,,,"Full-time to  
        146.61000 (KC0HH) at Lamar, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,86.5,SW,,145.115,144.515,88.5,,,,Pueblo,,Off-Air,,Pueblo Ham Club,E-power.,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,86.5,SW,,146.88,146.28,88.5,,,,Pueblo,,On-Air,Wide area.,Pueblo HC,E-power.,,,,,,,,CCARC,,,,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,86.5,SW,,146.655,146.055,123,,,,Pueblo,,On-Air,,K0ST,,,,,,,,,CCARC,,,,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,86.5,SW,,447.7,442.7,210.7,,,,Pueblo,,Off-Air,,,,Yes; analog capable.,,,7389,29228,,,CCARC,,0,,,,,,,210.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,86.5,SW,,449.725,444.725,100,,,,El Paso,,On-Air,,N0PWZ,,,,,3043,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,86.9,WSW,,448.45,443.45,100,,,,El Paso,,On-Air,Wide area.,Pikes Pk FM Assoc,E-power.,,,,,,,PPFMA Repeaters,CCARC,,,,,,,,,,,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,86.9,WSW,,146.97,146.37,100,,,,El Paso,,On-Air,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",Pikes Peak FM Assoc,"Closed autopatch, e-power.",,,,,,"Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",PPFMA Repeaters,CCARC,,,,,,,,,123,,"Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,KD0RG,Hudson,CO,OPEN,E,87.3,NW,,449.925,444.925,114.8,,,,Weld,DN70,On-Air,,KD0RG,,,,448035,,,,,CCARC,,,,,,,K0UPS Club,,114.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,87.8,SW,,147.24,147.84,103.5,,,,Pueblo,,Off-Air,Pueblo and Fremont Counties,TARA,,,,,,,,,CCARC,,,,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,87.8,SW,,447.275,442.275,100,,,,Pueblo,,On-Air,,,,,,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",The Fun Machine,CCARC,,,,,,,The Fun Machine,"Moved to Pueblo.  Now called ""Pueblo Metro""",100,,Full-time to the  The Fun Machine System .,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,87.8,SW,,446.9875,441.9875,,,,,Pueblo,,Off-Air,,,,,,,,,,Rocky Mountain Ham Radio,CCARC,,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,RMHAM,,,,Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,88.5,W,,446.925,441.925,,,,,Douglas,,On-Air,,,,,,,,,,Rocky Mountain Ham Radio,CCARC,,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,2,,See the website for programming info.,,,Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,88.5,W,,447.525,442.525,146.2,,,,Douglas,,On-Air,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",EmComm Colorado,,,,,,,,,CCARC,,,,,,,Colorado ARES,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,89.2,SW,,448.975,443.975,100,,,,Pueblo,,On-Air,,,,,,363976,7301,28368,,http://www.k0jsc.com,CCARC,,,,,,,,Off air.  Will return to service,100,,Full-time to the  The Fun Machine System .,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,89.6,NW,,447.625,442.625,100,,,,Adams,,On-Air,Local/North Metro,Intermountain Repeater Group,,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,90.8,W,,446.875,441.875,,,,,Douglas,,On-Air,,W0VG,,,,,,,,http://www.rmham.org,CCARC,,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,RMHAM,,,,Full-time to the  Colorado TRBO System .,,,,,,,,2,,,,,2,RMHAM,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,90.9,WNW,,449.65,444.65,,,,,Denver,,On-Air,,Colorado Amateur Repeater Network (CARN),,,,,,,,,CCARC,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,90.9,WNW,,146.715,146.115,123,,,,Denver,,On-Air,,EARS,E-power.,,,,,,,,CCARC,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,90.9,WNW,,448.075,443.075,123,,,,Denver,,On-Air,,W0IG,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,90.9,WNW,,447.925,442.925,100,,,,Denver,,On-Air,,RADOPS El Jebel Shriners,,,,,,,,,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,90.9,WNW,,447.9,442.9,CSQ,,,,Denver,,Off-Air,,WB0TPT,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,90.9,WNW,,449.675,444.675,,,,,Denver,,On-Air,,Colorado Amateur Repeater Network (CARN),,,,,7708,,,,CCARC,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,90.9,WNW,,145.475,144.875,100,,,,Jefferson,,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,E-power.,,,,,,,Intermountain Repeater Group,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,90.9,WNW,,448.55,443.55,82.5,,,,Denver,,Off-Air,,HPRA,E-power.,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,91.5,WNW,,447.175,442.175,100,,,,Denver,,On-Air,,W0JRL,,,,201712,,29997,,,CCARC,,,,,,,,,100,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,92.2,WNW,,146.88,146.28,100,,,,Jefferson,,On-Air,Wide Area,Denver Radio League,E-power.,,,,,,,DRL Repeaters,CCARC,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,92.2,WNW,,449.6,444.6,100,,,,Jefferson,,On-Air,,Denver Radio League,,,,690473,3345,,,DRL Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,93.4,NW,,447.3,442.3,107.2,,,,Weld,,On-Air,,,,,,405804,3887,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,94,SW,,449.975,444.975,100,,,,Pueblo,DM78SA18,On-Air,"I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",K0JSC,2,,,363976,7301,28368,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.",K0JSC dot Com,CCARC,,,,,,,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,100,,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,95.2,WNW,,447.5,442.5,88.5,,,,Jefferson,,On-Air,Wide area.,Aurora Repeater Association,E-power.,,,,,,,,CCARC,,,,,,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,95.7,WSW,,447.4,442.4,67,,,,Teller,,On-Air,,WB0WDF,"E-power, Solar, Remote Base",,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,95.7,WSW,,145.46,144.86,67,,,,Teller,,On-Air,,WB0WDF,"E-power, 100% Solar",,,,,,,,CCARC,,,,,,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,95.7,WSW,,1287.7,1267.7,67,,,,Teller,,Testing,,WB0WDF,,,,,,,,,CCARC,,,,,,,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,95.7,WSW,,147.015,147.615,107.2,,,,Teller,,On-Air,,Mountain ARC,E-power.,,,,,,MARC/PCRC: Tue at 19:30.,,CCARC,,,,,,,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,95.7,WSW,,224.94,223.34,67,,,,Teller,,Testing,,,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,96,WNW,,147.045,147.645,123,,,,Adams,,On-Air,,Northglenn RA,E-power.,,,,,,,,CCARC,,,,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,96.6,WNW,,449.3,444.3,100,,,,Adams,,On-Air,,N1UPS,,,,43699,3699,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,96.6,WNW,,448.75,443.75,100,,,,Jefferson,,On-Air,Local.,,E-power.,,,,,,,,CCARC,,,,,,,N0ELY,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,97,WNW,,147.33,147.93,100,,,,Jefferson,,On-Air,Metro Denver and the foothills.,Denver Radio Club,E-power.,,,,,,SATERN: Thu at 19:30.,DRC Repeaters,CCARC,,,,,,,,Not recommeded to use tone squelch on this repeater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,97,NW,,224.96,223.36,CSQ,,,,Weld,,On-Air,,AC0KC,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,97,WNW,,449.775,444.775,100,,Open ↑ / Open ↓,,Jefferson,,On-Air,Metro Denver,Denver Radio Club,,Yes; analog capable.,,,,,,Denver Radio Club,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,97,WNW,,224.38,222.78,100,,,,Jefferson,,On-Air,,Denver Radio Club,,,,,,,,DRC Repeaters,CCARC,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,97.2,WNW,,447.825,442.825,D073,,,,Jefferson,,On-Air,,Denver Radio Club,,,,,,,,,CCARC,,,,,,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",D073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,97.9,WNW,,448.35,443.35,,,Open ↑ / Open ↓,,Jefferson,,On-Air,Denver Metro and surrounding,Denver Water Amateur Radio Club (DWARC),,,,,,,,http://www.DWARC.com,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,97.9,WNW,,147.21,147.81,100,,,,Jefferson,,On-Air,,Denver Water Amateur Radio Club,,Yes; analog capable.,,,3241,,,http://www.dwarc.com,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,99.2,WNW,,53.09,51.39,107.2,,,,Jefferson,,On-Air,Metro Denver area.,Denver Radio Club,E-power.,,,,,,,DRC Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,100.4,WNW,,447.875,442.875,107.2,,,,Jefferson,,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,,,,,29913,,,CCARC,,,,,,,N6LXX,,107.2,,Full-time to the  N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,100.4,WNW,,53.17,51.47,107.2,,,,Jefferson,,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,,,,,29883,,,CCARC,,,,,,,N6LXX,,CSQ,,Full-time to the  N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,101.6,WNW,,1287.9,1267.9,CSQ,,,,Jefferson,,Off-Air,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,101.6,WNW,,447.15,442.15,107.2,,,,Jefferson,,Off-Air,Wide area: Denver.,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",,,,,,,,CCARC,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,101.6,WNW,,224.98,223.38,107.2,,,,Jefferson,,Off-Air,Wide area. Denver.,Colorado Repeater Association,"Closed autopatch, e-power.",,,347086,3990,,,,CCARC,,,,,,,,,107.2,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,101.8,WNW,,448.925,443.925,131.8,,,,Boulder,,On-Air,,W0LMA,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,101.8,WNW,,449.825,444.825,103.5,,,,Boulder,,On-Air,Along the foothills and into Boulder where the 94 repeater is shadowed.,Rocky Mountain Radio League,6,,,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",Repeater,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,101.8,W,,449.7,444.7,107.2,,,,Park,,,,CMRG,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,
444.6,5,146.2,WA0VJR,Wallace,KS,OPEN,I,101.9,ESE,,444.6,449.6,146.2,,,,Wallace,,On-Air,"US-40 
   Repeater Coverage Map",WA0VJR,,,,,3148,,,,,,,,,,,,Dial 9335 to access K-Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,102.6,WNW,,446.8375,441.8375,,,,,Jefferson,,On-Air,,WA2YZT,200,,,,,,,,CCARC,,7,,,,,,See website for more info on CC/TS/TG programming.  www.rmham.org,,,Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,102.7,WNW,,1299.9,1299.9,,,,,Jefferson,,On-Air,,Colorado D-Star,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,102.7,WNW,,1283.9625,1263.9625,,,,,Jefferson,,On-Air,,Colorado D-Star,,,,,,,,Colorado D-Star,CCARC,,,,,,,,,,,,,,,,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
