Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Op Status,Coverage,EchoLink,IRLP,Notes,Nets,DMR Enabled,Color Code,Wide Network,Affiliate,Web links,Downlink Tone,Links,Talkgroups,Colorado,Northern Colorado,Denver Regional,YSF Digital Enabled,DG-ID,Mixed-Mode,AllStar,Commands,WIRES-X,Grid,D-STAR Enabled,Node,Sources,Talkgroup Network,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,TAC 310,Mountain Reg USA,P25 Digital Enabled,NAC,Default Reflector,Feed,Worldwide,English,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,Wyoming,WyLOCAL,Southern Colorado,Bandwidth,Local or Reflector,CKRG,KansasLink,Kansas,Location Photo,BYRG
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,145.5,WSW,,145.4,144.6,100,Arapahoe,,Castle Rock Repeater Group,"Autopatch, e-power.",CCARC,,On-Air,Greater Denver area.,,,,,,,,,,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,145.6,WSW,,145.19,144.59,151.4,Arapahoe,,N0OBA,Autopatch (please contact trustee).,,,On-Air,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",10079,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott","""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,,,,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,145.6,W,,147.36,147.96,100,Larimer,,CO State Univ ARC,Closed autopatch.,CCARC,,On-Air,Map,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,145.9,W,,447.725,442.725,131.8,Larimer,,W7RF,,CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,146,WSW,,448.5,443.5,100,Denver,,Castle Rock Repeater Group,E-power.,CCARC,,On-Air,Greater Denver area.,,,,,,,,,,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,146,W,,449.85,444.85,100,Larimer,,CO State Univ ARC,Closed autopatch.,CCARC,,On-Air,Map,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,146,WSW,,449.15,444.15,,Arapahoe,,Colorado Amateur Repeater Network (CARN),,CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,146.1,WSW,,448.825,443.825,,Arapahoe,,,,,,On-Air,,,,,,,,,,,,,,,,,,Open ↑ / Open ↓,,,,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,146.1,WSW,,448.275,443.275,156.7,Arapahoe,,W0BG,,CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,146.1,WSW,,448.4,443.4,94.8,Arapahoe,,,,CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,100,KN6VV,Loveland,CO,OPEN,,146.2,W,,224.32,222.72,100,Larimer,,KN6VV,"Closed autopatch, e-power.",CCARC,,Off-Air,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,146.2,W,,449.575,444.575,100,Larimer,,Loveland Rptr Assoc,"Closed autopatch, e-power.",CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,146.4,W,,446.8125,441.8125,,Larimer,,W0QEY CSU,D-Star Gateway,CCARC,,On-Air,Fort Collins Local Area,,,Free Star,,,,,,,,,,,,,,,,,,,,,W0QEY (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,123,K0PCA,Loomis,NE,OPEN,,147,ESE,,146.895,146.295,123,Phelps,,Region 15 ARES/RACES,E-power.,WB0CMC,,On-Air,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,148.9,W,,147.195,147.795,100,Larimer,,Loveland Repeater Assoc,"Closed autopatch, e-power.",CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.175,5,156.7,K0WPM,Tribune,KS,OPEN,,149,SSE,,442.175,447.175,156.7,Greeley,,WKARC,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC1,K0PRA,Parker,CO,OPEN,,149.3,WSW,,445.075,440.075,,Douglas,,Parker Radio Association,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,CCARC,,On-Air,,,,Mixed Mode,Mondays 20:30 MST,,1,,,http://www.parkerradio.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC2,N0AOL,Fort Collins,CO,OPEN,,149.4,W,,446.7375,441.7375,,Larimer,,N0AOL - NoCo C-Bridge Network,DMR-MARC World Wide Network,CCARC,,On-Air,Wide area: North Front Range.,,,Repeater ID: 310803,"DMR World Wide Net: Sat at 10:00. 
TS 1 Group Call 1 http://www.dmr-marc.net/ 
Tac 310 Net: Sun at 18:00, TS 1 Group Call 310 .",,2,,,http://nocodmr.kt0l.net:8080/nocodmr/documentation.htm,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      English  1  13      TAC 310  1  310      Local/Cluster  2  2      N. Colorado  2  3171    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,,,1,,2,2,1,,,,,,1,1,,,,,,,,,,,,,,,,
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,149.4,W,,447.45,442.45,123,Larimer,,,,CCARC,,On-Air,,447450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.55,-20,100,K1TJ,Fort Collins,CO,OPEN,,149.4,W,,1283.55,1263.55,100,Larimer,,K1TJ Repeater System,,CCARC,,On-Air,Northern Colorado Front Range,,,,,,,,,http://www.k1tj.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,149.6,WSW,,147.045,147.645,123,Adams,,Northglenn RA,E-power.,CCARC,,On-Air,,,,,,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,149.6,WSW,,448.7,443.7,146.2,Douglas,,,,,,On-Air,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.865,-0.6,,KR0A,Broken Bow,NE,OPEN,,149.8,E,,146.865,146.265,,Custer,,KR0A,,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,,KR0A,Broken Bow,NE,OPEN,,149.8,E,,147.06,147.66,,Custer,,KR0A,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,150.1,W,,448.8,443.8,88.5,Boulder,,Longmont ARC,30,CCARC,,On-Air,,,,,LARC: Sun at 20:00.,,,,,,88.5,"Linkable to  
        147.27000 (W0ENO) at Longmont, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,150.1,W,,448.525,443.525,151.4,Boulder,,N0EPA,,CCARC,,On-Air,,223853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,150.1,WSW,,446.85,441.85,,Douglas,,Parker Radio Association,D-Star B module,CCARC,,On-Air,,,,,,,,,,http://parkerradio.org,,,,,,,,,,,,,,,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,150.1,W,,147.27,147.87,100,Boulder,,Longmont ARC (LARC),"Closed autopatch, e-power, EchoLink.",CCARC,,On-Air,Wide area: Northern Colorado.,,,,,,,,,http://w0eno.org/?q=node/11,100,"Linkable to  
        448.80000 (W0ENO) at Longmont, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC2,KB0VGD,"Fort Collins , Horsetooth Mountain",CO,OPEN,,151,W,,145.265,144.665,,Larimer,,W0DMR - NoCo C-bridge Network,,CCARC,,On-Air,Northern Colorado Front Range Wide Area coverage.,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,,2,,Brandmeister Network,http://www.w0dmr.org/,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",2,,,,,,,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,BrandMeister US,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC7,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,151,W,,446.75,441.75,,Larimer,,Rocky Mountain Ham Radio,,CCARC,,On-Air,,,,See website for complete info on color codes/time slot assignment.,,,7,,,http://www.rmham.org,,Full-time to the  Colorado TRBO System .,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,151.9,W,,447.275,442.275,100,Larimer,,Northern Colorado ARC,"Closed autopatch, e-power.",CCARC,,On-Air,Wide area.,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.825,-25,100,AB0SF,"Fort Collins, Horsetooth Mountain",CO,OPEN,,151.9,W,,927.825,902.825,100,Larimer,,AB0SF,,CCARC,,On-Air,"Decent coverage throughout northern Fort Collins, out east to beyond Windsor.",,,Converted 800 MHz beam antenna pointed directly down Horsetooth Road in Fort Collins.,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.52,-1.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,151.9,W,,224.52,222.92,100,Larimer,,Northern Colorado ARC,E-power.,CCARC,,Off-Air,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,151.9,W,,145.115,144.515,100,Larimer,,Northern Colorado ARC,7,CCARC,,On-Air,Wide area.,4236,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.95,-25,100,K1TJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,152,W,,927.95,902.95,100,Larimer,,K1TJ Repeater System,25,CCARC,,On-Air,Northern Front Range,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,152.9,WSW,,447.175,442.175,100,Denver,,W0JRL,,CCARC,,On-Air,,201712,,,,,,,,,100,,,,,,,,,29997,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,153.2,WSW,,449.65,444.65,,Denver,,Colorado Amateur Repeater Network (CARN),,CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,153.2,WSW,,449.675,444.675,,Denver,,Colorado Amateur Repeater Network (CARN),,CCARC,,On-Air,,,7708,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,153.2,WSW,,448.55,443.55,82.5,Denver,,HPRA,E-power.,CCARC,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,153.2,WSW,,448.075,443.075,123,Denver,,W0IG,,CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,153.2,WSW,,447.9,442.9,CSQ,Denver,,WB0TPT,,CCARC,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,153.2,WSW,,145.475,144.875,100,Jefferson,,Intermountain Repeater Group,E-power.,CCARC,,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",,,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,153.2,WSW,,447.925,442.925,100,Denver,,RADOPS El Jebel Shriners,,CCARC,,On-Air,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,153.2,WSW,,146.715,146.115,123,Denver,,EARS,E-power.,CCARC,,On-Air,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,153.3,WSW,,449.3,444.3,100,Adams,,N1UPS,,CCARC,,On-Air,,43699,3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,CSQ,N0UVP,Gordon,NE,OPEN,,153.6,N,,146.67,146.07,CSQ,Sheridan,,SHARC,E-power.,,,Off-Air,,,,"Working on the transmitter, hope to be back on the air soon.",,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,153.7,WSW,,447.525,442.525,203.5,Douglas,,EmComm Colorado,,CCARC,,On-Air,"Denver metropolitan area, front range foothills",,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,Colorado ARES,,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,153.8,WSW,,449.825,444.825,103.5,Boulder,,Rocky Mountain Radio League,6,CCARC,,On-Air,Along the foothills and into Boulder where the 94 repeater is shadowed.,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,153.8,WSW,,448.925,443.925,131.8,Boulder,,W0LMA,,CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,123,W0FLO,"Chadron, Nebraska National Forest",NE,OPEN,,153.9,NNW,,147.36,147.96,123,Dawes,,,,WB0CMC,,On-Air,"Chadron, Gordon, Alliance, Crawford, Pine Ridge.",,,,,,,,Pine Ridge Amateur Radio Club,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,154.7,WSW,,146.76,146.16,100,Boulder,,Rocky Mtn VHF Soc,5,CCARC,,On-Air,Wide area.,,,"ARES primary repeater. 
 Voting Receivers:  
 
   
    RX Location    Tone    Pitch    PL  
   
   Gunbarrel  single beep  low  100.0 
   
   Lousville  single beep  low  100.0 
   
   Lyons  double beep  high followed by medium  100.0 
   
   Louisville #2  double beep  high followed by low  100.0",,,,,Boulder County ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,,,,
449.425,-5,94.8,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,156.5,W,,449.425,444.425,94.8,Larimer,,,,,,On-Air,,,,,,,,,,,,"Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25,D114,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,156.5,W,,927.875,902.875,D114,Larimer,,WA6IMI,,CCARC,,Off-Air,,,,Down due to lightning strike. Scheduled to return end of June 2012.,,,,,,,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,157.2,WSW,,449.95,444.95,77,Douglas,,W9SL Owner,,CCARC,,On-Air,Primarily to the North along I-25 corridor,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.3,5,162.2,N0KOM,Logan,KS,OPEN,I,157.4,SE,,442.3,447.3,162.2,Phillips,,,,Kansas Repeater Council,,On-Air,Repeater Coverage Map,,7446,"For K-Link access dial 9335. 
For Wes-Kan dial 933. 
To disconnect dial 73.",,,,,,,162.2,Linkable to the  Western Kansas Intertie System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,KB7SWR,Cheyenne,WY,OPEN,,157.5,WNW,,448.15,443.15,100,Laramie,,KB7SWR,,WRCG,,Off-Air,,,,,,,,,,,,"Full-time to  
        145.23500 (KB7SWR) at Cheyenne, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.205,-0.6,CSQ,KA0RCZ,Alma,NE,OPEN,,158.4,ESE,,145.205,144.605,CSQ,Harlan,,,Linked to 444.625 Axtel.,WB0CMC,,On-Air,,,,,,,,,,http://w0ky.club/,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,158.5,W,,447.7,442.7,100,Larimer,,Northern Colorado Amateur Radio Club,,,,On-Air,Wide Area Coverage,,,,,,,,,http://ncarc.net/,100,"Linkable to  
        146.62500 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .
 


Linkable to  
        146.85000 (W0UPS) at Greeley, UNC, CO .
 


Full-time to  
        224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.625,-0.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,158.7,W,,146.625,146.025,100,Larimer,,Northern Colorado ARC,E-power.,CCARC,,On-Air,Wide area: Northern front range.,,,,,,,,,,100,"Linkable to  
        146.85000 (W0UPS) at Greeley, UNC, CO .
 


Linkable to  
        224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.84,-1.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,158.7,W,,224.84,223.24,100,Larimer,,Northern Colorado ARC,"E-power, 25 watts.",,,On-Air,"Wide Area: Northern CO Front Range and into Cheyenne - Laramie, WY",,,,,,,,,,100,"Full-time to  
        447.70000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,158.8,WSW,,145.3875,144.7875,,Boulder,,Boulder County ARES,E-power.,CCARC,,On-Air,20,,,,,,,,,http://bouldercountyares.org/technical/d-star,,,,,,,,,,,,,,,KC0DS (C),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.8625,-20,,KC0DS,Boulder,CO,OPEN,,158.8,WSW,,1283.8625,1263.8625,,Boulder,,Boulder County ARES,E-power.,CCARC,,On-Air,20,,,,,,,,,,,,,,,,,,,,,,,,KC0DS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.62,0,100,W0FLO,Chadron,NE,OPEN,I,158.9,NNW,,145.62,145.62,100,Dawes,,Pine Ridge Amateur Radio Club - Ron Cashon -- 308 432-3322,Voice ID,,,On-Air,"Chadron, Gordon, Alliance, Crawford, Pine Ridge.",,3936,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,91.5,K0DK,Boulder,CO,OPEN,E,159.1,WSW,,146.73,146.13,91.5,Boulder,,BARC,12,CCARC,,Off-Air,Local,115482,,,,,,,,http://www.ked-wireless.com/products1.htm,91.5,,,,,,,,,,,,DN70jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.3,0,CSQ,,Chadron,NE,OPEN,,159.2,NNW,,446.3,446.3,CSQ,Dawes,,,,,,On-Air,,,,Simplex link for the 147.360 in Chadron,,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.7,5,162.2,N0NM,"Hill City, K-Link",KS,OPEN,A,159.4,SE,,443.7,448.7,162.2,Graham,,"N0NM, N0KOM",E-power.,Kansas Repeater Council,,On-Air,Click for coverage map.  45 mi radius.,,,"Use PL 131.8 for WesKan Intertie 
Use PL 162.2 for K-Link",,,,,Western Kansas Inter-Tie K-Link Repeater Network,K-Link Repeater Network,,Linkable to the  K-Link System . Linkable to the  Western Kansas Intertie System .,,,,,,,,46425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,159.7,WSW,,147.21,147.81,100,Jefferson,,Denver Water Amateur Radio Club,,,,On-Air,,,3241,,,,,,,http://www.dwarc.com,100,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,159.7,WSW,,448.35,443.35,,Jefferson,,Denver Water Amateur Radio Club (DWARC),,CCARC,,On-Air,Denver Metro and surrounding,,,,,,,,,http://www.DWARC.com,,,,,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.275,5,100,AA0HJ,Phillipsburg,KS,OPEN,,160.2,SE,,443.275,448.275,100,Phillips,,,,Kansas Repeater Council,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,160.9,WSW,,447.825,442.825,D073,Jefferson,,Denver Radio Club,,CCARC,,On-Air,,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,D073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,160.9,WSW,,448.75,443.75,100,Jefferson,,,E-power.,CCARC,,On-Air,Local.,,,,,,,,N0ELY,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,161.2,WSW,,449.4,444.4,91.5,Boulder,,BARC,2,CCARC,,Off-Air,,,,,,,,,,http://www.ked-wireless.com/products1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,161.2,WSW,,449.55,444.55,100,Boulder,,Rocky Mtn VHF Soc,8,CCARC,,On-Air,Denver metro area.,217336,,,,,,,,,,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
