Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Features,Coordination,Last update,On-air,Downlink Tone,Coverage,Links,Web links,Affiliate,IRLP,Notes,Nets,Grid,EchoLink,AllStar,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Talkgroup Network,Denver Regional,Northern Colorado,Commands,Location Photo,Feed,YSF Digital Enabled,DG-ID,Mixed-Mode,Worldwide,North America,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,English,Europe,TAC 310,DCI Bridge,Southwest USA,Local Network,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,N. Colorado,Worldwide English,Mountain Reg USA,Wyoming,WyLOCAL
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,65.2,NW,yes,145.355,144.755,88.5,Mesa,On-Air,Colorado Connection,E-power.,CCARC,yes,,123,"Rifle to the east, several miles east of Green River, Utah to the west.",Full-time to the  Colorado Connection System .,,,,Colorado Connection system of repeaters,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,65.3,NW,yes,449.65,444.65,151.4,Mesa,On-Air,Keri Washburn,NWS weather alert system.,CCARC,yes,,151.4,Wide area coverage,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,8162,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,65.6,NNW,yes,146.85,146.25,88.5,Garfield,On-Air,Colorado Connection,70,CCARC,yes,,123,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",,,,,Part of the Colorado Connection System of Repeaters,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,65.6,NNW,yes,146.88,146.28,107.2,Garfield,On-Air,Ski Country ARC,,CCARC,yes,,,,"Full-time to  
        447.60000 (KI0G) at Glenwood Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,65.6,NNW,yes,449.6,444.6,107.2,Garfield,On-Air,,e-power Linked to GMRA open system,CCARC,yes,,,Wide area.,,http://www.gmra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,65.6,NNW,yes,447.1,442.1,107.2,Garfield,On-Air,Ski Country ARC,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,66.5,E,yes,446.7625,441.7625,,Park,On-Air,K7PFJ,,,yes,,,,,,RMHAM,,,,,,,,,,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,68.5,WSW,yes,449.7,444.7,107.2,San Miguel,On-Air,Grand Mesa Repeater Association ( GMRA ),E-power.,CCARC,yes,,107.2,Wide Area via links - Western Colorado - Eastern Utah,Full-time to the  GMRA Open System .,,,3710,Closed IRLP out - Ask for a control Op,RACES: Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,70.4,SE,yes,447.1,442.1,77,Saguache,On-Air,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,70.5,SE,yes,146.64,146.04,77,Rio Grande,On-Air,,,,yes,,77,Low level local coverage,,,,,,,,,28781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,72.6,NNW,yes,147.3,147.9,107.2,Garfield,Off-Air,Roaring Fork Amateur Repeater Cooperative,8,CCARC,yes,,,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",,,,,Single beep courtesy tone when linked and none when unlinked.,,,266359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,72.7,NNW,yes,447.6,442.6,,Garfield,,Ski Country ARC (SCARC),50,CCARC,yes,Unknown,,40,"Full-time to  
        146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",,,,Link Hub for 146.880.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,72.7,NNW,yes,449.85,444.85,131.8,Garfield,On-Air,,e-power  Linked to GMRA Open System,CCARC,yes,,131.8,Glenwood Springs,Full-time to the  GMRA Open System .,http://GMRA.org,Grand Mesa Repeater Assoc,,RACES net Wed 1930 Hrs Local,Colorado State RACES  Wed 1930 local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,72.7,NNW,yes,224.02,222.42,,Garfield,,SCARC,,CCARC,yes,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,73.5,NW,yes,449.5,444.5,107.2,Mesa,Off-Air,Grand Mesa Repeater Association (GMRA),E-power.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,75.6,SW,yes,147.27,147.87,127.3,San Juan,On-Air,KB5ITT,E-power.,CCARC,yes,,,Wide area.,,,Durango ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,78.6,NW,yes,146.76,146.16,107.2,Garfield,Off-Air,"N0SWE,  Roaring Fork Amateur Repeater Cooperative",E-power.,CCARC,yes,,,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",,,,,,,DM69cl,243117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,79.4,NNE,yes,146.61,146.01,107.2,Eagle,On-Air,ECHO,11,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC1,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,79.5,WNW,yes,446.9125,441.9125,,Mesa,On-Air,Bill Frost,,,yes,,,"Grand Junction, I70",,,,,Brandmeister network,,,,,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,79.5,NNE,yes,445.075,440.075,,Eagle,On-Air,K2AD,,CCARC,yes,,,,,http://www.rmham.org/,Rocky Mountain Ham Radio,,,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,79.7,WNW,yes,449.3,444.3,107.2,Mesa,On-Air,,e-power Linked to GMRA Open System,CCARC,yes,,107.2,Wide Area I-70 West Rifle to Western Utah,,http://www.gmra.org/,,3710,Closed IRLP out,RACES Wed 1930 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,80.3,NE,yes,146.7,146.1,107.2,Summit,On-Air,GRARC,E-power.,CCARC,yes,,,,,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,80.5,NE,yes,147.39,147.99,88.5,Summit,On-Air,Colorado Connection,12,CCARC,yes,,123,Wide area.,Full-time to the  Colorado Connection System .,Breckenridge Repeater,,,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,80.7,NNE,yes,147.345,147.945,88.5,Eagle,On-Air,Colorado Connection,9,CCARC,yes,,123,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,Full-time to the  Colorado Connection System .,,,,,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,81,NE,yes,445.0875,440.0875,,Fremont,On-Air,K2AD,,,yes,,,,,http://www.rmham.org/,Rocky Mountain Ham Radio,,,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,81.2,NNE,yes,449.9,444.9,107.2,Eagle,Off-Air,ECHO,,CCARC,yes,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,81.2,NNE,yes,224.8,223.2,,Eagle,Off-Air,ECHO,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,83.6,E,yes,146.685,146.085,107.2,Park,On-Air,Mountain ARC (MARC),"Closed autopatch, e-power.",CCARC,yes,,107.2,,"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,83.7,E,yes,147.36,147.96,107.2,Park,On-Air,,E-power.,CCARC,yes,,107.2,Wide area.,,CMRG Repeaters,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
