Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Features,Coordination,Last update,D-STAR Enabled,Node,Sources,IRLP,Coverage,Web links,EchoLink,AllStar,Commands,Mixed-Mode,YSF Digital Enabled,DG-ID,Affiliate,Notes,WIRES-X,Links,Nets,DMR Enabled,Color Code,Wide Network,Grid,Feed,P25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,On-air,Local Network,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,DCI Bridge,Mountain Reg USA,Worldwide English,Location Photo,Wyoming,WyLOCAL
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,23.9,W,yes,447.85,442.85,141.3,141.3,Clear Creek,On-Air,AC0KQ,AllStar node repeater providing wide area coverage along the Front Range,CCARC,yes,,,,,Wide area at 9500',,,29571,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,24.1,NW,yes,449.55,444.55,100,,Boulder,On-Air,Rocky Mtn VHF Soc,8,CCARC,yes,,,,,Denver metro area.,,217336,,,,,,,,,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,24.1,NW,yes,449.4,444.4,91.5,,Boulder,Off-Air,BARC,2,CCARC,yes,,,,,,http://www.ked-wireless.com/products1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,24.2,NW,yes,1299.5,1279.5,,,Boulder,On-Air,Boulder County ARES,E-power.,CCARC,yes,yes,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,24.2,NW,yes,446.8,441.8,,,Boulder,On-Air,Rocky Mountain Ham Radio,,CCARC,yes,,,,,Wide area.,Rocky Mountain Ham Radio,,,,,,,Rocky Mountain Ham Radio,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,Full-time to the  Colorado TRBO System .,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,24.2,NW,yes,446.8625,441.8625,,,Boulder,On-Air,Boulder County ARES,,CCARC,yes,yes,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.8625,-20,,KC0DS,Boulder,CO,OPEN,,24.2,NNW,yes,1283.8625,1263.8625,,,Boulder,On-Air,Boulder County ARES,E-power.,CCARC,yes,yes,KC0DS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,24.2,NNW,yes,145.3875,144.7875,,,Boulder,On-Air,Boulder County ARES,E-power.,CCARC,yes,yes,KC0DS (C),"jfindu lookup 
    /   dstar-users lookup",,20,http://bouldercountyares.org/technical/d-star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,24.8,SW,yes,147.12,147.72,88.5,88.5,Jefferson,On-Air,Aurora Repeater Association,E-power.,CCARC,yes,,,,,Denver metro and east.,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,24.9,SW,yes,53.05,51.35,107.2,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),10,CCARC,yes,,,,,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC1,K0PRA,Parker,CO,OPEN,,25.2,SE,yes,445.075,440.075,,,Douglas,On-Air,Parker Radio Association,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,CCARC,yes,,,,,,http://www.parkerradio.org,,,,,,,,Mixed Mode,,,Mondays 20:30 MST,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,25.3,WNW,yes,145.31,144.71,88.5,123,Gilpin,On-Air,Colorado Connection,10,CCARC,yes,,,,,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",,,,,,,,,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,Full-time to the  Colorado Connection System .,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,25.3,WNW,yes,449.225,444.225,141.3,141.3,Gilpin,On-Air,Rocky Mountain Ham Radio (RMHR),Emergency Power,CCARC,yes,,,,,Wide area.,,,,,,,,,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,91.5,K0DK,Boulder,CO,OPEN,E,25.7,NNW,yes,146.73,146.13,91.5,91.5,Boulder,Off-Air,BARC,12,CCARC,yes,,,,,Local,http://www.ked-wireless.com/products1.htm,115482,,,,,,,,,,,,,,DN70jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,25.7,NNE,yes,224.96,223.36,CSQ,,Weld,On-Air,AC0KC,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,26.3,SE,yes,927.8375,902.025,,,Douglas,On-Air,,,CCARC,yes,,,,,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,,,,,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,,,,,,,yes,294,yes,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,26.4,W,yes,449,444,136.5,136.5,Clear Creek,On-Air,CARN,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,26.7,W,yes,147.3,147.9,103.5,103.5,Clear Creek,On-Air,Denver PD EEB,,CCARC,yes,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,26.8,W,yes,448.675,443.675,100,100,Denver,On-Air,W0CFI,,CCARC,yes,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,KD0RG,Hudson,CO,OPEN,E,26.8,NE,yes,449.925,444.925,114.8,114.8,Weld,On-Air,KD0RG,,CCARC,yes,,,,,,,448035,,,,,,K0UPS Club,,,,,,,,DN70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,27,W,yes,146.94,146.34,103.5,103.5,Clear Creek,On-Air,Rocky Mtn Radio League,11,CCARC,yes,,,,,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",Repeater,,,Autopatch: 911* / Off 0*.,,,,,,,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .","Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,27,W,yes,448.225,443.225,141.3,141.3,Clear Creek,On-Air,Rocky Mountain Ham Radio,E-power(gen).,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,27,W,yes,145.145,144.545,107.2,107.2,Clear Creek,On-Air,Colorado Repeater Assoc,E-power.,CCARC,yes,,,,,Wide area. Denver metro.,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,27,W,yes,449.35,444.35,100,100,Clear Creek,On-Air,Denver Radio Club,11,CCARC,yes,,,,,Wide area.,DRC Repeaters,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,27,W,yes,146.67,146.07,100,100,Clear Creek,On-Air,Castle Rock Repeater Group,11,CCARC,yes,,,,,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",,,,,,,,,,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,27,W,yes,145.49,144.89,100,100,Jefferson,On-Air,"KB0VIU,  Denver Radio Club",E-power.,CCARC,yes,,,,,,DRC Repeaters,,,,,,,,,,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,27,W,yes,447.575,442.575,107.2,107.2,Clear Creek,On-Air,Colorado Repeater Association (CRA),,CCARC,yes,,,,3291,Wide area: Denver metro.,http://www.w0cra.org,347088,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,27,W,yes,449.45,444.45,103.5,127.3,Clear Creek,On-Air,Rocky Mountain Radio League,11,CCARC,yes,,,,,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",Repeater,,,,,,,,,,,RMRL: Mon at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,27,W,yes,446.9375,441.9375,,,Clear Creek,On-Air,Rocky Mountain Ham Radio,,CCARC,yes,,,,,,Rocky Mountain Ham Radio,,,,,,,,See the website for programming information.,,Full-time to the  Colorado TRBO System .,,yes,7,,,,,,,,,,,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,27.8,W,yes,449.05,444.05,107.2,107.2,Denver,On-Air,WG0N,E-power.,CCARC,yes,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,29.2,SE,yes,446.85,441.85,,,Douglas,On-Air,Parker Radio Association,D-Star B module,CCARC,yes,yes,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,http://parkerradio.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,29.8,WNW,yes,224.6,223,100,,Gilpin,,W0RM,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,30,NW,yes,445.05,440.05,,,Boulder,On-Air,Rocky Mountain Ham Radio,BrandMeister Network,CCARC,yes,,,,,Wide area,,,,,,,,,,,,,yes,1,BrandMeister,,,,,,,,,,,,,,,,,,BrandMeister US,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,30,NW,yes,447.75,442.75,141.3,141.3,Boulder,On-Air,Rocky Mountain Ham Radio,,CCARC,yes,,,,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,30,NW,yes,447.975,442.975,107.2,107.2,Boulder,On-Air,Colorado Repeater Association (CRA),Closed autopatch.,CCARC,yes,,,,,Wide area: Boulder/Longmont area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,30,NW,yes,145.46,144.86,107.2,107.2,Boulder,On-Air,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,yes,,,,3990,Boulder/Denver Metro,,347086,,Member-only IRLP and Echolink node,,,,CRA VHF Link System,,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,30,NW,yes,224.02,222.42,,,Boulder,On-Air,Rocky Mtn VHF Soc,8,CCARC,yes,,,,,Denver metro area.,RMVHS repeaters,217336,,,,,,,,,"Full-time to  
        449.55000 (W0IA) at Boulder, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC7,N0SZ,"Boulder, Lee Hill",CO,OPEN,,30,NW,yes,446.9875,441.9875,,,Boulder,On-Air,Rocky Mountain Ham Radio,Linked on Time Slot 2 to  Almagre Mtn  (446.950).,,yes,,,,,,,,,,,,,,,,"Full-time to  
        446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO .
 


Full-time to the  Colorado TRBO System .",,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,30.1,N,yes,147.27,147.87,100,100,Boulder,On-Air,Longmont ARC (LARC),"Closed autopatch, e-power, EchoLink.",CCARC,yes,,,,,Wide area: Northern Colorado.,http://w0eno.org/?q=node/11,,,,,,,,,,"Linkable to  
        448.80000 (W0ENO) at Longmont, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,30.1,N,yes,448.8,443.8,88.5,88.5,Boulder,On-Air,Longmont ARC,30,CCARC,yes,,,,,,,,,,,,,,,,"Linkable to  
        147.27000 (W0ENO) at Longmont, CO .",LARC: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,30.1,N,yes,448.525,443.525,151.4,,Boulder,On-Air,N0EPA,,CCARC,yes,,,,,,,223853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,31.6,NW,yes,146.91,147.51,123,127.3,Boulder,On-Air,,,,yes,,,,,"East of Gold Hill, The Indian Peaks, Denver, Boulder",http://goldhilltown.com/,,,,,,,"Town of Gold Hill, Colorado",There is a MOU With BCARES for repeater use.,,,"Summer Tue at 19:30P, Winter 19:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,33.4,SSW,yes,446.925,441.925,,,Douglas,On-Air,,,CCARC,yes,,,,,,Rocky Mountain Ham Radio,,,,,,,,See the website for programming info.,,Full-time to the  Colorado TRBO System .,,yes,7,,,,,,,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,1,2,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,33.4,SSW,yes,447.525,442.525,146.2,146.2,Douglas,On-Air,EmComm Colorado,,CCARC,yes,,,,,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",,,,,,,,Colorado ARES,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,34.5,SW,yes,146.895,146.295,100,100,Park,On-Air,AB0RR,25,CCARC,yes,,,,,285,Park County Radio Club (PCRC),,45835,,,,,,,,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,39,S,yes,448.425,443.425,107.2,107.2,Douglas,On-Air,Colorado Repeater Association (CRA),,,yes,,,,,Wide area,http://www.w0cra.org,,,,,,,ARESDEC,,,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,39,S,yes,147.225,147.825,107.2,107.2,Douglas,On-Air,Colorado Repeater Association (CRA),Closed autopatch,CCARC,yes,,,,3990,Wide area,Colorado Repeater Association,347086,,,,,,CRA VHF Link System,,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .","CRA Net, Sunday 9AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,39.1,S,yes,449.975,444.975,100,100,Douglas,On-Air,K0JSC,Simulcast and Voted with Cedarwood and Methodist.,CCARC,yes,,,,,,The Fun Machine,,,,,,,The Fun Machine,"Can be linked to Allstar, Echolink and others by a Sysop",,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,100,KI0HG,"Allenspark, AFPD Station #5",CO,OPEN,,39.2,NW,yes,147.03,147.63,100,,Boulder,On-Air,KI0HG,,CCARC,yes,,,,,,,,,,,,,Boulder County Amateur Radio Emergency Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,41.6,SSW,yes,446.875,441.875,,,Douglas,On-Air,W0VG,,CCARC,yes,,,,,,http://www.rmham.org,,,,,,,RMHAM,,,Full-time to the  Colorado TRBO System .,,yes,6,,,,,,,,,,,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,41.8,S,yes,145.19,144.59,131.8,131.8,Douglas,On-Air,N0OBA Owner,,,yes,,,,,Wide area coverage at 8300,,10079,,,,,,,,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,42.3,WNW,yes,147.285,147.885,88.5,123,Grand,On-Air,Colorado Connection,,CCARC,yes,,,,,,,,,,,,,,,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,45,WNW,yes,447.45,442.45,103.5,,Grand,On-Air,W0IG,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,45.2,S,yes,447.725,442.725,100,100,El Paso,On-Air,K0NR,30,CCARC,yes,,,,,Local.,http://www.k0nr.com/wordpress/k0nr-repeater/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,100,KN6VV,Loveland,CO,OPEN,,45.7,N,yes,224.32,222.72,100,100,Larimer,Off-Air,KN6VV,"Closed autopatch, e-power.",CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,45.7,N,yes,449.575,444.575,100,,Larimer,On-Air,Loveland Rptr Assoc,"Closed autopatch, e-power.",CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,46.1,N,yes,147.195,147.795,100,,Larimer,On-Air,Loveland Repeater Assoc,"Closed autopatch, e-power.",CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,48.4,NNE,yes,449.725,444.725,127.3,,Weld,On-Air,K0OJ,"Autopatch, WX.",CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,48.4,NNE,yes,146.85,146.25,100,100,Weld,On-Air,Northern Colorado ARC,"E-power, WX.",CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.025,-5,100,W0UPS,"Loveland, Budweiser Event Center",CO,OPEN,,48.7,N,yes,448.025,443.025,100,100,Larimer,On-Air,Northern Colorado ARC,,CCARC,yes,,,,,,,,,,Yes; analog capable.,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,49.3,NNW,yes,146.685,146.085,123,,Larimer,On-Air,Estes Valley ARC,E-power.,CCARC,yes,,,,7268,Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),,625757,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",,"Full-time to  
        449.80000 (N0FH) at Estes Park, CO .",ARES D-10: Thu at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.475,-5,100,KC0KWD,Greeley,CO,OPEN,I,49.5,NNE,yes,448.475,443.475,100,,Weld,On-Air,Weld Amateur Radio Society (WARS),,CCARC,yes,,,,3839,,http://www.warsco.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KC0KWD,Greeley,CO,OPEN,I,49.5,NNE,yes,147,147.6,100,100,Weld,On-Air,Weld ARS,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",CCARC,yes,,,,3839,,,,,,Yes; analog capable.,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,49.5,NNE,yes,449.325,444.325,,,Weld,On-Air,Colorado Amateur Repeater Network (CARN),,CCARC,yes,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,51.6,S,yes,146.82,146.22,107.2,,Teller,On-Air,Mountain ARC,E-power.,CCARC,yes,,,,,,,,,,,,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,51.6,S,yes,145.415,144.815,179.9,,Teller,,MARC,"Closed autopatch, e-power.",CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,51.6,S,yes,927.9,902.9,D205,D205,Teller,On-Air,MARC,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,51.6,S,yes,447.675,442.675,179.9,179.9,Teller,On-Air,Mountain Amateur Radio Club (MARC),E-power.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,51.6,S,yes,449.025,444.025,141.3,,Teller,,Mountain Amateur Radio Club (MARC),Linked.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,
