Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Coordination,Last update,On-air,Coverage,Affiliate,Features,Sponsor,EchoLink,IRLP,Notes,Downlink Tone,Links,AllStar,Nets,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,D-STAR Enabled,Node,Sources,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Commands,Grid,Location Photo,Denver Regional,Northern Colorado,YSF Digital Enabled,DG-ID,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,Feed,Data,DMRX 1,Utah Statewide 2,Local/Cluster,TAC 311,USA,Utah,Mountain Reg USA,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,Local,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide English,N. Colorado
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,53.3,E,,449.7,444.7,107.2,San Miguel,On-Air,,CCARC,,,Wide Area via links - Western Colorado - Eastern Utah,,E-power.,Grand Mesa Repeater Association ( GMRA ),,3710,Closed IRLP out - Ask for a control Op,107.2,Full-time to the  GMRA Open System .,,RACES: Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,54.6,SE,,146.67,146.07,100,La Plata,On-Air,DARC Repeaters,CCARC,,,Wide area.,,11,Durango ARC,,,Linked active in the summer months only.,,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,57.3,NNW,,146.76,146.16,88.5,Grand,On-Air,http://www.sdarc.us/repeaters/bald.html,UVHFS,,,Moab and immediate surroundings.,,,Sinbad Desert ARC,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,57.4,NNW,,449.1,444.1,107.2,Grand,On-Air,GMRA Repeaters,UVHFS,,,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",,8,Grand Mesa Repeater Association (GMRA),,,,107.2,,,RACES Wed. 1930 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,57.7,NNE,,449.4,444.4,131.8,Mesa,On-Air,http://www.gmra.org,CCARC,,,Wide area via links - Western Colorado - Eastern Utah,,E-power.,"WA4HND,  Grand Mesa Repeater Association",,3710,Closed IRLP out - Ask for a control op,131.8,Full-time to the  GMRA Open System .,,RACES Wed 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,57.9,SE,,145.37,144.77,100,La Plata,On-Air,http://www.sjcham.com,CCARC,,,,,E-power.,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,60.3,ESE,,147.27,147.87,127.3,San Juan,On-Air,,CCARC,,,Wide area.,Durango ARC,E-power.,KB5ITT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,64.9,SE,,147.135,147.735,100,La Plata,On-Air,http://www.sjcham.com,CCARC,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,65.7,SE,,448.625,443.625,131.8,La Plata,On-Air,,CCARC,,,Wide area.,,,KC5EVE,,,,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,K0EP,Durango,CO,OPEN,,65.7,SE,,449.85,444.85,100,La Plata,On-Air,,CCARC,,,,,,DARC,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.9,-0.6,88.5,K7QEQ,Moab,UT,OPEN,,65.8,NNW,,146.9,146.3,88.5,Grand,On-Air,http://sdarc.us/repeaters/moab.html,UVHFS,,,Moab and immediate surroundings.,,"Closed autopatch, remote base, linked to Bald Mesa (146.760).",Sinbad Desert ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,123,KD7HLL,Mexican Hat,UT,OPEN,,67.1,WSW,,449.9,444.9,123,San Juan,On-Air,,UVHFS,,,"Lake Powell area from Bullfrog to Wahweap and Hite, toward the south into Arizona and North as far as Boulder.",,6,,,,Part time link to  two repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,67.2,SE,,146.7,146.1,100,La Plata,On-Air,http://durangoarc.org/,CCARC,,,Local.,,9,Durango ARC,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,67.3,SE,,445.1375,440.1375,,La Plata,On-Air,http://www.rmham.org/,CCARC,,,,Rocky Mountain Ham Radio,,K2AD,,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,67.8,ESE,,444,449,67,San Juan,On-Air,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,67.8,ESE,,145.325,144.725,127.3,San Juan,On-Air,http://www.sjcham.com,CCARC,,,,,Solar powered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,67.9,ESE,,447.525,442.525,127.3,San Juan,On-Air,,CCARC,,,Wide area.,,E-power.,KB5ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,68.7,SE,,147.345,147.945,88.5,La Plata,On-Air,,CCARC,,,Durango and north towards Molas Divide.,,,Colorado Connection,,,,123,Full-time to the  Colorado Connection System .,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,69.6,E,,147.27,147.87,127.3,Ouray,On-Air,http://www.sjcham.com,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,69.8,ESE,,147.375,147.975,156.7,San Juan,On-Air,http://www.sjcham.com,CCARC,,,Wide area.,,13,,,,,,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,74.5,NE,,146.79,146.19,107.2,Montrose,On-Air,,CCARC,,,,,E-power.,KC0UXX,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,74.5,NE,,146.91,146.31,107.2,Montrose,On-Air,,CCARC,,,,,E-Power,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,79.6,E,,448.65,443.65,,Montrose,On-Air,,,,,Wide area.,,,KB0YNA,,,,151.4,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,79.6,E,,447.2,442.2,107.2,Montrose,On-Air,GMRA Repeaters,CCARC,,,Delta/Montrose,Grand Mesa Repeater Assoc,9,,,3710,Closed IRLP out - Ask for a control op,107.2,Full-time to the  GMRA Open System .,,RACES Net Wed at 1930 Hrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,80.9,SE,,147.06,147.66,100,San Juan,On-Air,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KB5ITS,Farmington,NM,OPEN,,81.1,SSE,,147,147.6,100,San Juan,On-Air,,NMFCC,,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.15,5,,KF5VBF,Farmington,NM,OPEN,,81.1,SSE,,444.15,449.15,,San Juan,On-Air,,,,,,,DV only,San Juan County,,,,,,,,,,,,,,,KF5VBF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,K5WXI,Farmington,NM,OPEN,,81.1,SSE,,146.85,146.25,100,San Juan,On-Air,,NMFCC,,,,,Closed autopatch.,Totah ARC,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,,81.1,SSE,,146.76,146.16,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,,,,,"Closed autopatch, e-power.",,,,,100,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,100,K5WY,Farmington,NM,OPEN,,81.1,SSE,,449,444,100,San Juan,,,NMFCC,,Unknown,,,E-power.,K5WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.325,5,CC1,N5UBJ,Farmington,NM,OPEN,,81.1,SSE,,442.325,447.325,,San Juan,On-Air,http://www.aztrbonet.com/MinimalNetwatch,NMFCC,,,,,AZ-TRBONET,,,,,,,,,,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,,81.1,SSE,,53.01,52.01,131.8,San Juan,On-Air,,NMFCC,,,,,,KB5ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,81.4,NNE,,448.15,443.15,100,Mesa,On-Air,,CCARC,,,,,,,312189,7963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.7,-20,,KF5VBF,"Farmington, Farmington Bluffs",NM,CLOSED,,82.1,SSE,,1291.7,1271.7,,San Juan,On-Air,,NMFCC,,,,,DV only,San Juan County,,,,,,,,,,,,,,,KF5VBF (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,82.3,SE,,146.74,146.14,100,San Juan,On-Air,,NMFCC,,,,,"Closed autopatch, e-power.",Totah ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,82.3,SE,,146.88,146.28,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,,,,,,,,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,82.3,SE,,447.45,442.45,107.2,San Juan,On-Air,,NMFCC,,,,,"E-power, remote base.",KB5ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC1,N5UBJ,Aztec,NM,OPEN,,82.3,SE,,442.25,447.25,,San Juan,On-Air,http://www.aztrbonet.com/MinimalNetwatch,NMFCC,,,,,,,,,,,,,,,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,,83.1,SE,,147.15,147.75,100,La Plata,On-Air,http://www.sjcham.com,CCARC,,,Bayfield,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,,KF5VBE,Farmington,NM,OPEN,,84.6,SE,,145.115,144.515,,San Juan,On-Air,,,,,,,,,,,,,,,,,,,,,,,KF5VBE (C) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.1,-20,,KF5VBE,Aztec,NM,CLOSED,,84.7,SE,,1291.1,1271.1,,Bernalillo,On-Air,,NMFCC,,,,,DV only,San Juan County,,,,,,,,,,,,,,,KF5VBE (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,88.6,E,,147.135,146.535,123,Hinsdale,On-Air,http://www.sjcham.com,CCARC,,,,,E-power (solar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,88.8,SE,,448.65,443.65,127.3,San Juan,On-Air,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,,88.8,SE,,146.92,146.32,100,San Juan,On-Air,,NMFCC,,,,,,San Juan County OEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,90.2,N,,449.575,444.575,131.8,Mesa,On-Air,GMRA Repeaters,CCARC,,,Grand Junction,Grand Mesa Repeater Assoc,e-power. Linked to GMRA Open System,,,3710,Closed IRLP out,131.8,,,Wed RACES Net 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,90.2,N,,146.94,146.34,107.2,Mesa,On-Air,http://w0rrz.org,CCARC,,,Grand Junction 30-50 mi,,E-power and autopatch for WCARC members,Western Colorado Amateur Radio Club,,,,107.2,,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,90.7,NNE,,147.355,146.755,88.5,Mesa,On-Air,,CCARC,,,,,,Colorado Connection,,,,123,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,100,NM5SJ,"Lukachukai, Roof Butte",AZ,OPEN,,90.8,S,,146.82,146.22,100,Apache,On-Air,,ARCA,,,,,,Totah ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,100,KB5ITS,"Lukachukai, Roof Butte",AZ,OPEN,,90.8,S,,145.25,144.65,100,Apache,On-Air,,ARCA,,,,,"E-power, linked.",San Juan Connection,,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,91.7,NNE,,145.22,144.62,107.2,Mesa,,,CCARC,,Unknown,,,,KE0TY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,91.7,NNE,,147.105,147.705,,Mesa,On-Air,,CCARC,,,,,,K0SSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,91.7,NNE,,446.775,441.775,,Mesa,On-Air,,,,,,,,,,,,,,,,,,,,,,,KD0RED (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,Grand Junction,CO,OPEN,A,91.7,NNE,,146.82,146.22,107.2,Mesa,On-Air,,CCARC,,,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,,,,,28515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,91.7,NNE,,449.775,444.775,173.8,Mesa,On-Air,,CCARC,,,,,,,7572,7573,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,91.7,NNE,,447.5,442.5,114.8,Mesa,,,CCARC,,Unknown,,,,KC0ARV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,91.7,NNE,,449,444,,Mesa,On-Air,,CCARC,,,,Grand Mesa Repeater Assoc,,KB0SW,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,91.7,NNE,,147.39,147.99,107.2,Mesa,,,CCARC,,Unknown,,,Linked.,KE0TY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,94.7,NE,,147.195,147.795,107.2,Delta,,,,,Unknown,Local.,Colorado District 25 ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,94.7,NE,,449.825,444.825,100,Delta,,,CCARC,,Unknown,,,,W0ALC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,94.7,NE,,147.36,147.96,100,Delta,,,CCARC,,Unknown,,,,W0ALC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,95.6,NNE,,145.175,144.575,107.2,Mesa,On-Air,,CCARC,,,Greater grand Junction area.,,"E-power,",,,3161,,,,,,,,,,,,,,,,,,,,,,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
