Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Downlink Tone,Op Status,Affiliate,Links,Coverage,Nets,Web links,Notes,EchoLink,DMR Enabled,Color Code,Wide Network,Grid,IRLP,AllStar,Commands,Talkgroup Network,Talkgroups,Wyoming,WyLOCAL,YSF Digital Enabled,DG-ID,Mixed-Mode,Colorado,Southern Colorado,Denver Regional,Northern Colorado,D-STAR Enabled,Node,Sources,Worldwide,North America,English,Local/Cluster,Mountain Reg USA,Local Network,Feed,Worldwide English,DCI Bridge,N. Colorado,TAC 310,P25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,Location Photo
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,68.7,SE,yes,147.075,147.675,88.5,Grand,,Colorado Connection,,CCARC,yes,123,On-Air,,Full-time to the  Colorado Connection System .,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Part of the Colorado Connection system of Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2625,-5,CC7,N0SZ,"Rangely, Cathedral Bluffs",CO,OPEN,,72.6,WSW,yes,445.2625,440.2625,,Rio Blanco,,RMHAM,,,yes,,On-Air,,,,,https://www.rmham.org,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,72.9,S,yes,146.76,146.16,107.2,Garfield,,"N0SWE,  Roaring Fork Amateur Repeater Cooperative",E-power.,CCARC,yes,,Off-Air,,,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",,,,243117,,,,DM69cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,75.7,S,yes,449.6,444.6,107.2,Garfield,,,e-power Linked to GMRA open system,CCARC,yes,,On-Air,,,Wide area.,,http://www.gmra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,75.7,S,yes,447.1,442.1,107.2,Garfield,,Ski Country ARC,,CCARC,yes,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,75.7,S,yes,146.88,146.28,107.2,Garfield,,Ski Country ARC,,CCARC,yes,,On-Air,,"Full-time to  
        447.60000 (KI0G) at Glenwood Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,75.7,S,yes,146.85,146.25,88.5,Garfield,,Colorado Connection,70,CCARC,yes,123,On-Air,,,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,Part of the Colorado Connection System of Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,78,S,yes,147.39,147.99,107.2,Garfield,,Roaring Fork Amateur Repeater Cooperative,,,yes,,On-Air,,,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,78,S,yes,449.725,444.725,179.9,Garfield,,Roaring Fork Amateur Repeater Cooperative (RFARC),EchoLink.,CCARC,yes,,On-Air,,,Wide area.,,,,,,,,,3722,28434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,78.2,SSW,yes,449.8,444.8,107.2,Garfield,,,8,CCARC,yes,,On-Air,,,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,79,SSE,yes,447.15,442.15,136.5,Garfield,,,,,yes,,On-Air,,,,,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,82.7,SE,yes,147.345,147.945,88.5,Eagle,,Colorado Connection,9,CCARC,yes,123,On-Air,,Full-time to the  Colorado Connection System .,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,84.1,SE,yes,445.075,440.075,,Eagle,,K2AD,,CCARC,yes,,On-Air,Rocky Mountain Ham Radio,,,,http://www.rmham.org/,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,136.5,W7BYU,Vernal,UT,OPEN,,84.8,W,yes,449.7,444.7,136.5,Uintah,Unknown,W7BYU,8,UVHFS,yes,,,,,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,136.5,W7BAR,"Vernal, Blue Mountain",UT,OPEN,EI,84.9,W,yes,147.1,147.7,136.5,Uintah,,""">Borderline ARC","Autopatch, e-power.",UVHFS,yes,,On-Air,,"Full-time to  
        147.34000 (KG7DSO) at Vernal, Tabby Mountain, UT .","Wide area: Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,8,458414,,,,,3577,,"IRLP: No access code, bring up your node by it's node no. and bring it down with a 73.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,136.5,W7BYU,Roosevelt,UT,OPEN,E,84.9,W,yes,146.92,146.32,136.5,Duchesne,,,E-power.,UVHFS,yes,,Off-Air,,,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,458695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,86.6,SE,yes,224.8,223.2,,Eagle,,ECHO,,CCARC,yes,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,86.6,SE,yes,449.9,444.9,107.2,Eagle,,ECHO,,CCARC,yes,107.2,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,88.9,SE,yes,146.61,146.01,107.2,Eagle,,ECHO,11,CCARC,yes,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC11,WY7EOC,Rawlins,WY,CLOSED,,89.6,N,yes,445.05,440.05,,Carbon,,Laramie County EM,,WRCG,yes,,On-Air,Wyoming DMR Project,,Wide area.,,,,,yes,11,,,,,,Wyoming DMR Project,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Wyoming  1  3156  Full-Time    WyLOCAL  2  100  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KC7OZU,Rawlins,WY,OPEN,,89.6,N,yes,146.76,146.16,100,Carbon,,CCARS,,,yes,,On-Air,,,Wide area.,Sunday nite net 2030 local time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,KD7SU,Rawlins,WY,OPEN,,89.6,N,yes,448.3,443.3,100,Carbon,Unknown,,,WRCG,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,162.2,N7RON,Rawlins,WY,OPEN,I,89.6,N,yes,146.7,146.1,162.2,Carbon,,,,WRCG,yes,,On-Air,,,,,,,,,,,,7045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,100,KD7BN,Rawlins,WY,OPEN,,89.6,N,yes,147.39,147.99,100,Carbon,,HERC,E-power.,,yes,,On-Air,N7ZEF (EchoLink).,"Full-time to  
        146.80500 (W7BEQ) at Shoshoni, Copper Mtn, WY .
 


Full-time to  
        146.94000 (W7VNJ) at Casper, Casper Mountain, WY .",Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,146.2,N7RON,Rawlins,WY,OPEN,,89.6,N,yes,449.8,444.8,146.2,Carbon,Unknown,Wyocomm,,WRCG,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,89.7,SE,yes,146.82,146.22,123,Grand,Unknown,GCARA,E-power.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,89.7,SE,yes,446.875,441.875,,Clear Creek,,,,,yes,,On-Air,RMHAM,,,,http://www.rmham.org,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,90.8,SSW,yes,449.5,444.5,107.2,Mesa,,Grand Mesa Repeater Association (GMRA),E-power.,CCARC,yes,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,146.2,N7UW,"Laramie, Jelm Mountain",WY,OPEN,E,91.4,E,yes,147.015,147.615,146.2,Albany,,"Albany County ARES/RACES, University Amateur Radio",,,yes,,On-Air,,,Albany County,,http://www.uwyo.edu/uarc/,,82070,,,,,,,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,100,N7GCR,"Rawlins, Elk Mountain",WY,OPEN,,93.8,NE,yes,147.24,147.84,100,Carbon,,CCARS,,WRCG,yes,,On-Air,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,95.6,SSE,yes,146.67,146.07,107.2,Pitkin,,Ski Country ARC,Linked.,CCARC,yes,,On-Air,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,107.2,KB0SW,"Loma, Baxter Pass",CO,OPEN,,98.4,SW,yes,447,442,107.2,Garfield,,,8,CCARC,yes,,On-Air,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,100,SSE,yes,447.05,442.05,136.5,Pitkin,,Roaring Fork Amateur Repeater Cooperative,,CCARC,yes,136.5,On-Air,,,Aspen-Snowmass areas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,100.4,SE,yes,447.45,442.45,103.5,Grand,,W0IG,,CCARC,yes,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,136.5,W7BAR,"Vernal, Uintah County EOC",UT,OPEN,I,100.5,WSW,yes,449.9,444.9,136.5,Uintah,Unknown,Borderline Amateur Radio Club,,,yes,,,,,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,,,,,,7705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,102.2,SSW,yes,145.355,144.755,88.5,Mesa,,Colorado Connection,E-power.,CCARC,yes,123,On-Air,,Full-time to the  Colorado Connection System .,"Rifle to the east, several miles east of Green River, Utah to the west.","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Colorado Connection system of repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,102.2,SSW,yes,449.65,444.65,151.4,Mesa,,Keri Washburn,NWS weather alert system.,CCARC,yes,151.4,On-Air,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",Wide area coverage,,,,,,,,,8162,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,136.5,W7BAR,"Vernal, Grizzly Ridge",UT,OPEN,,102.8,W,yes,147.04,147.64,136.5,Uintah,,Borderline ARC,E-power.,UVHFS,yes,,On-Air,,Full-time to the  Sinbad Desert (SDARC) System .,"Wide area: Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,136.5,K7HEN,"Vernal, Grizzly Ridge",UT,OPEN,,103.1,W,yes,145.49,144.89,136.5,Uintah,,"W7BYU,  Borderline ARC","Autopatch, 8,506', linked to (147.320).",UVHFS,yes,,On-Air,,,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,N7RUG,"Rock Springs, Aspen Mountain",WY,OPEN,,103.6,NW,yes,146.61,146.01,100,Sweetwater,,Sweetwater RACES,Autopatch.,WRCG,yes,,On-Air,,,Wide area: SW Wyoming,Sun at 19:30.,http://wy7u.angelfire.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,100,WY7U,"Rock Springs, Aspen Mountain",WY,OPEN,E,103.6,NW,yes,146.94,146.34,100,Sweetwater,,Sweetwater ARC,,WRCG,yes,,On-Air,,Full-time to the  HERC System .,Wide area.,,,,357388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,103.7,SE,yes,147.285,147.885,88.5,Grand,,Colorado Connection,,CCARC,yes,123,On-Air,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC1,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,105,SSW,yes,446.9125,441.9125,,Mesa,,Bill Frost,,,yes,,On-Air,,,"Grand Junction, I70",,,Brandmeister network,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,123,N0FH,Estes Park,CO,OPEN,EI,106.9,ESE,yes,449.8,444.8,123,Larimer,,Estes Valley ARC,E-Power,CCARC,yes,,On-Air,,"Full-time to  
        146.68500 (N0FH) at Estes Park, CO .",,ARES D-10: Thu at 19:00.,,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",625757,,,,,7268,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,107.1,SE,yes,146.7,146.1,107.2,Summit,,GRARC,E-power.,CCARC,yes,,On-Air,,,,,,,,,,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,107.5,SSW,yes,447.35,442.35,107.2,Delta,Unknown,Grand Mesa Repeater Assoc (GMRA),,CCARC,yes,,,,,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,107.7,SSW,yes,449.3,444.3,107.2,Mesa,,,e-power Linked to GMRA Open System,CCARC,yes,107.2,On-Air,,,Wide Area I-70 West Rifle to Western Utah,RACES Wed 1930 hrs,http://www.gmra.org/,Closed IRLP out,,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,109.6,SSW,yes,145.175,144.575,107.2,Mesa,,,"E-power,",CCARC,yes,,On-Air,,,Greater grand Junction area.,,,,,,,,,3161,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,109.8,SE,yes,147.24,147.84,156.7,Lake,,,,CCARC,yes,156.7,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,110.5,SE,yes,445.0875,440.0875,,Fremont,,K2AD,,,yes,,On-Air,Rocky Mountain Ham Radio,,,,http://www.rmham.org/,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,110.7,ESE,yes,146.685,146.085,123,Larimer,,Estes Valley ARC,E-power.,CCARC,yes,,On-Air,,"Full-time to  
        449.80000 (N0FH) at Estes Park, CO .",Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),ARES D-10: Thu at 19:00.,,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",625757,,,,,7268,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,111.6,SE,yes,147.39,147.99,88.5,Summit,,Colorado Connection,12,CCARC,yes,123,On-Air,,Full-time to the  Colorado Connection System .,Wide area.,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",Breckenridge Repeater,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,111.7,SE,yes,145.445,144.845,88.5,Lake,,Colorado Connection,E-power (solar).,CCARC,yes,,On-Air,,Full-time to the  Colorado Connection System .,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,100,KI0HG,"Allenspark, AFPD Station #5",CO,OPEN,,112,SE,yes,147.03,147.63,100,Boulder,,KI0HG,,CCARC,yes,,On-Air,Boulder County Amateur Radio Emergency Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,112.7,SE,yes,445.05,440.05,,Lake,,K2AD,,CCARC,yes,,On-Air,Rocky Mountain Ham Radio,,,,http://www.rmham.org/,,,yes,7,,,,,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,113.3,S,yes,147.36,147.96,100,Delta,Unknown,W0ALC,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,113.3,S,yes,147.195,147.795,107.2,Delta,Unknown,,,,yes,,,Colorado District 25 ARES,,Local.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,113.3,S,yes,449.825,444.825,100,Delta,Unknown,W0ALC,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,113.6,SSW,yes,145.22,144.62,107.2,Mesa,Unknown,KE0TY,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,113.6,SSW,yes,449.775,444.775,173.8,Mesa,,,,CCARC,yes,88.5,On-Air,,,,,,,7572,,,,,7573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,113.6,SSW,yes,446.775,441.775,,Mesa,,,,,yes,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,yes,KD0RED (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
