Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,County,Op Status,Sponsor,Affiliate,Web links,Coordination,Last update,Uplink Tone,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Grid,Coverage,Downlink Tone,Features,Links,Nets,Notes,EchoLink,IRLP,AllStar,Denver Regional,Location Photo,Feed,Commands,On-air,Talkgroup Network,Northern Colorado,YSF Digital Enabled,DG-ID,Mixed-Mode,Worldwide,North America,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Europe,Southwest USA,Wyoming,WyLOCAL
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,61.9,E,,146.76,146.16,,,,El Paso,On-Air,Cheyenne Mountain Repeater Group,,,CCARC,,107.2,,,,,,,,,107.2,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,62,E,,147.345,147.945,,,,El Paso,On-Air,,,http://www.cmrg.org/,CCARC,,107.2,,,,,,,,Wide area.,107.2,"Closed autopatch, e-power.","Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,62,E,,145.16,144.56,,,,El Paso,On-Air,Colorado Repeater Association,CRA VHF Link System,http://www.w0cra.org/info/cosprgs.html#145160,CCARC,,107.2,,,,,,,,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",107.2,"Closed autopatch, e-power.","Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,Switch to this repeater at mile marker 170 on I-25.,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,62,NE,,446.875,441.875,,,,Douglas,On-Air,W0VG,RMHAM,http://www.rmham.org,CCARC,,,,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,Full-time to the  Colorado TRBO System .,,,,,,2,,,,,RMHAM,2,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,62.8,N,,147.39,147.99,,,,Summit,On-Air,Colorado Connection,,Breckenridge Repeater,CCARC,,88.5,,,,,,,,Wide area.,123,12,Full-time to the  Colorado Connection System .,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.","Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,62.9,NW,,447.05,442.05,,,,Pitkin,On-Air,Roaring Fork Amateur Repeater Cooperative,,,CCARC,,136.5,,,,,,,,Aspen-Snowmass areas.,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,63,E,,145.375,144.77,,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",El Paso,Off-Air,Cheyenne Mountain Repeater Group (CMRG),,http://www.cmrg.org,CCARC,,,,,,,,,,wide area,,,,,Repeater off air for now.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,63.1,E,,53.13,51.43,,,,El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),,http://www.cmrg.org,CCARC,,107.2,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,63.1,E,,445.0625,440.0625,,,,El Paso,Off-Air,Rocky Mountain Ham Radio,,,CCARC,,,,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,The DMR-MARC Worldwide Network,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,63.1,E,,446.9125,441.9125,,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,,,,,,,,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,63.1,E,,927.85,902.85,,,,Teller,On-Air,CMRG,,http://www.cmrg.org,CCARC,,D114,,,,,,,,,,9,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,63.1,E,,145.13,144.53,,,,El Paso,On-Air,Colorado Connection,,,CCARC,,88.5,,,,,,,,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,123,9,Full-time to the  Colorado Connection System .,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",Linked into the Colorado Connection System,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,63.9,N,,445.0875,440.0875,,,,Fremont,On-Air,K2AD,Rocky Mountain Ham Radio,http://www.rmham.org/,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,64.3,E,,448.725,443.725,,,,El Paso,On-Air,KA0TTF,,,CCARC,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,65.5,N,,146.7,146.1,,,,Summit,On-Air,GRARC,,,CCARC,,107.2,,,,,,,,,,E-power.,,,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,66.5,NNE,,146.895,146.295,,,,Park,On-Air,AB0RR,,Park County Radio Club (PCRC),CCARC,,100,,,,,,,,285,100,25,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",Wed at 19:30.,,,,45835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,66.8,E,,927.8,902.8,,,,Teller,On-Air,,,,CCARC,,D116,,,,,,,,,,6,"Full-time to  
        448.60000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,66.8,E,,447.35,442.35,,,,El Paso,On-Air,GGARC,,,CCARC,,151.4,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,66.8,E,,448.3,443.3,,,,El Paso,On-Air,AA0L,,,CCARC,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,66.8,E,,447.55,442.55,,,,El Paso,On-Air,WA6IFI,,,CCARC,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,66.8,E,,448.25,443.25,,,,El Paso,Off-Air,,,,CCARC,,123,,,,,,,,Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,66.8,E,,449.575,444.575,,,,El Paso,On-Air,RMHARC,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,66.8,E,,447.475,442.475,,,,El Paso,,Mountain ARC (MARC),,,CCARC,,107.2,,,,,,,,,,"Closed autopatch, e-power.","Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",MARC/PCRC: Tue at 1930.,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,66.8,E,,447.025,442.025,,,,El Paso,Off-Air,Colorado Springs ARA,,,CCARC,,123,,,,,,,,,,"Closed autopatch, e-power, linked, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,66.8,E,,224.06,222.46,,,,El Paso,,Pikes Peak FM Association (PPFMA),,,CCARC,,,,,,,,,,Wide area.,,"E-power, linked.",,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,66.8,E,,448.6,443.6,,,,El Paso,,W0MOG,,,CCARC,,114.8,,,,,,,,,,,"Full-time to  
        927.80000 (W0MOG) at Colorado Springs, CO .",,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,66.9,E,,146.91,146.31,,,,El Paso,On-Air,GGARC,,,CCARC,,151.4,,,,,,,,,151.4,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,103.5,W0RSH,Colorado Springs,CO,OPEN,,66.9,E,,146.85,146.25,,,,El Paso,On-Air,W0RSH,,,CCARC,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,66.9,E,,147.27,147.87,,,,El Paso,On-Air,TRA,,,,,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,66.9,E,,147.39,147.99,,,,El Paso,On-Air,W0MOG,,,CCARC,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,68,E,,147.135,147.735,,,,El Paso,On-Air,AA0L,,,CCARC,,100,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,68.2,NE,,147.225,147.825,,,,Douglas,On-Air,Colorado Repeater Association (CRA),CRA VHF Link System,Colorado Repeater Association,CCARC,,107.2,,,,,,,,Wide area,107.2,Closed autopatch,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .","CRA Net, Sunday 9AM",,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,68.2,NE,,448.425,443.425,,,,Douglas,On-Air,Colorado Repeater Association (CRA),ARESDEC,http://www.w0cra.org,,,107.2,,,,,,,,Wide area,107.2,,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,68.2,NE,,449.975,444.975,,,,Douglas,On-Air,K0JSC,The Fun Machine,The Fun Machine,CCARC,,100,,,,,,,,,100,Simulcast and Voted with Cedarwood and Methodist.,Full-time to the  The Fun Machine System .,,"Can be linked to Allstar, Echolink and others by a Sysop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,68.9,NW,,146.67,146.07,,,,Pitkin,On-Air,Ski Country ARC,,,CCARC,,107.2,,,,,,,,Wide area.,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,69.1,SW,,146.925,146.325,,,,Mineral,Off-Air,Creede ARC,,,CCARC,,,,,,,,,,,,,,,WA0JS license expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,69.3,NE,,446.925,441.925,,,,Douglas,On-Air,,,Rocky Mountain Ham Radio,CCARC,,,,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,1,,,,,Full-time to the  Colorado TRBO System .,,See the website for programming info.,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,69.3,NE,,447.525,442.525,,,,Douglas,On-Air,EmComm Colorado,Colorado ARES,,CCARC,,146.2,,,,,,,,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",146.2,,,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,69.4,E,,224.72,223.12,,,,El Paso,On-Air,w0mog,,,,,103.5,,,,,,,,Local,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,70.3,SE,,448.975,443.975,,,,Pueblo,On-Air,,,http://www.k0jsc.com,CCARC,,100,,,,,,,,,100,,Full-time to the  The Fun Machine System .,,Off air.  Will return to service,363976,7301,28368,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,71.1,NE,,145.19,144.59,,,,Douglas,On-Air,N0OBA Owner,,,,,131.8,,,,,,,,Wide area coverage at 8300,131.8,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,71.8,E,,447.725,442.725,,,,El Paso,On-Air,K0NR,,http://www.k0nr.com/wordpress/k0nr-repeater/,CCARC,,100,,,,,,,,Local.,100,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,76.1,NNE,,147.12,147.72,,,,Jefferson,On-Air,Aurora Repeater Association,,http://www.n0ara.org,CCARC,,88.5,,,,,,,,Denver metro and east.,88.5,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,76.2,NNE,,53.05,51.35,,,,Jefferson,Off-Air,Colorado Repeater Association (CRA),,,CCARC,,107.2,,,,,,,,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",107.2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,76.3,SE,,147,147.6,,,,Pueblo,On-Air,Carl Higbee,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,76.5,NNW,,146.61,146.01,,,,Eagle,On-Air,ECHO,,,CCARC,,107.2,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,76.9,SW,,449.525,444.525,,,,Mineral,On-Air,N0PKT,The Fun Machine,,,,100,,,,,,,DM67lt,,100,,Full-time to the  The Fun Machine System .,,,,,43265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,77.6,NNE,,447.5,442.5,,,,Jefferson,On-Air,Aurora Repeater Association,,,CCARC,,88.5,,,,,,,,Wide area.,88.5,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,77.7,SE,,447.7,442.7,,,,Pueblo,Off-Air,,,,CCARC,,210.7,,0,,,,,,,210.7,,,,,,7389,29228,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,77.7,SE,,145.115,144.515,,,,Pueblo,Off-Air,Pueblo Ham Club,,,CCARC,,88.5,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,77.7,NNE,,224.98,223.38,,,,Jefferson,Off-Air,Colorado Repeater Association,,,CCARC,,107.2,,,,,,,,Wide area. Denver.,107.2,"Closed autopatch, e-power.","Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,77.7,SE,,146.655,146.055,,,,Pueblo,On-Air,K0ST,,,CCARC,,123,,,,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,77.7,SE,,449.725,444.725,,,,El Paso,On-Air,N0PWZ,,,CCARC,,100,,,,,,,,,,,,,,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,77.7,NNE,,1287.9,1267.9,,,,Jefferson,Off-Air,Colorado Repeater Association (CRA),,,CCARC,,CSQ,,,,,,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,77.7,SE,,146.88,146.28,,,,Pueblo,On-Air,Pueblo HC,,,CCARC,,88.5,,,,,,,,Wide area.,CSQ,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,77.7,NNE,,447.15,442.15,,,,Jefferson,Off-Air,Colorado Repeater Association (CRA),,,CCARC,,107.2,,,,,,,,Wide area: Denver.,107.2,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,78,SE,,446.9875,441.9875,,,,Pueblo,Off-Air,,RMHAM,Rocky Mountain Ham Radio,CCARC,,,,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,Full-time to the  Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,78.1,SE,,147.24,147.84,,,,Pueblo,Off-Air,TARA,,,CCARC,,103.5,,,,,,,,Pueblo and Fremont Counties,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,78.1,SE,,447.275,442.275,,,,Pueblo,On-Air,,The Fun Machine,The Fun Machine,CCARC,,100,,,,,,,,,100,,Full-time to the  The Fun Machine System .,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.","Moved to Pueblo.  Now called ""Pueblo Metro""",,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,78.7,ESE,,224.26,222.66,,,,Pueblo,Off-Air,Pueblo Ham Club,,PHC repeaters,CCARC,,88.5,,,,,,,,Wide area.,CSQ,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,78.7,ESE,,146.79,146.19,,,,Pueblo,On-Air,Pueblo HC,,Pueblo Ham Club,CCARC,,88.5,,,,,,,,Wide area.,CSQ,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,78.7,ESE,,447.95,442.95,,,,Pueblo,On-Air,Pueblo Ham Club,,Pueblo Ham Club,CCARC,,88.5,,,,,,,,Wide area.,,E-power.,,,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,79,NNW,,449.9,444.9,,,,Eagle,Off-Air,ECHO,,,CCARC,,107.2,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,79,NNW,,224.8,223.2,,,,Eagle,Off-Air,ECHO,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,79.4,WSW,,147.135,146.535,,,,Hinsdale,On-Air,,,http://www.sjcham.com,CCARC,,123,,,,,,,,,,E-power (solar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,79.7,NNW,,445.075,440.075,,,,Eagle,On-Air,K2AD,Rocky Mountain Ham Radio,http://www.rmham.org/,CCARC,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,79.8,E,,447.2,442.2,,,,El Paso,Testing,GGARC,Garden of the Gods Amateur Radio Club,,,,,,,,,,,,"Falcon, Black Forest, Peyton Areas",,,,,,,,,,,,,,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,81.2,NNW,,147.345,147.945,,,,Eagle,On-Air,Colorado Connection,,,CCARC,,88.5,,,,,,,,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,123,9,Full-time to the  Colorado Connection System .,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,81.7,NE,,146.88,146.28,,,,Jefferson,On-Air,Denver Radio League,,DRL Repeaters,CCARC,,100,,,,,,,,Wide Area,,E-power.,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,81.7,NE,,449.6,444.6,,,,Jefferson,On-Air,Denver Radio League,,DRL Repeaters,CCARC,,100,,,,,,,,,,,,,,690473,3345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,82.8,E,,447.625,442.625,,,,El Paso,On-Air,KD0MDP,The Fun Machine,,,,100,,,,,,,,,100,Linked.,Full-time to the  The Fun Machine System .,,,363976,7301,28299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,83.4,NNE,,449,444,,,,Clear Creek,On-Air,CARN,,,CCARC,,136.5,,,,,,,,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,83.6,NNE,,448.675,443.675,,,,Denver,On-Air,W0CFI,,,CCARC,,100,,,,,,,,Wide area.,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
