Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Features,Coordination,Last update,Links,On-air,Nets,Coverage,Downlink Tone,DMR Enabled,Color Code,Wide Network,Talkgroups,Worldwide,North America,Local/Cluster,Web links,Notes,Feed,D-STAR Enabled,Node,Sources,IRLP,Affiliate,EchoLink,Colorado,Southern Colorado,YSF Digital Enabled,DG-ID,Mixed-Mode,AllStar,Talkgroup Network,Denver Regional,Northern Colorado,Location Photo,Grid,Commands,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,English,TAC 310,N. Colorado,DCI Bridge,Mountain Reg USA,Worldwide English,Wyoming,WyLOCAL,Europe,Southwest USA
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,36.3,SW,,927.7,902.7,D114,Fremont,On-Air,Royal Gorge ARC,,CCARC,,,,,,D114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,36.4,SW,,223.96,222.36,103.5,Fremont,On-Air,RGARC,"E-power (Bat), Remote Base",CCARC,,,,,"Wide area. 
   Repeater Coverage Map",103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,36.4,SW,,446.7375,441.7375,,Fremont,On-Air,,IPSC Link to the Colorado network on Talk Slot 2.,CCARC,,Full-time to the  Colorado TRBO System .,,,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",,,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,http://www.k0jsc.com,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,,,,,Rocky Mountain Ham Radio,,1,2,,,,,,,,,DM78ii,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,36.4,SW,,53.03,51.33,88.5,Fremont,On-Air,WB0WDF,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",CCARC,,,,,,88.5,,,,,,,,Http://www.qsl.net/rghc,Split site Fremont peak transmitter and 8 mile mountain reciever.,,,,,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,36.4,SW,,447.25,442.25,100,Fremont,On-Air,,,CCARC,,Full-time to the  The Fun Machine System .,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.","Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",100,,,,,,,,K0JSC dot Com,,Listen Live,,,,7301,,363976,,,,,,28368,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,36.4,SW,,447.75,442.75,103.5,Fremont,On-Air,RGARC,E-power (Bat),CCARC,,,,,,103.5,,,,,,,,Royal Gorge Amateur Radio Club,,,,,,3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,36.4,SW,,145.49,144.89,103.5,Fremont,On-Air,Royal Gorge Amateur Radio Club,E-power (Bat),CCARC,,,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,103.5,,,,,,,,Royal Gorge Amateur Radio Club,,,,,,,Colorado ARES Region 5 District 1,,,,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,37,S,,448.975,443.975,100,Pueblo,On-Air,,,CCARC,,Full-time to the  The Fun Machine System .,,,,100,,,,,,,,http://www.k0jsc.com,Off air.  Will return to service,Listen Live,,,,7301,,363976,,,,,,28368,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,38,SSE,,147,147.6,,Pueblo,On-Air,Carl Higbee,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,39.5,NNE,,446.85,441.85,,Douglas,On-Air,Parker Radio Association,D-Star B module,CCARC,,,,,,,,,,,,,,http://parkerradio.org,,,,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,40,WNW,,146.685,146.085,107.2,Park,On-Air,Mountain ARC (MARC),"Closed autopatch, e-power.",CCARC,,"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,MARC/PCRC: Tue at 19:30.,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,40,WNW,,147.36,147.96,107.2,Park,On-Air,,E-power.,CCARC,,,,,Wide area.,107.2,,,,,,,,CMRG Repeaters,,,,,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,41.7,SSE,,145.115,144.515,88.5,Pueblo,Off-Air,Pueblo Ham Club,E-power.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,41.7,SSE,,447.7,442.7,210.7,Pueblo,Off-Air,,,CCARC,,,,,,210.7,,0,,,,,,,,,,,,7389,,,,,,,Yes; analog capable.,29228,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,41.7,SSE,,146.88,146.28,88.5,Pueblo,On-Air,Pueblo HC,E-power.,CCARC,,,,,Wide area.,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,41.7,SSE,,449.725,444.725,100,El Paso,On-Air,N0PWZ,,CCARC,,,,,,,,,,,,,,,,,,,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,41.7,SSE,,146.655,146.055,123,Pueblo,On-Air,K0ST,,CCARC,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC1,K0PRA,Parker,CO,OPEN,,43,N,,445.075,440.075,,Douglas,On-Air,Parker Radio Association,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,CCARC,,,,Mondays 20:30 MST,,,,1,,,,,,http://www.parkerradio.org,Mixed Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,43.2,SSE,,447.275,442.275,100,Pueblo,On-Air,,,CCARC,,Full-time to the  The Fun Machine System .,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",,100,,,,,,,,The Fun Machine,"Moved to Pueblo.  Now called ""Pueblo Metro""",Listen Live,,,,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,43.2,SSE,,446.9875,441.9875,,Pueblo,Off-Air,,,CCARC,,Full-time to the  Colorado TRBO System .,,,,,,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,Rocky Mountain Ham Radio,,,,,,,RMHAM,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,43.2,SSE,,147.24,147.84,103.5,Pueblo,Off-Air,TARA,,CCARC,,,,,Pueblo and Fremont Counties,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,44.3,N,,449.95,444.95,77,Douglas,On-Air,W9SL Owner,,CCARC,,,,,Primarily to the North along I-25 corridor,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,45.6,N,,447.525,442.525,203.5,Douglas,On-Air,EmComm Colorado,,CCARC,,,,,"Denver metropolitan area, front range foothills",146.2,,,,,,,,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,47.7,NE,,147.105,147.705,107.2,Elbert,On-Air,ARES of Douglas and Elbert Counties,Linked to CRA 447.150 - Conifer,CCARC,,"Full-time to  
        448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,"I-70, E. Arapahoe, Elbert, Lincoln Counties",107.2,,,,,,,,http://www.w0cra.org/,,,,,,,Colorado Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,48.4,NNW,,447.5,442.5,88.5,Jefferson,On-Air,Aurora Repeater Association,E-power.,CCARC,,,,,Wide area.,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,49.1,NNW,,146.88,146.28,100,Jefferson,On-Air,Denver Radio League,E-power.,CCARC,,,,,Wide Area,,,,,,,,,DRL Repeaters,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,49.1,NNW,,449.6,444.6,100,Jefferson,On-Air,Denver Radio League,,CCARC,,,,,,,,,,,,,,DRL Repeaters,,,,,,3345,,690473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,50.1,N,,448.7,443.7,146.2,Douglas,On-Air,,,,,,,,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,50.6,NNE,,927.8375,902.025,,Douglas,On-Air,,,CCARC,,,,,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,,,,,,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,,,,,,,,,,,,,,,,,,,294,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,52.7,NW,,146.895,146.295,100,Park,On-Air,AB0RR,25,CCARC,,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",,Wed at 19:30.,285,100,,,,,,,,Park County Radio Club (PCRC),,,,,,,,,,,,,,45835,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,53.6,N,,145.4,144.6,100,Arapahoe,On-Air,Castle Rock Repeater Group,"Autopatch, e-power.",CCARC,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,Greater Denver area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,54.1,NNW,,447.15,442.15,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,,,,,Wide area: Denver.,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,54.1,NNW,,224.98,223.38,107.2,Jefferson,Off-Air,Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,Wide area. Denver.,107.2,,,,,,,,,,,,,,3990,,347086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,54.1,NNW,,1287.9,1267.9,CSQ,Jefferson,Off-Air,Colorado Repeater Association (CRA),,CCARC,,,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,54.5,N,,449.425,444.425,D023,Arapahoe,Off-Air,K0PWO,,,,,,,,D023,,,,,,,,,Colorado SNP (Shared non-protected pair),,,,,,,,,,,,,29791,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,55,NNW,,147.12,147.72,88.5,Jefferson,On-Air,Aurora Repeater Association,E-power.,CCARC,,,,,Denver metro and east.,88.5,,,,,,,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,55,N,,145.19,144.59,151.4,Arapahoe,On-Air,N0OBA,Autopatch (please contact trustee).,,,,,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)","Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",131.8,,,,,,,,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",,,,,,,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,55.4,NNW,,53.05,51.35,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),10,CCARC,,,,,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,58.1,SSE,,449.975,444.975,100,Pueblo,On-Air,K0JSC,2,CCARC,,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.","I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",100,,,,,,,,K0JSC dot Com,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,Listen Live,,,,7301,,363976,,,,,,28368,,,,,DM78SA18,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,58.2,WNW,,446.7625,441.7625,,Park,On-Air,K7PFJ,,,,,,,,,,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,RMHAM,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,58.2,SSW,,449.625,444.625,107.2,Custer,On-Air,,E-power.,CCARC,,,,,,,,,,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,58.2,SSW,,447.175,442.175,88.5,Pueblo,Off-Air,Pueblo HC,11,CCARC,,,,,Wide area: Southeast Colorado.,,,,,,,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,58.2,SSW,,224.32,222.72,88.5,Custer,Off-Air,Pueblo Ham Club,11,CCARC,,,,,,,,,,,,,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,59.5,SW,,927.775,902.775,D116,Custer,On-Air,Royal Gorge Amateur Radio Club,,CCARC,,,,,,D116,,,,,,,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,59.5,SW,,147.06,147.66,77,Custer,On-Air,http://www.qsl.net/rghc,E-power,CCARC,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,59.5,SW,,448.15,443.15,103.5,Custer,On-Air,Royal George ARC,E-power.,CCARC,,,,,,103.5,,,,,,,,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,59.6,SW,,919.1,894.1,88.5,Pueblo,Off-Air,Pueblo HC,,CCARC,,,,,Wide area.,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,59.6,N,,449.15,444.15,,Arapahoe,On-Air,Colorado Amateur Repeater Network (CARN),,CCARC,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,59.6,SW,,448.325,443.325,100,Custer,On-Air,,,,,Full-time to the  The Fun Machine System .,,,,100,,,,,,,,,,,,,,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,59.9,W,,448.575,443.575,103.5,Park,Off-Air,,,CCARC,,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,Western Park County,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,60.4,ESE,,449.9,444.9,107.2,Lincoln,On-Air,,,CCARC,,,,,,,,,,,,,,,,,,,,,BSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,61.1,NNW,,449.775,444.775,100,Jefferson,On-Air,Denver Radio Club,,CCARC,,,,,Metro Denver,100,,,,,,,,Denver Radio Club,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,61.1,NNW,,147.33,147.93,100,Jefferson,On-Air,Denver Radio Club,E-power.,CCARC,,,,SATERN: Thu at 19:30.,Metro Denver and the foothills.,,,,,,,,,DRC Repeaters,Not recommeded to use tone squelch on this repeater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,61.1,NNW,,224.38,222.78,100,Jefferson,On-Air,Denver Radio Club,,CCARC,,,,,,100,,,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,61.3,NNW,,145.34,144.74,103.5,Jefferson,On-Air,Rocky Mtn Radio League,E-power.,CCARC,,,,,Wide area.,127.3,,,,,,,,Repeater,,,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,61.3,NNW,,145.175,144.575,D073,Clear Creek,Off-Air,Rocky Mountain Ham Radio,,CCARC,,,,,,D073,,1,,,,,,Rocky Mountain Ham Radio,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,61.8,NNW,,447.875,442.875,107.2,Jefferson,On-Air,N6LXX,,CCARC,,Full-time to the  N6LXX System .,,,"I-70,I-76,I-25,I-225",107.2,,,,,,,,,,,,,,,N6LXX,,,,,,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,61.8,NNW,,53.17,51.47,107.2,Jefferson,On-Air,N6LXX,,CCARC,,Full-time to the  N6LXX System .,,,"I-70,I-76,I-25,I-225",CSQ,,,,,,,,,,,,,,,N6LXX,,,,,,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,61.9,N,,448.5,443.5,100,Denver,On-Air,Castle Rock Repeater Group,E-power.,CCARC,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,Greater Denver area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,61.9,N,,448.825,443.825,,Arapahoe,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open ↑ / Open ↓,,,,,,,,,,,,30584,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,61.9,N,,448.275,443.275,156.7,Arapahoe,On-Air,W0BG,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,61.9,N,,448.4,443.4,94.8,Arapahoe,On-Air,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,62.3,NNW,,448.75,443.75,100,Jefferson,On-Air,,E-power.,CCARC,,,,,Local.,100,,,,,,,,,,,,,,,N0ELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,62.9,NNW,,53.09,51.39,107.2,Jefferson,On-Air,Denver Radio Club,E-power.,CCARC,,,,,Metro Denver area.,,,,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,63.1,N,,447.9,442.9,CSQ,Denver,Off-Air,WB0TPT,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,63.1,N,,447.925,442.925,100,Denver,On-Air,RADOPS El Jebel Shriners,,CCARC,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,63.1,N,,449.65,444.65,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),,CCARC,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,63.1,N,,449.675,444.675,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),,CCARC,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",7708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,63.2,N,,146.715,146.115,123,Denver,On-Air,EARS,E-power.,CCARC,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,63.2,NNW,,447.825,442.825,D073,Jefferson,On-Air,Denver Radio Club,,CCARC,,,,,,D073,,,,,,,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,63.2,N,,145.475,144.875,100,Jefferson,On-Air,Intermountain Repeater Group,E-power.,CCARC,,,,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",,,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
