Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Northern Colorado,County,Op Status,Affiliate,Features,Links,Notes,Web links,Coordination,Last update,Downlink Tone,Coverage,Sponsor,Nets,Grid,EchoLink,YSF Digital Enabled,DG-ID,Mixed-Mode,IRLP,D-STAR Enabled,Node,Sources,AllStar,Feed,Commands,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Denver Regional,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,English,On-air,Local Network,Southern Colorado,Wyoming,WyLOCAL,Location Photo
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,60.8,S,yes,449.25,444.25,123,,,,,,,Elbert,On-Air,,Full duplex node.,,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",,CCARC,yes,123,"I-70 Limon, Co area.",K0UPS Club c/o N1UPS,,,3349,,,,3349,,,,,,** [StarStar] Prefix for Echolink Node.,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,62.5,WNW,yes,447.2,442.2,82.5,,,,,,,Weld,On-Air,,,,,,CCARC,yes,,,N6RFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,63.5,WNW,yes,147.39,147.99,,yes,2,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  TAC 310  1  310      DCI Bridge  1  3100      N. Colorado  1  3171      Mountain Reg USA  1  3177      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,Larimer,On-Air,,,,,Documentation,CCARC,yes,,"Fort Collins east side, into Red Feather Lakes area.",KT0L - NoCo C-Bridge Network,Tac 310 Net: Sun at 18:00.,,,,,,,,,,,,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,
446.775,-5,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,63.8,WNW,yes,446.775,441.775,,yes,2,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",2,,Larimer,On-Air,Brandmeister Network,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",W0DMR,CCARC,yes,,"Fort Collins east side, into Red Feather Lakes area.",W0DMR - NoCo C-bridge Network,,,,,,,,,,,,,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,1,2,,2,BrandMeister US,1,1,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,63.8,SW,yes,927.8375,902.025,,,,,,,,Douglas,On-Air,,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,CCARC,yes,,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,,,,,,,,,,,,,,,,,,,,,yes,294,yes,,,,,,,,,,,,,,,
448.025,-5,100,W0UPS,"Loveland, Budweiser Event Center",CO,OPEN,,64,WNW,yes,448.025,443.025,100,,,,,,,Larimer,On-Air,,,,,,CCARC,yes,100,,Northern Colorado ARC,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,65.4,WSW,yes,448.275,443.275,156.7,,,,,,,Arapahoe,On-Air,,,,,,CCARC,yes,,,W0BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,65.4,WSW,yes,448.5,443.5,100,,,,,,,Denver,On-Air,,E-power.,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,CCARC,yes,,Greater Denver area.,Castle Rock Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,65.4,WSW,yes,448.825,443.825,,,,,,,,Arapahoe,On-Air,,,,,,,yes,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,30584,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,65.4,WSW,yes,448.4,443.4,94.8,,,,,,,Arapahoe,On-Air,,,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,65.7,SW,yes,449.15,444.15,,,,,,,,Arapahoe,On-Air,,,,,,CCARC,yes,,,Colorado Amateur Repeater Network (CARN),,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,131.8,WB7GR,"Cheyenne, Chalk Bluffs",WY,OPEN,,65.7,NW,yes,449.3,444.3,,,,,,,,Laramie,On-Air,,,,,,,yes,,,WU7G,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,65.8,SW,yes,449.425,444.425,D023,,,,,,,Arapahoe,Off-Air,,,,Colorado SNP (Shared non-protected pair),,,yes,D023,,K0PWO,,,,,,,,,,,29791,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,66.5,SW,yes,145.19,144.59,151.4,,,,,,,Arapahoe,On-Air,,Autopatch (please contact trustee).,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",,,yes,131.8,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",N0OBA,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,66.8,SW,yes,145.4,144.6,100,,,,,,,Arapahoe,On-Air,,"Autopatch, e-power.","Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,CCARC,yes,,Greater Denver area.,Castle Rock Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,67.6,WSW,yes,147.045,147.645,123,,,,,,,Adams,On-Air,,E-power.,,,,CCARC,yes,CSQ,,Northglenn RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,67.9,W,yes,449.575,444.575,100,,,,,,,Larimer,On-Air,,"Closed autopatch, e-power.",,,,CCARC,yes,,,Loveland Rptr Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,100,KN6VV,Loveland,CO,OPEN,,67.9,W,yes,224.32,222.72,100,,,,,,,Larimer,Off-Air,,"Closed autopatch, e-power.",,,,CCARC,yes,100,,KN6VV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,68.9,W,yes,448.8,443.8,88.5,,,,,,,Boulder,On-Air,,30,"Linkable to  
        147.27000 (W0ENO) at Longmont, CO .",,,CCARC,yes,88.5,,Longmont ARC,LARC: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,68.9,W,yes,147.27,147.87,100,,,,,,,Boulder,On-Air,,"Closed autopatch, e-power, EchoLink.","Linkable to  
        448.80000 (W0ENO) at Longmont, CO .",,http://w0eno.org/?q=node/11,CCARC,yes,100,Wide area: Northern Colorado.,Longmont ARC (LARC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,68.9,W,yes,448.525,443.525,151.4,,,,,,,Boulder,On-Air,,,,,,CCARC,yes,,,N0EPA,,,223853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC8,K0RTS,"Genoa, Limon",CO,OPEN,,69,SSE,yes,446.7375,441.7375,,yes,8,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,Lincoln,On-Air,RMHam,,,"Colorado on TG700 Slot 1
Denver on TG720 Slot 2",,CCARC,yes,,"I-70  H-40  H-287  Arriba, Genoa, Hugo, Limon        50 mile radius",K0RTS KC0VJD,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
447.725,-5,131.8,W7RF,Fort Collins,CO,OPEN,,69.4,WNW,yes,447.725,442.725,131.8,,,,,,,Larimer,On-Air,,,,,,CCARC,yes,,,W7RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,103.5,KE0AE,Genoa,CO,OPEN,EIA,69.8,SSE,yes,147.06,147.66,103.5,,,,,,,Lincoln,On-Air,,"APRS repeater / weather station, remote base, e-power (solar - completely off the electrical grid).",,,http://www.bigsandyradio.com/,CCARC,yes,,"I-70, US-71, US-287, US-40, US-24",BSARC,Big Sandy Net: Wed 19:00,,791116,yes,Open ↑ / Open ↓,Yes; analog capable.,3794,,,,42740,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,100,W0LRA,"Loveland, Namaqua Hill",CO,OPEN,,70.5,W,yes,147.195,147.795,100,,,,,,,Larimer,On-Air,,"Closed autopatch, e-power.",,,,CCARC,yes,,,Loveland Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,70.7,WNW,yes,147.36,147.96,100,,,,,,,Larimer,On-Air,,Closed autopatch.,,,,CCARC,yes,100,Map,CO State Univ ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,110.9,WB7UPS,Wellington,CO,OPEN,,70.9,WNW,yes,448.325,443.325,110.9,,,,,,,Larimer,On-Air,,,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,71.2,SW,yes,448.7,443.7,146.2,,,,,,,Douglas,On-Air,,,,,,,yes,,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,100,N1UPS,Westminster,CO,OPEN,EI,71.4,WSW,yes,449.3,444.3,100,,,,,,,Adams,On-Air,,,,,,CCARC,yes,,,N1UPS,,,43699,,,,3699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,71.4,WNW,yes,449.85,444.85,100,,,,,,,Larimer,On-Air,,Closed autopatch.,,,,CCARC,yes,100,Map,CO State Univ ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,71.5,WSW,yes,447.175,442.175,100,,,,,,,Denver,On-Air,,,,,,CCARC,yes,100,,W0JRL,,,201712,,,,,,,,29997,,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,71.7,WSW,yes,448.925,443.925,131.8,,,,,,,Boulder,On-Air,,,,,,CCARC,yes,,,W0LMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,71.7,WSW,yes,449.825,444.825,103.5,,,,,,,Boulder,On-Air,,6,,,Repeater,CCARC,yes,,Along the foothills and into Boulder where the 94 repeater is shadowed.,Rocky Mountain Radio League,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,,W0QEY,"Fort Collins, CSU Durward Hall",CO,OPEN,,71.7,WNW,yes,446.8125,441.8125,,,,,,,,Larimer,On-Air,,D-Star Gateway,,Free Star,,CCARC,yes,,Fort Collins Local Area,W0QEY CSU,,,,,,,,yes,W0QEY (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,71.9,WSW,yes,448.55,443.55,82.5,,,,,,,Denver,Off-Air,,E-power.,,,,CCARC,yes,,,HPRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,71.9,WSW,yes,448.075,443.075,123,,,,,,,Denver,On-Air,,,,,,CCARC,yes,,,W0IG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,71.9,WSW,yes,145.475,144.875,100,,,,,,,Jefferson,On-Air,,E-power.,,,Intermountain Repeater Group,CCARC,yes,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,71.9,WSW,yes,146.715,146.115,123,,,,,,,Denver,On-Air,,E-power.,,,,CCARC,yes,123,,EARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,72,WSW,yes,449.675,444.675,,,,,,,,Denver,On-Air,,,,,,CCARC,yes,,,Colorado Amateur Repeater Network (CARN),,,,,,,7708,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,72,WSW,yes,447.925,442.925,100,,,,,,,Denver,On-Air,,,,,,CCARC,yes,100,,RADOPS El Jebel Shriners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,72,WSW,yes,449.65,444.65,,,,,,,,Denver,On-Air,,,,,,CCARC,yes,,,Colorado Amateur Repeater Network (CARN),,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,72,WSW,yes,447.9,442.9,CSQ,,,,,,,Denver,Off-Air,,,,,,CCARC,yes,,,WB0TPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,72.4,SSW,yes,147.105,147.705,107.2,,,,,,,Elbert,On-Air,Colorado Repeater Association,Linked to CRA 447.150 - Conifer,"Full-time to  
        448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,http://www.w0cra.org/,CCARC,yes,107.2,"I-70, E. Arapahoe, Elbert, Lincoln Counties",ARES of Douglas and Elbert Counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,72.9,W,yes,146.76,146.16,100,,,,,,,Boulder,On-Air,Boulder County ARES,5,,"ARES primary repeater. 
 Voting Receivers:  
 
   
    RX Location    Tone    Pitch    PL  
   
   Gunbarrel  single beep  low  100.0 
   
   Lousville  single beep  low  100.0 
   
   Lyons  double beep  high followed by medium  100.0 
   
   Louisville #2  double beep  high followed by low  100.0",,CCARC,yes,,Wide area.,Rocky Mtn VHF Soc,,,,,,,,,,,,,,,,,,,,,,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,
445.075,-5,CC1,K0PRA,Parker,CO,OPEN,,73.2,SW,yes,445.075,440.075,,yes,1,,,,,Douglas,On-Air,,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,,Mixed Mode,http://www.parkerradio.org,CCARC,yes,,,Parker Radio Association,Mondays 20:30 MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,123,KC0RBT,Fort Collins,CO,OPEN,E,73.2,WNW,yes,447.45,442.45,123,,,,,,,Larimer,On-Air,,,,,,CCARC,yes,,,,,,447450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.55,-20,100,K1TJ,Fort Collins,CO,OPEN,,73.2,WNW,yes,1283.55,1263.55,100,,,,,,,Larimer,On-Air,,,,,http://www.k1tj.com/,CCARC,yes,,Northern Colorado Front Range,K1TJ Repeater System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC2,N0AOL,Fort Collins,CO,OPEN,,73.2,WNW,yes,446.7375,441.7375,,yes,2,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      English  1  13      TAC 310  1  310      Local/Cluster  2  2      N. Colorado  2  3171    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,Larimer,On-Air,,DMR-MARC World Wide Network,,Repeater ID: 310803,http://nocodmr.kt0l.net:8080/nocodmr/documentation.htm,CCARC,yes,,Wide area: North Front Range.,N0AOL - NoCo C-Bridge Network,"DMR World Wide Net: Sat at 10:00. 
TS 1 Group Call 1 http://www.dmr-marc.net/ 
Tac 310 Net: Sun at 18:00, TS 1 Group Call 310 .",,,,,,,,,,,,,1,,2,,2,,,1,,,,,,,,,,,1,1,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,75.2,SW,yes,446.85,441.85,,,,,,,,Douglas,On-Air,,D-Star B module,,,http://parkerradio.org,CCARC,yes,,,Parker Radio Association,,,,,,,,yes,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC7,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,75.3,WNW,yes,446.75,441.75,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Larimer,On-Air,,,Full-time to the  Colorado TRBO System .,See website for complete info on color codes/time slot assignment.,http://www.rmham.org,CCARC,yes,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC2,KB0VGD,"Fort Collins , Horsetooth Mountain",CO,OPEN,,75.3,WNW,yes,145.265,144.665,,yes,2,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",2,,Larimer,On-Air,Brandmeister Network,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",http://www.w0dmr.org/,CCARC,yes,,Northern Colorado Front Range Wide Area coverage.,W0DMR - NoCo C-bridge Network,,,,,,,,,,,,,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,1,2,,2,BrandMeister US,1,1,,,,,,,,,,,,,,,,,,
