Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,YSF Digital Enabled,DG-ID,County,Op Status,Coverage,Affiliate,Features,Notes,Last update,Uplink Tone,Downlink Tone,WIRES-X,Mixed-Mode,Grid,Sponsor,Links,EchoLink,IRLP,AllStar,Nets,Web links,Feed,Coordination,Talkgroups,Colorado,Southern Colorado,Worldwide,North America,Local/Cluster,On-air,Denver Regional,Commands,Location Photo,Talkgroup Network,Northern Colorado,P25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,English,Worldwide English,Texas,COMM 1,Texas/Oklahoma Regional USA,Amarillo WIRES-X
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,46.4,W,yes,449.725,444.725,,,,,,,,,El Paso,On-Air,,,,,yes,100,,,,,N0PWZ,,,3043,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,46.4,W,yes,447.7,442.7,,,,yes,0,,,,Pueblo,Off-Air,,,,,yes,210.7,210.7,,Yes; analog capable.,,,,,7389,29228,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,46.4,W,yes,147.24,147.84,,,,,,,,,Pueblo,Off-Air,Pueblo and Fremont Counties,,,,yes,103.5,CSQ,,,,TARA,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,46.4,W,yes,145.115,144.515,,,,,,,,,Pueblo,Off-Air,,,E-power.,,yes,88.5,,,,,Pueblo Ham Club,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,46.4,W,yes,446.9875,441.9875,,,,yes,6,,,,Pueblo,Off-Air,,RMHAM,,,yes,,,,,,,Full-time to the  Colorado TRBO System .,,,,,Rocky Mountain Ham Radio,,CCARC,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,47.3,W,yes,147,147.6,,,,,,,,,Pueblo,On-Air,,,,,yes,,,,,,Carl Higbee,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,ND0Q,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,49,SW,yes,146.73,146.13,,,,,,,,,Huerfano,On-Air,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",,6,,yes,88.5,,,,,Pueblo Ham Club,,,,,,Pueblo Ham Club,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,53.4,W,yes,448.975,443.975,,,,,,,,,Pueblo,On-Air,,,,Off air.  Will return to service,yes,100,100,,,,,Full-time to the  The Fun Machine System .,363976,7301,28368,,http://www.k0jsc.com,Listen Live,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,103.5,KC0VJD,Hugo,CO,OPEN,W,59.7,NNE,yes,447,442,,,,,,,yes,Open ↑ / Open ↓,Lincoln,On-Air,"I-70, US-71, US-287, US-40, US-24, Hugo, Limon, Genoa, Punkin Center, Arriba.",,APRS repeater &amp; I-Gate / Weather station,,yes,103.5,,30534,Yes; analog capable.,DM89gb,Delbert Noakes (KC0VJD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,KC0HH,Lamar,CO,OPEN,EI,62.3,ESE,yes,146.61,146.01,,,,,,,,,Prowers,On-Air,Hwy 287 - Springfield to Eads Hwy 50 - Holly to Rocky Ford. 45 mi radius.,,,,yes,123,123,,,,Lamar Amateur Radio Club,"Full-time to  
        449.50000 (KC0HH) at Lamar, CO .",37784,3774,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,123,KC0HH,Lamar,CO,OPEN,EI,62.4,ESE,yes,449.5,444.5,,,,,,,,,Prowers,On-Air,45,,,,yes,123,,,,,Lamar ARC,"Full-time to  
        146.61000 (KC0HH) at Lamar, CO .",37784,3774,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,67.5,NW,yes,447.2,442.2,,,,,,,yes,Open ↑ / Open ↓,El Paso,Testing,"Falcon, Black Forest, Peyton Areas",Garden of the Gods Amateur Radio Club,,,yes,,,,,,GGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,70,WNW,yes,145.13,144.53,,,,,,,,,El Paso,On-Air,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,,9,Linked into the Colorado Connection System,yes,88.5,123,,,,Colorado Connection,Full-time to the  Colorado Connection System .,,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",,Listen Live,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,70,WNW,yes,927.85,902.85,,,,,,,,,Teller,On-Air,,,9,,yes,D114,,,,,CMRG,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,http://www.cmrg.org,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,70,WNW,yes,446.9125,441.9125,yes,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,El Paso,On-Air,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,yes,,,,,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,70,WNW,yes,445.0625,440.0625,,,,yes,1,,,,El Paso,Off-Air,,,The DMR-MARC Worldwide Network,,yes,,,,,,Rocky Mountain Ham Radio,,,,,,,,CCARC,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,70,WNW,yes,53.13,51.43,,,,,,,,,El Paso,On-Air,,,,,yes,107.2,107.2,,,,Cheyenne Mountain Repeater Group (CMRG),,,,,,http://www.cmrg.org,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,70,WNW,yes,145.375,144.77,yes,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,El Paso,Off-Air,wide area,,,Repeater off air for now.,yes,,,,,,Cheyenne Mountain Repeater Group (CMRG),,,,,,http://www.cmrg.org,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,Colorado Springs,CO,OPEN,,70.3,WNW,yes,145.265,144.665,,,,,,,yes,Open ↑ / Open ↓,El Paso,Off-Air,Local. Good coverage of I25 in Colorado Springs.,,"Closed autopatch, e-power.",Repeater has been moved.,yes,100,100,,Yes; analog capable.,,Pikes Peak FM Association,,,,,,PPFMA Repeaters,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, UCCS",CO,OPEN,,70.3,WNW,yes,448.8,443.8,,,,,,,yes,Open ↑ / Open ↓,El Paso,Off-Air,,,,,yes,100,100,,Yes; analog capable.,,Pikes Peak FM Assoc,,,,,,PPFMA Repeaters,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,70.6,WNW,yes,448.1,443.1,,,,,,,,,El Paso,On-Air,Wide area.,,"Closed autopatch, e-power.",,yes,107.2,107.2,,,,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,CMRG Repeaters,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,70.6,WNW,yes,146.76,146.16,,,,,,,,,El Paso,On-Air,,,"Closed autopatch, e-power.",,yes,107.2,107.2,,,,Cheyenne Mountain Repeater Group,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,70.6,WNW,yes,147.345,147.945,,,,,,,,,El Paso,On-Air,Wide area.,,"Closed autopatch, e-power.",,yes,107.2,107.2,,,,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,3854,,,http://www.cmrg.org/,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,70.6,WNW,yes,448,443,,,,,,,,,El Paso,On-Air,,,,,yes,107.2,,,,,,,,,,,CMRG Repeaters,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,70.6,WNW,yes,145.16,144.56,,,,,,,,,El Paso,On-Air,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",CRA VHF Link System,"Closed autopatch, e-power.",Switch to this repeater at mile marker 170 on I-25.,yes,107.2,107.2,,,,Colorado Repeater Association,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",347086,3990,,,http://www.w0cra.org/info/cosprgs.html#145160,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,70.8,WNW,yes,448.725,443.725,,,,,,,,,El Paso,On-Air,,,,,yes,123,,,,,KA0TTF,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,70.9,NW,yes,147.135,147.735,,,,,,,,,El Paso,On-Air,,,6,,yes,100,,,,,AA0L,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,71.6,NW,yes,224.06,222.46,,,,,,,,,El Paso,,Wide area.,,"E-power, linked.",,yes,,,,,,Pikes Peak FM Association (PPFMA),,,,,,,,CCARC,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,71.6,NW,yes,449.575,444.575,,,,,,,,,El Paso,On-Air,,,,,yes,,,,,,RMHARC,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,114.8,W0MOG,Colorado Springs,CO,OPEN,,71.6,NW,yes,448.6,443.6,,,,,,,,,El Paso,,,,,,yes,114.8,,,,,W0MOG,"Full-time to  
        927.80000 (W0MOG) at Colorado Springs, CO .",,,,,,,CCARC,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,71.6,NW,yes,447.475,442.475,,,,,,,,,El Paso,,,,"Closed autopatch, e-power.",,yes,107.2,,,,,Mountain ARC (MARC),"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,MARC/PCRC: Tue at 1930.,,,CCARC,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,71.6,NW,yes,447.55,442.55,,,,,,,,,El Paso,On-Air,,,,,yes,123,,,,,WA6IFI,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8,-25,D116,W0MOG,Colorado Springs,CO,OPEN,,71.6,NW,yes,927.8,902.8,,,,,,,,,Teller,On-Air,,,6,,yes,D116,,,,,,"Full-time to  
        448.60000 (W0MOG) at Colorado Springs, CO .",,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,AA0L,Colorado Springs,CO,OPEN,,71.6,NW,yes,448.3,443.3,,,,,,,,,El Paso,On-Air,,,,,yes,100,,,,,AA0L,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.025,-5,123,KF0WF,Colorado Springs,CO,OPEN,,71.6,NW,yes,447.025,442.025,,,,,,,,,El Paso,Off-Air,,,"Closed autopatch, e-power, linked, remote base.",,yes,123,,,,,Colorado Springs ARA,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.25,-5,123,N0KG,"Colorado Springs, Broadmoor Area",CO,OPEN,,71.6,NW,yes,448.25,443.25,,,,,,,,,El Paso,Off-Air,Colorado Springs,,,,yes,123,,,,,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,151.4,K0IRP,Colorado Springs,CO,OPEN,,71.6,NW,yes,447.35,442.35,,,,,,,,,El Paso,On-Air,,,E-power.,,yes,151.4,,,,,GGARC,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,71.8,NW,yes,146.91,146.31,,,,,,,,,El Paso,On-Air,,,E-power.,,yes,151.4,151.4,,,,GGARC,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,103.5,W0RSH,Colorado Springs,CO,OPEN,,71.8,NW,yes,146.85,146.25,,,,,,,,,El Paso,On-Air,,,,,yes,103.5,,,,,W0RSH,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,71.8,NW,yes,147.39,147.99,,,,,,,,,El Paso,On-Air,,,,,yes,103.5,,,,,W0MOG,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,71.8,NW,yes,147.27,147.87,,,,,,,,,El Paso,On-Air,,,E-power.,,yes,,,,,,TRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,72,NNW,yes,147.105,147.705,,,,,,,,,Elbert,On-Air,"I-70, E. Arapahoe, Elbert, Lincoln Counties",Colorado Repeater Association,Linked to CRA 447.150 - Conifer,,yes,107.2,107.2,,,,ARES of Douglas and Elbert Counties,"Full-time to  
        448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,http://www.w0cra.org/,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,73.3,NW,yes,447.625,442.625,,,,,,,,,El Paso,On-Air,,The Fun Machine,Linked.,,yes,100,100,,,,KD0MDP,Full-time to the  The Fun Machine System .,363976,7301,28299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,73.5,NW,yes,224.72,223.12,,,,,,,,,El Paso,On-Air,Local,,,,yes,103.5,103.5,,,,w0mog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,103.5,KE0AE,Genoa,CO,OPEN,EIA,74,N,yes,147.06,147.66,,,,,,,yes,Open ↑ / Open ↓,Lincoln,On-Air,"I-70, US-71, US-287, US-40, US-24",,"APRS repeater / weather station, remote base, e-power (solar - completely off the electrical grid).",,yes,103.5,,,Yes; analog capable.,,BSARC,,791116,3794,42740,Big Sandy Net: Wed 19:00,http://www.bigsandyradio.com/,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC8,K0RTS,"Genoa, Limon",CO,OPEN,,74.5,N,yes,446.7375,441.7375,,,,yes,8,,,,Lincoln,On-Air,"I-70  H-40  H-287  Arriba, Genoa, Hugo, Limon        50 mile radius",RMHam,,"Colorado on TG700 Slot 1
Denver on TG720 Slot 2",yes,,,,,,K0RTS KC0VJD,,,,,,,,CCARC,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,KZ0DEM,"Pritchett,  Tator Butte",CO,OPEN,,76.4,SE,yes,146.64,146.04,,,,,,,,,Las Animas,Off-Air,Wide area: West BACA and East Las Animas counties.,,,,yes,100,100,,,,,,,,,,KZ0DEM Repeaters,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.725,-25,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,77.1,WNW,yes,927.725,902.725,,,,,,,,,Teller,On-Air,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.",,12,,yes,D114,D114,,,,WA6IFI,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",,,,,Yahoo Group,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,77.1,WNW,yes,446.95,441.95,,,,yes,7,,,,Teller,On-Air,Monument Hill through Pueblo.,RMHAM,,,yes,,,,,,Rocky Mountain Ham Radio,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,77.1,WNW,yes,147.18,147.78,,,,,,,,,El Paso,On-Air,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",,E-power (solar).,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,yes,100,,,,,AA0SP,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,78.6,W,yes,224.32,222.72,,,,,,,,,Custer,Off-Air,,,11,,yes,88.5,,,,,Pueblo Ham Club,,,,,,PHC repeaters,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,78.6,W,yes,447.175,442.175,,,,,,,,,Pueblo,Off-Air,Wide area: Southeast Colorado.,,11,,yes,88.5,,,,,Pueblo HC,,,,,,Pueblo Ham Club,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,78.6,W,yes,449.625,444.625,,,,,,,,,Custer,On-Air,,,E-power.,,yes,107.2,,,,,,,,,,,CMRG Repeaters,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,79.6,WNW,yes,449.975,444.975,,,,,,,,,Fremont,On-Air,,The Fun Machine,Simulcast TX / Voted RX with Cedarwood and Salida,,yes,100,100,,,,K0JSC,Full-time to the  The Fun Machine System .,,,,,http://www.k0jsc.com,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
