Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Coordination,Last update,Sponsor,Coverage,Features,Downlink Tone,Grid,Affiliate,Links,AllStar,Notes,Nets,DMR Enabled,Color Code,Wide Network,D-STAR Enabled,Node,Sources,Talkgroup Network,Talkgroups,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Colorado,Southern Colorado,IRLP,On-air,EchoLink,Commands,P25 Digital Enabled,NAC,Default Reflector,Location Photo,Feed,Denver Regional,YSF Digital Enabled,DG-ID,Mixed-Mode,Northern Colorado,Local/Cluster,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,62.4,WSW,,146.88,146.28,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,,,,,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,63,W,,442.375,447.375,100,Montezuma,On-Air,,,,San Juan Connection,,,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,67,NM5ML,"Bloomfield, Harris Mesa",NM,OPEN,,63.4,SW,,147.28,147.88,67,San Juan,On-Air,,NMFCC,,,Wide area.,6,,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,63.4,NW,,147.27,147.87,127.3,Ouray,On-Air,http://www.sjcham.com,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,KB5ITS,"Bloomfield, Harris mesa",NM,OPEN,,63.5,SW,,147.1,147.7,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,,San Juan connection,,,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.1,-20,,KF5VBE,Aztec,NM,CLOSED,,63.6,WSW,,1291.1,1271.1,,Bernalillo,On-Air,,NMFCC,,San Juan County,,DV only,,,,,,,,,,,,KF5VBE (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,,KF5VBE,Farmington,NM,OPEN,,63.7,WSW,,145.115,144.515,,San Juan,On-Air,,,,,,,,,,,,,,,,,,KF5VBE (C) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,66.2,SW,,448.65,443.65,127.3,San Juan,On-Air,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,,66.2,SW,,146.92,146.32,100,San Juan,On-Air,,NMFCC,,San Juan County OEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,68.2,W,,145.325,144.725,100,Montezuma,On-Air,http://www.sjcham.com,CCARC,,,Wide area.,E-power.,,,,,,Full time to the San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC6,N5UBJ,"Mancos, Caviness Mountain",CO,OPEN,,70.5,W,,446.7375,441.7375,,Montezuma,On-Air,http://www.rmham.org,CCARC,,RMHAM,,,,,,,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,,6,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  1  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras, San Antonio Mountain",NM,OPEN,,71.9,SE,,146.76,146.16,67,Taos,On-Air,,,,Taos ARC,"Wide area: Most of Taos County, Eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Tres Piedras, San Antonio Mtn.",NM,OPEN,,71.9,SE,,145.175,144.575,141.3,Taos,Off-Air,,NMFCC,,NMEMA ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,72.5,NW,,449.7,444.7,107.2,San Miguel,On-Air,,CCARC,,Grand Mesa Repeater Association ( GMRA ),Wide Area via links - Western Colorado - Eastern Utah,E-power.,107.2,,,Full-time to the  GMRA Open System .,,Closed IRLP out - Ask for a control Op,RACES: Wed at 19:30.,,,,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,K5WXI,Farmington,NM,OPEN,,76.4,WSW,,146.85,146.25,100,San Juan,On-Air,,NMFCC,,Totah ARC,,Closed autopatch.,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,,76.4,WSW,,146.76,146.16,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,,,,"Closed autopatch, e-power.",100,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KB5ITS,Farmington,NM,OPEN,,76.4,WSW,,147,147.6,100,San Juan,On-Air,,NMFCC,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,100,K5WY,Farmington,NM,OPEN,,76.4,WSW,,449,444,100,San Juan,,,NMFCC,,K5WY,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,,76.4,WSW,,53.01,52.01,131.8,San Juan,On-Air,,NMFCC,,KB5ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.15,5,,KF5VBF,Farmington,NM,OPEN,,76.5,WSW,,444.15,449.15,,San Juan,On-Air,,,,San Juan County,,DV only,,,,,,,,,,,,KF5VBF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.325,5,CC1,N5UBJ,Farmington,NM,OPEN,,76.5,WSW,,442.325,447.325,,San Juan,On-Air,http://www.aztrbonet.com/MinimalNetwatch,NMFCC,,,,AZ-TRBONET,,,,,,,,,1,,,,,AZ-TrboNet,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
1291.7,-20,,KF5VBF,"Farmington, Farmington Bluffs",NM,CLOSED,,77.5,WSW,,1291.7,1271.7,,San Juan,On-Air,,NMFCC,,San Juan County,,DV only,,,,,,,,,,,,KF5VBF (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,NM5SJ,Lybrook,NM,OPEN,,77.8,SSW,,145.49,144.89,100,Rio Arriba,On-Air,,NMFCC,,Totah ARC,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Abiquiu, Cerro Pelon",NM,OPEN,,82.8,SSE,,147.04,147.64,141.3,Rio Arriba,Off-Air,,NMFCC,,NMEMA ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,83.3,W,,145.19,144.59,100,Montezuma,On-Air,http://www.sjcham.com,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,83.3,W,,447.275,442.275,100,Montezuma,On-Air,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,85.3,NNW,,447.2,442.2,107.2,Montrose,On-Air,GMRA Repeaters,CCARC,,,Delta/Montrose,9,107.2,,Grand Mesa Repeater Assoc,Full-time to the  GMRA Open System .,,Closed IRLP out - Ask for a control op,RACES Net Wed at 1930 Hrs.,,,,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,85.3,NNW,,448.65,443.65,,Montrose,On-Air,,,,KB0YNA,Wide area.,,151.4,,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Cuba, Eureka Mesa",NM,OPEN,,86.2,S,,145.175,144.575,141.3,Sandoval,Off-Air,,NMFCC,,NMEMA ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,127.3,KD5LWU,"Cortez, Downtown",CO,OPEN,EA,86.7,W,,146.79,146.19,127.3,Montezuma,On-Air,,CCARC,,KD5LWU,,,127.3,,,,29317,,4,,,,,,,,,,,,,,,,,,,,24336,,,,,,,,,,,,,,,,,,,
449.175,-5,127.3,KD5LWU,Cortez,CO,OPEN,E,86.7,W,,449.175,444.175,127.3,Montezuma,Off-Air,,CCARC,,KD5LWU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24336,,,,,,,,,,,,,,,,,,,
147.24,0.6,67,NM5ML,"Cuba, Eureka Mesa",NM,OPEN,,87.3,S,,147.24,147.84,67,Sandoval,On-Air,,NMFCC,,,Wide area.,9,,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,88.3,N,,147.12,147.72,,Gunnison,On-Air,,CCARC,,W0VTL,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,88.3,N,,449.95,444.95,,Gunnison,,,CCARC,,K5GF,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,
145.39,-0.6,100,KF5PFO,"Red River, Molycorp",NM,OPEN,,91.7,SE,,145.39,144.79,100,Taos,On-Air,Taos Amateur Radio Club,NMFCC,,Taos ARC,Wide area.,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,"Maysville, CO",CO,OPEN,,92.8,NNE,,145.325,144.725,100,Chaffee,On-Air,,,,Chaffee Lake Amateur Repeater Association,wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,96,NNW,,146.91,146.31,107.2,Montrose,On-Air,,CCARC,,,,E-Power,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,96,NNW,,146.79,146.19,107.2,Montrose,On-Air,,CCARC,,KC0UXX,,E-power.,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,96.2,NNE,,447.65,442.65,151.4,Gunnison,On-Air,,CCARC,,KB0YNA,Gunnison valley and along East and west on Highway 50.,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",151.4,,,"Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,KD5PX,"Dixon, Cerro Abajo",NM,OPEN,,96.6,SE,,147.18,147.78,100,Rio Arriba,On-Air,,NMFCC,,,Dixon Embudo Ojo Sarco St Rd 68 Rio Grande Canyon,,100,DM76BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,97.9,NNE,,449.975,444.975,100,Chaffee,On-Air,K0JSC.COM,CCARC,,,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,2,100,DM68xk,,Full-time to the  The Fun Machine System .,28368,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,,,,,,,,,,,,,,,,7301,,363976,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,98,NNE,,449.925,444.925,103.5,Chaffee,On-Air,,CCARC,,,"Upper Arkansas and Platte Rivers, and the SLV",E-power (Bat),103.5,,Colorado ARES,,,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,98,NNE,,449.65,444.65,107.2,Chaffee,On-Air,CMRG Repeaters,CCARC,,,Wide area.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,67,NM5ML,"Taos, Ski Valley",NM,OPEN,,98.1,SE,,147.14,147.74,67,Taos,On-Air,http://www.taosarc.com/,,,,,11,,,TaosARC,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,98.6,NNE,,145.295,144.695,107.2,Chaffee,On-Air,CMRG Repeaters,CCARC,,Cheyenne Mtn Repeater Group,Wide area.,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,98.6,NNE,,147.285,147.885,88.5,Chaffee,On-Air,,CCARC,,Colorado Connection,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",11,123,,,Full-time to the  Colorado Connection System .,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.41,-0.6,100,W5HO,La Cueva,NM,OPEN,,99.1,SSE,,145.41,144.81,100,Santa Fe,Off-Air,,NMFCC,,W5HO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,123,KF5PFO,"Red River, Valle Vidal",NM,OPEN,,100.2,SE,,145.25,144.65,123,Taos,On-Air,Taos Amateur Radio Club,NMFCC,,Taos ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.975,5,123,N5TSV,"Taos, Wheeler Peak",NM,OPEN,,100.9,SE,,444.975,449.975,123,Taos,On-Air,,NMFCC,,N5TSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,162.2,W5SF,"Los Alamos, Pajarito Mountain",NM,OPEN,,101.3,SSE,,145.19,144.59,,Los Alamos,On-Air,,NMFCC,,SFARC,Wide Area,,,,,,,W5SF/PAJ - Distinct from the NM5SC repeater near Cuba on Pajarito Peak.,Northern New Mexico Amateur Radio Net: Mon at 20:30.,,,,,W5SF (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.94,-1.6,CSQ,KB5RX,"Los Alamos, Pajarito Mountain",NM,OPEN,,101.9,SSE,,223.94,222.34,CSQ,Los Alamos,On-Air,,NMFCC,,,,E-power.,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,Wide area.,,,,,,,,,,,,,,,,,,
