Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,YSF Digital Enabled,DG-ID,County,Op Status,Coverage,Affiliate,Features,Notes,Last update,Uplink Tone,Downlink Tone,WIRES-X,Mixed-Mode,Sponsor,Links,EchoLink,IRLP,Coordination,Web links,On-air,Commands,Grid,AllStar,Nets,Feed,Talkgroups,Colorado,Southern Colorado,Denver Regional,Worldwide,North America,Local/Cluster,Location Photo,P25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Northern Colorado,English,TAC 310,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local Network,N. Colorado,Mountain Reg USA,Worldwide English,Amarillo WIRES-X,NORCAL 1,NORCAL 5150,Local or Reflector,UA English 1,UA English 2,CAL 1,Southwest USA,Hytera USA,Parrott,Audio Test,Kansas,Bandwidth,CKRG,KansasLink
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,118,WNW,,447.675,442.675,,,,,,,,,Teller,On-Air,,,E-power.,,,179.9,179.9,,,Mountain Amateur Radio Club (MARC),,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,118,WNW,,927.9,902.9,,,,,,,,,Teller,On-Air,,,,,,D205,D205,,,MARC,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,118,WNW,,145.415,144.815,,,,,,,,,Teller,,,,"Closed autopatch, e-power.",,,179.9,,,,MARC,,,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,118,NW,,145.19,144.59,,,,,,,,,Douglas,On-Air,Wide area coverage at 8300,,,,,131.8,131.8,,,N0OBA Owner,,10079,,,,,,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,118,WNW,,449.325,444.325,,,,,,,,,Teller,On-Air,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",Amateur Radio Motorcycle Club,E-power. Allstar Node 27976,Node # 27976,,103.5,103.5,,,KA4EPS,,,,CCARC,,,,,27976,"Sunday 1500 MST
Tuesday 1730 MST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,119.8,WNW,,449,444,,,,,,,,,Fremont,On-Air,,,"E-power (Solar, Wind)",North of the Royal Gorge Bridge.,,67,67,,,WB0WDF,Full-time to the  Mega-Link System .,,,CCARC,Mega Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,120.5,NW,,446.85,441.85,,K0PRA (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,Douglas,On-Air,,,D-Star B module,,,,,,,Parker Radio Association,,,,CCARC,http://parkerradio.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,122,W,,147.06,147.66,,,,,,,,,Custer,On-Air,,,E-power,,,77,77,,,http://www.qsl.net/rghc,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,122,W,,927.775,902.775,,,,,,,,,Custer,On-Air,,,,System uses digital PL,,D116,D116,,,Royal Gorge Amateur Radio Club,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,122,W,,448.15,443.15,,,,,,,,,Custer,On-Air,,,E-power.,,,103.5,103.5,,,Royal George ARC,,,,CCARC,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,122.1,W,,919.1,894.1,,,,,,,,,Pueblo,Off-Air,Wide area.,,,,,88.5,CSQ,,,Pueblo HC,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,122.1,W,,448.325,443.325,,,,,,,,,Custer,On-Air,,The Fun Machine,,,,100,100,,,,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,124.2,NW,,448.425,443.425,,,,,,,,,Douglas,On-Air,Wide area,ARESDEC,,,,107.2,107.2,,,Colorado Repeater Association (CRA),"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,,,http://www.w0cra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,124.2,NW,,449.975,444.975,,,,,,,,,Douglas,On-Air,,The Fun Machine,Simulcast and Voted with Cedarwood and Methodist.,"Can be linked to Allstar, Echolink and others by a Sysop",,100,100,,,K0JSC,Full-time to the  The Fun Machine System .,,,CCARC,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,124.2,NW,,147.225,147.825,,,,,,,,,Douglas,On-Air,Wide area,CRA VHF Link System,Closed autopatch,,,107.2,107.2,,,Colorado Repeater Association (CRA),"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",347086,3990,CCARC,Colorado Repeater Association,,,,,"CRA Net, Sunday 9AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC1,K0PRA,Parker,CO,OPEN,,124.4,NW,,445.075,440.075,,,,,1,,,,Douglas,On-Air,,,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,Mixed Mode,,,,,,Parker Radio Association,,,,CCARC,http://www.parkerradio.org,,,,,Mondays 20:30 MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,124.9,NW,,927.8375,902.025,,,,,,,,,Douglas,On-Air,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,,,,,,,,CCARC,,,,,,,,,,,,,,,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,141.3,WA0OQA,Scott City,KS,OPEN,A,125.1,E,,146.7,146.1,,,,,,,,Open ↑ / Open ↓,Scott,On-Air,"Scott, Finney and Kearny counties",,E-power.,Comet GP-6 @ 125'.,,141.3,141.3,,Yes; analog capable.,Sand Hills ARC,"Full-time to  
        146.91000 (WA0OQA) at Garden City, KS .",,,Kansas Repeater Council,,,,DM98,48589,Tue at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.95,5,100,W0MI,"Scott City, K-Link",KS,OPEN,I,127.9,E,,444.95,449.95,,,,,,,,,Scott,On-Air,Click for coverage map.  35 mi radius.,,"Linked to K-Link Repeater Network 
IRLP node 7356.","IRLP direct dial, 73 to disconnect. 
Please return to 9335 when finished.",,100,100,,,SHARC,Full-time to the  K-Link System .,,7356,,http://ks0lnk.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.03,0.6,88.5,KS0GLD,Goodland,KS,OPEN,I,128,NE,,147.03,147.63,,,,,,,,,Sherman,Off-Air,I-70,,,This is the highest (above sea level) amateur repeater in Kansas.,,88.5,,,,Sherman County Amateur Radio Club (SCARE),,,3769,,SCARE on Facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,141.3,WA0OQA,Garden City,KS,OPEN,A,128.1,ESE,,146.91,146.31,,,,,,,,,Finney,On-Air,"Finney, Scott and Kearney counties.",,E-power.,Linked full time to Scott City 146.700 and Lakin 146.985 repeaters.,,141.3,141.3,,,Sand Hills ARC,"Full-time to  
        146.70000 (WA0OQA) at Scott City, KS .",,,Kansas Repeater Council,,,,,48588,Tue at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,128.9,NW,,446.875,441.875,,,,,6,,,,Douglas,On-Air,,RMHAM,,,,,,,,W0VG,Full-time to the  Colorado TRBO System .,,,CCARC,http://www.rmham.org,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,,,,,,,,RMHAM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,131.4,NW,,446.925,441.925,,,,,7,,,,Douglas,On-Air,,,,See the website for programming info.,,,,,,,Full-time to the  Colorado TRBO System .,,,CCARC,Rocky Mountain Ham Radio,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,131.4,NW,,447.525,442.525,,,,,,,,,Douglas,On-Air,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",Colorado ARES,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,146.2,146.2,,,EmComm Colorado,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,131.4,NW,,447.525,442.525,,,,,,,,,Douglas,On-Air,"Denver metropolitan area, front range foothills",Colorado ARES,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,203.5,146.2,,,EmComm Colorado,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,131.5,WNW,,449.7,444.7,,,,,,,,,Park,,,,,,,107.2,,,,CMRG,,,,CCARC,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.5,5,141.3,K0ECT,"Garden City, Tennis",KS,OPEN,I,131.8,ESE,,442.5,447.5,,,,,,,,,Finney,On-Air,,,E-power.,,,141.3,141.3,,,SKECT,Full-time to the  SKECT System .,,3885,Kansas Repeater Council,http://skect.org/default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,132.4,NW,,449.95,444.95,,,,,,,,,Douglas,On-Air,Primarily to the North along I-25 corridor,,,,,77,77,,,W9SL Owner,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.975,5,88.5,N5DFQ,Guymon,OK,OPEN,,133,SE,,444.975,449.975,,,,,,,,,Texas,On-Air,30,,Linked.,,,88.5,,,,DBARC,,,,ORSI,http://caprockintertie.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,133.3,NW,,448.7,443.7,,,,,,,,,Douglas,On-Air,Local North Parker only,,,,,146.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.3,5,141.3,K0ECT,Elkader,KS,OPEN,,134.1,E,,444.3,449.3,,,,,,,,,Logan,On-Air,,,E-power.,,,141.3,141.3,,,SKECT,Full-time to the  SKECT System .,,,Kansas Repeater Council,http://skect.org/default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,134.2,NW,,145.4,144.6,,,,,,,,,Arapahoe,On-Air,Greater Denver area.,,"Autopatch, e-power.",,,100,,,,Castle Rock Repeater Group,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,134.5,NW,,449.425,444.425,,,,,,,,,Arapahoe,Off-Air,,,,Colorado SNP (Shared non-protected pair),,D023,D023,,,K0PWO,,,,,,,,,29791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,88.5,N5DFQ,Guymon,OK,OPEN,,135.2,SE,,147.15,147.75,,,,,,,,,Texas,On-Air,,,"Linked, WX.",,,88.5,,,,DBARC,Full-time to the  Caprock Intertie System .,,,ORSI,http://caprockintertie.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,135.9,NW,,145.19,144.59,,,,,,,,,Arapahoe,On-Air,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",,Autopatch (please contact trustee).,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",,151.4,131.8,,,N0OBA,,10079,,,,,,,,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,141.1,WNW,,146.685,146.085,,,,,,,,,Park,On-Air,,,"Closed autopatch, e-power.",,,107.2,107.2,,,Mountain ARC (MARC),"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,CCARC,,,Autopatch: 911,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,141.1,WNW,,147.36,147.96,,,,,,,,,Park,On-Air,Wide area.,,E-power.,,,107.2,107.2,,,,,,3854,CCARC,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,141.3,NW,,449.15,444.15,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,Arapahoe,On-Air,,,,,,,,,,Colorado Amateur Repeater Network (CARN),,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,110.9,N5GDR,Cimarron,NM,OPEN,A,142,SW,,145.21,144.61,,,,,,,,,Colfax,On-Air,,,,,,110.9,110.9,,,"Gary Reynolds N5GDR, Dale Finley KB5NFT",,,,NMFCC,,,,,46298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,142.8,NW,,449.6,444.6,,,,,,,,,Jefferson,On-Air,,,,,,100,,,,Denver Radio League,,690473,3345,CCARC,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,142.8,NW,,146.88,146.28,,,,,,,,,Jefferson,On-Air,Wide Area,,E-power.,6,,100,,,,Denver Radio League,,,,CCARC,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.805,-0.6,103.5,W0KKS,Liberal,KS,OPEN,,143.5,SE,,146.805,146.205,,,,,,,,,Seward,On-Air,Local,,Autopatch,,,103.5,103.5,,,Southern Plains ARC,,,,Kansas Repeater Council,http://spark-ks.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.1,5,141.3,K0ECT,Liberal,KS,OPEN,,143.6,SE,,443.1,448.1,,,,,,,,,Seward,On-Air,Local,,Autopatch,,,141.3,,,,SPARK,Full-time to the  SKECT System .,,,Kansas Repeater Council,http://skect.org/default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,143.8,NW,,448.5,443.5,,,,,,,,,Denver,On-Air,Greater Denver area.,,E-power.,,,100,,,,Castle Rock Repeater Group,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,143.8,NW,,448.4,443.4,,,,,,,,,Arapahoe,On-Air,,,,,,94.8,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,143.8,NW,,448.825,443.825,,,,,,,,Open ↑ / Open ↓,Arapahoe,On-Air,,,,,,,,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,143.8,NW,,448.275,443.275,,,,,,,,,Arapahoe,On-Air,,,,,,156.7,,,,W0BG,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,144,NW,,447.5,442.5,,,,,,,,,Jefferson,On-Air,Wide area.,,E-power.,,,88.5,88.5,,,Aurora Repeater Association,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,144.7,N,,145.4,144.8,,,,,,,,,Washington,On-Air,Northeastern plains of Colorado.,,,Part of the Colorado Connection system of repeaters,,88.5,123,,,Colorado Connection,Full-time to the  Colorado Connection System .,,,CCARC,,,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.175,-5,CC7,W0FT,Akron,CO,OPEN,,144.7,N,,448.175,443.175,,,,,7,,,,Morgan,On-Air,,Rocky Mountain Ham Radio,,,,,,,,W0FT,,,,CCARC,http://www.rmham.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,144.9,NW,,448.15,443.15,,,,,,,,,Denver,On-Air,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map",,E-power (batt).  2 meter and 70cm channel steerable remote bases.,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,,141.3,141.3,,,K0GUR,Full-time to the  The Fun Machine System .,24340,,CCARC,k0jsc.com,,,DM79pt,29436,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,123,KF5PFO,"Red River, Valle Vidal",NM,OPEN,,145.8,SW,,145.25,144.65,,,,,,,,,Taos,On-Air,,,,,,123,,,,Taos ARC,,,,NMFCC,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.75,5,162.2,NV8Q,"Colby, K-Link",KS,OPEN,,146.9,NE,,444.75,449.75,,,,,,,,,Thomas,,"Wide area. 
 Click for coverage map.  50 mi radius.",K-Link Repeater Network,"Linked to K-Link Repeater Network 
E-power (batt) 
Allstar 46010","Repeater is intermittently off-air, and the Allstar node is down.",,162.2,162.2,,,,,,,Kansas Repeater Council,K-Link Repeater Network,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,156.7,NW0K,Colby,KS,OPEN,I,147.6,NE,,146.82,146.22,,,,,,,,,Thomas,On-Air,Local,,"Closed autopatch, e-power.",,,156.7,156.7,,,TARC,,,7552,Kansas Repeater Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,141.3,K0ECT,Colby,KS,OPEN,,148.2,NE,,444.4,449.4,,,,,,,,,Thomas,On-Air,,,,"Repeater has zero hang-time, which gives the appearance that it's down.  It does work!",,141.3,,,,,Full-time to the  SKECT System .,,,Kansas Repeater Council,http://skect.org/default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,149.4,NW,,449.65,444.65,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,Denver,On-Air,,,,,,,,,,Colorado Amateur Repeater Network (CARN),,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,149.4,NW,,448.55,443.55,,,,,,,,,Denver,Off-Air,,,E-power.,,,82.5,,,,HPRA,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,149.4,NW,,145.475,144.875,,,,,,,,,Jefferson,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",,E-power.,,,100,,,,Intermountain Repeater Group,,,,CCARC,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,149.4,NW,,146.715,146.115,,,,,,,,,Denver,On-Air,,,E-power.,,,123,123,,,EARS,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,149.4,NW,,447.9,442.9,,,,,,,,,Denver,Off-Air,,,,,,CSQ,,,,WB0TPT,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,149.4,NW,,449.675,444.675,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,Denver,On-Air,,,,,,,,,,Colorado Amateur Repeater Network (CARN),,,7708,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,149.4,NW,,448.075,443.075,,,,,,,,,Denver,On-Air,,,,,,123,,,,W0IG,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,149.4,NW,,447.925,442.925,,,,,,,,,Denver,On-Air,,,,,,100,100,,,RADOPS El Jebel Shriners,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Eagle Nest, Touch Me Not",NM,OPEN,,149.5,SW,,147.04,147.64,,,,,,,,,Colfax,On-Air,,,,,,141.3,,,,NMEMA ARC,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.87,-1.7,141.3,WA0OQA,Garden City,KS,OPEN,,150,ESE,,52.87,51.17,,,,,,,,,Finney,On-Air,30,,,200,,141.3,141.3,,,SHARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,150.4,NW,,447.175,442.175,,,,,,,,,Denver,On-Air,,,,,,100,100,,,W0JRL,,201712,,CCARC,,,Standard AllStar Link access commands.,,29997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,150.6,NW,,1287.9,1267.9,,,,,,,,,Jefferson,Off-Air,Fort Collins to Colorado Springs.,,,,,CSQ,,,,Colorado Repeater Association (CRA),,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,150.6,NW,,224.98,223.38,,,,,,,,,Jefferson,Off-Air,Wide area. Denver.,,"Closed autopatch, e-power.",,,107.2,107.2,,,Colorado Repeater Association,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",347086,3990,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
