500,Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Notes,Coordination,Last update,Coverage,Features,Links,Commands,Affiliate,Web links,D-STAR Enabled,Node,Sources,Grid,AllStar,Mixed-Mode,Nets,EchoLink,IRLP,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,On-air,YSF Digital Enabled,DG-ID,P25 Digital Enabled,NAC,Default Reflector,Bandwidth,WIRES-X,Feed,DTMF,A + [number],B
,147.14,0.6,100,NM5ML,"Datil, Luera Peak",NM,OPEN,,58.7,WSW,yes,147.14,147.74,100,,Catron,On-Air,Mega-Link Rptr System,,NMFCC,yes,Wide area.,9,Full-time to the  Mega-Link System .,,,http://www.nm5ml.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.04,0.6,100,AB1Q,Isleta Pueblo,NM,OPEN,,59.8,N,yes,147.04,147.64,100,,Bernalillo,Off-Air,AB1Q,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,442.15,5,100,AB1Q,"Albuquerque, Isleta Pueblo",NM,OPEN,,59.8,N,yes,442.15,447.15,100,,Bernalillo,Off-Air,AB1Q,,NMFCC,yes,,Autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.04,0.6,100,NM5ML,"Datil, Davenport Lookout",NM,OPEN,,60.4,WNW,yes,147.04,147.64,100,,Catron,On-Air,New Mexico Mega Link Assoc,RX Freq has shifted to 147.05,NMFCC,yes,,9,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.515,-0.6,141.3,NM5EM,"Corona, Gallinas Peak",NM,OPEN,,64.2,E,yes,145.515,144.915,141.3,,Lincoln,On-Air,New Mexico Emergency Services,,,yes,,,,,NMEMA ARC,http://NMEMA.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.28,0.6,100,NM5ML,"Corona, Gallinas Peak",NM,OPEN,,64.2,E,yes,147.28,147.88,100,,Lincoln,On-Air,,,NMFCC,yes,Wide area.,8,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.47,-0.6,141.3,K7EAR,"Caballo (Truth Or Consequences), Caballo Lake",NM,OPEN,EI,66.9,SSW,yes,145.47,144.87,141.3,,Sierra,On-Air,K7EAR,Emergency Power. Linked to 147.06,,yes,"Southern Arizona, Southern New Mexico, El Paso Tx.",,Full-time to the  EAARS-Link System .,,Eastern Arizona Amateur Radio Association,http://www.eaars.com/map/map.html,,,,,,,"Saguaro NTS Traffic, EAARS, Ladies Net, Skywarn",614350,7787,,,,,,,,,,,,,,,,,,,,,,,,
,145.13,-0.6,141.3,NM5EM,"Caballo (Truth Or Consequences), Caballo Peak",NM,OPEN,,66.9,SSW,yes,145.13,144.53,141.3,,Sierra,On-Air,,,,yes,I-25 (s) El Paso (n) San Antonio &amp; (w) Deming,,,,New Mexico Dept. Of Homeland Security ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,448.175,-5,100,WB5QHS,"T or C, Caballo Pk",NM,PRIVATE,,66.9,SSW,yes,448.175,443.175,100,,Sierra,On-Air,WB5QHS,,,yes,"CA, AZ, NM, TX, OR, DC",,Full-time to the  Cactus Intertie System .,,CACTUS INTERTIE,http://www.jpara.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,448.5,-5,100,NM5C,"T or C, Caballo Lake",NM,OPEN,EI,67.5,SSW,yes,448.5,443.5,100,100,Sierra,On-Air,WB5QHS,,NMFCC,yes,From just South of Socorro to the West side of El Paso (Mesa Street exit).,,,,Linked to El Paso Amigo Link,https://www.facebook.com/SunCityARC.K5WPH,,,,,,,,249171,3409,,,,,,,,,,,,,,,,,,,,,,,,
,447.275,-5,71.9,KB5VPZ,"McIntosh, McIntosh Post office west",NM,OPEN,E,69.3,NE,yes,447.275,442.275,71.9,71.9,Torrance,On-Air,KB5VPZ,Usually Linked to 146.720 and Sandia Crest wait for courtesy beeps,,yes,All Torrance County. South Hwy 14 from Raven Rd. to Hwy 55. Hwy 55 to Hwy 60. Hwy 60 to Encino Hwy 42 to Corona,E-power (Solar and Wind). Linkable to other sites.,,# then node number to connect #then 73 disconnect,,,,,,,,,,943044,,,,,,,,,,,,,,,,,,,,,,,,,
,442.25,5,CC1,WA5IHL,Albuquerque,NM,OPEN,,69.5,N,yes,442.25,447.25,,,Bernalillo,On-Air,,,NMFCC,yes,Albuquerque,,,,,http://www.aztrbonet.com/MinimalNetwatch,,,,,,,,,,yes,1,yes,AZ-TrboNet,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,1,2,2,2,2,,,,,,,,,,,,
,442.05,5,100,K5BIQ,"Albuquerque, West Mesa",NM,OPEN,A,70.5,N,yes,442.05,447.05,100,100,Bernalillo,On-Air,BERNCO OEM,,NMFCC,yes,,,,,,http://bc-ares.org/wordpress/,,,,,28828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.72,-0.6,100,K5CQH,"Tijeras, Raven Road",NM,OPEN,E,71.2,NNE,yes,146.72,146.12,100,127.3,Bernalillo,On-Air,K5CQH,,NMFCC,yes,Wide area. HT Accessible from Albuquerque,7,,,,,,,,,,,,880130,,,,,,,,,,,,,,,,,,,,,,,,,
,224,-1.6,100,K5CQH,"Tijeras, Raven Road",NM,OPEN,,71.2,NNE,yes,224,222.4,100,,Bernalillo,Off-Air,,,NMFCC,yes,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.9,-0.6,67,K5FIQ,"Albuquerque, Op Ctr",NM,OPEN,,71.2,NNE,yes,146.9,146.3,67,,Bernalillo,On-Air,Upper Rio FM Society,,NMFCC,yes,Wide area.,5,"Full-time to  
        147.06000 (K5FIQ) at Clines Corners, Tapia Mesa, NM .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449.55,-5,71.9,K5FIQ,"Albuquerque,  Op Ctr",NM,OPEN,,71.2,NNE,yes,449.55,444.55,71.9,,Bernalillo,On-Air,Upper Rio FM Soc,,NMFCC,yes,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449.8,-5,67,K5FIQ,"Albuquerque,  Op Ctr",NM,OPEN,,71.2,NNE,yes,449.8,444.8,67,,Bernalillo,On-Air,Upper Rio FM Soc,,NMFCC,yes,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,449.45,-5,,W5URR,"Albuquerque, Op Center",NM,OPEN,,71.2,NNE,yes,449.45,444.45,,,Bernalillo,On-Air,The Upper Rio FM Society,,NMFCC,yes,,,,,,http://www.urfmsi.org,yes,W5URR (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.92,-0.6,67,KF5ERC,Albuquerque,NM,OPEN,E,71.4,NNE,yes,146.92,146.32,67,,Bernalillo,Off-Air,Mel Watkins,,,yes,,,,,,,,,,,,,,714941,,,,,,,,,,,,,,,,,,,,,,,,,
,442.45,5,67,K5FIQ,"Albuquerque, Northern Sandia Mountain Top",NM,OPEN,,72.2,N,yes,442.45,447.45,67,67,Bernalillo,On-Air,Upper Rio Grande FM Society,,,yes,,"FM, Autopatch",,,,http://www.urfmsi.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,443.5,-5,123,KE5XE,Albuquerque,NM,OPEN,,72.2,N,yes,443.5,438.5,123,,Bernalillo,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,145.01,0,,W5SCA,"Albuquerque, Sandia Crest",NM,OPEN,,72.2,N,yes,145.01,145.01,,,Bernalillo,,Sandoval County Amateur Radio Emergency Service,,,yes,wide-area,Packet node W5SCA-11,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,
,145.29,-0.6,100,WA5IHL,"Albuquerque, Sandia Mnts",NM,OPEN,,72.2,N,yes,145.29,144.69,100,,Bernalillo,On-Air,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.1,5,100,KC5ZXW,"Albuquerque, Southeast",NM,OPEN,,72.6,NNE,yes,444.1,449.1,100,,Bernalillo,On-Air,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,927.7,-25,210.7,WB5EZO,Albuquerque,NM,OPEN,,72.6,NNE,yes,927.7,902.7,210.7,,Bernalillo,Off-Air,,,,yes,Wide area.,"Closed autopatch, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,442.525,5,100,K5PRN,"Albuquerque, UNM Campus",NM,OPEN,,72.9,NNE,yes,442.525,447.525,100,,Bernalillo,On-Air,KE5LOH,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,927.65,-25,151.4,KC5ZXW,Albuquerque,NM,OPEN,,72.9,NNE,yes,927.65,902.65,151.4,,Bernalillo,Off-Air,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.38,0.6,,N5GU,Albuquerque,NM,OPEN,,74,NNE,yes,147.38,147.98,,,Bernalillo,On-Air,ED&amp;DREW,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.6,5,CC1,N5GU,"Albuquerque, Southeast",NM,OPEN,,74.2,NNE,yes,444.6,449.6,,,Bernalillo,On-Air,Drew J. Riedle,,NMFCC,yes,Albuquerque area,TS 1 Talk Groups *91 World wide *93 North America *3100 USA Nation wide TS 2 Talk Groups *310 TAC 310 *3135 New Mexico State wide *3176 Southwest Region USA,,,,http://brandmeister.network/?page=repeater&amp;id=313509,,,,,,,,,,yes,1,yes,,,,,,,,,,,,,,,,,,,,,
,147.465,0,88.5,W5MHG,Albuquerque,NM,OPEN,EA,74.2,NNE,yes,147.465,147.465,88.5,,Bernalillo,On-Air,,,,yes,,,,,,http://www.w5mhg.com,,,,,28239,,,465010,,,,,,,,,,,,,,,,,,,,,,,,,
,145.15,-0.6,100,K5BIQ,"Tijeras, Cedro Peak",NM,OPEN,,75.3,NNE,yes,145.15,144.55,100,100,Bernalillo,On-Air,BERNCO OEM,,NMFCC,yes,,,"Full-time to  
        145.13000 (K5BIQ) at Albuquerque, BCFD Fire Station 35, NM .",,,http://bc-ares.org/wordpress/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.74,-0.6,146.2,KD5MHQ,Albuquerque,NM,OPEN,,75.3,NNE,yes,146.74,146.14,146.2,,Bernalillo,On-Air,KD5MHQ,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.34,0.6,67,NM5ML,"Tijeras, Cedro Peak",NM,OPEN,,75.3,NNE,yes,147.34,147.94,67,,Bernalillo,On-Air,,,NMFCC,yes,Wide area,7,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.36,0.6,100,KB5XE,Albuquerque,NM,OPEN,,76,NNE,yes,147.36,147.96,100,,Bernalillo,Off-Air,KB5XE,,NMFCC,yes,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,443.65,5,CC1,NM5SH,Albuquerque,NM,OPEN,,76.8,N,yes,443.65,448.65,,,Bernalillo,On-Air,NM5SH,,NMFCC,yes,Albuquerque Metro,Brandmeister,,,,NM5SH QSL.net,,,,DM65pd,,,,,,yes,1,yes,,,,,,,,,,,,,,,,,,,,,
,223.9,-1.6,,KB5UGU,Albuquerque,NM,OPEN,E,77,N,yes,223.9,222.3,,,Bernalillo,On-Air,,,,yes,,"E-power (solar), Autopatch, Remote base.",,United States,,,,,,,,,,87120,,,,,,,,,,,,,,,,,,,,,,,,,
,147.32,0.6,100,K5LXP,Albuquerque,NM,OPEN,,77.4,NNE,yes,147.32,147.92,100,,Bernalillo,On-Air,K5LXP,,NMFCC,yes,,20,,,,K5LXP Repeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147.26,0.6,100,NM5ML,"T Or C, Caballo Peak",NM,OPEN,,77.7,SSW,yes,147.26,147.86,100,,Sierra,On-Air,Mega-Link,,NMFCC,yes,I-25 (s) El Paso Tx (n) San Antonio NM.,,Full-time to the  Mega-Link System .,,,http://www.NM5ML.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,224.58,-1.6,100,KH6JTM,Albuquerque,NM,OPEN,,77.9,NNE,yes,224.58,222.98,100,,Bernalillo,On-Air,KH6JTM,,NMFCC,yes,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,443.925,5,100,K5RIC,"Ruidoso, Buck Mtn",NM,OPEN,,78.1,SE,yes,443.925,448.925,100,100,Lincoln,On-Air,Amateur Radio Club,,NMFCC,yes,Wide Area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.375,5,67,NM5ML,"Ruidoso, Buck Mountain",NM,OPEN,,78.1,SE,yes,444.375,449.375,67,,Lincoln,On-Air,,9,NMFCC,yes,Wide area.,E-power.,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,439.4,9,100,K5RIC,"Nogal, Nogal Mesa",NM,OPEN,,79.1,SE,yes,439.4,448.4,100,100,Lincoln,Off-Air,Buffton Amateur Radio Club,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,443.85,5,103.5,KC0QIZ,Albuquerque,NM,OPEN,EI,79.1,NNE,yes,443.85,448.85,103.5,,Bernalillo,On-Air,KC0QIZ,,NMFCC,yes,,,,,,,,,,,,,,881226,3818,,,,,,,,,,,,,,,,,,,,,,,,
,145.37,-0.6,162.2,NM5HD,Rio Rancho,NM,OPEN,I,79.3,N,yes,145.37,144.77,162.2,,Sandoval,On-Air,Adrian Miura,,,yes,,,,,,,,,,,,,,,7706,,,,,,,,,,,,,,,,,,,,,,,,
,145.13,-0.6,100,K5BIQ,"Albuquerque, BCFD Fire Station 35",NM,OPEN,,80,NNE,yes,145.13,144.53,100,100,Bernalillo,On-Air,BERNCO OEM,,NMFCC,yes,,,"Full-time to  
        145.15000 (K5BIQ) at Tijeras, Cedro Peak, NM .",,,http://bc-ares.org/wordpress/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,224.48,-1.6,100,K6LIE,"Albuquerque, Northeast Heights area",NM,OPEN,I,81.6,NNE,yes,224.48,222.88,100,,Bernalillo,On-Air,K6LIE,Moved to new location and added PL,NMFCC,yes,Entire Albuquerque Area,,,,High Desert ARC of New Mexico,,,,,,,,,,3285,,,,,,,,,,,,,,,,,,,,,,,,
,444.7,5,100,K5CPU,"Rio Rancho, Intel Corp",NM,OPEN,,81.7,N,yes,444.7,449.7,100,,Sandoval,On-Air,New Mexico Intel Emergency Amateur Service,,NMFCC,yes,Albuquerque and vicinity,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,442.4,5,CC4,KG5SLG,"Rio Rancho, NM 528 and Corrales Rd",NM,OPEN,,82.2,N,yes,442.4,447.4,,,Sandoval,On-Air,,Dmr color code 4,NMFCC,yes,"Rio Rancho, Bernalillo,Albuquerque and plus Northeast heights of Albuquerque","Brandmeister, DMR CC 4, D-Star, Fusion",,,,,,,,,,,,,,yes,4,yes,,,,,,,,,,,,,,,,,,,,,
,224.94,-1.6,,W5AOX,Sandia Park,NM,OPEN,E,82.3,NNE,yes,224.94,223.34,,,Bernalillo,Off-Air,W5AOX,,NMFCC,yes,,Remote base.,"Full-time to  
        444.15000 (W5AOX) at Sandia park, NM .","CB58 (this selects mem 58, or 146.58.. Enter B and the desired memory number, then unkey) 
VFO Freq Entry CD14*275D (example is to enter 14.275 MHz) 
Step Freq UP 1 KHz 
C2 Step Freq DOWN 1 Khz C1 Select/Toggle through Modes  
C8 Read Back Current Mode  C0 (Zero) Read Current Freq in CW C4 Activate Remote Base 
Transmit 587 Remote Base Receive Only 
576 Toggle RX Preamp 
C5 Toggle RX 20dB Attenuator 
C3 Select 80/40M Dipole 
*1A Select Triband (10-15-20-6M) Beam 
*1B Select Ringo Ranger 2M vert ant 
*2A Select 2M + 432 horiz beams 
*2B Scan Start CA (MUST be in monitor-only mode (576) to scan, Starts from current freq) Scan Stop PTT",,http://www.qsl.net/w5aox/,,,,,,,,3061,,,,,,,,,,,,,,,,,,,,,,,,,
,444.15,5,100,W5AOX,Sandia park,NM,OPEN,E,82.3,NNE,yes,444.15,449.15,100,,Bernalillo,On-Air,W5AOX,,NMFCC,yes,,,"Full-time to  
        224.94000 (W5AOX) at Sandia Park, NM .",,,,,,,,,,,3061,,,,,,,,,,,,,,,,,,,,,,,,,
,443.2,5,CC1,N5QD,Corrales,NM,OPEN,,83.1,N,yes,443.2,448.2,,,Sandoval,On-Air,,,,yes,,Brandmeister,,,,http://brandmeister.network/?page=repeater&amp;id=313513,,,,,,,,,,yes,1,yes,,,,,,,,,,,,,,,,,,,,,
,442.6,5,100,K5FSB,"Albuquerque, Sandia Peak",NM,OPEN,,83.4,NNE,yes,442.6,447.6,100,,Bernalillo,On-Air,URFMSI,"Voting receiver. 10,680'",NMFCC,yes,Wide area.,Closed autopatch.,,,,http://www.urfmsi.org/wp/repeaters/analog/gary-diamond-repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,442.1,5,162.2,KB5GAS,"Albuquerque, Sandia Crest",NM,OPEN,I,83.4,NNE,yes,442.1,447.1,162.2,,Bernalillo,On-Air,Albuquerque Gas Balloon Assoc,,,yes,Wide area.,E-power.,,,,,,,,,,,,,3676,,,,,,,,,,,,,,,,,,,,,,,,
,442.75,5,162.2,KC5IPK,"Albuquerque, Sandia Crest",NM,OPEN,I,83.4,NNE,yes,442.75,447.75,162.2,,Bernalillo,On-Air,,,,yes,,10,,,,,,,,,,,,,7855,,,,,,,,,,,,,,,,,,,,,,,,
,145.29,-0.6,100,NM5ML,"Albuquerque, Sandia Crest",NM,OPEN,,83.4,NNE,yes,145.29,144.69,100,,Bernalillo,On-Air,New Mexico Mega Link Assoc,,NMFCC,yes,,10,Full-time to the  Mega-Link System .,,,http://nm5ml.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,444.325,5,100,NM5ML,"Albuquerque, Sandia Crest",NM,OPEN,,83.4,NNE,yes,444.325,449.325,100,,Bernalillo,On-Air,,,NMFCC,yes,Wide area.,10,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145.33,-0.6,100,W5CSY,"Albuquerque, Sandia Crest",NM,OPEN,,83.4,NNE,yes,145.33,144.73,100,,Bernalillo,On-Air,Amateur Radio Caravan Club of New Mexico,,NMFCC,yes,Wide area.,E-power.,"Full-time to  
        444.00000 (W5CSY) at Albuquerque, Sandia Crest, NM .",,,http://caravanradio.org/,,,,,,,AACC: Sun at 0900.,,,,,,,,,,,,,,,,,,,,,,,,,,
,444,5,100,W5CSY,"Albuquerque, Sandia Crest",NM,OPEN,,83.4,NNE,yes,444,449,100,,Bernalillo,On-Air,Amateur Radio Caravan Club of New Mexico,,NMFCC,yes,Wide area.,E-power.,"Full-time to  
        145.33000 (W5CSY) at Albuquerque, Sandia Crest, NM .",,,http://www.caravanradio.org,,,,,,,AACC: Sun at 0900.,,,,,,,,,,,,,,,,,,,,,,,,,,
,443.8,5,,W5MPZ,"Albuquerque, Sandia Crest",NM,OPEN,,83.5,NNE,yes,443.8,448.825,,,Bernalillo,On-Air,Sandia National Laboratories ARC,,NMFCC,yes,Wide area;,,,,,,yes,W5MPZ (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146.61,-0.6,100,KC5QVN,Capitan,NM,OPEN,,83.6,SE,yes,146.61,146.01,100,,Lincoln,On-Air,KB5ZFA,,NMFCC,yes,Wide area.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,442.9,5,CC7,KA8JMW,"Albuquerque, Sandia Crest",NM,OPEN,,83.7,NNE,yes,442.9,447.9,,,Bernalillo,On-Air,"Rocky Mountain Ham Radio, NM","Colorado Wide: CC 7, TS 1, TG 700 Colorado South: CC 7, TS 2, TG 719",NMFCC,yes,,,Full-time to the  Colorado TRBO System .,,,http://www.rmham.org/wordpress/mototrbo-radio-site-information,,,,,,,,,,yes,7,yes,,,,,,,,,,,,,,,,,,,,,
,146.76,-0.6,100,N5BL,"T Or C, Caballo Pk",NM,OPEN,,83.8,SSW,yes,146.76,146.16,100,,Sierra,On-Air,MVRC,,NMFCC,yes,Wide area. I-25 (s) El Paso (n) San Antonio.,E-power.,,,,http://n5bl.org/index.html,,,,dm62iw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
