Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Coverage,Sponsor,Features,Coordination,Last update,Downlink Tone,Op Status,Links,Notes,Nets,AllStar,Web links,Affiliate,EchoLink,IRLP,Commands,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Location Photo,Feed,YSF Digital Enabled,DG-ID,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,WIRES-X,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Worldwide,North America,Local/Cluster
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.5,SSW,,53.13,51.43,107.2,El Paso,,,Cheyenne Mountain Repeater Group (CMRG),,CCARC,,107.2,On-Air,,,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.5,SSW,,446.9125,441.9125,,El Paso,,,Cheyenne Mountain Repeater Group (CMRG),,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.5,SSW,,927.85,902.85,D114,Teller,,,CMRG,9,CCARC,,,On-Air,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.6,SSW,,145.375,144.77,,El Paso,,wide area,Cheyenne Mountain Repeater Group (CMRG),,CCARC,,,On-Air,,,,,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,7.4,SSW,,146.76,146.16,107.2,El Paso,,,Cheyenne Mountain Repeater Group,"Closed autopatch, e-power.",CCARC,,107.2,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,7.4,SSW,,448.1,443.1,107.2,El Paso,,Wide area.,,"Closed autopatch, e-power.",CCARC,,107.2,On-Air,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,7.4,SSW,,448,443,107.2,El Paso,,,,,CCARC,,,On-Air,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,7.4,SSW,,145.16,144.56,107.2,El Paso,,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,,107.2,On-Air,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",Switch to this repeater at mile marker 170 on I-25.,,,http://www.w0cra.org/info/cosprgs.html#145160,CRA VHF Link System,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,7.4,SSW,,147.345,147.945,107.2,El Paso,,Wide area.,,"Closed autopatch, e-power.",CCARC,,107.2,On-Air,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,,,http://www.cmrg.org/,,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,10.2,WSW,,147.18,147.78,100,El Paso,,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",AA0SP,E-power (solar).,CCARC,,,On-Air,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.725,-25,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,10.2,WSW,,927.725,902.725,D114,Teller,,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.",WA6IFI,12,CCARC,,D114,On-Air,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",,,,Yahoo Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,10.2,WSW,,446.95,441.95,,Teller,,Monument Hill through Pueblo.,Rocky Mountain Ham Radio,,,,,On-Air,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,,RMHAM,,,,,,,,,,,,,,,,,,,,,,7,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, UCCS",CO,OPEN,,10.2,SSW,,448.8,443.8,100,El Paso,,,Pikes Peak FM Assoc,,CCARC,,100,Off-Air,,,,,PPFMA Repeaters,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,Colorado Springs,CO,OPEN,,10.2,SSW,,145.265,144.665,100,El Paso,,Local. Good coverage of I25 in Colorado Springs.,Pikes Peak FM Association,"Closed autopatch, e-power.",CCARC,,100,Off-Air,,Repeater has been moved.,,,PPFMA Repeaters,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,11.9,W,,146.97,146.37,100,El Paso,,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",Pikes Peak FM Assoc,"Closed autopatch, e-power.",CCARC,,123,On-Air,"Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,"Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,11.9,W,,448.45,443.45,100,El Paso,,Wide area.,Pikes Pk FM Assoc,E-power.,CCARC,,,On-Air,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,13.3,E,,447.2,442.2,,El Paso,,"Falcon, Black Forest, Peyton Areas",GGARC,,,,,Testing,,,,,,Garden of the Gods Amateur Radio Club,,,,,,,,,,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,16.8,NW,,927.9,902.9,D205,Teller,,,MARC,,CCARC,,D205,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,16.8,NW,,449.325,444.325,103.5,Teller,,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",KA4EPS,E-power. Allstar Node 27976,CCARC,,103.5,On-Air,,Node # 27976,"Sunday 1500 MST
Tuesday 1730 MST",27976,,Amateur Radio Motorcycle Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,16.8,NW,,448.65,443.65,107.2,Teller,,,Mountain ARC (MARC),E-power.,CCARC,,,On-Air,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,MARC/PCRC: Tue at 19:30.,,,MARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,16.8,NW,,449.025,444.025,141.3,Teller,Unknown,,Mountain Amateur Radio Club (MARC),Linked.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,16.8,NW,,146.82,146.22,107.2,Teller,,,Mountain ARC,E-power.,CCARC,,,On-Air,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,16.8,NW,,145.415,144.815,179.9,Teller,Unknown,,MARC,"Closed autopatch, e-power.",CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,16.8,NW,,447.675,442.675,179.9,Teller,,,Mountain Amateur Radio Club (MARC),E-power.,CCARC,,179.9,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.725,-5,100,K0NR,"Monument, Monument Hill",CO,OPEN,,18,N,,447.725,442.725,100,El Paso,,Local.,K0NR,30,CCARC,,100,On-Air,,,,,http://www.k0nr.com/wordpress/k0nr-repeater/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,18.5,NE,,447.625,442.625,100,El Paso,,,KD0MDP,Linked.,,,100,On-Air,Full-time to the  The Fun Machine System .,,,28299,,The Fun Machine,363976,7301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,20.1,WSW,,224.94,223.34,67,Teller,,,,,CCARC,,,Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,20.1,WSW,,145.46,144.86,67,Teller,,,WB0WDF,"E-power, 100% Solar",CCARC,,,On-Air,,,,,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,20.1,WSW,,1287.7,1267.7,67,Teller,,,WB0WDF,,CCARC,,,Testing,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,20.1,WSW,,147.015,147.615,107.2,Teller,,,Mountain ARC,E-power.,CCARC,,,On-Air,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,20.1,WSW,,447.4,442.4,67,Teller,,,WB0WDF,"E-power, Solar, Remote Base",CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,131.8,N0XLF,"Palmer Lake, Monument Hill",CO,OPEN,E,21.6,NNW,,145.19,144.59,131.8,Douglas,,Wide area coverage at 8300' Pueblo to Ft. Collins+,N0OBA Owner,,,,131.8,On-Air,,,Tri Lakes Net: Mon at 19:30 (except third Monday of the month which is the regular radio club meeting).,,,,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,26.2,NNW,,147.225,147.825,107.2,Douglas,,Wide area,Colorado Repeater Association (CRA),Closed autopatch,CCARC,,107.2,On-Air,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",,"CRA Net, Sunday 9AM",,Colorado Repeater Association,CRA VHF Link System,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,26.2,NNW,,449.975,444.975,100,Douglas,,,K0JSC,Simulcast and Voted with Cedarwood and Methodist.,CCARC,,100,On-Air,Full-time to the  The Fun Machine System .,"Can be linked to Allstar, Echolink and others by a Sysop",,,The Fun Machine,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,26.2,NNW,,448.425,443.425,107.2,Douglas,,Wide area,Colorado Repeater Association (CRA),,,,107.2,On-Air,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,,,http://www.w0cra.org,ARESDEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,28.7,NW,,446.875,441.875,,Douglas,,,W0VG,,CCARC,,,On-Air,Full-time to the  Colorado TRBO System .,,,,http://www.rmham.org,RMHAM,,,,,,,,,,,,,,,,,,,,,,6,,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,30.5,WNW,,449.7,444.7,107.2,Park,Unknown,,CMRG,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,33.4,SW,,449.975,444.975,100,Fremont,,,K0JSC,Simulcast TX / Voted RX with Cedarwood and Salida,CCARC,,100,On-Air,Full-time to the  The Fun Machine System .,,,,http://www.k0jsc.com,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,33.7,SSE,,447.95,442.95,88.5,Pueblo,,Wide area.,Pueblo Ham Club,E-power.,CCARC,,,On-Air,,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,33.7,NNW,,446.925,441.925,,Douglas,,,,,CCARC,,,On-Air,Full-time to the  Colorado TRBO System .,See the website for programming info.,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,7,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,1,2,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,33.7,NNW,,447.525,442.525,146.2,Douglas,,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",EmComm Colorado,,CCARC,,146.2,On-Air,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,33.7,SSE,,224.26,222.66,88.5,Pueblo,,Wide area.,Pueblo Ham Club,E-power.,CCARC,,CSQ,Off-Air,,,,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,33.7,SSE,,146.79,146.19,88.5,Pueblo,,Wide area.,Pueblo HC,E-power.,CCARC,,CSQ,On-Air,,,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,35,SW,,449,444,67,Fremont,,,WB0WDF,"E-power (Solar, Wind)",CCARC,,67,On-Air,Full-time to the  Mega-Link System .,North of the Royal Gorge Bridge.,,,Mega Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,35.6,SW,,447.975,442.975,100,Fremont,,"Canon City area. 
   Repeater Coverage Map",K0JSC,Autopatch.,CCARC,,100,On-Air,Full-time to the  The Fun Machine System .,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",28368,http://www.k0jsc.com,,363976,7301,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,36.3,SW,,927.7,902.7,D114,Fremont,,,Royal Gorge ARC,,CCARC,,D114,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,36.4,SW,,446.7375,441.7375,,Fremont,,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",,IPSC Link to the Colorado network on Talk Slot 2.,CCARC,,,On-Air,Full-time to the  Colorado TRBO System .,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,,http://www.k0jsc.com,Rocky Mountain Ham Radio,,,,DM78ii,,,,,,,,,,,,,,,,,,7,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,36.4,SW,,447.25,442.25,100,Fremont,,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",,,CCARC,,100,On-Air,Full-time to the  The Fun Machine System .,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",28368,K0JSC dot Com,,363976,7301,,DM78ik,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,
