Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Coordination,Last update,Downlink Tone,Coverage,Features,Links,Notes,Nets,Feed,Affiliate,EchoLink,IRLP,Web links,On-air,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,D-STAR Enabled,Node,Sources,Worldwide,North America,Local/Cluster
147.39,0.6,103.5,W0MOG,Colorado Springs,CO,OPEN,,0.3,N,,147.39,147.99,103.5,El Paso,On-Air,W0MOG,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,0.3,N,,147.27,147.87,,El Paso,On-Air,TRA,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,151.4,K0IRP,Colorado Springs,CO,OPEN,,0.3,N,,146.91,146.31,151.4,El Paso,On-Air,GGARC,CCARC,,151.4,,E-power.,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,103.5,W0RSH,Colorado Springs,CO,OPEN,,0.3,N,,146.85,146.25,103.5,El Paso,On-Air,W0RSH,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,AA0L,Colorado Springs,CO,OPEN,,1.2,E,,147.135,147.735,100,El Paso,On-Air,AA0L,CCARC,,,,6,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,4,SSW,,448.725,443.725,123,El Paso,On-Air,KA0TTF,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,
224.72,-1.6,103.5,W0MOG,Colorado springs,CO,OPEN,,4.7,NNE,,224.72,223.12,103.5,El Paso,On-Air,w0mog,,,103.5,Local,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.5,SSW,,446.9125,441.9125,,El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,,,,,,,,,,,,,,,,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.5,SSW,,145.13,144.53,88.5,El Paso,On-Air,Colorado Connection,CCARC,,123,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,9,Full-time to the  Colorado Connection System .,Linked into the Colorado Connection System,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",Listen Live,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.5,SSW,,53.13,51.43,107.2,El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),CCARC,,107.2,,,,,,,,,,http://www.cmrg.org,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.5,SSW,,445.0625,440.0625,,El Paso,Off-Air,Rocky Mountain Ham Radio,CCARC,,,,The DMR-MARC Worldwide Network,,,,,,,,,,,1,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,1,1,2
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.5,SSW,,927.85,902.85,D114,Teller,On-Air,CMRG,CCARC,,,,9,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,http://www.cmrg.org,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,6.6,SSW,,145.375,144.77,,El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),CCARC,,,wide area,,,,,,,,,http://www.cmrg.org,,,,,,,,,,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,7.4,SSW,,448,443,107.2,El Paso,On-Air,,CCARC,,,,,,,,,,,,CMRG Repeaters,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,7.4,SSW,,448.1,443.1,107.2,El Paso,On-Air,,CCARC,,107.2,Wide area.,"Closed autopatch, e-power.","Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,CMRG Repeaters,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,7.4,SSW,,147.345,147.945,107.2,El Paso,On-Air,,CCARC,,107.2,Wide area.,"Closed autopatch, e-power.","Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,,,,,3854,http://www.cmrg.org/,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,7.4,SSW,,146.76,146.16,107.2,El Paso,On-Air,Cheyenne Mountain Repeater Group,CCARC,,107.2,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,7.4,SSW,,145.16,144.56,107.2,El Paso,On-Air,Colorado Repeater Association,CCARC,,107.2,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.","Closed autopatch, e-power.","Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",Switch to this repeater at mile marker 170 on I-25.,,,CRA VHF Link System,347086,3990,http://www.w0cra.org/info/cosprgs.html#145160,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,10.2,WSW,,446.95,441.95,,Teller,On-Air,Rocky Mountain Ham Radio,,,,Monument Hill through Pueblo.,,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,RMHAM,,,,,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,10.2,WSW,,147.18,147.78,100,El Paso,On-Air,AA0SP,CCARC,,,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",E-power (solar).,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,
927.725,-25,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,10.2,WSW,,927.725,902.725,D114,Teller,On-Air,WA6IFI,CCARC,,D114,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.",12,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",,,,,,,Yahoo Group,,,,,,,,,,,,,,
