Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Coordination,Last update,Downlink Tone,Coverage,Sponsor,Features,Links,Notes,Nets,IRLP,AllStar,EchoLink,Affiliate,On-air,Commands,Grid,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,D-STAR Enabled,Node,Sources,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Denver Regional,Northern Colorado
449.85,-5,100,K0EP,Durango,CO,OPEN,,52.9,SSW,,449.85,444.85,100,La Plata,On-Air,,CCARC,,100,,DARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,53.6,SSW,,145.37,144.77,100,La Plata,On-Air,http://www.sjcham.com,CCARC,,100,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,54.1,SSW,,147.135,147.735,100,La Plata,On-Air,http://www.sjcham.com,CCARC,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,54.3,NE,,147.12,147.72,,Gunnison,On-Air,,CCARC,,,,W0VTL,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,54.3,NE,,449.95,444.95,,Gunnison,,,CCARC,,,,K5GF,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,57.5,SSW,,145.325,144.725,100,Montezuma,On-Air,http://www.sjcham.com,CCARC,,,Wide area.,,E-power.,,Full time to the San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC6,N5UBJ,"Mancos, Caviness Mountain",CO,OPEN,,57.7,SW,,446.7375,441.7375,,Montezuma,On-Air,http://www.rmham.org,CCARC,,,,RMHAM,,,,,,,,,,,,,6,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  1  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,58.6,N,,147.33,147.93,107.2,Delta,On-Air,,CCARC,,,Wide area.,North Fork Repeater Assoc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,59.3,SW,,145.19,144.59,100,Montezuma,On-Air,http://www.sjcham.com,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,59.3,SW,,447.275,442.275,100,Montezuma,On-Air,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,62.3,NNW,,449.825,444.825,100,Delta,,,CCARC,,,,W0ALC,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,62.3,NNW,,147.195,147.795,107.2,Delta,,,,,,Local.,,,,,,,,,Colorado District 25 ARES,Unknown,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,62.3,NNW,,147.36,147.96,100,Delta,,,CCARC,,,,W0ALC,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,,62.8,S,,147.15,147.75,100,La Plata,On-Air,http://www.sjcham.com,CCARC,,,Bayfield,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,65.3,NW,,449.4,444.4,131.8,Mesa,On-Air,http://www.gmra.org,CCARC,,131.8,Wide area via links - Western Colorado - Eastern Utah,"WA4HND,  Grand Mesa Repeater Association",E-power.,Full-time to the  GMRA Open System .,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,3710,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,,65.3,SSE,,146.61,146.01,123,Archuleta,On-Air,http://durangoarc.org/,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,127.3,KD5LWU,"Cortez, Downtown",CO,OPEN,EA,68.3,SW,,146.79,146.19,127.3,Montezuma,On-Air,,CCARC,,127.3,,KD5LWU,,,,4,,29317,24336,,,,,,,,,,,,,,,,,,,,,,,
449.175,-5,127.3,KD5LWU,Cortez,CO,OPEN,E,68.3,SW,,449.175,444.175,127.3,Montezuma,Off-Air,,CCARC,,,,KD5LWU,,,,,,,24336,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,69.1,NNW,,447.35,442.35,107.2,Delta,,GMRA Repeaters,CCARC,,,,Grand Mesa Repeater Assoc (GMRA),,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,73.5,N,,145.355,144.755,88.5,Mesa,On-Air,,CCARC,,123,"Rifle to the east, several miles east of Green River, Utah to the west.",Colorado Connection,E-power.,Full-time to the  Colorado Connection System .,Colorado Connection system of repeaters,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,73.5,NE,,447.65,442.65,151.4,Gunnison,On-Air,,CCARC,,151.4,Gunnison valley and along East and west on Highway 50.,KB0YNA,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.","Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,73.5,N,,449.65,444.65,151.4,Mesa,On-Air,,CCARC,,151.4,Wide area coverage,Keri Washburn,NWS weather alert system.,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,8162,,,,,11,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,74.8,S,,147.06,147.66,100,San Juan,On-Air,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,75.2,NW,,448.15,443.15,100,Mesa,On-Air,,CCARC,,,,,,,,,7963,,312189,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,77.9,NNW,,449.3,444.3,107.2,Mesa,On-Air,http://www.gmra.org/,CCARC,,107.2,Wide Area I-70 West Rifle to Western Utah,,e-power Linked to GMRA Open System,,Closed IRLP out,RACES Wed 1930 hrs,3710,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,"Maysville, CO",CO,OPEN,,79.3,E,,145.325,144.725,100,Chaffee,On-Air,,,,,wide area,Chaffee Lake Amateur Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC1,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,79.5,NNW,,446.9125,441.9125,,Mesa,On-Air,,,,,"Grand Junction, I70",Bill Frost,,,Brandmeister network,,,,,,,,,,1,,,,,,,,,,,,,,,,,
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,,83.8,SSE,,145.43,144.83,136.5,Rio Arriba,On-Air,,NMFCC,,,,SJC EMCOMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,KB5ITS,"Navajo Dam, Navajo Lake",NM,OPEN,,84.5,S,,147.36,147.96,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,,,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,84.8,SSW,,146.88,146.28,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,,,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,84.8,SSW,,447.45,442.45,107.2,San Juan,On-Air,,NMFCC,,,,KB5ITS,"E-power, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,84.8,SSW,,146.74,146.14,100,San Juan,On-Air,,NMFCC,,,,Totah ARC,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC1,N5UBJ,Aztec,NM,OPEN,,84.8,SSW,,442.25,447.25,,San Juan,On-Air,http://www.aztrbonet.com/MinimalNetwatch,NMFCC,,,,,,,,,,,,,,,,,1,,AZ-TrboNet,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,1,1,1,2,2,2,2,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,85.6,N,,449.5,444.5,107.2,Mesa,Off-Air,,CCARC,,,,Grand Mesa Repeater Association (GMRA),E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,86,NW,,147.355,146.755,88.5,Mesa,On-Air,,CCARC,,123,,Colorado Connection,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,86.2,NNW,,145.22,144.62,107.2,Mesa,,,CCARC,,,,KE0TY,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,86.2,NNW,,147.105,147.705,,Mesa,On-Air,,CCARC,,,,K0SSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,86.2,NNW,,446.775,441.775,,Mesa,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,KD0RED (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,
146.82,-0.6,107.2,W0GJT,Grand Junction,CO,OPEN,A,86.2,NNW,,146.82,146.22,107.2,Mesa,On-Air,,CCARC,,,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,,,28515,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,86.2,NNW,,147.39,147.99,107.2,Mesa,,,CCARC,,,,KE0TY,Linked.,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,86.2,NNW,,449.775,444.775,173.8,Mesa,On-Air,,CCARC,,88.5,,,,,,,7573,,7572,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,86.2,NNW,,449,444,,Mesa,On-Air,,CCARC,,107.2,,KB0SW,,,,,,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,86.2,NNW,,447.5,442.5,114.8,Mesa,,,CCARC,,,,KC0ARV,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,86.9,SE,,447.1,442.1,77,Saguache,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,87.2,SE,,146.64,146.04,77,Rio Grande,On-Air,,,,77,Low level local coverage,,,,,,,28781,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,,KF5VBE,Farmington,NM,OPEN,,87.5,SSW,,145.115,144.515,,San Juan,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,KF5VBE (C) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,
1291.1,-20,,KF5VBE,Aztec,NM,CLOSED,,87.5,SSW,,1291.1,1271.1,,Bernalillo,On-Air,,NMFCC,,,,San Juan County,DV only,,,,,,,,,,,,,,,,,,,KF5VBE (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,88.5,NNW,,145.175,144.575,107.2,Mesa,On-Air,,CCARC,,,Greater grand Junction area.,,"E-power,",,,,3161,,,,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,91.3,NNE,,146.67,146.07,107.2,Pitkin,On-Air,,CCARC,,,Wide area.,Ski Country ARC,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,91.8,NNE,,447.05,442.05,136.5,Pitkin,On-Air,,CCARC,,136.5,Aspen-Snowmass areas.,Roaring Fork Amateur Repeater Cooperative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,92.2,S,,448.65,443.65,127.3,San Juan,On-Air,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,,92.2,S,,146.92,146.32,100,San Juan,On-Air,,NMFCC,,,,San Juan County OEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,92.6,NW,,449.575,444.575,131.8,Mesa,On-Air,GMRA Repeaters,CCARC,,131.8,Grand Junction,,e-power. Linked to GMRA Open System,,Closed IRLP out,Wed RACES Net 1930 Hrs,3710,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,92.6,NW,,146.94,146.34,107.2,Mesa,On-Air,http://w0rrz.org,CCARC,,107.2,Grand Junction 30-50 mi,Western Colorado Amateur Radio Club,E-power and autopatch for WCARC members,,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,92.9,E,,146.745,146.145,100,Chaffee,Off-Air,,CCARC,,,,CLARA,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,,94.4,SSW,,53.01,52.01,131.8,San Juan,On-Air,,NMFCC,,,,KB5ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,100,K5WY,Farmington,NM,OPEN,,94.4,SSW,,449,444,100,San Juan,,,NMFCC,,,,K5WY,E-power.,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,
442.325,5,CC1,N5UBJ,Farmington,NM,OPEN,,94.4,SSW,,442.325,447.325,,San Juan,On-Air,http://www.aztrbonet.com/MinimalNetwatch,NMFCC,,,,,AZ-TRBONET,,,,,,,,,,,,1,,AZ-TrboNet,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,1,1,1,2,2,2,2,,
147,0.6,100,KB5ITS,Farmington,NM,OPEN,,94.4,SSW,,147,147.6,100,San Juan,On-Air,,NMFCC,,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,K5WXI,Farmington,NM,OPEN,,94.4,SSW,,146.85,146.25,100,San Juan,On-Air,,NMFCC,,100,,Totah ARC,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.15,5,,KF5VBF,Farmington,NM,OPEN,,94.4,SSW,,444.15,449.15,,San Juan,On-Air,,,,,,San Juan County,DV only,,,,,,,,,,,,,,,,,,,KF5VBF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,,94.4,SSW,,146.76,146.16,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,,100,,,"Closed autopatch, e-power.",Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,94.5,E,,449.925,444.925,103.5,Chaffee,On-Air,,CCARC,,103.5,"Upper Arkansas and Platte Rivers, and the SLV",,E-power (Bat),,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,,,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,94.5,E,,449.65,444.65,107.2,Chaffee,On-Air,CMRG Repeaters,CCARC,,,Wide area.,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,94.7,E,,449.975,444.975,100,Chaffee,On-Air,K0JSC.COM,CCARC,,100,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,,2,Full-time to the  The Fun Machine System .,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",7301,28368,363976,,,,DM68xk,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,95,E,,145.295,144.695,107.2,Chaffee,On-Air,CMRG Repeaters,CCARC,,,Wide area.,Cheyenne Mtn Repeater Group,,,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,95,E,,147.285,147.885,88.5,Chaffee,On-Air,,CCARC,,123,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",Colorado Connection,11,Full-time to the  Colorado Connection System .,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,
1292.3,-20,,KF5VBD,"Bloomfield, Harris Mesa",NM,CLOSED,,95.1,S,,1292.3,1272.3,,San Juan,On-Air,,NMFCC,,,,San Juan County,,,,,,,,,,,,,,,,,,,,KF5VBD (A) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,
1291.7,-20,,KF5VBF,"Farmington, Farmington Bluffs",NM,CLOSED,,95.8,SSW,,1291.7,1271.7,,San Juan,On-Air,,NMFCC,,,,San Juan County,DV only,,,,,,,,,,,,,,,,,,,KF5VBF (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,96.1,WNW,,146.76,146.16,88.5,Grand,On-Air,http://www.sdarc.us/repeaters/bald.html,UVHFS,,,Moab and immediate surroundings.,Sinbad Desert ARC,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,96.3,WNW,,449.1,444.1,107.2,Grand,On-Air,GMRA Repeaters,UVHFS,,107.2,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",Grand Mesa Repeater Association (GMRA),8,,,RACES Wed. 1930 hours,,,,,,,,,,,,,,,,,,,,,,,,,,
