Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Features,IRLP,Coordination,Last update,DMR Enabled,Color Code,Wide Network,Affiliate,Web links,Downlink Tone,Coverage,Links,Notes,Nets,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Commands,Feed,EchoLink,AllStar,On-air,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,D-STAR Enabled,Node,Sources,YSF Digital Enabled,DG-ID,Worldwide,North America,Local/Cluster,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Location Photo,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,33,E,,448.225,443.225,141.3,Clear Creek,On-Air,Rocky Mountain Ham Radio,E-power(gen).,,CCARC,,,,,,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,33,E,,146.94,146.34,103.5,Clear Creek,On-Air,Rocky Mtn Radio League,11,,CCARC,,,,,,Repeater,103.5,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.","Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,,,Autopatch: 911* / Off 0*.,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,33,E,,145.145,144.545,107.2,Clear Creek,On-Air,Colorado Repeater Assoc,E-power.,,CCARC,,,,,,http://www.w0cra.org/info/squaw.html#145145,107.2,Wide area. Denver metro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,33,E,,449.35,444.35,100,Clear Creek,On-Air,Denver Radio Club,11,,CCARC,,,,,,DRC Repeaters,100,Wide area.,,,,,,,,,,,,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,33,E,,446.9375,441.9375,,Clear Creek,On-Air,Rocky Mountain Ham Radio,,,CCARC,,,7,,,Rocky Mountain Ham Radio,,,Full-time to the  Colorado TRBO System .,See the website for programming information.,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,33,E,,447.575,442.575,107.2,Clear Creek,On-Air,Colorado Repeater Association (CRA),,3291,CCARC,,,,,,http://www.w0cra.org,107.2,Wide area: Denver metro.,,,,,,,,,,Member-only IRLP and Echolink node,,347088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,33,E,,146.67,146.07,100,Clear Creek,On-Air,Castle Rock Repeater Group,11,,CCARC,,,,,,,100,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,33,E,,145.49,144.89,100,Jefferson,On-Air,"KB0VIU,  Denver Radio Club",E-power.,,CCARC,,,,,,DRC Repeaters,100,,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,33,E,,449.45,444.45,103.5,Clear Creek,On-Air,Rocky Mountain Radio League,11,,CCARC,,,,,,Repeater,127.3,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",,,RMRL: Mon at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,33.1,E,,449.05,444.05,107.2,Denver,On-Air,WG0N,E-power.,,CCARC,,,,,,,107.2,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,33.2,E,,448.675,443.675,100,Denver,On-Air,W0CFI,,,CCARC,,,,,,,100,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,33.3,E,,147.3,147.9,103.5,Clear Creek,On-Air,Denver PD EEB,,,CCARC,,,,,,,103.5,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,33.6,E,,449,444,136.5,Clear Creek,On-Air,CARN,,,CCARC,,,,,,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,35.3,SE,,146.895,146.295,100,Park,On-Air,AB0RR,25,,CCARC,,,,,,Park County Radio Club (PCRC),100,285,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",,Wed at 19:30.,,,,,,,,,,45835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,36.3,NNE,,146.82,146.22,123,Grand,,GCARA,E-power.,,CCARC,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,36.3,NNE,,446.875,441.875,,Clear Creek,On-Air,,,,,,,,,RMHAM,http://www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,36.4,E,,447.85,442.85,141.3,Clear Creek,On-Air,AC0KQ,AllStar node repeater providing wide area coverage along the Front Range,,CCARC,,,,,Rocky Mountain Ham Radio,,141.3,Wide area at 9500',,,,,,,,,,,,,29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,36.9,NNW,,147.075,147.675,88.5,Grand,On-Air,Colorado Connection,,,CCARC,,,,,,,123,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of Repeaters,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,38.4,SSE,,446.7625,441.7625,,Park,On-Air,K7PFJ,,,,,,0,,RMHAM,,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,39.5,ESE,,53.05,51.35,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),10,,CCARC,,,,,,,107.2,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,39.6,NE,,224.6,223,100,Gilpin,,W0RM,,,CCARC,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,39.9,ESE,,147.12,147.72,88.5,Jefferson,On-Air,Aurora Repeater Association,E-power.,,CCARC,,,,,,http://www.n0ara.org,88.5,Denver metro and east.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,41.1,E,,446.7875,441.7875,,Jefferson,On-Air,Denver Radio Club,,,CCARC,,,1,,Brandmeister Network,http://www.w0tx.org/,,,,,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,41.1,E,,927.8375,902.025,,Jefferson,On-Air,,,,CCARC,,,,,,,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,The offset is -25.8125,,,,,,,,,,,45770,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,41.2,E,,449.525,444.525,CSQ,Jefferson,On-Air,KE0SJ,E-power.,,CCARC,,,,,,Intermountain Repeater Group,,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,41.2,E,,145.28,144.68,100,Jefferson,On-Air,,"Closed autopatch, e-power, linked.",,CCARC,,,,,,Intermountain Repeater Group,,Wide area.,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .","PL is usually off, allowing use by older transceivers.",Sun at 19:30. Everyone welcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,41.2,E,,146.985,146.385,100,Denver,On-Air,El Jebel RADOPS,E-power.,3346,CCARC,,,,,,,100,,,,RADOPS: Sun at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,41.2,E,,146.64,146.04,100,Jefferson,On-Air,Denver Radio League,E-power.,,CCARC,,,,,,DRL Repeaters,,"Wide area. 
   Repeater Coverage Map",,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,41.2,E,,448.625,443.625,100,Jefferson,On-Air,Denver Radio Club,E-power.,,CCARC,,,,,,DRC Repeaters,100,Denver metro area.,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,41.7,ESE,,145.175,144.575,D073,Clear Creek,Off-Air,Rocky Mountain Ham Radio,,,CCARC,,,1,,,Rocky Mountain Ham Radio,D073,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,41.7,E,,145.31,144.71,88.5,Gilpin,On-Air,Colorado Connection,10,,CCARC,,,,,,,123,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Full-time to the  Colorado Connection System .,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX","Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,41.7,E,,449.225,444.225,141.3,Gilpin,On-Air,Rocky Mountain Ham Radio (RMHR),Emergency Power,,CCARC,,,,,,,141.3,Wide area.,,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,41.7,ESE,,145.34,144.74,103.5,Jefferson,On-Air,Rocky Mtn Radio League,E-power.,3350,CCARC,,,,,,Repeater,127.3,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,42.4,ESE,,447.15,442.15,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",,CCARC,,,,,,,107.2,Wide area: Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,42.4,ESE,,224.98,223.38,107.2,Jefferson,Off-Air,Colorado Repeater Association,"Closed autopatch, e-power.",3990,CCARC,,,,,,,107.2,Wide area. Denver.,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,347086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,42.4,ESE,,1287.9,1267.9,CSQ,Jefferson,Off-Air,Colorado Repeater Association (CRA),,,CCARC,,,,,,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,43.2,E,,224,222.4,103.5,Jefferson,On-Air,Rocky Mountain Radio League,8,,CCARC,,,,,,Repeater,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,43.2,E,,147.15,147.75,100,Jefferson,On-Air,Aurora Repeater Assoc (ARA),e-power,,CCARC,,,,,,ARA Repeaters,100,"Denver metro, central front range","Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,43.2,E,,448.85,443.85,88.5,Jefferson,On-Air,Aurora Repeater Assoc,e-power.,,CCARC,,,,,,ARA Repeaters,88.5,"Denver metro, central front range",,,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,43.3,E,,224.74,223.14,88.5,Jefferson,On-Air,Aurora Repeater Assoc,e-power,,CCARC,,,,,,ARA Repeaters,88.5,,,,ARA: Wed at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,43.3,E,,449.75,444.75,103.5,Jefferson,On-Air,Rocky Mtn Radio League,8,,CCARC,,,,,,Repeater,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,43.3,E,,145.22,144.62,103.5,Jefferson,On-Air,Rocky Mtn Radio League,8,,CCARC,,,,,,Repeater,103.5,Wide area.,,Talk-Group of $FFFF.,,,,,,,,,,,,,,293,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,47,E,,449.625,444.625,141.3,Jefferson,On-Air,Rocky Mountain Ham Radio,E-power,3750,CCARC,,,,,,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,47.2,E,,446.9625,441.9625,,Jefferson,On-Air,Colorado D-Star,,,CCARC,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,47.2,E,,145.25,144.65,,Jefferson,On-Air,Colorado D-Star,,,CCARC,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,47.2,E,,145.37,144.77,,Jefferson,On-Air,Rocky Mountain Ham Radio,,,CCARC,,,7,,,Rocky Mountain Ham Radio,,,,See the website for programming information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,47.2,E,,1299.9,1299.9,,Jefferson,On-Air,Colorado D-Star,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,47.2,E,,1283.9625,1263.9625,,Jefferson,On-Air,Colorado D-Star,,,CCARC,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,47.3,E,,446.8375,441.8375,,Jefferson,On-Air,WA2YZT,200,,CCARC,,,7,,,,,,Full-time to the  Colorado TRBO System .,See website for more info on CC/TS/TG programming.  www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,47.3,ESE,,447.875,442.875,107.2,Jefferson,On-Air,N6LXX,,,CCARC,,,,,N6LXX,,107.2,"I-70,I-76,I-25,I-225",Full-time to the  N6LXX System .,,,,,,,,,,,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,47.3,ESE,,53.17,51.47,107.2,Jefferson,On-Air,N6LXX,,,CCARC,,,,,N6LXX,,CSQ,"I-70,I-76,I-25,I-225",Full-time to the  N6LXX System .,,,,,,,,,,,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,47.8,SW,,447.05,442.05,136.5,Pitkin,On-Air,Roaring Fork Amateur Repeater Cooperative,,,CCARC,,,,,,,136.5,Aspen-Snowmass areas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,47.9,SE,,146.685,146.085,107.2,Park,On-Air,Mountain ARC (MARC),"Closed autopatch, e-power.",,CCARC,,,,,,,107.2,,"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,MARC/PCRC: Tue at 19:30.,,,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
