Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Features,Web links,Coordination,Last update,Grid,Coverage,Sponsor,EchoLink,Downlink Tone,Links,Notes,Nets,IRLP,Commands,DMR Enabled,Color Code,Wide Network,Affiliate,On-air,AllStar,D-STAR Enabled,Node,Sources,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Location Photo,Feed,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Worldwide,North America,Local/Cluster,YSF Digital Enabled,DG-ID,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,English,Mountain Reg USA,Wyoming,WyLOCAL,Worldwide English,DCI Bridge,N. Colorado,TAC 310,Europe,Southwest USA,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,Local
449.7,-5,107.2,,Lake George,CO,OPEN,,142.8,SE,,449.7,444.7,107.2,Park,,,,CCARC,,,,CMRG,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,143,E,,145.46,144.86,107.2,Boulder,On-Air,"Closed autopatch, e-power.",,CCARC,,,Boulder/Denver Metro,Colorado Repeater Association (CRA),347086,107.2,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,3990,Member-only IRLP and Echolink node,,,,CRA VHF Link System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,143,E,,447.975,442.975,107.2,Boulder,On-Air,Closed autopatch.,,CCARC,,,Wide area: Boulder/Longmont area.,Colorado Repeater Association (CRA),,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,143,E,,447.75,442.75,141.3,Boulder,On-Air,,,CCARC,,,,Rocky Mountain Ham Radio,,141.3,,,,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC7,N0SZ,"Boulder, Lee Hill",CO,OPEN,,143,E,,446.9875,441.9875,,Boulder,On-Air,Linked on Time Slot 2 to  Almagre Mtn  (446.950).,,,,,,Rocky Mountain Ham Radio,,,"Full-time to  
        446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO .
 


Full-time to the  Colorado TRBO System .",,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,143,E,,224.02,222.42,,Boulder,On-Air,8,RMVHS repeaters,CCARC,,,Denver metro area.,Rocky Mtn VHF Soc,217336,,"Full-time to  
        449.55000 (W0IA) at Boulder, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,143,E,,445.05,440.05,,Boulder,On-Air,The DMR-MARC Worldwide Network,,CCARC,,,Wide area,Rocky Mountain Ham Radio,,,,,,,,,1,,,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,143.1,SSW,,145.19,144.59,100,Montezuma,On-Air,,http://www.sjcham.com,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,143.1,SSW,,447.275,442.275,100,Montezuma,On-Air,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,143.9,S,,146.67,146.07,100,La Plata,On-Air,11,DARC Repeaters,CCARC,,,Wide area.,Durango ARC,,,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",Linked active in the summer months only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,,K7YI,"Price, Cedar Mountain",UT,OPEN,,144,W,,448.075,443.075,,Carbon,Off-Air,,,,,,,Sinbad Desert Amateur Radio Club,,,,,,,,,,,,,,,K7YI (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,144.7,ESE,,449.625,444.625,141.3,Jefferson,On-Air,E-power,,CCARC,,,,Rocky Mountain Ham Radio,,141.3,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,123,N0FH,Estes Park,CO,OPEN,EI,144.8,E,,146.685,146.085,123,Larimer,On-Air,E-power.,,CCARC,,,Estes Valley and east RMNP - some coverage E and SE (Loveland and Denver),Estes Valley ARC,625757,,"Full-time to  
        449.80000 (N0FH) at Estes Park, CO .","Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",ARES D-10: Thu at 19:00.,7268,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,88.5,K7SDC,"Castle Dale, Cedar Mountain",UT,OPEN,I,144.9,W,,448.55,443.55,88.5,Emery,On-Air,Remote base.,,UVHFS,,,"Wide area: Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.",N7QLO,,,,Stand alone.,,3280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,100,K7YI,"Castle Dale, Cedar Mountain",UT,CLOSED,,144.9,W,,447.125,442.125,100,Emery,,7,,UVHFS,,,"Wide area: This covers (approximately) from Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.",San Rafael Cactus Assoc,,,,,,,,,,,Cactus-Intertie,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,88.5,K7SDC,"Castle Dale, Cedar Mountain",UT,OPEN,EI,144.9,W,,147.14,147.74,88.5,Emery,On-Air,"Closed autopatch, remote base.",http://sdarc.us/repeaters/cedar.html,UVHFS,,,"Wide area: Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.",Sinbad Desert ARC,64264,,Full-time to the  Sinbad Desert (SDARC) System .,7,,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,145,ESE,,1283.9625,1263.9625,,Jefferson,On-Air,,Colorado D-Star,CCARC,,,,Colorado D-Star,,,,,,,,,,,,,,,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,145,ESE,,1299.9,1299.9,,Jefferson,On-Air,,Colorado D-Star,,,,,Colorado D-Star,,,,,,,,,,,,,,,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,145,ESE,,446.9625,441.9625,,Jefferson,On-Air,,Colorado D-Star,CCARC,,,,Colorado D-Star,,,,,,,,,,,,,,,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,145,ESE,,145.37,144.77,,Jefferson,On-Air,,Rocky Mountain Ham Radio,CCARC,,,,Rocky Mountain Ham Radio,,,,See the website for programming information.,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,145,ESE,,145.25,144.65,,Jefferson,On-Air,,Colorado D-Star,CCARC,,,,Colorado D-Star,,,,,,,,,,,,,,,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,145.1,ESE,,446.8375,441.8375,,Jefferson,On-Air,200,,CCARC,,,,WA2YZT,,,Full-time to the  Colorado TRBO System .,See website for more info on CC/TS/TG programming.  www.rmham.org,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,145.3,E,,146.7,146.1,100,Boulder,On-Air,6,BARC Repeaters,CCARC,,,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",Boulder Co ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,145.5,E,,448.9,443.9,100,Boulder,On-Air,6,,CCARC,,,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",Boulder ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,145.5,ESE,,447.875,442.875,107.2,Jefferson,On-Air,,,CCARC,,,"I-70,I-76,I-25,I-225",N6LXX,,107.2,Full-time to the  N6LXX System .,,,,,,,,N6LXX,,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,145.5,E,,146.61,146.01,100,Boulder,Off-Air,,,CCARC,,,,Boulder Amateur Radio Club,,,,,,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,145.5,ESE,,53.17,51.47,107.2,Jefferson,On-Air,,,CCARC,,,"I-70,I-76,I-25,I-225",N6LXX,,CSQ,Full-time to the  N6LXX System .,,,,,,,,N6LXX,,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,145.8,ESE,,448.975,443.975,123,Jefferson,On-Air,Linkable VHF/UHF Remote Base,,CCARC,,,Wide area.,FRG,,,,,,,,,,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,145.8,ESE,,927.7875,902.7875,156.7,Jefferson,On-Air,,,,,,Golden and Denver.,N0PYY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,145.8,ESE,,448.125,443.125,107.2,Jefferson,On-Air,,,CCARC,,,,Denver PD EEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,146.2,E,,446.8625,441.8625,,Boulder,On-Air,,,CCARC,,,,Boulder County ARES,,,,,,,,,,,,,,,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,146.2,E,,1299.5,1279.5,,Boulder,On-Air,E-power.,,CCARC,,,,Boulder County ARES,,,,,,,,,,,,,,,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,146.2,E,,446.8,441.8,,Boulder,On-Air,,Rocky Mountain Ham Radio,CCARC,,,Wide area.,Rocky Mountain Ham Radio,,,Full-time to the  Colorado TRBO System .,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,,,,7,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,146.3,E,,449.4,444.4,91.5,Boulder,Off-Air,2,http://www.ked-wireless.com/products1.htm,CCARC,,,,BARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,146.3,ESE,,446.975,441.975,,Jefferson,On-Air,,http://www.w0dmr.org/,,,,Denver Metro Area,W0DMR,,,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,146.3,E,,449.55,444.55,100,Boulder,On-Air,8,,CCARC,,,Denver metro area.,Rocky Mtn VHF Soc,217336,,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,88.5,N0OWY,"Conifer, Critchell Mountain",CO,OPEN,,146.3,ESE,,447.5,442.5,88.5,Jefferson,On-Air,E-power.,,CCARC,,,Wide area.,Aurora Repeater Association,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,146.4,S,,146.7,146.1,100,La Plata,On-Air,9,http://durangoarc.org/,CCARC,,,Local.,Durango ARC,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,147.4,S,,445.1375,440.1375,,La Plata,On-Air,,http://www.rmham.org/,CCARC,,,,K2AD,,,,,,,,,7,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222.4,1.6,123,K7DRA,"Rock Springs, Aspen Mtn",WY,OPEN,E,147.4,NNW,,222.4,224,123,Sweetwater,On-Air,,,,,,Wide Area,DRAWZM,824055,,,,,,,,,,Mountain West Radio Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,100,WY7U,"Rock Springs, Aspen Mountain",WY,OPEN,E,147.4,NNW,,146.94,146.34,100,Sweetwater,On-Air,,,WRCG,,,Wide area.,Sweetwater ARC,357388,,Full-time to the  HERC System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,N7RUG,"Rock Springs, Aspen Mountain",WY,OPEN,,147.4,NNW,,146.61,146.01,100,Sweetwater,On-Air,Autopatch.,http://wy7u.angelfire.com,WRCG,,,Wide area: SW Wyoming,Sweetwater RACES,,,,,Sun at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,147.7,ESE,,53.09,51.39,107.2,Jefferson,On-Air,E-power.,DRC Repeaters,CCARC,,,Metro Denver area.,Denver Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,148.1,S,,442.375,447.375,100,Montezuma,On-Air,,,,,,,San Juan Connection,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,91.5,K0DK,Boulder,CO,OPEN,E,148.4,E,,146.73,146.13,91.5,Boulder,Off-Air,12,http://www.ked-wireless.com/products1.htm,CCARC,,DN70jb,Local,BARC,115482,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,148.7,S,,147.345,147.945,88.5,La Plata,On-Air,,,CCARC,,,Durango and north towards Molas Divide.,Colorado Connection,,123,Full-time to the  Colorado Connection System .,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.8625,-20,,KC0DS,Boulder,CO,OPEN,,148.7,E,,1283.8625,1263.8625,,Boulder,On-Air,E-power.,,CCARC,,,20,Boulder County ARES,,,,,,,,,,,,,,,KC0DS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,148.7,E,,145.3875,144.7875,,Boulder,On-Air,E-power.,http://bouldercountyares.org/technical/d-star,CCARC,,,20,Boulder County ARES,,,,,,,,,,,,,,,KC0DS (C),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,149.5,ESE,,449.775,444.775,100,Jefferson,On-Air,,Denver Radio Club,CCARC,,,Metro Denver,Denver Radio Club,,100,,,,,,,,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,149.5,ESE,,147.33,147.93,100,Jefferson,On-Air,E-power.,DRC Repeaters,CCARC,,,Metro Denver and the foothills.,Denver Radio Club,,,,Not recommeded to use tone squelch on this repeater.,SATERN: Thu at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,149.5,ESE,,224.38,222.78,100,Jefferson,On-Air,,DRC Repeaters,CCARC,,,,Denver Radio Club,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,149.9,ESE,,146.88,146.28,100,Jefferson,On-Air,E-power.,DRL Repeaters,CCARC,,,Wide Area,Denver Radio League,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC6,N5UBJ,"Mancos, Caviness Mountain",CO,OPEN,,149.9,S,,446.7375,441.7375,,Montezuma,On-Air,,http://www.rmham.org,CCARC,,,,RMHAM,,,,,,,,,6,,,,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  1  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,149.9,ESE,,449.6,444.6,100,Jefferson,On-Air,,DRL Repeaters,CCARC,,,,Denver Radio League,690473,,,,,3345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
