Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Features,Web links,Coordination,Last update,Downlink Tone,Sponsor,Links,Nets,DMR Enabled,Color Code,Wide Network,Affiliate,On-air,Notes,Talkgroup Network,Talkgroups,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,D-STAR Enabled,Node,Sources,Colorado,Southern Colorado,Grid,AllStar,EchoLink,IRLP,Commands,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Location Photo,Feed,Denver Regional,Northern Colorado,YSF Digital Enabled,DG-ID,Local/Cluster,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2
443,5,100,K5YEJ,"San Luis, Cabezon",NM,OPEN,,115.8,SSE,,443,448,100,Sandoval,On-Air,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.425,5,,NM5WR,Los Alamos,NM,OPEN,,116.9,SE,,442.425,447.425,,Los Alamos,On-Air,30,,,,,,,,,,,,,,,,,,,,,,,,,NM5WR (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,
444.775,5,131.8,WD9CMS,Los Alamos,NM,OPEN,,117,SE,,444.775,449.775,,Los Alamos,On-Air,Los Alamos and surrounding areas,E-power.,,NMFCC,,,WD9CMS,,,,,,,,"Mixed mode analog and digital P25 system, linked with 927.9 WD9CMS",,,,,,,,,,,,,,,,,,,,,293,,,,,,,,,,,,,,,
146.88,-0.6,CSQ,W5PDO,"Los Alamos, Barranca Mesa",NM,OPEN,,117,SE,,146.88,146.28,CSQ,Los Alamos,On-Air,,,,NMFCC,,CSQ,Los Alamos ARC,,LAARC: Sun at 2000.,,,,,,Located on the Barranca Mesa water tower.,,,,,,,,,,,,,,,,,,,"Autopatch: Up- *88, wait for dialtone, and dial phone nbr. Down- #.",,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,117.2,N,,147.195,147.795,107.2,Delta,,Local.,,,,,,,,,,,,Colorado District 25 ARES,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,117.2,N,,147.36,147.96,100,Delta,,,,,CCARC,,,W0ALC,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,117.2,N,,449.825,444.825,100,Delta,,,,,CCARC,,,W0ALC,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC,NM5BB,Los Alamos,NM,OPEN,,117.3,SE,,442.25,447.225,,Los Alamos,Off-Air,,,,NMFCC,,,,,,,,,,,TS1 only. Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.925,5,CC1,KE8AVN,Los Alamos,NM,OPEN,,117.5,SE,,442.925,447.925,,Los Alamos,,,,,,,,,,,,1,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.04,-1.6,100,KA5BIW,Los Alamos,NM,OPEN,,117.5,SE,,224.04,222.44,100,Los Alamos,On-Air,,,,,,100,KA5BIW,,,,,,,,linked with 442.0 KA5BIW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,5,100,KA5BIW,Los Alamos,NM,OPEN,E,117.5,SE,,442,447,100,Los Alamos,On-Air,,Linked with 224.04 KA5BIW,http://ka5biw.com/ham_radio/repeater.php,,,,KA5BIW,,,,,,,,,,,,,,,,,,,,,,,,,87566,,,,,,,,,,,,,,,,,,,
927.9,-25,131.8,WD9CMS,Los Alamos,NM,OPEN,,117.5,SE,,927.9,902.9,,Los Alamos,On-Air,Los Alamos and surrounding areas,,,NMFCC,,,,,,,,,,,"Mixed mode analog and digital P25 system, linked with 444.775 WD9CMS",,,,,,,,,,,,,,,,,,,,,293,,,,,,,,,,,,,,,
144.265,0,203.5,KC2HSO,Los Alamos,NM,OPEN,I,117.5,SE,,144.265,144.265,203.5,Los Alamos,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8039,,,,,,,,,,,,,,,,,,
147.18,0.6,100,KD5PX,"Dixon, Cerro Abajo",NM,OPEN,,118.3,SE,,147.18,147.78,100,Rio Arriba,On-Air,Dixon Embudo Ojo Sarco St Rd 68 Rio Grande Canyon,,,NMFCC,,100,,,,,,,,,,,,,,,,,,,,,,,,DM76BF,,,,,,,,,,,,,,,,,,,,,
145.39,-0.6,100,KF5PFO,"Red River, Molycorp",NM,OPEN,,120.8,SE,,145.39,144.79,100,Taos,On-Air,Wide area.,"E-power, linked.",Taos Amateur Radio Club,NMFCC,,,Taos ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,120.9,NE,,449.975,444.975,100,Chaffee,On-Air,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,2,K0JSC.COM,CCARC,,100,,Full-time to the  The Fun Machine System .,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,,,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,,,,,,,,,,,,,,,DM68xk,28368,363976,7301,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,120.9,NE,,449.925,444.925,103.5,Chaffee,On-Air,"Upper Arkansas and Platte Rivers, and the SLV",E-power (Bat),,CCARC,,103.5,,,,,,,Colorado ARES,,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,120.9,NE,,449.65,444.65,107.2,Chaffee,On-Air,Wide area.,E-power.,CMRG Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,121.5,NE,,147.285,147.885,88.5,Chaffee,On-Air,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",11,,CCARC,,123,Colorado Connection,Full-time to the  Colorado Connection System .,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,121.5,NE,,145.295,144.695,107.2,Chaffee,On-Air,Wide area.,,CMRG Repeaters,CCARC,,,Cheyenne Mtn Repeater Group,,,,,,,,,,,,,,,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,123.9,N,,447.35,442.35,107.2,Delta,,,,GMRA Repeaters,CCARC,,,Grand Mesa Repeater Assoc (GMRA),,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,125.5,NNW,,448.15,443.15,100,Mesa,On-Air,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,312189,7963,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,125.6,NE,,446.975,441.975,,Chaffee,On-Air,,,KD0QPG,CCARC,,,Crestone Amateur Radio Emergency Services,,,,,,Crestone Amateur Radio Emergency Services,,,,,,,,,,,,,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,125.6,NE,,446.8125,441.8125,,Chaffee,On-Air,,,,,,,RMHAM,,,,0,,,,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,67,NM5ML,"Taos, Ski Valley",NM,OPEN,,126.6,SE,,147.14,147.74,67,Taos,On-Air,,11,http://www.taosarc.com/,,,,,Full-time to the  Mega-Link System .,,,,,TaosARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5,0,100,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,127.1,SE,,51.5,51.5,100,Taos,On-Air,,,Taos Amateur Radio Club,,,,Taos ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,67,KF5PFO,"Taos, Picuris Peak",NM,OPEN,E,127.1,SE,,147.12,147.72,67,Taos,On-Air,Wide area.,E-power.,http://taosarc.org/,NMFCC,,,Taos Amateur Radio Club,,,,,,ARRL,,,,,,,,,,,,,,,,,,,828279,,,,,,,,,,,,,,,,,,,
449.875,-5,123,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,127.1,SE,,449.875,444.875,123,Taos,On-Air,,"Linked to 147.34, E-Power.",,NMFCC,,,Taos ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.4,-1.6,225.7,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,127.1,SE,,224.4,222.8,225.7,Taos,On-Air,,,http://taosarc.org,NMFCC,,,Taos ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.26,0.6,100,KC5WDV,"Gallup, Gibson Peak",NM,OPEN,,127.2,SSW,,147.26,147.86,100,McKinley,On-Air,,VHF/UHF Remote Bases,,NMFCC,,,KC5WDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,127.9,NE,,146.745,146.145,100,Chaffee,Off-Air,,E-power.,,CCARC,,,CLARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,128.5,N,,449.65,444.65,151.4,Mesa,On-Air,Wide area coverage,NWS weather alert system.,,CCARC,,151.4,Keri Washburn,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,8162,11,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,128.5,N,,145.355,144.755,88.5,Mesa,On-Air,"Rifle to the east, several miles east of Green River, Utah to the west.",E-power.,,CCARC,,123,Colorado Connection,Full-time to the  Colorado Connection System .,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,Colorado Connection system of repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.975,5,123,N5TSV,"Taos, Wheeler Peak",NM,OPEN,,129.1,SE,,444.975,449.975,123,Taos,On-Air,,,,NMFCC,,,N5TSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,123,KD7HLL,Mexican Hat,UT,OPEN,,129.8,W,,449.9,444.9,123,San Juan,On-Air,"Lake Powell area from Bullfrog to Wahweap and Hite, toward the south into Arizona and North as far as Boulder.",6,,UVHFS,,,,,,,,,,,Part time link to  two repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,130.2,NW,,146.76,146.16,88.5,Grand,On-Air,Moab and immediate surroundings.,,http://www.sdarc.us/repeaters/bald.html,UVHFS,,,Sinbad Desert ARC,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,130.3,NW,,449.1,444.1,107.2,Grand,On-Air,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",8,GMRA Repeaters,UVHFS,,107.2,Grand Mesa Repeater Association (GMRA),,RACES Wed. 1930 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,123,KF5PFO,"Red River, Valle Vidal",NM,OPEN,,130.3,SE,,145.25,144.65,123,Taos,On-Air,,,Taos Amateur Radio Club,NMFCC,,,Taos ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,131.3,NNW,,449.3,444.3,107.2,Mesa,On-Air,Wide Area I-70 West Rifle to Western Utah,e-power Linked to GMRA Open System,http://www.gmra.org/,CCARC,,107.2,,,RACES Wed 1930 hrs,,,,,,Closed IRLP out,,,,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,132.4,E,,448.325,443.325,100,Custer,On-Air,,,,,,100,,Full-time to the  The Fun Machine System .,,,,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,132.4,E,,919.1,894.1,88.5,Pueblo,Off-Air,Wide area.,,,CCARC,,CSQ,Pueblo HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,132.5,E,,147.06,147.66,77,Custer,On-Air,,E-power,,CCARC,,77,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,132.5,E,,448.15,443.15,103.5,Custer,On-Air,,E-power.,http://www.qsl.net/rghc,CCARC,,103.5,Royal George ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,132.5,E,,927.775,902.775,D116,Custer,On-Air,,,,CCARC,,D116,Royal Gorge Amateur Radio Club,,,,,,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC1,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,133.2,NNW,,446.9125,441.9125,,Mesa,On-Air,"Grand Junction, I70",,,,,,Bill Frost,,,,1,,,,Brandmeister network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,KC5WDV,Gallup,NM,OPEN,E,133.4,SSW,,449.75,444.75,100,McKinley,On-Air,,,,NMFCC,,,KC5WDV,,,,,,,,,,,,,,,,,,,,,,,,,6810,,,,,,,,,,,,,,,,,,,
145.29,-0.6,123,K7LEN,Window Rock,NM,OPEN,,133.9,SW,,145.29,144.69,123,McKinley,On-Air,,,,NMFCC,,,NARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.98,-0.6,141.3,NM5EM,"Grants, Mt Taylor",NM,OPEN,,136.3,S,,146.98,146.38,141.3,Cibola,On-Air,,,,,,141.3,New Mexico Emergency Management Association Amateur Radio Club,,,,,,,,Located inside the state of NM radio building.,,,,,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,
444.95,5,100,KE5FYL,"Grants,   La Mosca Peak",NM,OPEN,,136.3,S,,444.95,449.95,100,Bernalillo,On-Air,Wide area.,,,NMFCC,,88.5,Cibola County Amateur Radio Club,,,,,,,,Linked to 147.180 Grants/Milan NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,136.7,NNW,,147.355,146.755,88.5,Mesa,On-Air,,,,CCARC,,123,Colorado Connection,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.35,5,100,NM5ML,"Eagle Nest, Iron Mountain",NM,OPEN,,136.7,SE,,444.35,449.35,100,Colfax,On-Air,,,,NMFCC,,,,Full-time to the  Mega-Link System .,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,137.1,NNW,,147.39,147.99,107.2,Mesa,,,Linked.,,CCARC,,,KE0TY,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,Grand Junction,CO,OPEN,A,137.1,NNW,,146.82,146.22,107.2,Mesa,On-Air,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,28515,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,137.2,NNW,,447.5,442.5,114.8,Mesa,,,,,CCARC,,,KC0ARV,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,137.2,NNW,,449.775,444.775,173.8,Mesa,On-Air,,,,CCARC,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,7572,7573,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,137.2,NNW,,449,444,,Mesa,On-Air,,,,CCARC,,107.2,KB0SW,,,,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,137.2,NNW,,147.105,147.705,,Mesa,On-Air,,,,CCARC,,,K0SSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,137.2,NNW,,145.22,144.62,107.2,Mesa,,,,,CCARC,,,KE0TY,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,137.2,NNW,,446.775,441.775,,Mesa,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,KD0RED (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,100,WB5EKP,"Grants,  Mt Taylor",NM,OPEN,,137.3,S,,146.94,146.34,100,Cibola,On-Air,Wide area.,11,,,,,Upper Rio FM Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Eagle Nest, Touch Me Not",NM,OPEN,,139.9,SE,,147.04,147.64,141.3,Colfax,On-Air,,,,NMFCC,,,NMEMA ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,140,NNW,,145.175,144.575,107.2,Mesa,On-Air,Greater grand Junction area.,"E-power,",,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3161,Standard IRLP node commands.,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,140.6,N,,449.5,444.5,107.2,Mesa,Off-Air,,E-power.,,CCARC,,,Grand Mesa Repeater Association (GMRA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,67,K5URR,"Grants, MW Ridge",NM,OPEN,,140.7,S,,146.64,146.04,67,Bernalillo,On-Air,Wide Area,,http://www.urfmsi.org,NMFCC,,67,URFMSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.275,-5,146.2,K9GAJ,Santa Fe,NM,OPEN,I,140.7,SE,,449.275,444.275,146.2,Santa Fe,On-Air,,,,,,,Fred Homuth,,,,,,,,,,,,,,,,,,,,,,,,,,3939,,,,,,,,,,,,,,,,,,
145.21,-0.6,,W5SF,Santa Fe,NM,OPEN,,140.7,SE,,145.21,144.61,,Santa Fe,On-Air,Local Santa Fe,,,,,,W5SF,,,,,,Santa Fe Amateur Radio Club,,Soon to move to a better location.,,,,,,,,,,,W5SF (C) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,
444.575,5,,W5SF,Santa Fe,NM,OPEN,,140.7,SE,,444.575,449.575,,Santa Fe,On-Air,Local Santa Fe,,,,,,W5SF,,,,,,Santa Fe Amateur Radio CLub,,Soon to move to a better location,,,,,,,,,,,W5SF (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,
447.775,-5,100,KF5SGT,Santa Fe,NM,OPEN,I,141.1,SE,,447.775,442.775,100,Santa Fe,On-Air,Santa Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7326,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,141.1,NNE,,447.05,442.05,136.5,Pitkin,On-Air,Aspen-Snowmass areas.,,,CCARC,,136.5,Roaring Fork Amateur Repeater Cooperative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.9,-0.6,88.5,K7QEQ,Moab,UT,OPEN,,141.4,NW,,146.9,146.3,88.5,Grand,On-Air,Moab and immediate surroundings.,"Closed autopatch, remote base, linked to Bald Mesa (146.760).",http://sdarc.us/repeaters/moab.html,UVHFS,,,Sinbad Desert ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,141.7,NNW,,449.575,444.575,131.8,Mesa,On-Air,Grand Junction,e-power. Linked to GMRA Open System,GMRA Repeaters,CCARC,,131.8,,,Wed RACES Net 1930 Hrs,,,,Grand Mesa Repeater Assoc,,Closed IRLP out,,,,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,,,
442.825,5,131.8,KB5ZQE,"Santa Fe, Tesuque Peak",NM,OPEN,,141.7,SE,,442.825,447.825,131.8,Santa Fe,On-Air,,Autopatch.,,NMFCC,,,Santa Fe ARC,"Full-time to  
        146.82000 (W5SF) at Santa Fe,  Tesuque Peak, NM .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,141.7,ESE,,449.75,444.75,100,Las Animas,On-Air,,,The Fun Machine,CCARC,,100,N0ZSN,Full-time to the  The Fun Machine System .,,,,,The Fun Machine,,,,,,,,,,,,,,,,,,28368,363976,7301,,,,,,,,,,,,,,,,,,
146.82,-0.6,162.2,W5SF,"Santa Fe,  Tesuque Peak",NM,OPEN,,141.7,SE,,146.82,146.22,162.2,Santa Fe,On-Air,Wide area.,"Autopatch, e-power.",SFARC Repeaters,NMFCC,,,Santa Fe ARC,"Full-time to  
        442.82500 (KB5ZQE) at Santa Fe, Tesuque Peak, NM .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,141.7,NNW,,146.94,146.34,107.2,Mesa,On-Air,Grand Junction 30-50 mi,E-power and autopatch for WCARC members,http://w0rrz.org,CCARC,,107.2,Western Colorado Amateur Radio Club,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.02,0.6,141.3,NM5EM,"Santa Fe, Tesuque Peak",NM,OPEN,,141.7,SE,,147.02,147.62,141.3,Santa Fe,On-Air,,,,NMFCC,,,NMEMA ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,141.9,NNE,,146.67,146.07,107.2,Pitkin,On-Air,Wide area.,Linked.,,CCARC,,,Ski Country ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,162.2,N5BGC,"Santa Fe, St Vincent Hospital",NM,OPEN,,142,SE,,147.2,147.8,162.2,Santa Fe,On-Air,,E-power. Full time link to Tesuque Peak.,SFARC Repeaters,NMFCC,,,Santa Fe ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.75,5,162.2,KC5IPK,Rio Rancho,NM,OPEN,EI,143.1,SSE,,442.75,447.75,162.2,Sandoval,On-Air,"Rio Rancho, Albuquerque, Corrales.",E-power.,,NMFCC,,,KC5IPK,,,,,,,,,,,,,,,,,,,,,,,,,214956,7855,,,,,,,,,,,,,,,,,,
147.1,0.6,100,NM5RR,"Rio Rancho, Rainbow",NM,OPEN,A,143.1,SSE,,147.1,147.7,100,Sandoval,On-Air,,"E-power, remote base, Linked to 443.100 and 147.080.",http://www.nmscares.org,NMFCC,,100,Sandoval Co ARES,"Full-time to  
        443.00000 (NM5RR) at Rio Rancho, Rainbow, NM .",,,,,,,,,,,,,,,,,,,,,,,27749,,,,,,,,,,,,,,,,,,,,
443,5,100,NM5RR,"Rio Rancho, Rainbow",NM,OPEN,A,143.1,SSE,,443,448,100,Sandoval,On-Air,Rio Rancho and parts of Santa Fe.,E-power.,http://www.nmscares.org,NMFCC,,,Sandoval Co ARES,"Full-time to  
        147.10000 (NM5RR) at Rio Rancho, Rainbow, NM .",,,,,RACES.,,,,,,,,,,,,,,,,,,27750,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,143.6,E,,449.625,444.625,107.2,Custer,On-Air,,E-power.,CMRG Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,143.6,ESE,,145.355,144.755,100,Huerfano,On-Air,,"E-power, linked.",,CCARC,,,N0JPX,,,,,,,,,,,,,,,,,,,,,,,,,,3974,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,143.6,E,,224.32,222.72,88.5,Custer,Off-Air,,11,PHC repeaters,CCARC,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,143.6,E,,447.175,442.175,88.5,Pueblo,Off-Air,Wide area: Southeast Colorado.,11,Pueblo Ham Club,CCARC,,,Pueblo HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
