Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Features,Coordination,Last update,Links,Commands,Nets,Web links,Feed,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Notes,EchoLink,IRLP,Affiliate,AllStar,On-air,P25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,D-STAR Enabled,Node,Sources,Worldwide,North America,Local/Cluster,YSF Digital Enabled,DG-ID,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Location Photo,Wyoming,WyLOCAL
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,14.3,ESE,,448.625,443.625,100,100,Jefferson,On-Air,Denver metro area.,Denver Radio Club,E-power.,CCARC,,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,DRC: Sun at 20:30.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,14.3,ESE,,146.64,146.04,100,,Jefferson,On-Air,"Wide area. 
   Repeater Coverage Map",Denver Radio League,E-power.,CCARC,,,,,DRL Repeaters,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,14.3,ESE,,146.985,146.385,100,100,Denver,On-Air,,El Jebel RADOPS,E-power.,CCARC,,,,RADOPS: Sun at 19:00.,,,,,,,,,,,,,,3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,15.4,NW,,447.45,442.45,103.5,,Grand,On-Air,,W0IG,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,15.9,ESE,,145.22,144.62,103.5,103.5,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,8,CCARC,,,,,Repeater,,,,,,,,,,,Talk-Group of $FFFF.,,,,,,,293,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,15.9,ESE,,449.75,444.75,103.5,103.5,Jefferson,On-Air,,Rocky Mtn Radio League,8,CCARC,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,15.9,ESE,,448.85,443.85,88.5,88.5,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc,e-power.,CCARC,,,,ARA: Wed at 20:00.,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,15.9,ESE,,147.15,147.75,100,100,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc (ARA),e-power,CCARC,,"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",,ARA: Wed at 20:00.,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,15.9,ESE,,224.74,223.14,88.5,88.5,Jefferson,On-Air,,Aurora Repeater Assoc,e-power,CCARC,,,,ARA: Wed at 2000.,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,15.9,ESE,,224,222.4,103.5,103.5,Jefferson,On-Air,,Rocky Mountain Radio League,8,CCARC,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,18.9,SE,,145.175,144.575,D073,D073,Clear Creek,Off-Air,,Rocky Mountain Ham Radio,,CCARC,,,,,Rocky Mountain Ham Radio,,,1,,,,,,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,18.9,SE,,145.34,144.74,103.5,127.3,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,E-power.,CCARC,,,,,Repeater,,,,,,,,,,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,20.8,ESE,,449.625,444.625,141.3,141.3,Jefferson,On-Air,,Rocky Mountain Ham Radio,E-power,CCARC,,,,,,,,,,,,,,,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,21.1,ESE,,145.37,144.77,,,Jefferson,On-Air,,Rocky Mountain Ham Radio,,CCARC,,,,,Rocky Mountain Ham Radio,,,7,,,,,,,,See the website for programming information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,21.1,ESE,,1283.9625,1263.9625,,,Jefferson,On-Air,,Colorado D-Star,,CCARC,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,21.1,ESE,,145.25,144.65,,,Jefferson,On-Air,,Colorado D-Star,,CCARC,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,21.1,ESE,,446.9625,441.9625,,,Jefferson,On-Air,,Colorado D-Star,,CCARC,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,21.1,ESE,,1299.9,1299.9,,,Jefferson,On-Air,,Colorado D-Star,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,21.2,ESE,,446.8375,441.8375,,,Jefferson,On-Air,,WA2YZT,200,CCARC,,Full-time to the  Colorado TRBO System .,,,,,,7,,,,,,,,See website for more info on CC/TS/TG programming.  www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,21.6,ESE,,448.125,443.125,107.2,,Jefferson,On-Air,,Denver PD EEB,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,21.6,ESE,,927.7875,902.7875,156.7,,Jefferson,On-Air,Golden and Denver.,N0PYY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,21.6,ESE,,448.975,443.975,123,,Jefferson,On-Air,Wide area.,FRG,Linkable VHF/UHF Remote Base,CCARC,,,,,,,,,,,,,,,,,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,21.9,ESE,,446.975,441.975,,,Jefferson,On-Air,Denver Metro Area,W0DMR,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local","Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",http://www.w0dmr.org/,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,22.3,SE,,53.05,51.35,107.2,107.2,Jefferson,Off-Air,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",Colorado Repeater Association (CRA),10,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,22.7,SE,,147.12,147.72,88.5,88.5,Jefferson,On-Air,Denver metro and east.,Aurora Repeater Association,E-power.,CCARC,,,,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,22.7,SE,,53.17,51.47,107.2,CSQ,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,,Full-time to the  N6LXX System .,,,,,,,,,,,,,,,,,N6LXX,29883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,22.7,SE,,447.875,442.875,107.2,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,,Full-time to the  N6LXX System .,,,,,,,,,,,,,,,,,N6LXX,29913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,23.6,NE,,146.7,146.1,100,,Boulder,On-Air,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",Boulder Co ARC,6,CCARC,,,,,BARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,23.6,NNE,,146.91,147.51,123,127.3,Boulder,On-Air,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,,,,,,"Summer Tue at 19:30P, Winter 19:00.",http://goldhilltown.com/,,,,,,,,,,,There is a MOU With BCARES for repeater use.,,,"Town of Gold Hill, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,23.8,NE,,448.9,443.9,100,,Boulder,On-Air,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",Boulder ARC,6,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,23.8,NE,,146.61,146.01,100,,Boulder,Off-Air,,Boulder Amateur Radio Club,,CCARC,,,,,,,,,,,,,,,,,,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,24.1,SE,,224.98,223.38,107.2,107.2,Jefferson,Off-Air,Wide area. Denver.,Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,24.1,SE,,1287.9,1267.9,CSQ,,Jefferson,Off-Air,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,24.1,SE,,447.15,442.15,107.2,107.2,Jefferson,Off-Air,Wide area: Denver.,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,24.3,ESE,,53.09,51.39,107.2,,Jefferson,On-Air,Metro Denver area.,Denver Radio Club,E-power.,CCARC,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,25.6,NE,,446.8625,441.8625,,,Boulder,On-Air,,Boulder County ARES,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,25.6,NE,,449.4,444.4,91.5,,Boulder,Off-Air,,BARC,2,CCARC,,,,,http://www.ked-wireless.com/products1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,25.6,NE,,449.55,444.55,100,,Boulder,On-Air,Denver metro area.,Rocky Mtn VHF Soc,8,CCARC,,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,,,,,,,,,,,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,25.6,NE,,446.8,441.8,,,Boulder,On-Air,Wide area.,Rocky Mountain Ham Radio,,CCARC,,Full-time to the  Colorado TRBO System .,,,Rocky Mountain Ham Radio,,,7,,,,,,,,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,25.6,NE,,1299.5,1279.5,,,Boulder,On-Air,,Boulder County ARES,E-power.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC7,N0SZ,"Boulder, Lee Hill",CO,OPEN,,25.7,NE,,446.9875,441.9875,,,Boulder,On-Air,,Rocky Mountain Ham Radio,Linked on Time Slot 2 to  Almagre Mtn  (446.950).,,,"Full-time to  
        446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO .
 


Full-time to the  Colorado TRBO System .",,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,25.7,NE,,447.75,442.75,141.3,141.3,Boulder,On-Air,,Rocky Mountain Ham Radio,,CCARC,,,,,,,,,,,,,,,,,,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,25.7,NE,,445.05,440.05,,,Boulder,On-Air,Wide area,Rocky Mountain Ham Radio,The DMR-MARC Worldwide Network,CCARC,,,,,,,,1,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,25.7,NE,,145.46,144.86,107.2,107.2,Boulder,On-Air,Boulder/Denver Metro,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",Member-only IRLP and Echolink node,,,,,,,,,,,,,,347086,3990,CRA VHF Link System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,25.7,NE,,224.02,222.42,,,Boulder,On-Air,Denver metro area.,Rocky Mtn VHF Soc,8,CCARC,,"Full-time to  
        449.55000 (W0IA) at Boulder, CO .",,,RMVHS repeaters,,,,,,,,,,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,25.7,NE,,447.975,442.975,107.2,107.2,Boulder,On-Air,Wide area: Boulder/Longmont area.,Colorado Repeater Association (CRA),Closed autopatch.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
