Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Last update,Downlink Tone,Features,Links,Coordination,Web links,Affiliate,Notes,Grid,EchoLink,IRLP,AllStar,Nets,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,D-STAR Enabled,Node,Sources,On-air,Denver Regional,Northern Colorado,Location Photo,Feed,Commands,YSF Digital Enabled,DG-ID,Mixed-Mode,Worldwide,North America,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,Europe,TAC 310,DCI Bridge,Southwest USA,N. Colorado,Worldwide English,Mountain Reg USA,Wyoming,WyLOCAL
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,54.7,SE,,448.325,443.325,100,Custer,On-Air,,,,100,,Full-time to the  The Fun Machine System .,,,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,54.8,SE,,448.15,443.15,103.5,Custer,On-Air,,Royal George ARC,,103.5,E-power.,,CCARC,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,54.8,SE,,927.775,902.775,D116,Custer,On-Air,,Royal Gorge Amateur Radio Club,,D116,,,CCARC,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,54.8,SE,,147.06,147.66,77,Custer,On-Air,,http://www.qsl.net/rghc,,77,E-power,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,55.3,WSW,,147.135,146.535,123,Hinsdale,On-Air,,,,,E-power (solar),,CCARC,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,57.8,NNW,,447.05,442.05,136.5,Pitkin,On-Air,Aspen-Snowmass areas.,Roaring Fork Amateur Repeater Cooperative,,136.5,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,58.4,ESE,,449,444,67,Fremont,On-Air,,WB0WDF,,67,"E-power (Solar, Wind)",Full-time to the  Mega-Link System .,CCARC,Mega Link,,North of the Royal Gorge Bridge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,58.9,N,,147.24,147.84,156.7,Lake,Off-Air,,,,156.7,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,60.8,NNE,,445.05,440.05,,Adams,On-Air,,K2AD,,,,,CCARC,http://www.rmham.org/,Rocky Mountain Ham Radio,,,,,,,,7,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.125,-5,103.5,WZ0N,"Fairplay, Sacramento Mountain",CO,OPEN,,60.9,NNE,,447.125,442.125,103.5,Park,On-Air,,WZ0N,,103.5,,,CCARC,,,Identifies with an 'S' following WZ0N callsign which identifies the site as Sacramento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,61,ESE,,223.96,222.36,103.5,Fremont,On-Air,"Wide area. 
   Repeater Coverage Map",RGARC,,103.5,"E-power (Bat), Remote Base",,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,61,ESE,,447.75,442.75,103.5,Fremont,On-Air,,RGARC,,103.5,E-power (Bat),,CCARC,Royal Gorge Amateur Radio Club,,,,,3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,61,ESE,,53.03,51.33,88.5,Fremont,On-Air,,WB0WDF,,88.5,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",,CCARC,Http://www.qsl.net/rghc,RGARC,Split site Fremont peak transmitter and 8 mile mountain reciever.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,61,ESE,,447.25,442.25,100,Fremont,On-Air,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",,,100,,Full-time to the  The Fun Machine System .,CCARC,K0JSC dot Com,,,DM78ik,363976,7301,28368,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,61,ESE,,145.49,144.89,103.5,Fremont,On-Air,,Royal Gorge Amateur Radio Club,,103.5,E-power (Bat),,CCARC,Royal Gorge Amateur Radio Club,Colorado ARES Region 5 District 1,,DM78ik,,,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,61,ESE,,446.7375,441.7375,,Fremont,On-Air,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",,,,IPSC Link to the Colorado network on Talk Slot 2.,Full-time to the  Colorado TRBO System .,CCARC,http://www.k0jsc.com,Rocky Mountain Ham Radio,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,DM78ii,,,,,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,61.2,ESE,,927.7,902.7,D114,Fremont,On-Air,,Royal Gorge ARC,,D114,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,61.9,NNE,,145.445,144.845,88.5,Lake,On-Air,,Colorado Connection,,,E-power (solar).,Full-time to the  Colorado Connection System .,CCARC,,,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,62.6,NNW,,146.67,146.07,107.2,Pitkin,On-Air,Wide area.,Ski Country ARC,,,Linked.,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,64.1,ESE,,447.975,442.975,100,Fremont,On-Air,"Canon City area. 
   Repeater Coverage Map",K0JSC,,100,Autopatch.,Full-time to the  The Fun Machine System .,CCARC,http://www.k0jsc.com,,,,363976,7301,28368,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,66,NE,,146.685,146.085,107.2,Park,On-Air,,Mountain ARC (MARC),,107.2,"Closed autopatch, e-power.","Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",CCARC,,,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,66,NE,,147.36,147.96,107.2,Park,On-Air,Wide area.,,,107.2,E-power.,,CCARC,CMRG Repeaters,,,,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,66.1,ESE,,449.975,444.975,100,Fremont,On-Air,,K0JSC,,100,Simulcast TX / Voted RX with Cedarwood and Salida,Full-time to the  The Fun Machine System .,CCARC,http://www.k0jsc.com,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,68.2,W,,448.65,443.65,,Montrose,On-Air,Wide area.,KB0YNA,,151.4,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,68.2,W,,447.2,442.2,107.2,Montrose,On-Air,Delta/Montrose,,,107.2,9,Full-time to the  GMRA Open System .,CCARC,GMRA Repeaters,Grand Mesa Repeater Assoc,Closed IRLP out - Ask for a control op,,,3710,,RACES Net Wed at 1930 Hrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,69.5,NE,,449.7,444.7,107.2,Park,,,CMRG,,,,,CCARC,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,70.9,E,,145.46,144.86,67,Teller,On-Air,,WB0WDF,,,"E-power, 100% Solar",,CCARC,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,70.9,E,,147.015,147.615,107.2,Teller,On-Air,,Mountain ARC,,,E-power.,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",CCARC,,,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,70.9,E,,1287.7,1267.7,67,Teller,Testing,,WB0WDF,,,,,CCARC,,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,70.9,E,,447.4,442.4,67,Teller,On-Air,,WB0WDF,,,"E-power, Solar, Remote Base",,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,70.9,E,,224.94,223.34,67,Teller,Testing,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,71.2,WNW,,147.33,147.93,107.2,Delta,On-Air,Wide area.,North Fork Repeater Assoc.,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,71.3,SE,,447.175,442.175,88.5,Pueblo,Off-Air,Wide area: Southeast Colorado.,Pueblo HC,,,11,,CCARC,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,71.3,SE,,449.625,444.625,107.2,Custer,On-Air,,,,,E-power.,,CCARC,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,71.3,SE,,224.32,222.72,88.5,Custer,Off-Air,,Pueblo Ham Club,,,11,,CCARC,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,73.1,WSW,,147.27,147.87,127.3,Ouray,On-Air,,,,,,,CCARC,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,75.7,NNE,,147.39,147.99,88.5,Summit,On-Air,Wide area.,Colorado Connection,,123,12,Full-time to the  Colorado Connection System .,CCARC,Breckenridge Repeater,,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,76.6,NNE,,445.0875,440.0875,,Fremont,On-Air,,K2AD,,,,,,http://www.rmham.org/,Rocky Mountain Ham Radio,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,77.2,NNE,,146.7,146.1,107.2,Summit,On-Air,,GRARC,,,E-power.,,CCARC,,,,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,78.3,WSW,,147.375,147.975,156.7,San Juan,On-Air,Wide area.,,,,13,"Part-time to  
        146.67000 (K0EP) at Durango, Eagle Pass, CO .",CCARC,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,79.2,W,,146.91,146.31,107.2,Montrose,On-Air,,,,107.2,E-Power,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,79.2,W,,146.79,146.19,107.2,Montrose,On-Air,,KC0UXX,,107.2,E-power.,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,79.3,WSW,,444,449,67,Huerfano,On-Air,,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,79.3,WSW,,447.525,442.525,127.3,San Juan,On-Air,Wide area.,KB5ITS,,,E-power.,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,79.3,WSW,,145.325,144.725,127.3,San Juan,On-Air,,,,,Solar powered,,CCARC,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,79.5,NNW,,447.15,442.15,136.5,Garfield,On-Air,,,,,,,,,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,80,E,,448.45,443.45,100,El Paso,On-Air,Wide area.,Pikes Pk FM Assoc,,,E-power.,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",CCARC,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,80,E,,146.97,146.37,100,El Paso,On-Air,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",Pikes Peak FM Assoc,,123,"Closed autopatch, e-power.","Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",CCARC,PPFMA Repeaters,,,,,,,"Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
