Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,County,Op Status,Sponsor,Last update,D-STAR Enabled,Node,Sources,Affiliate,Web links,Coordination,Grid,Coverage,Downlink Tone,Features,Links,Nets,Notes,EchoLink,IRLP,AllStar,Denver Regional,Location Photo,Feed,Commands,On-air,Northern Colorado,YSF Digital Enabled,DG-ID,Mixed-Mode,Worldwide,North America,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Europe,Southwest USA,Wyoming,WyLOCAL
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,string,29.9,W,string,447.65,442.65,151.4,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Gunnison,On-Air,KB0YNA,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,Gunnison valley and along East and west on Highway 50.,151.4,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.","Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,string,35.1,ESE,string,449,444,67,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Fremont,On-Air,WB0WDF,string,undefined,undefined,undefined,undefined,Mega Link,CCARC,undefined,undefined,67,"E-power (Solar, Wind)",Full-time to the  Mega-Link System .,undefined,North of the Royal Gorge Bridge.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,string,36.1,N,string,446.7625,441.7625,string,string,number,string,string,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,undefined,Park,On-Air,K7PFJ,string,undefined,undefined,undefined,RMHAM,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,string,38.7,ESE,string,223.96,222.36,103.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Fremont,On-Air,RGARC,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,"Wide area. 
   Repeater Coverage Map",103.5,"E-power (Bat), Remote Base",undefined,undefined,undefined,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,38.7,ESE,string,447.25,442.25,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Fremont,On-Air,undefined,string,undefined,undefined,undefined,undefined,K0JSC dot Com,CCARC,DM78ik,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",100,undefined,Full-time to the  The Fun Machine System .,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",undefined,363976,7301,28368,undefined,string,Listen Live,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,string,38.7,ESE,string,446.7375,441.7375,string,string,7,string,string,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Fremont,On-Air,undefined,string,undefined,undefined,undefined,Rocky Mountain Ham Radio,http://www.k0jsc.com,CCARC,DM78ii,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",undefined,IPSC Link to the Colorado network on Talk Slot 2.,Full-time to the  Colorado TRBO System .,undefined,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,string,38.7,ESE,string,145.49,144.89,103.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Fremont,On-Air,Royal Gorge Amateur Radio Club,string,undefined,undefined,undefined,Colorado ARES Region 5 District 1,Royal Gorge Amateur Radio Club,CCARC,DM78ik,undefined,103.5,E-power (Bat),undefined,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",undefined,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,string,38.7,ESE,string,53.03,51.33,88.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Fremont,On-Air,WB0WDF,string,undefined,undefined,undefined,RGARC,Http://www.qsl.net/rghc,CCARC,undefined,undefined,88.5,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",undefined,undefined,Split site Fremont peak transmitter and 8 mile mountain reciever.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,38.7,ESE,string,447.75,442.75,103.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Fremont,On-Air,RGARC,string,undefined,undefined,undefined,undefined,Royal Gorge Amateur Radio Club,CCARC,undefined,undefined,103.5,E-power (Bat),undefined,undefined,undefined,undefined,3081,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,string,39,ESE,string,927.7,902.7,D114,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Fremont,On-Air,Royal Gorge ARC,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,undefined,D114,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,string,40,SE,string,448.325,443.325,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Custer,On-Air,undefined,string,undefined,undefined,undefined,The Fun Machine,undefined,undefined,undefined,undefined,100,undefined,Full-time to the  The Fun Machine System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,string,40,SE,string,919.1,894.1,88.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Pueblo,Off-Air,Pueblo HC,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,Wide area.,CSQ,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,string,40,SE,string,927.775,902.775,D116,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Custer,On-Air,Royal Gorge Amateur Radio Club,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,undefined,D116,undefined,undefined,undefined,System uses digital PL,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,string,40,SE,string,147.06,147.66,77,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Custer,On-Air,http://www.qsl.net/rghc,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,undefined,77,E-power,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,string,40,SE,string,448.15,443.15,103.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Custer,On-Air,Royal George ARC,string,undefined,undefined,undefined,undefined,http://www.qsl.net/rghc,CCARC,undefined,undefined,103.5,E-power.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,42.1,ESE,string,447.975,442.975,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Fremont,On-Air,K0JSC,string,undefined,undefined,undefined,undefined,http://www.k0jsc.com,CCARC,undefined,"Canon City area. 
   Repeater Coverage Map",100,Autopatch.,Full-time to the  The Fun Machine System .,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",undefined,363976,7301,28368,undefined,undefined,Listen Live,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,string,43.9,ESE,string,449.975,444.975,100,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Fremont,On-Air,K0JSC,string,undefined,undefined,undefined,The Fun Machine,http://www.k0jsc.com,CCARC,undefined,undefined,100,Simulcast TX / Voted RX with Cedarwood and Salida,Full-time to the  The Fun Machine System .,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,string,44.2,NE,string,146.685,146.085,107.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Park,On-Air,Mountain ARC (MARC),string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,undefined,107.2,"Closed autopatch, e-power.","Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",MARC/PCRC: Tue at 19:30.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Autopatch: 911,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,44.2,NE,string,147.36,147.96,107.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Park,On-Air,undefined,string,undefined,undefined,undefined,undefined,CMRG Repeaters,CCARC,undefined,Wide area.,107.2,E-power.,undefined,undefined,undefined,undefined,3854,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.7,-5,107.2,string,Lake George,CO,OPEN,string,46.3,NE,string,449.7,444.7,107.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Park,undefined,CMRG,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,string,46.7,E,string,447.4,442.4,67,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Teller,On-Air,WB0WDF,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,undefined,undefined,"E-power, Solar, Remote Base",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,string,46.7,E,string,145.46,144.86,67,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Teller,On-Air,WB0WDF,string,undefined,undefined,undefined,RGARC,undefined,CCARC,undefined,undefined,undefined,"E-power, 100% Solar",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,string,46.7,E,string,147.015,147.615,107.2,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Teller,On-Air,Mountain ARC,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,undefined,undefined,E-power.,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",MARC/PCRC: Tue at 19:30.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,string,46.7,E,string,1287.7,1267.7,67,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Teller,Testing,WB0WDF,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,undefined,undefined,undefined,undefined,undefined,Testing in Canon City,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,string,46.7,E,string,224.94,223.34,67,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Teller,Testing,undefined,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.125,-5,103.5,WZ0N,"Fairplay, Sacramento Mountain",CO,OPEN,string,47.7,N,string,447.125,442.125,103.5,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Park,On-Air,WZ0N,string,undefined,undefined,undefined,undefined,undefined,CCARC,undefined,undefined,103.5,undefined,undefined,undefined,Identifies with an 'S' following WZ0N callsign which identifies the site as Sacramento.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
