Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Coordination,Last update,Op Status,Features,Downlink Tone,Coverage,Links,Web links,Affiliate,IRLP,Notes,Nets,Grid,EchoLink,AllStar,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Commands,Location Photo,Feed,YSF Digital Enabled,DG-ID,Mixed-Mode,Worldwide,North America,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,English,Europe,TAC 310,DCI Bridge,Southwest USA,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,N. Colorado,Worldwide English,Mountain Reg USA,Wyoming,WyLOCAL
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,84.1,SE,,927.775,902.775,D116,Custer,,Royal Gorge Amateur Radio Club,CCARC,,On-Air,,D116,,,,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,85.2,ESE,,449,444,67,Fremont,,WB0WDF,CCARC,,On-Air,"E-power (Solar, Wind)",67,,Full-time to the  Mega-Link System .,Mega Link,,,North of the Royal Gorge Bridge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,87.1,NW,,449.8,444.8,107.2,Garfield,,,CCARC,,On-Air,8,,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,88.1,WNW,,448.15,443.15,100,Mesa,,,CCARC,,On-Air,,,,,,,7963,,,,312189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,88.7,ESE,,223.96,222.36,103.5,Fremont,,RGARC,CCARC,,On-Air,"E-power (Bat), Remote Base",103.5,"Wide area. 
   Repeater Coverage Map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,88.7,ESE,,145.49,144.89,103.5,Fremont,,Royal Gorge Amateur Radio Club,CCARC,,On-Air,E-power (Bat),103.5,,,Royal Gorge Amateur Radio Club,Colorado ARES Region 5 District 1,,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,88.7,ESE,,446.7375,441.7375,,Fremont,,,CCARC,,On-Air,IPSC Link to the Colorado network on Talk Slot 2.,,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",Full-time to the  Colorado TRBO System .,http://www.k0jsc.com,Rocky Mountain Ham Radio,,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,DM78ii,,,,,,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,88.7,ESE,,447.25,442.25,100,Fremont,,,CCARC,,On-Air,,100,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",Full-time to the  The Fun Machine System .,K0JSC dot Com,,7301,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",DM78ik,363976,28368,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,88.7,ESE,,53.03,51.33,88.5,Fremont,,WB0WDF,CCARC,,On-Air,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",88.5,,,Http://www.qsl.net/rghc,RGARC,,Split site Fremont peak transmitter and 8 mile mountain reciever.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,88.7,ESE,,447.75,442.75,103.5,Fremont,,RGARC,CCARC,,On-Air,E-power (Bat),103.5,,,Royal Gorge Amateur Radio Club,,3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,88.9,ESE,,927.7,902.7,D114,Fremont,,Royal Gorge ARC,CCARC,,On-Air,,D114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,89.7,E,,449.7,444.7,107.2,Park,Unknown,CMRG,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,91.9,ESE,,447.975,442.975,100,Fremont,,K0JSC,CCARC,,On-Air,Autopatch.,100,"Canon City area. 
   Repeater Coverage Map",Full-time to the  The Fun Machine System .,http://www.k0jsc.com,,7301,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,363976,28368,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,92.8,SSW,,146.7,146.1,100,La Plata,,Durango ARC,CCARC,,On-Air,9,100,Local.,,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,93,W,,449.4,444.4,131.8,Mesa,,"WA4HND,  Grand Mesa Repeater Association",CCARC,,On-Air,E-power.,131.8,Wide area via links - Western Colorado - Eastern Utah,Full-time to the  GMRA Open System .,http://www.gmra.org,,3710,Closed IRLP out - Ask for a control op,RACES Wed 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,93.8,ESE,,449.975,444.975,100,Fremont,,K0JSC,CCARC,,On-Air,Simulcast TX / Voted RX with Cedarwood and Salida,100,,Full-time to the  The Fun Machine System .,http://www.k0jsc.com,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,94,SSW,,445.1375,440.1375,,La Plata,,K2AD,CCARC,,On-Air,,,,,http://www.rmham.org/,Rocky Mountain Ham Radio,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,,94,S,,146.61,146.01,123,Archuleta,,,CCARC,,On-Air,,,,,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,94.5,SSW,,147.345,147.945,88.5,La Plata,,Colorado Connection,CCARC,,On-Air,,123,Durango and north towards Molas Divide.,Full-time to the  Colorado Connection System .,,,,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,Grand Junction,CO,OPEN,A,94.5,WNW,,146.82,146.22,107.2,Mesa,,,CCARC,,On-Air,,,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,,,,,28515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,94.5,WNW,,147.39,147.99,107.2,Mesa,Unknown,KE0TY,CCARC,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,94.6,WNW,,449,444,,Mesa,,KB0SW,CCARC,,On-Air,,107.2,,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,94.6,WNW,,145.175,144.575,107.2,Mesa,,,CCARC,,On-Air,"E-power,",,Greater grand Junction area.,,,,3161,,,,,,,,,,,,,,,,,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,94.6,WNW,,447.5,442.5,114.8,Mesa,Unknown,KC0ARV,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,94.6,WNW,,449.775,444.775,173.8,Mesa,,,CCARC,,On-Air,,88.5,,,,,7573,,,,7572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,94.6,WNW,,446.775,441.775,,Mesa,,,,,On-Air,,,,,,,,,,,,,,KD0RED (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,94.6,WNW,,145.22,144.62,107.2,Mesa,Unknown,KE0TY,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,94.6,WNW,,147.105,147.705,,Mesa,,K0SSI,CCARC,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,95,WNW,,147.355,146.755,88.5,Mesa,,Colorado Connection,CCARC,,On-Air,,123,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,95.3,ESE,,224.94,223.34,67,Teller,,,CCARC,,Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,95.3,ESE,,147.015,147.615,107.2,Teller,,Mountain ARC,CCARC,,On-Air,E-power.,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,95.3,ESE,,447.4,442.4,67,Teller,,WB0WDF,CCARC,,On-Air,"E-power, Solar, Remote Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,95.3,ESE,,145.46,144.86,67,Teller,,WB0WDF,CCARC,,On-Air,"E-power, 100% Solar",,,,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,95.3,ESE,,1287.7,1267.7,67,Teller,,WB0WDF,CCARC,,Testing,,,,,,,,Testing in Canon City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,98,SW,,146.67,146.07,100,La Plata,,Durango ARC,CCARC,,On-Air,11,,Wide area.,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",DARC Repeaters,,,Linked active in the summer months only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,98.1,NE,,146.895,146.295,100,Park,,AB0RR,CCARC,,On-Air,25,100,285,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",Park County Radio Club (PCRC),,,,Wed at 19:30.,,,45835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,100.6,SE,,447.175,442.175,88.5,Pueblo,,Pueblo HC,CCARC,,Off-Air,11,,Wide area: Southeast Colorado.,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,100.6,SE,,449.625,444.625,107.2,Custer,,,CCARC,,On-Air,E-power.,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,100.6,SE,,224.32,222.72,88.5,Custer,,Pueblo Ham Club,CCARC,,Off-Air,11,,,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,102,SSW,,448.625,443.625,131.8,La Plata,Unknown,KC5EVE,CCARC,,,,131.8,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,K0EP,Durango,CO,OPEN,,102,SSW,,449.85,444.85,100,La Plata,,DARC,CCARC,,On-Air,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,103.5,E,,448.45,443.45,100,El Paso,,Pikes Pk FM Assoc,CCARC,,On-Air,E-power.,,Wide area.,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,103.5,E,,146.97,146.37,100,El Paso,,Pikes Peak FM Assoc,CCARC,,On-Air,"Closed autopatch, e-power.",123,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.","Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",PPFMA Repeaters,,,,"Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,103.6,SSW,,147.135,147.735,100,La Plata,,,CCARC,,On-Air,,100,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,103.6,E,,446.875,441.875,,Douglas,,W0VG,CCARC,,On-Air,,,,Full-time to the  Colorado TRBO System .,http://www.rmham.org,RMHAM,,,,,,,,,,,6,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,104.5,WNW,,449.575,444.575,131.8,Mesa,,,CCARC,,On-Air,e-power. Linked to GMRA Open System,131.8,Grand Junction,,GMRA Repeaters,Grand Mesa Repeater Assoc,3710,Closed IRLP out,Wed RACES Net 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,104.5,WNW,,146.94,146.34,107.2,Mesa,,Western Colorado Amateur Radio Club,CCARC,,On-Air,E-power and autopatch for WCARC members,107.2,Grand Junction 30-50 mi,,http://w0rrz.org,,,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,105,SW,,145.37,144.77,100,La Plata,,,CCARC,,On-Air,E-power.,100,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,105.3,E,,449.025,444.025,141.3,Teller,Unknown,Mountain Amateur Radio Club (MARC),CCARC,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,105.3,E,,447.675,442.675,179.9,Teller,,Mountain Amateur Radio Club (MARC),CCARC,,On-Air,E-power.,179.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,105.3,E,,449.325,444.325,103.5,Teller,,KA4EPS,CCARC,,On-Air,E-power. Allstar Node 27976,103.5,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",,,Amateur Radio Motorcycle Club,,Node # 27976,"Sunday 1500 MST
Tuesday 1730 MST",,,27976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,105.3,E,,927.9,902.9,D205,Teller,,MARC,CCARC,,On-Air,,D205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,105.3,E,,145.415,144.815,179.9,Teller,Unknown,MARC,CCARC,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,105.3,E,,146.82,146.22,107.2,Teller,,Mountain ARC,CCARC,,On-Air,E-power.,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,105.3,E,,448.65,443.65,107.2,Teller,,Mountain ARC (MARC),CCARC,,On-Air,E-power.,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,MARC,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.725,-25,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,105.4,ESE,,927.725,902.725,D114,Teller,,WA6IFI,CCARC,,On-Air,12,D114,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.","Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",Yahoo Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,105.4,ESE,,147.18,147.78,100,El Paso,,AA0SP,CCARC,,On-Air,E-power (solar).,,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",,,,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,105.4,ESE,,446.95,441.95,,Teller,,Rocky Mountain Ham Radio,,,On-Air,,,Monument Hill through Pueblo.,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,RMHAM,,,,,,,,,,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,105.7,SW,,442.375,447.375,100,Montezuma,,San Juan Connection,,,On-Air,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,,106.1,SSW,,147.15,147.75,100,La Plata,,,CCARC,,On-Air,E-power.,,Bayfield,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,107.6,NE,,53.05,51.35,107.2,Jefferson,,Colorado Repeater Association (CRA),CCARC,,Off-Air,10,107.2,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,107.7,NE,,147.12,147.72,88.5,Jefferson,,Aurora Repeater Association,CCARC,,On-Air,E-power.,88.5,Denver metro and east.,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,108.4,NNE,,147.075,147.675,88.5,Grand,,Colorado Connection,CCARC,,On-Air,,123,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,Full-time to the  Colorado Connection System .,,,,Part of the Colorado Connection system of Repeaters,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,109.3,E,,447.525,442.525,146.2,Douglas,,EmComm Colorado,CCARC,,On-Air,,146.2,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",,,Colorado ARES,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,109.3,E,,446.925,441.925,,Douglas,,,CCARC,,On-Air,,,,Full-time to the  Colorado TRBO System .,Rocky Mountain Ham Radio,,,See the website for programming info.,,,,,,,,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,109.7,NE,,447.575,442.575,107.2,Clear Creek,,Colorado Repeater Association (CRA),CCARC,,On-Air,,107.2,Wide area: Denver metro.,,http://www.w0cra.org,,3291,,,,347088,,,,,,,,,,,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,109.7,NE,,446.9375,441.9375,,Clear Creek,,Rocky Mountain Ham Radio,CCARC,,On-Air,,,,Full-time to the  Colorado TRBO System .,Rocky Mountain Ham Radio,,,See the website for programming information.,,,,,,,,,7,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
