Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Features,Coordination,Last update,Affiliate,Links,Nets,On-air,Coverage,AllStar,Notes,Web links,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,EchoLink,IRLP,Commands,D-STAR Enabled,Node,Sources,Worldwide,North America,Local/Cluster,Feed,YSF Digital Enabled,DG-ID,Mixed-Mode,Location Photo,Grid,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,21,SE,,145.375,144.77,,,El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),,CCARC,,,,,,wide area,,,http://www.cmrg.org,,,,,,,,,,,,,,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, UCCS",CO,OPEN,,21.7,SE,,448.8,443.8,100,100,El Paso,Off-Air,Pikes Peak FM Assoc,,CCARC,,,,,,,,,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,Colorado Springs,CO,OPEN,,21.7,SE,,145.265,144.665,100,100,El Paso,Off-Air,Pikes Peak FM Association,"Closed autopatch, e-power.",CCARC,,,,,,Local. Good coverage of I25 in Colorado Springs.,,Repeater has been moved.,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC7,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,22.4,N,,446.925,441.925,,,Douglas,On-Air,,,CCARC,,,Full-time to the  Colorado TRBO System .,,,,,See the website for programming info.,Rocky Mountain Ham Radio,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  1  719      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,22.4,N,,447.525,442.525,146.2,146.2,Douglas,On-Air,EmComm Colorado,,CCARC,,Colorado ARES,,,,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,29.5,ESE,,447.2,442.2,,,El Paso,Testing,GGARC,,,,Garden of the Gods Amateur Radio Club,,,,"Falcon, Black Forest, Peyton Areas",,,,,,,,,,,,,,,,,,,,,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,29.7,SSW,,449,444,67,67,Fremont,On-Air,WB0WDF,"E-power (Solar, Wind)",CCARC,,,Full-time to the  Mega-Link System .,,,,,North of the Royal Gorge Bridge.,Mega Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,30.3,E,,447.625,442.625,100,100,El Paso,On-Air,KD0MDP,Linked.,,,The Fun Machine,Full-time to the  The Fun Machine System .,,,,28299,,,,,,,,,,,,363976,7301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,34.2,S,,449.975,444.975,100,100,Fremont,On-Air,K0JSC,Simulcast TX / Voted RX with Cedarwood and Salida,CCARC,,The Fun Machine,Full-time to the  The Fun Machine System .,,,,,,http://www.k0jsc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,34.4,SSW,,927.7,902.7,D114,D114,Fremont,On-Air,Royal Gorge ARC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,34.5,SSW,,446.7375,441.7375,,,Fremont,On-Air,,IPSC Link to the Colorado network on Talk Slot 2.,CCARC,,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,,,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,http://www.k0jsc.com,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,DM78ii,,,,,,,,,,,,,,,,,,,
