Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Features,Links,IRLP,Notes,Nets,Coordination,Last update,Web links,Affiliate,EchoLink,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,AllStar,On-air,D-STAR Enabled,Node,Sources,Commands,Grid,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Denver Regional,Northern Colorado,Location Photo,Feed,YSF Digital Enabled,DG-ID,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,Local/Cluster,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,Mountain Reg USA,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,Worldwide English,N. Colorado,Local
146.76,-0.6,67,KF5PFO,"Tres Piedras, San Antonio Mountain",NM,OPEN,,163.7,SE,,146.76,146.16,67,,Taos,On-Air,"Wide area: Most of Taos County, Eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",Taos ARC,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,164.3,ESE,,223.96,222.36,103.5,103.5,Fremont,On-Air,"Wide area. 
   Repeater Coverage Map",RGARC,"E-power (Bat), Remote Base",,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,164.3,ESE,,447.75,442.75,103.5,103.5,Fremont,On-Air,,RGARC,E-power (Bat),,3081,,,CCARC,,Royal Gorge Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,164.3,ESE,,446.7375,441.7375,,,Fremont,On-Air,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",,IPSC Link to the Colorado network on Talk Slot 2.,Full-time to the  Colorado TRBO System .,,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,CCARC,,http://www.k0jsc.com,Rocky Mountain Ham Radio,,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,DM78ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,164.3,ESE,,447.25,442.25,100,100,Fremont,On-Air,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",,,Full-time to the  The Fun Machine System .,7301,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",CCARC,,K0JSC dot Com,,363976,,,,,,,,28368,,,,,,DM78ik,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,164.3,ESE,,53.03,51.33,88.5,88.5,Fremont,On-Air,,WB0WDF,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",,,Split site Fremont peak transmitter and 8 mile mountain reciever.,,CCARC,,Http://www.qsl.net/rghc,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,164.3,ESE,,145.49,144.89,103.5,103.5,Fremont,On-Air,,Royal Gorge Amateur Radio Club,E-power (Bat),,,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",CCARC,,Royal Gorge Amateur Radio Club,Colorado ARES Region 5 District 1,,,,,,,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,164.5,ESE,,927.7,902.7,D114,D114,Fremont,On-Air,,Royal Gorge ARC,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,67,NM5ML,"Cuba, Eureka Mesa",NM,OPEN,,166.6,SSE,,147.24,147.84,67,,Sandoval,On-Air,Wide area.,,9,Full-time to the  Mega-Link System .,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,167.3,ESE,,447.975,442.975,100,100,Fremont,On-Air,"Canon City area. 
   Repeater Coverage Map",K0JSC,Autopatch.,Full-time to the  The Fun Machine System .,7301,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",CCARC,,http://www.k0jsc.com,,363976,,,,,,,,28368,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,167.9,NE,,147.075,147.675,88.5,123,Grand,On-Air,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,Colorado Connection,,Full-time to the  Colorado Connection System .,,Part of the Colorado Connection system of Repeaters,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,169.1,ESE,,447.175,442.175,88.5,,Pueblo,Off-Air,Wide area: Southeast Colorado.,Pueblo HC,11,,,,,CCARC,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.32,-1.6,88.5,ND0Q,"Walsenburg, Deer Peak",CO,OPEN,,169.1,ESE,,224.32,222.72,88.5,,Custer,Off-Air,,Pueblo Ham Club,11,,,,,CCARC,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,169.1,ESE,,449.625,444.625,107.2,,Custer,On-Air,,,E-power.,,,,,CCARC,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,169.1,E,,449.7,444.7,107.2,,Park,,,CMRG,,,,,,CCARC,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,169.4,ESE,,449.975,444.975,100,100,Fremont,On-Air,,K0JSC,Simulcast TX / Voted RX with Cedarwood and Salida,Full-time to the  The Fun Machine System .,,,,CCARC,,http://www.k0jsc.com,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,169.5,NNE,,146.97,146.37,88.5,123,Moffat,On-Air,,Northwest Colorado Amateur Radio Association,,Full-time to the  Colorado Connection System .,,,,CCARC,,,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,107.2,WD0HAM,Craig,CO,OPEN,,169.5,NNE,,145.265,144.665,107.2,,Moffat,,,NW Colorado ARC,E-power.,,,,,CCARC,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,88.5,K7GX,"Price, Wood Hill",UT,OPEN,EI,169.8,NW,,147.2,147.8,88.5,,Carbon,,,,,,3270,,,UVHFS,,,,64264,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,,K7GX,"Price, Wood Hill",UT,OPEN,EI,169.8,NW,,448.3,443.3,,,Carbon,,,,,,3270,,,UVHFS,,,,64264,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.5,-1.6,88.5,W7CEU,"Price,  Wood Hill",UT,OPEN,,169.8,NW,,224.5,222.9,88.5,,Carbon,,,College of Eastern Utah ARC,5,,,,,UVHFS,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,88.5,W7CEU,"Price,  Wood Hill",UT,OPEN,,169.8,NW,,448.3,443.3,88.5,,Carbon,,Price.,College of Eastern Utah ARC,,,,,,UVHFS,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,88.5,W7CEU,"Price,  Wood Hill",UT,OPEN,,169.8,NW,,145.43,144.83,88.5,,Carbon,,Price.,,5,,,,,UVHFS,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,K7YI,"Castle Dale, Horn Mountain",UT,OPEN,,170.8,WNW,,447.625,442.625,100,,Emery,On-Air,Wide area.,San Rafael Cactus Assoc,,,,,,UVHFS,,,Cactus-Intertie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,123,WX7Y,"Castle Dale, Horn Mountain",UT,OPEN,,170.8,WNW,,447.7,442.7,123,,Emery,,Wide area.,,"Closed autopatch, 8,702'.",,,,,UVHFS,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,88.5,K7SDC,"Castle Dale, Horn Mountain",UT,OPEN,EI,170.8,WNW,,147.06,147.66,88.5,,Emery,On-Air,"Wide area: Most of western Emery County including the towns of Castle Dale, Orangeville, Huntington, Cleveland, Ferron, and further east into the San Rafael desert. It also covers the towns of Sunnyside and East Carbon, UT.",Sinbad Desert ARC,"Closed autopatch, remote base.",Full-time to the  Sinbad Desert (SDARC) System .,3270,8,,UVHFS,,http://sdarc.us/repeaters/horn.html,,64264,,,,,,,,,,,,,,DM49kf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.92,-1.6,88.5,WX7Y,"Huntington,  Skyline Dr",UT,OPEN,,170.9,WNW,,223.92,222.32,88.5,,Emery,,"Wide area: Extreme southern end of Utah county (to the north) and the valley communities from Fairview and Nephi down to Salina, with coverage toward Delta.",,"Remote base, 8,702'.",,,,,UVHFS,,,Sinbad Desert ARC,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Abiquiu, Cerro Pelon",NM,OPEN,,171.6,SE,,147.04,147.64,141.3,,Rio Arriba,Off-Air,,NMEMA ARC,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.25,-20,,KF7YIX,"Torquerville, Hurricane Mesa",UT,OPEN,,172,WNW,,1299.25,1279.25,,,Washington,On-Air,,,,,,,,UVHFS,,,,,,,,,,,,,,,KF7YIX (A) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.7,-20,67,WB0WDF,Cripple Creek,CO,OPEN,,173.8,E,,1287.7,1267.7,67,,Teller,Testing,,WB0WDF,,,,Testing in Canon City,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,67,WB0WDF,Cripple Creek,CO,OPEN,,173.8,E,,145.46,144.86,67,,Teller,On-Air,,WB0WDF,"E-power, 100% Solar",,,,,CCARC,,,RGARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,67,WB0WDF,Cripple Creek,CO,OPEN,,173.8,E,,447.4,442.4,67,,Teller,On-Air,,WB0WDF,"E-power, Solar, Remote Base",,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.94,-1.6,67,WB0WDF,Cripple Creek,CO,OPEN,,173.8,E,,224.94,223.34,67,,Teller,Testing,,,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,173.8,E,,147.015,147.615,107.2,,Teller,On-Air,,Mountain ARC,E-power.,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,MARC/PCRC: Tue at 19:30.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,136.5,W7BYU,"Myton, Flat Top",UT,OPEN,,174.1,NNW,,145.49,144.89,136.5,,Duchesne,On-Air,"Duchesne, UT area.",,E-power.,,,5,,UVHFS,,http://sdarc.us/repeaters/flat-top.html,Sinbad Desert ARC (SDARC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.29,-0.6,123,K7LEN,Window Rock,NM,OPEN,,174.4,SSW,,145.29,144.69,123,,McKinley,On-Air,,NARC,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,175.6,E,,146.895,146.295,100,100,Park,On-Air,285,AB0RR,25,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",,,Wed at 19:30.,CCARC,,Park County Radio Club (PCRC),,,,,,,,,,45835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.26,0.6,100,KC5WDV,"Gallup, Gibson Peak",NM,OPEN,,175.8,S,,147.26,147.86,100,,McKinley,On-Air,,KC5WDV,VHF/UHF Remote Bases,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.26,0.6,,N7PQD,Duchense,UT,OPEN,,179.5,NW,,147.26,147.86,,,Duchesne,On-Air,"Tabby mountain and nearby communities including Duchesne, Roosevelt, and Vernal.",Borderline ARC,5,,,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,180.4,NNE,,449.625,444.625,123,123,Routt,On-Air,Local Steamboat Area,"Colorado Connection Repeaters, Inc.",Statewide Linked System,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",,,http://colcon.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,180.4,NNE,,147.165,147.765,88.5,123,Routt,On-Air,,Colorado Connection,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,107.2,KD0H,Steamboat Springs,CO,OPEN,,180.5,NNE,,147.21,147.81,107.2,107.2,Routt,On-Air,,SSARC,"Linked, WX.",,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.41,-0.6,100,W5HO,La Cueva,NM,OPEN,,181.1,SSE,,145.41,144.81,100,,Santa Fe,Off-Air,,W5HO,,,,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,KC5WDV,Gallup,NM,OPEN,E,181.5,S,,449.75,444.75,100,,McKinley,On-Air,,KC5WDV,,,,,,NMFCC,,,,6810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.39,-0.6,100,KF5PFO,"Red River, Molycorp",NM,OPEN,,182,SE,,145.39,144.79,100,,Taos,On-Air,Wide area.,Taos ARC,"E-power, linked.",,,,,NMFCC,,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,182.1,NE,,147.285,147.885,88.5,123,Grand,On-Air,,Colorado Connection,,Full-time to the  Colorado Connection System .,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,182.4,E,,448.45,443.45,100,,El Paso,On-Air,Wide area.,Pikes Pk FM Assoc,E-power.,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,,CCARC,,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,182.4,E,,146.97,146.37,100,123,El Paso,On-Air,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.",Pikes Peak FM Assoc,"Closed autopatch, e-power.","Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",,,"Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",CCARC,,PPFMA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,183,E,,446.875,441.875,,,Douglas,On-Air,,W0VG,,Full-time to the  Colorado TRBO System .,,,,CCARC,,http://www.rmham.org,RMHAM,,,6,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,K7SDC,"Scofield, Ford Ridge",UT,OPEN,I,183.4,NW,,145.31,144.71,88.5,,Carbon,On-Air,Wide area: Scofield and Soldier Smt areas as well as into the Price valley as far south as Huntington and as far east as Sunnyside.,Sinbad Desert ARC,"Closed autopatch, remote base.",,3270,9,,UVHFS,,http://sdarc.us/repeaters/ford.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,183.6,NE,,447.45,442.45,103.5,,Grand,On-Air,,W0IG,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.725,-25,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,183.9,E,,927.725,902.725,D114,D114,Teller,On-Air,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.",WA6IFI,12,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",,,,CCARC,,Yahoo Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,183.9,E,,147.18,147.78,100,,El Paso,On-Air,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",AA0SP,E-power (solar).,,,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,183.9,E,,446.95,441.95,,,Teller,On-Air,Monument Hill through Pueblo.,Rocky Mountain Ham Radio,,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,,,,RMHAM,,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,184.4,SE,,145.355,144.755,100,,Huerfano,On-Air,,N0JPX,"E-power, linked.",,3974,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,184.7,E,,927.9,902.9,D205,D205,Teller,On-Air,,MARC,,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,184.7,E,,449.325,444.325,103.5,103.5,Teller,On-Air,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",KA4EPS,E-power. Allstar Node 27976,,,Node # 27976,"Sunday 1500 MST
Tuesday 1730 MST",CCARC,,,Amateur Radio Motorcycle Club,,,,,,,,,27976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,184.7,E,,448.65,443.65,107.2,,Teller,On-Air,,Mountain ARC (MARC),E-power.,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,MARC/PCRC: Tue at 19:30.,CCARC,,,MARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,184.7,E,,53.05,51.35,107.2,107.2,Jefferson,Off-Air,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",Colorado Repeater Association (CRA),10,,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,184.7,NE,,146.67,146.07,100,100,Clear Creek,On-Air,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",Castle Rock Repeater Group,11,,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,184.7,NE,,446.9375,441.9375,,,Clear Creek,On-Air,,Rocky Mountain Ham Radio,,Full-time to the  Colorado TRBO System .,,See the website for programming information.,,CCARC,,Rocky Mountain Ham Radio,,,,7,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,184.7,E,,145.415,144.815,179.9,,Teller,,,MARC,"Closed autopatch, e-power.",,,,,CCARC,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,184.7,E,,449.025,444.025,141.3,,Teller,,,Mountain Amateur Radio Club (MARC),Linked.,,,,,CCARC,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
