Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Features,Coordination,Last update,Links,Notes,Nets,AllStar,Web links,Affiliate,EchoLink,IRLP,Commands,Grid,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Location Photo,Feed,YSF Digital Enabled,DG-ID,Mixed-Mode,On-air,P25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,WIRES-X,Talkgroup Network,Talkgroups,Wyoming,WyLOCAL,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,4.5,SSE,,449.35,444.35,100,100,Clear Creek,On-Air,Wide area.,Denver Radio Club,11,CCARC,,,,,,DRC Repeaters,,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,4.7,SSE,,448.675,443.675,100,100,Denver,On-Air,Wide area.,W0CFI,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,4.7,SSE,,147.3,147.9,103.5,103.5,Clear Creek,On-Air,Wide area.,Denver PD EEB,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,5.1,SSE,,449,444,136.5,136.5,Clear Creek,On-Air,,CARN,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,8,E,,927.8375,902.025,,,Jefferson,On-Air,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,,CCARC,,,The offset is -25.8125,,45770,,,,,,,,,,,,,,,,,,,293,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,8,E,,446.7875,441.7875,,,Jefferson,On-Air,,Denver Radio Club,,CCARC,,,,,,http://www.w0tx.org/,Brandmeister Network,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,8.2,ESE,,146.985,146.385,100,100,Denver,On-Air,,El Jebel RADOPS,E-power.,CCARC,,,,RADOPS: Sun at 19:00.,,,,,3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,8.2,ESE,,145.28,144.68,100,,Jefferson,On-Air,Wide area.,,"Closed autopatch, e-power, linked.",CCARC,,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .","PL is usually off, allowing use by older transceivers.",Sun at 19:30. Everyone welcome.,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,8.2,ESE,,146.64,146.04,100,,Jefferson,On-Air,"Wide area. 
   Repeater Coverage Map",Denver Radio League,E-power.,CCARC,,,8,,,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,8.2,ESE,,449.525,444.525,CSQ,,Jefferson,On-Air,,KE0SJ,E-power.,CCARC,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,8.3,ESE,,448.625,443.625,100,100,Jefferson,On-Air,Denver metro area.,Denver Radio Club,E-power.,CCARC,,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,DRC: Sun at 20:30.,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,10.1,E,,145.22,144.62,103.5,103.5,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,8,CCARC,,,Talk-Group of $FFFF.,,,Repeater,,,,,,,,,,,,,,,Yes; analog capable.,,,293,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,10.1,E,,224,222.4,103.5,103.5,Jefferson,On-Air,,Rocky Mountain Radio League,8,CCARC,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,10.1,E,,224.74,223.14,88.5,88.5,Jefferson,On-Air,,Aurora Repeater Assoc,e-power,CCARC,,,,ARA: Wed at 2000.,,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,10.1,E,,147.15,147.75,100,100,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc (ARA),e-power,CCARC,,"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",,ARA: Wed at 20:00.,,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,10.1,E,,448.85,443.85,88.5,88.5,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc,e-power.,CCARC,,,,ARA: Wed at 20:00.,,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,10.1,E,,449.75,444.75,103.5,103.5,Jefferson,On-Air,,Rocky Mtn Radio League,8,CCARC,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,11,NNE,,145.31,144.71,88.5,123,Gilpin,On-Air,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Colorado Connection,10,CCARC,,Full-time to the  Colorado Connection System .,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX","Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,11,NNE,,449.225,444.225,141.3,141.3,Gilpin,On-Air,Wide area.,Rocky Mountain Ham Radio (RMHR),Emergency Power,CCARC,,,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,12.1,N,,224.6,223,100,,Gilpin,,,W0RM,,CCARC,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,12.9,SE,,145.34,144.74,103.5,127.3,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,E-power.,CCARC,,,,,,Repeater,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,12.9,SE,,145.175,144.575,D073,D073,Clear Creek,Off-Air,,Rocky Mountain Ham Radio,,CCARC,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,14.6,ESE,,449.625,444.625,141.3,141.3,Jefferson,On-Air,,Rocky Mountain Ham Radio,E-power,CCARC,,,,,,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,14.9,ESE,,1299.9,1299.9,,,Jefferson,On-Air,,Colorado D-Star,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,14.9,ESE,,145.37,144.77,,,Jefferson,On-Air,,Rocky Mountain Ham Radio,,CCARC,,,See the website for programming information.,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,14.9,ESE,,446.9625,441.9625,,,Jefferson,On-Air,,Colorado D-Star,,CCARC,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,14.9,ESE,,1283.9625,1263.9625,,,Jefferson,On-Air,,Colorado D-Star,,CCARC,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,14.9,ESE,,145.25,144.65,,,Jefferson,On-Air,,Colorado D-Star,,CCARC,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,,,,,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,15,ESE,,446.8375,441.8375,,,Jefferson,On-Air,,WA2YZT,200,CCARC,,Full-time to the  Colorado TRBO System .,See website for more info on CC/TS/TG programming.  www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,15.6,ESE,,448.125,443.125,107.2,,Jefferson,On-Air,,Denver PD EEB,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,15.6,ESE,,448.975,443.975,123,,Jefferson,On-Air,Wide area.,FRG,Linkable VHF/UHF Remote Base,CCARC,,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,15.6,ESE,,927.7875,902.7875,156.7,,Jefferson,On-Air,Golden and Denver.,N0PYY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,16.1,ESE,,446.975,441.975,,,Jefferson,On-Air,Denver Metro Area,W0DMR,,,,,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,http://www.w0dmr.org/,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,16.4,SE,,447.875,442.875,107.2,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,,Full-time to the  N6LXX System .,,,29913,,N6LXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,16.4,SE,,53.17,51.47,107.2,CSQ,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,,Full-time to the  N6LXX System .,,,29883,,N6LXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,16.6,NW,,147.285,147.885,88.5,123,Grand,On-Air,,Colorado Connection,,CCARC,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,17.5,SSE,,53.05,51.35,107.2,107.2,Jefferson,Off-Air,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",Colorado Repeater Association (CRA),10,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,17.9,SSE,,147.12,147.72,88.5,88.5,Jefferson,On-Air,Denver metro and east.,Aurora Repeater Association,E-power.,CCARC,,,,,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,18.1,ESE,,53.09,51.39,107.2,,Jefferson,On-Air,Metro Denver area.,Denver Radio Club,E-power.,CCARC,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,18.9,SE,,1287.9,1267.9,CSQ,,Jefferson,Off-Air,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,18.9,SE,,224.98,223.38,107.2,107.2,Jefferson,Off-Air,Wide area. Denver.,Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,18.9,SE,,447.15,442.15,107.2,107.2,Jefferson,Off-Air,Wide area: Denver.,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,20.1,SE,,224.38,222.78,100,100,Jefferson,On-Air,,Denver Radio Club,,CCARC,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,20.1,SE,,449.775,444.775,100,100,Jefferson,On-Air,Metro Denver,Denver Radio Club,,CCARC,,,,,,Denver Radio Club,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,20.1,SE,,147.33,147.93,100,,Jefferson,On-Air,Metro Denver and the foothills.,Denver Radio Club,E-power.,CCARC,,,Not recommeded to use tone squelch on this repeater.,SATERN: Thu at 19:30.,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,20.5,ESE,,447.825,442.825,D073,D073,Jefferson,On-Air,,Denver Radio Club,,CCARC,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,20.5,NE,,146.7,146.1,100,,Boulder,On-Air,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",Boulder Co ARC,6,CCARC,,,,,,BARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,20.6,NW,,447.45,442.45,103.5,,Grand,On-Air,,W0IG,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,20.6,NE,,448.9,443.9,100,,Boulder,On-Air,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",Boulder ARC,6,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,20.6,NE,,146.61,146.01,100,,Boulder,Off-Air,,Boulder Amateur Radio Club,,CCARC,,,,,,,,,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,20.8,ESE,,147.21,147.81,100,100,Jefferson,On-Air,,Denver Water Amateur Radio Club,,,,,,DVARC: Thu at 15:30. The net allows DWARC members the ability to test the radio capabilities as well as policies and procedures. This NET is a work in progress and has a good possibility to change times and locations.,,,,,,,,,,,,,,,,23,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,20.9,ESE,,448.75,443.75,100,100,Jefferson,On-Air,Local.,,E-power.,CCARC,,,,,,,N0ELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,22.8,NE,,449.4,444.4,91.5,,Boulder,Off-Air,,BARC,2,CCARC,,,,,,http://www.ked-wireless.com/products1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,22.8,NE,,446.8,441.8,,,Boulder,On-Air,Wide area.,Rocky Mountain Ham Radio,,CCARC,,Full-time to the  Colorado TRBO System .,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,,Rocky Mountain Ham Radio,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,22.8,NE,,449.55,444.55,100,,Boulder,On-Air,Denver metro area.,Rocky Mtn VHF Soc,8,CCARC,,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,22.8,NE,,446.8625,441.8625,,,Boulder,On-Air,,Boulder County ARES,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,22.8,NNE,,146.91,147.51,123,127.3,Boulder,On-Air,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,,,,,There is a MOU With BCARES for repeater use.,"Summer Tue at 19:30P, Winter 19:00.",,http://goldhilltown.com/,"Town of Gold Hill, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,22.8,NE,,1299.5,1279.5,,,Boulder,On-Air,,Boulder County ARES,E-power.,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,23.4,S,,146.895,146.295,100,100,Park,On-Air,285,AB0RR,25,CCARC,,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",,Wed at 19:30.,45835,Park County Radio Club (PCRC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,24.3,NNE,,224.02,222.42,,,Boulder,On-Air,Denver metro area.,Rocky Mtn VHF Soc,8,CCARC,,"Full-time to  
        449.55000 (W0IA) at Boulder, CO .",,,,RMVHS repeaters,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
