Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Last update,Coordination,Sponsor,EchoLink,Downlink Tone,AllStar,Nets,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Coverage,Features,Notes,Links,On-air,Affiliate,IRLP,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,D-STAR Enabled,Node,Sources,Grid,Commands,Mixed-Mode,P25 Digital Enabled,NAC,Default Reflector,Denver Regional,Northern Colorado,Location Photo,Feed,YSF Digital Enabled,DG-ID,Local/Cluster,WIRES-X,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,Mountain Reg USA,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,109.9,N,,447.5,442.5,114.8,Mesa,,,,CCARC,KC0ARV,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,109.9,N,,449.775,444.775,173.8,Mesa,On-Air,,,CCARC,,7572,88.5,,,,,,,,,,,,,,,,7573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,109.9,N,,449,444,,Mesa,On-Air,,,CCARC,KB0SW,,107.2,,,,,,,,,,,,,,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,109.9,N,,147.105,147.705,,Mesa,On-Air,,,CCARC,K0SSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,Grand Junction,CO,OPEN,A,109.9,N,,146.82,146.22,107.2,Mesa,On-Air,,,CCARC,,,,28515,,,,,,,,,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,109.9,N,,145.22,144.62,107.2,Mesa,,,,CCARC,KE0TY,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,109.9,N,,446.775,441.775,,Mesa,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KD0RED (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,109.9,N,,147.39,147.99,107.2,Mesa,,,,CCARC,KE0TY,,,,,,,,,,,,,Linked.,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,110,N,,449.3,444.3,107.2,Mesa,On-Air,http://www.gmra.org/,,CCARC,,,107.2,,RACES Wed 1930 hrs,,,,,,,,Wide Area I-70 West Rifle to Western Utah,e-power Linked to GMRA Open System,Closed IRLP out,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,110.8,N,,449.575,444.575,131.8,Mesa,On-Air,GMRA Repeaters,,CCARC,,,131.8,,Wed RACES Net 1930 Hrs,,,,,,,,Grand Junction,e-power. Linked to GMRA Open System,Closed IRLP out,,,Grand Mesa Repeater Assoc,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,110.8,N,,146.94,146.34,107.2,Mesa,On-Air,http://w0rrz.org,,CCARC,Western Colorado Amateur Radio Club,,107.2,,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,,,,,,,,Grand Junction 30-50 mi,E-power and autopatch for WCARC members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC1,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,112.6,N,,446.9125,441.9125,,Mesa,On-Air,,,,Bill Frost,,,,,,1,,,,,,"Grand Junction, I70",,Brandmeister network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,162.2,W5SF,"Chama, Overlook Mtn",NM,OPEN,,112.9,SE,,147.08,147.68,162.2,Rio Arriba,On-Air,,,NMFCC,SFARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,113.5,NE,,449.95,444.95,,Gunnison,,,,CCARC,K5GF,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,113.5,NE,,147.12,147.72,,Gunnison,On-Air,,,CCARC,W0VTL,,,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,113.6,N,,145.175,144.575,107.2,Mesa,On-Air,,,CCARC,,,,,,,,,,,,,Greater grand Junction area.,"E-power,",,,,,3161,,,,,,,,,,,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,114.3,NNE,,145.355,144.755,88.5,Mesa,On-Air,,,CCARC,Colorado Connection,,123,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,"Rifle to the east, several miles east of Green River, Utah to the west.",E-power.,Colorado Connection system of repeaters,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,114.3,NNE,,449.65,444.65,151.4,Mesa,On-Air,,,CCARC,Keri Washburn,,151.4,,,,,,,,,,Wide area coverage,NWS weather alert system.,,"Full-time to  
        447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,8162,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,125.6,NNE,,449.5,444.5,107.2,Mesa,Off-Air,,,CCARC,Grand Mesa Repeater Association (GMRA),,,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.29,-0.6,123,K7LEN,Window Rock,NM,OPEN,,127.6,SSW,,145.29,144.69,123,McKinley,On-Air,,,NMFCC,NARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.26,0.6,100,KC5WDV,"Gallup, Gibson Peak",NM,OPEN,,129.5,S,,147.26,147.86,100,McKinley,On-Air,,,NMFCC,KC5WDV,,,,,,,,,,,,,VHF/UHF Remote Bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.6,-5,100,WA7VHF,"Page, Navajo Mountain",UT,OPEN,,129.6,WSW,,448.6,443.6,100,San Juan,On-Air,http://utahvhfs.org/snowlink.html,,UVHFS,Utah VHF Society,,,,UVHFS: Tue at 20:00.,,,,,,,,Wide Area.,,,"Full-time to  
        448.87500 (W7ARA) at Flagstaff, Mt. Elden, AZ .
 


Full-time to the  Intermountain Intertie System .",,Intermountain Intertie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,136.5,K7SDC,"Hanksville, Ellen Peak",UT,OPEN,EI,131.7,WNW,,147.08,147.68,136.5,Wayne,On-Air,http://sdarc.us/repeaters/mt-ellen.html,,UVHFS,Sinbad Desert ARC,64264,,,,,,,,,,,"Wide area: Areas around the Henry Mountain range in southeastern Utah including Hanksville, Hite, Boulder, Escalante, and Bullfrog.","Closed autopatch, remote base.",11,Full-time to the  Sinbad Desert (SDARC) System .,,,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Cuba, Eureka Mesa",NM,OPEN,,131.9,SE,,145.175,144.575,141.3,Sandoval,Off-Air,,,NMFCC,NMEMA ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,132.2,ESE,,447.1,442.1,77,Saguache,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,132.5,ESE,,146.64,146.04,77,Rio Grande,On-Air,,,,,,77,28781,,,,,,,,,Low level local coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,132.6,NE,,447.65,442.65,151.4,Gunnison,On-Air,,,CCARC,KB0YNA,,151.4,,,,,,,,,,Gunnison valley and along East and west on Highway 50.,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",,"Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.96,-0.6,100,W7WAC,"Page (AZ), Navajo Mountain",UT,OPEN,,133.5,WSW,,146.96,146.36,100,San Juan,On-Air,,,UVHFS,KE7OZE,,,,,,,,,,,,"Wide area: Lake Powell area from Bullfrog to Wahweap and Hite, toward the south into Arizona and North as far as Boulder.",,10,,,Intermountain Intertie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,NA7DB,"Page (az), Navajo Mountain",UT,OPEN,,133.5,WSW,,448.75,443.75,100,San Juan,On-Air,,,UVHFS,,,,,,,,,,,,,"Wide area: Lake Powell area from Bullfrog to Wahweap and Hite, toward the south into Arizona and North as far as Boulder.",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,100,W7CWI,"Page (AZ), Navajo Mountain",UT,OPEN,,133.5,WSW,,449.925,444.925,100,San Juan,On-Air,,,UVHFS,Lake Powell ARG,,,,,,,,,,,,"Wide area: Lake Powell area from Bullfrog to Wahweap and Hite, toward the south into Arizona and North as far as Boulder.",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,KC5WDV,Gallup,NM,OPEN,E,135.1,S,,449.75,444.75,100,McKinley,On-Air,,,NMFCC,KC5WDV,6810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,67,NM5ML,"Cuba, Eureka Mesa",NM,OPEN,,136.5,SE,,147.24,147.84,67,Sandoval,On-Air,,,NMFCC,,,,,,,,,,,,,Wide area.,9,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,"Maysville, CO",CO,OPEN,,137.5,E,,145.325,144.725,100,Chaffee,On-Air,,,,Chaffee Lake Amateur Repeater Association,,,,,,,,,,,,wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,138.8,N,,449.8,444.8,107.2,Garfield,On-Air,GMRA Repeaters,,CCARC,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,100,NM5ML,"Tres Piedras, San Antonio Mountain",NM,OPEN,,143.3,SE,,147.22,147.82,100,Rio Arriba,On-Air,,,NMFCC,New Mexico Mega Link Assoc,,,,,,,,,,,,Wide area.,10,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras,  San Antonio Mountain",NM,OPEN,,143.3,SE,,146.76,146.16,67,Rio Arriba,On-Air,,,,Taos ARC,,,,,,,,,,,,"Most of Taos County, eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,143.8,NNE,,146.76,146.16,107.2,Garfield,Off-Air,,,CCARC,"N0SWE,  Roaring Fork Amateur Repeater Cooperative",243117,,,,,,,,,,,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",E-power.,,,,,,,,,,,,,,,,DM69cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,147.2,NE,,146.67,146.07,107.2,Pitkin,On-Air,,,CCARC,Ski Country ARC,,,,,,,,,,,,Wide area.,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,107.2,KB0SW,"Loma, Baxter Pass",CO,OPEN,,147.6,N,,447,442,107.2,Garfield,On-Air,,,CCARC,,,,,,,,,,,,,Wide area.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,147.8,NNE,,449.725,444.725,179.9,Garfield,On-Air,,,CCARC,Roaring Fork Amateur Repeater Cooperative (RFARC),,,28434,,,,,,,,,Wide area.,EchoLink.,,,,,3722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,147.8,NNE,,147.39,147.99,107.2,Garfield,On-Air,,,,Roaring Fork Amateur Repeater Cooperative,,,,,,,,,,,,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,148,NNE,,449.6,444.6,107.2,Garfield,On-Air,http://www.gmra.org,,CCARC,,,,,,,,,,,,,Wide area.,e-power Linked to GMRA open system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,148,NNE,,146.85,146.25,88.5,Garfield,On-Air,,,CCARC,Colorado Connection,,123,,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",70,Part of the Colorado Connection System of Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,148,NNE,,146.88,146.28,107.2,Garfield,On-Air,,,CCARC,Ski Country ARC,,,,,,,,,,,,,,,"Full-time to  
        447.60000 (KI0G) at Glenwood Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,148,NNE,,447.1,442.1,107.2,Garfield,On-Air,,,CCARC,Ski Country ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,148.6,NE,,447.05,442.05,136.5,Pitkin,On-Air,,,CCARC,Roaring Fork Amateur Repeater Cooperative,,136.5,,,,,,,,,,Aspen-Snowmass areas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Abiquiu, Cerro Pelon",NM,OPEN,,149.2,SE,,147.04,147.64,141.3,Rio Arriba,Off-Air,,,NMFCC,NMEMA ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras, San Antonio Mountain",NM,OPEN,,151.1,SE,,146.76,146.16,67,Taos,On-Air,,,,Taos ARC,,,,,,,,,,,,"Wide area: Most of Taos County, Eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Tres Piedras, San Antonio Mtn.",NM,OPEN,,151.1,SE,,145.175,144.575,141.3,Taos,Off-Air,,,NMFCC,NMEMA ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,5,100,K5YEJ,"San Luis, Cabezon",NM,OPEN,,151.3,SSE,,443,448,100,Sandoval,On-Air,,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,151.4,E,,449.65,444.65,107.2,Chaffee,On-Air,CMRG Repeaters,,CCARC,,,,,,,,,,,,,Wide area.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,151.4,E,,449.925,444.925,103.5,Chaffee,On-Air,,,CCARC,,,103.5,,,,,,,,,,"Upper Arkansas and Platte Rivers, and the SLV",E-power (Bat),Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,Colorado ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,151.5,E,,449.975,444.975,100,Chaffee,On-Air,K0JSC.COM,,CCARC,,363976,100,28368,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,,,,,,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,2,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,Full-time to the  The Fun Machine System .,,,7301,,,,,,,,,,,DM68xk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.41,-0.6,100,W5HO,La Cueva,NM,OPEN,,151.7,SE,,145.41,144.81,100,Santa Fe,Off-Air,,,NMFCC,W5HO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,151.8,NE,,146.745,146.145,100,Chaffee,Off-Air,,,CCARC,CLARA,,,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,151.9,E,,147.285,147.885,88.5,Chaffee,On-Air,,,CCARC,Colorado Connection,,123,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",11,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,151.9,E,,145.295,144.695,107.2,Chaffee,On-Air,CMRG Repeaters,,CCARC,Cheyenne Mtn Repeater Group,,,,,,,,,,,,Wide area.,,,,,,,,,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.1,5,100,NM5SC,"San Ysidro, Pajarito Peak",NM,OPEN,A,153,SE,,443.1,448.1,100,Sandoval,On-Air,http://nmscares.org/,,NMFCC,Sandoval County ARES,,,27748,Sandoval County ARES: Mon at 19:30.,,,,,,,,Wide area - NW NM.,"Linked, e-power.","KNWD TKR-850, RTCM Interface. 25W, 9000' MSL. (Pajarito Peak differs from Pajarito Mountain near Los Alamos)",,,ARRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,154.8,E,,446.975,441.975,,Chaffee,On-Air,KD0QPG,,CCARC,Crestone Amateur Radio Emergency Services,,,,,,,,,,,,,,,,,Crestone Amateur Radio Emergency Services,,,,,,,,,,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,154.8,NNE,,447.15,442.15,136.5,Garfield,On-Air,,,,,8150,,,,,,,,,,,,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,154.8,E,,446.8125,441.8125,,Chaffee,On-Air,,,,RMHAM,,,,,,0,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,157,NNE,,224.02,222.42,,Garfield,,,,CCARC,SCARC,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,157,NNE,,447.6,442.6,,Garfield,,,,CCARC,Ski Country ARC (SCARC),,,,,,,,,,,,40,50,Link Hub for 146.880.,"Full-time to  
        146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,157,NNE,,147.3,147.9,107.2,Garfield,Off-Air,,,CCARC,Roaring Fork Amateur Repeater Cooperative,266359,,,,,,,,,,,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",8,Single beep courtesy tone when linked and none when unlinked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,157,NNE,,449.85,444.85,131.8,Garfield,On-Air,http://GMRA.org,,CCARC,,,131.8,,Colorado State RACES  Wed 1930 local,,,,,,,,Glenwood Springs,e-power  Linked to GMRA Open System,RACES net Wed 1930 Hrs Local,Full-time to the  GMRA Open System .,,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,162.2,W5SF,"Los Alamos, Pajarito Mountain",NM,OPEN,,160,SE,,145.19,144.59,162.2,Los Alamos,On-Air,,,NMFCC,SFARC,,,,Northern New Mexico Amateur Radio Net: Mon at 20:30.,,,,,,,,Wide Area,E-power (solar).,W5SF/PAJ - Distinct from the NM5SC repeater near Cuba on Pajarito Peak.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.94,-1.6,CSQ,KB5RX,"Los Alamos, Pajarito Mountain",NM,OPEN,,160.9,SE,,223.94,222.34,CSQ,Los Alamos,On-Air,,,NMFCC,,,CSQ,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.95,5,100,KE5FYL,"Grants,   La Mosca Peak",NM,OPEN,,161.5,SSE,,444.95,449.95,100,Bernalillo,On-Air,,,NMFCC,Cibola County Amateur Radio Club,,88.5,,,,,,,,,,Wide area.,,Linked to 147.180 Grants/Milan NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.98,-0.6,141.3,NM5EM,"Grants, Mt Taylor",NM,OPEN,,161.6,SSE,,146.98,146.38,141.3,Cibola,On-Air,,,,New Mexico Emergency Management Association Amateur Radio Club,,141.3,,,,,,,,,,,,Located inside the state of NM radio building.,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,100,WB5EKP,"Grants,  Mt Taylor",NM,OPEN,,162.3,SSE,,146.94,146.34,100,Cibola,On-Air,,,,Upper Rio FM Society,,,,,,,,,,,,Wide area.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.775,5,131.8,WD9CMS,Los Alamos,NM,OPEN,,163.8,SE,,444.775,449.775,,Los Alamos,On-Air,,,NMFCC,WD9CMS,,,,,,,,,,,,Los Alamos and surrounding areas,E-power.,"Mixed mode analog and digital P25 system, linked with 927.9 WD9CMS",,,,,,,,,,,,,,,,,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.425,5,,NM5WR,Los Alamos,NM,OPEN,,163.8,SE,,442.425,447.425,,Los Alamos,On-Air,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,NM5WR (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
