Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Links,Coordination,Last update,Affiliate,Web links,Notes,EchoLink,Downlink Tone,Mixed-Mode,D-STAR Enabled,Node,Sources,Nets,AllStar,IRLP,Grid,Feed,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Location Photo,Commands,YSF Digital Enabled,DG-ID,P25 Digital Enabled,NAC,Default Reflector,On-air,Worldwide,North America,Local/Cluster,Denver Regional,Talkgroup Network,Northern Colorado,English,Europe,TAC 310,DCI Bridge,Southwest USA,WIRES-X
51.5,0,100,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,61.5,SSE,yes,51.5,51.5,100,Taos,On-Air,,Taos ARC,,,,yes,,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.4,-1.6,225.7,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,61.5,SSE,yes,224.4,222.8,225.7,Taos,On-Air,,Taos ARC,,,NMFCC,yes,,http://taosarc.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,67,KF5PFO,"Taos, Picuris Peak",NM,OPEN,E,61.6,SSE,yes,147.12,147.72,67,Taos,On-Air,Wide area.,Taos Amateur Radio Club,E-power.,,NMFCC,yes,ARRL,http://taosarc.org/,,828279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.875,-5,123,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,61.6,SSE,yes,449.875,444.875,123,Taos,Off-Air,,Taos ARC,"Linked to 147.34, E-Power.",,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Tres Piedras, San Antonio Mtn.",NM,OPEN,,30.6,S,yes,145.175,144.575,141.3,Taos,Off-Air,,NMEMA ARC,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Eagle Nest, Touch Me Not",NM,OPEN,,57.5,SE,yes,147.04,147.64,141.3,Colfax,On-Air,,NMEMA ARC,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Abiquiu, Cerro Pelon",NM,OPEN,,63.1,SSW,yes,147.04,147.64,141.3,Rio Arriba,Off-Air,,NMEMA ARC,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Cuba, Eureka Mesa",NM,OPEN,,90.2,SW,yes,145.175,144.575,141.3,Sandoval,Off-Air,,NMEMA ARC,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.02,0.6,141.3,NM5EM,"Santa Fe, Tesuque Peak",NM,OPEN,,91,S,yes,147.02,147.62,141.3,Santa Fe,On-Air,,NMEMA ARC,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,141.3,NM5EM,"Wagon Mound, Turkey Mtn",NM,OPEN,,98.4,SE,yes,145.37,144.77,141.3,Mora,Off-Air,,NMEMA ARC,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.175,0.6,141.3,NM5EM,"Des Moines, Sierra Grande",NM,OPEN,,122.8,ESE,yes,147.175,147.775,141.3,Union,On-Air,,NMEMA ARC,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.98,-0.6,141.3,NM5EM,"Grants, Mt Taylor",NM,OPEN,,154.4,SW,yes,146.98,146.38,141.3,Cibola,On-Air,,New Mexico Emergency Management Association Amateur Radio Club,,,,yes,,,Located inside the state of NM radio building.,,141.3,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,141.3,NM5EM,"Santa Rosa, Moon Ranch",NM,OPEN,,166.3,SSE,yes,147.04,147.64,141.3,Guadalupe,On-Air,,NMEMA ARC,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.515,-0.6,141.3,NM5EM,"Corona, Gallinas Peak",NM,OPEN,,196.9,S,yes,145.515,144.915,141.3,Lincoln,On-Air,,New Mexico Emergency Services,,,,yes,NMEMA ARC,http://NMEMA.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,141.3,NM5EM,"Clovis, Claud",NM,OPEN,,243.5,SE,yes,145.37,144.77,141.3,Curry,On-Air,,NMEMA ARC,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,162.2,W5SF,"Chama, Overlook Mtn",NM,OPEN,,33.3,WSW,yes,147.08,147.68,162.2,Rio Arriba,On-Air,,SFARC,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,162.2,W5SF,"Los Alamos, Pajarito Mountain",NM,OPEN,,85.6,SSW,yes,145.19,144.59,,Los Alamos,On-Air,Wide Area,SFARC,,,NMFCC,yes,,,W5SF/PAJ - Distinct from the NM5SC repeater near Cuba on Pajarito Peak.,,,,yes,W5SF (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",Northern New Mexico Amateur Radio Net: Mon at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,162.2,W5SF,"Santa Fe,  Tesuque Peak",NM,OPEN,,91,S,yes,146.82,146.22,162.2,Santa Fe,On-Air,Wide area.,Santa Fe ARC,"Autopatch, e-power.","Full-time to  
        442.82500 (KB5ZQE) at Santa Fe, Tesuque Peak, NM .",NMFCC,yes,,SFARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,162.2,W5SF,"Las Vegas,  Elk Mountain",NM,OPEN,,94.9,SSE,yes,147.3,147.9,162.2,San Miguel,On-Air,Wide area.,Santa Fe ARC,"E-power, linked.",,NMFCC,yes,,SFARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,,W5SF,Santa Fe,NM,OPEN,,96.9,S,yes,145.21,144.61,,Santa Fe,On-Air,Local Santa Fe,W5SF,,,,yes,Santa Fe Amateur Radio Club,,Soon to move to a better location.,,,,yes,W5SF (C) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.575,5,,W5SF,Santa Fe,NM,OPEN,,96.9,S,yes,444.575,449.575,,Santa Fe,On-Air,Local Santa Fe,W5SF,,,,yes,Santa Fe Amateur Radio CLub,,Soon to move to a better location,,,,yes,W5SF (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,162.2,W5SF,"Santa Fe, St Vincent Hospital",NM,OPEN,,98.8,S,yes,147.2,147.8,162.2,Santa Fe,On-Air,,Santa Fe ARC,E-power. Full time link to Tesuque Peak.,,NMFCC,yes,,SFARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,46,N,yes,447.1,442.1,77,Saguache,On-Air,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,46.2,N,yes,146.64,146.04,77,Rio Grande,On-Air,Low level local coverage,,,,,yes,,,,,77,,,,,,28781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.975,5,123,N5TSV,"Taos, Wheeler Peak",NM,OPEN,,49.6,SE,yes,444.975,449.975,123,Taos,On-Air,,N5TSV,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,,55.1,W,yes,145.43,144.83,136.5,Rio Arriba,On-Air,,SJC EMCOMM,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,101.4,W,yes,147.06,147.66,100,San Juan,On-Air,,,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,NM5SJ,Lybrook,NM,OPEN,,103.9,SW,yes,145.49,144.89,100,Rio Arriba,On-Air,,Totah ARC,Closed autopatch.,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,110.4,W,yes,146.74,146.14,100,San Juan,On-Air,,Totah ARC,"Closed autopatch, e-power.",,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,100,NM5SJ,"Lukachukai, Roof Butte",AZ,OPEN,,175.7,WSW,yes,146.82,146.22,100,Apache,On-Air,,Totah ARC,,,ARCA,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,100,N0ZSN,"La Veta, Cordova Pass",CO,OPEN,EIA,57.5,E,yes,449.75,444.75,100,Las Animas,On-Air,,N0ZSN,,Full-time to the  The Fun Machine System .,CCARC,yes,The Fun Machine,The Fun Machine,,363976,100,,,,,,28368,7301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,150.1,N,yes,147.24,147.84,156.7,Lake,Off-Air,,,,,CCARC,yes,,,,,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,,59.9,W,yes,146.61,146.01,123,Archuleta,On-Air,,,,,CCARC,yes,,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,KD5PX,"Dixon, Cerro Abajo",NM,OPEN,,61.9,S,yes,147.18,147.78,100,Rio Arriba,On-Air,Dixon Embudo Ojo Sarco St Rd 68 Rio Grande Canyon,,,,NMFCC,yes,,,,,100,,,,,,,,DM76BF,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,62.7,E,yes,145.355,144.755,100,Huerfano,On-Air,,N0JPX,"E-power, linked.",,CCARC,yes,,,,,,,,,,,,3974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.34,0.6,100,N5LEM,"Angel Fire, Agua Fria Peak",NM,OPEN,,67.4,SE,yes,147.34,147.94,100,Colfax,On-Air,Wide area.,Taos ARC,E-power.,,NMFCC,yes,,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,72.3,NW,yes,146.925,146.325,,Mineral,Off-Air,,Creede ARC,,,CCARC,yes,,,WA0JS license expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,110.9,N5GDR,Cimarron,NM,OPEN,A,73.3,SE,yes,145.21,144.61,110.9,Colfax,On-Air,,"Gary Reynolds N5GDR, Dale Finley KB5NFT",,,NMFCC,yes,,,,,110.9,,,,,,46298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,74.8,NW,yes,449.525,444.525,100,Mineral,On-Air,,N0PKT,,Full-time to the  The Fun Machine System .,,yes,The Fun Machine,,,,100,,,,,,43265,,DM67lt,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,78.4,NNE,yes,448.325,443.325,100,Custer,On-Air,,,,Full-time to the  The Fun Machine System .,,yes,The Fun Machine,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,93.8,N,yes,449.975,444.975,100,Chaffee,On-Air,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,,2,Full-time to the  The Fun Machine System .,CCARC,yes,,K0JSC.COM,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,363976,100,,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",28368,7301,DM68xk,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,102.2,NNE,yes,447.975,442.975,100,Fremont,On-Air,"Canon City area. 
   Repeater Coverage Map",K0JSC,Autopatch.,Full-time to the  The Fun Machine System .,CCARC,yes,,http://www.k0jsc.com,,363976,100,,,,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",28368,7301,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,102.4,NNE,yes,446.7375,441.7375,,Fremont,On-Air,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",,IPSC Link to the Colorado network on Talk Slot 2.,Full-time to the  Colorado TRBO System .,CCARC,yes,Rocky Mountain Ham Radio,http://www.k0jsc.com,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,,,,,,,,,DM78ii,,yes,7,yes,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,yes,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,102.4,NNE,yes,447.25,442.25,100,Fremont,On-Air,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",,,Full-time to the  The Fun Machine System .,CCARC,yes,,K0JSC dot Com,,363976,100,,,,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",28368,7301,DM78ik,Listen Live,,,,,,,yes,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,104.2,NNE,yes,449.975,444.975,100,Fremont,On-Air,,K0JSC,Simulcast TX / Voted RX with Cedarwood and Salida,Full-time to the  The Fun Machine System .,CCARC,yes,The Fun Machine,http://www.k0jsc.com,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,106.3,NE,yes,449.975,444.975,100,Pueblo,On-Air,"I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass 
   Repeater Coverage Map",K0JSC,2,"Linkable to  
        145.49000 (WD0EKR) at Canon City, Fremont Peak, CO .
 


Linkable to  
        145.46000 (WB0WDF) at Cripple Creek, CO .
 


Linkable to  
        146.79000 (ND0Q) at Pueblo, Baculite Mesa, CO .
 


Linkable to  
        145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO .
 


Linkable to  
        146.88000 (ND0Q) at Pueblo, Deer Peak, CO .
 


Linkable to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",CCARC,yes,,K0JSC dot Com,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,363976,100,,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00.  
RGARC Net: Wed at 19:00.",28368,7301,DM78SA18,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,109.5,NE,yes,448.975,443.975,100,Pueblo,On-Air,,,,Full-time to the  The Fun Machine System .,CCARC,yes,,http://www.k0jsc.com,Off air.  Will return to service,363976,100,,,,,,28368,7301,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,110.3,NE,yes,446.9875,441.9875,,Pueblo,Off-Air,,,,Full-time to the  Colorado TRBO System .,CCARC,yes,RMHAM,Rocky Mountain Ham Radio,,,,,,,,,,,,,yes,6,yes,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,110.3,NE,yes,447.275,442.275,100,Pueblo,On-Air,,,,Full-time to the  The Fun Machine System .,CCARC,yes,The Fun Machine,The Fun Machine,"Moved to Pueblo.  Now called ""Pueblo Metro""",,100,,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,153.8,NNE,yes,449.975,444.975,100,Douglas,On-Air,,K0JSC,Simulcast and Voted with Cedarwood and Methodist.,Full-time to the  The Fun Machine System .,CCARC,yes,The Fun Machine,The Fun Machine,"Can be linked to Allstar, Echolink and others by a Sysop",,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,78.4,NNE,yes,919.1,894.1,88.5,Pueblo,Off-Air,Wide area.,Pueblo HC,,,CCARC,yes,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
