Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Features,Coordination,Last update,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Links,Notes,Web links,Mixed-Mode,Affiliate,Local Network,IRLP,Worldwide,North America,Local/Cluster,Commands,Nets,Feed,EchoLink,YSF Digital Enabled,DG-ID,D-STAR Enabled,Node,Sources,AllStar,On-air,P25 Digital Enabled,NAC,Default Reflector,Worldwide English,DCI Bridge,N. Colorado,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Grid,WIRES-X,Location Photo,English,TAC 310,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,44,NW,yes,147.075,147.675,88.5,123,Grand,On-Air,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,Colorado Connection,,CCARC,yes,,,,,,,,,,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of Repeaters,,,,,,,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,74.5,NNW,yes,145.16,144.56,88.5,123,Jackson,On-Air,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.",Colorado Connection,8,CCARC,yes,,,,,,,,,,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of repeaters.,,,,,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,80,SE,yes,145.13,144.53,88.5,123,El Paso,On-Air,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,9,CCARC,yes,,,,,,,,,,Full-time to the  Colorado Connection System .,Linked into the Colorado Connection System,,,,,,,,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,80.6,NW,yes,147.165,147.765,88.5,123,Routt,On-Air,,Colorado Connection,,,yes,,,,,,,,,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,80.6,NW,yes,449.625,444.625,123,123,Routt,On-Air,Local Steamboat Area,"Colorado Connection Repeaters, Inc.",Statewide Linked System,,yes,,,,,,,,,,,,http://colcon.org,,,,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,87.8,S,yes,147.285,147.885,88.5,123,Chaffee,On-Air,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",Colorado Connection,11,CCARC,yes,,,,,,,,,,Full-time to the  Colorado Connection System .,,,,,,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,91.7,WSW,yes,146.85,146.25,88.5,123,Garfield,On-Air,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",Colorado Connection,70,CCARC,yes,,,,,,,,,,,Part of the Colorado Connection System of Repeaters,,,,,,,,,,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,112.5,WNW,yes,146.97,146.37,88.5,123,Moffat,On-Air,,Northwest Colorado Amateur Radio Association,,CCARC,yes,,,,,,,,,,Full-time to the  Colorado Connection System .,,,,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,127.4,WSW,yes,145.355,144.755,88.5,123,Mesa,On-Air,"Rifle to the east, several miles east of Green River, Utah to the west.",Colorado Connection,E-power.,CCARC,yes,,,,,,,,,,Full-time to the  Colorado Connection System .,Colorado Connection system of repeaters,,,,,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,135.3,E,yes,145.4,144.8,88.5,123,Washington,On-Air,Northeastern plains of Colorado.,Colorado Connection,,CCARC,yes,,,,,,,,,,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of repeaters,,,,,,,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,159.7,WSW,yes,147.355,146.755,88.5,123,Mesa,On-Air,,Colorado Connection,,CCARC,yes,,,,,,,,,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,197.5,SW,yes,147.345,147.945,88.5,123,La Plata,On-Air,Durango and north towards Molas Divide.,Colorado Connection,,CCARC,yes,,,,,,,,,,Full-time to the  Colorado Connection System .,,,,,,,,,,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,13.7,ESE,yes,447.85,442.85,141.3,141.3,Clear Creek,On-Air,Wide area at 9500',AC0KQ,AllStar node repeater providing wide area coverage along the Front Range,CCARC,yes,,,,,,,,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,29571,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,17.4,NNW,yes,447.45,442.45,103.5,,Grand,On-Air,,W0IG,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,17.9,NE,yes,224.6,223,100,,Gilpin,,,W0RM,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,18.1,E,yes,927.8375,902.025,,,Jefferson,On-Air,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,,CCARC,yes,,,,,,,,,,,The offset is -25.8125,,,,,,,,,,,,,,,,,,45770,,yes,293,yes,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,61.2,ESE,yes,927.8375,902.025,,,Douglas,On-Air,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,CCARC,yes,,,,,,,,,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,,,,,,,,,,,,,,,,,,yes,294,yes,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,18.3,ESE,yes,145.28,144.68,100,,Jefferson,On-Air,Wide area.,,"Closed autopatch, e-power, linked.",CCARC,yes,,,,,,,,,,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .","PL is usually off, allowing use by older transceivers.",Intermountain Repeater Group,,,,,,,,,Sun at 19:30. Everyone welcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,18.3,ESE,yes,449.525,444.525,CSQ,,Jefferson,On-Air,,KE0SJ,E-power.,CCARC,yes,,,,,,,,,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,38,ESE,yes,145.475,144.875,100,,Jefferson,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,E-power.,CCARC,yes,,,,,,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,56.1,E,yes,447.625,442.625,100,,Adams,On-Air,Local/North Metro,Intermountain Repeater Group,,,yes,,,,,,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,18.3,ESE,yes,146.64,146.04,100,,Jefferson,On-Air,"Wide area. 
   Repeater Coverage Map",Denver Radio League,E-power.,CCARC,yes,,,,,,,,,,,8,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,33.4,SE,yes,146.88,146.28,100,,Jefferson,On-Air,Wide Area,Denver Radio League,E-power.,CCARC,yes,,,,,,,,,,,6,DRL Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,33.4,SE,yes,449.6,444.6,100,,Jefferson,On-Air,,Denver Radio League,,CCARC,yes,,,,,,,,,,,,DRL Repeaters,,,,3345,,,,,,,690473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,18.3,ESE,yes,146.985,146.385,100,100,Denver,On-Air,,El Jebel RADOPS,E-power.,CCARC,yes,,,,,,,,,,,,,,,,3346,,,,,RADOPS: Sun at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,37.9,ESE,yes,447.925,442.925,100,100,Denver,On-Air,,RADOPS El Jebel Shriners,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,20.2,E,yes,448.85,443.85,88.5,88.5,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc,e-power.,CCARC,yes,,,,,,,,,,,,ARA Repeaters,,,,,,,,,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,20.2,E,yes,449.75,444.75,103.5,103.5,Jefferson,On-Air,,Rocky Mtn Radio League,8,CCARC,yes,,,,,,,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,20.2,E,yes,224,222.4,103.5,103.5,Jefferson,On-Air,,Rocky Mountain Radio League,8,CCARC,yes,,,,,,,,,,,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,20.2,E,yes,224.74,223.14,88.5,88.5,Jefferson,On-Air,,Aurora Repeater Assoc,e-power,CCARC,yes,,,,,,,,,,,,ARA Repeaters,,,,,,,,,ARA: Wed at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,20.2,E,yes,147.15,147.75,100,100,Jefferson,On-Air,"Denver metro, central front range",Aurora Repeater Assoc (ARA),e-power,CCARC,yes,,,,,,,,,,"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",,ARA Repeaters,,,,,,,,,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,20.2,E,yes,145.22,144.62,103.5,103.5,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,8,CCARC,yes,,,,,,,,,,,Talk-Group of $FFFF.,Repeater,Yes; analog capable.,,,,,,,,,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,20.9,SE,yes,145.34,144.74,103.5,127.3,Jefferson,On-Air,Wide area.,Rocky Mtn Radio League,E-power.,CCARC,yes,,,,,,,,,,,,Repeater,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,22.6,SE,yes,147.12,147.72,88.5,88.5,Jefferson,On-Air,Denver metro and east.,Aurora Repeater Association,E-power.,CCARC,yes,,,,,,,,,,,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,23.9,SW,yes,146.7,146.1,107.2,,Summit,On-Air,,GRARC,E-power.,CCARC,yes,,,,,,,,,,,,,,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,24,SSE,yes,146.895,146.295,100,100,Park,On-Air,285,AB0RR,25,CCARC,yes,,,,,,,,,,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",,Park County Radio Club (PCRC),,,,,,,,,Wed at 19:30.,,,,,,,,45835,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,24.4,ESE,yes,449.625,444.625,141.3,141.3,Jefferson,On-Air,,Rocky Mountain Ham Radio,E-power,CCARC,yes,,,,,,,,,,,,,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,24.7,ESE,yes,1283.9625,1263.9625,,,Jefferson,On-Air,,Colorado D-Star,,CCARC,yes,,,,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,yes,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,24.7,ESE,yes,1299.9,1299.9,,,Jefferson,On-Air,,Colorado D-Star,,,yes,,,,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,yes,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,24.7,ESE,yes,145.25,144.65,,,Jefferson,On-Air,,Colorado D-Star,,CCARC,yes,,,,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,yes,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,24.7,ESE,yes,446.9625,441.9625,,,Jefferson,On-Air,,Colorado D-Star,,CCARC,yes,,,,,,,,,,,,Colorado D-Star,,,,,,,,,,,,,,yes,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,24.8,ESE,yes,446.8375,441.8375,,,Jefferson,On-Air,,WA2YZT,200,CCARC,yes,yes,7,,,,,,,,Full-time to the  Colorado TRBO System .,See website for more info on CC/TS/TG programming.  www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,25.5,ESE,yes,448.975,443.975,123,,Jefferson,On-Air,Wide area.,FRG,Linkable VHF/UHF Remote Base,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42845,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,25.6,ESE,yes,53.17,51.47,107.2,CSQ,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,yes,,,,,,,,,,Full-time to the  N6LXX System .,,,,N6LXX,,,,,,,,,,,,,,,29883,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,25.6,ESE,yes,447.875,442.875,107.2,107.2,Jefferson,On-Air,"I-70,I-76,I-25,I-225",N6LXX,,CCARC,yes,,,,,,,,,,Full-time to the  N6LXX System .,,,,N6LXX,,,,,,,,,,,,,,,29913,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,26.1,E,yes,446.975,441.975,,,Jefferson,On-Air,Denver Metro Area,W0DMR,,,yes,yes,0,,,,,,,,,,http://www.w0dmr.org/,,,,,,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local","Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC2,KB0VGD,"Fort Collins , Horsetooth Mountain",CO,OPEN,,63.7,NNE,yes,145.265,144.665,,,Larimer,On-Air,Northern Colorado Front Range Wide Area coverage.,W0DMR - NoCo C-bridge Network,,CCARC,yes,yes,2,,BrandMeister US,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",2,,,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",http://www.w0dmr.org/,,Brandmeister Network,,,,1,2,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,29,NNE,yes,146.91,147.51,123,127.3,Boulder,On-Air,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,,,yes,,,,,,,,,,,There is a MOU With BCARES for repeater use.,http://goldhilltown.com/,,"Town of Gold Hill, Colorado",,,,,,,"Summer Tue at 19:30P, Winter 19:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,29.1,NE,yes,146.7,146.1,100,,Boulder,On-Air,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",Boulder Co ARC,6,CCARC,yes,,,,,,,,,,,,BARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,29.2,NE,yes,448.9,443.9,100,,Boulder,On-Air,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",Boulder ARC,6,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,29.3,NE,yes,146.61,146.01,100,,Boulder,Off-Air,,Boulder Amateur Radio Club,,CCARC,yes,,,,,,,,,,,,,,,,7007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,31.1,NE,yes,1299.5,1279.5,,,Boulder,On-Air,,Boulder County ARES,E-power.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,yes,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,29.2,NNW,yes,446.875,441.875,,,Clear Creek,On-Air,,,,,yes,yes,,,,,,,,,,,http://www.rmham.org,,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC7,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,63.7,NNE,yes,446.75,441.75,,,Larimer,On-Air,,Rocky Mountain Ham Radio,,CCARC,yes,yes,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,2,Full-time to the  Colorado TRBO System .,See website for complete info on color codes/time slot assignment.,http://www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,74.7,SSE,yes,446.95,441.95,,,Teller,On-Air,Monument Hill through Pueblo.,Rocky Mountain Ham Radio,,,yes,yes,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9375,-5,CC7,K7PFJ,"Cheyenne, South",WY,OPEN,,103,NNE,yes,449.9375,444.9375,,,Laramie,On-Air,,,,WRCG,yes,yes,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,2,Full-time to the  Rocky Mountain Ham System .,,https://www.rmham.org/wordpress/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,29.2,NNW,yes,146.82,146.22,123,,Grand,,,GCARA,E-power.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,30.5,ESE,yes,448.75,443.75,100,100,Jefferson,On-Air,Local.,,E-power.,CCARC,yes,,,,,,,,,,,,,,N0ELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,30.7,ESE,yes,147.21,147.81,100,100,Jefferson,On-Air,,Denver Water Amateur Radio Club,,,yes,,,,,,,,,,,,http://www.dwarc.com,Yes; analog capable.,,,3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,30.7,ESE,yes,448.35,443.35,,,Jefferson,On-Air,Denver Metro and surrounding,Denver Water Amateur Radio Club (DWARC),,CCARC,yes,,,,,,,,,,,,http://www.DWARC.com,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,31.1,NE,yes,446.8625,441.8625,,,Boulder,On-Air,,Boulder County ARES,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,yes,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
1283.8625,-20,,KC0DS,Boulder,CO,OPEN,,33.7,NE,yes,1283.8625,1263.8625,,,Boulder,On-Air,20,Boulder County ARES,E-power.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,yes,KC0DS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,33.7,NE,yes,145.3875,144.7875,,,Boulder,On-Air,20,Boulder County ARES,E-power.,CCARC,yes,,,,,,,,,,,,http://bouldercountyares.org/technical/d-star,,,,,,,,,,,,,,yes,KC0DS (C),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,31.1,NE,yes,449.55,444.55,100,,Boulder,On-Air,Denver metro area.,Rocky Mtn VHF Soc,8,CCARC,yes,,,,,,,,,,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",,,,,,,,,,,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,31.2,NE,yes,224.02,222.42,,,Boulder,On-Air,Denver metro area.,Rocky Mtn VHF Soc,8,CCARC,yes,,,,,,,,,,"Full-time to  
        449.55000 (W0IA) at Boulder, CO .",,RMVHS repeaters,,,,,,,,,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
