Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Nets,Web links,Coordination,Last update,Downlink Tone,Links,Commands,Feed,EchoLink,IRLP,Affiliate,Notes,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Worldwide English,North America,DCI Bridge,Local/Cluster,Colorado,N. Colorado,Local Network,Mixed-Mode,Southern Colorado,Denver Regional,Northern Colorado,Worldwide,Grid,YSF Digital Enabled,DG-ID,AllStar,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,On-air,English,TAC 310,Mountain Reg USA,Location Photo,Wyoming,WyLOCAL
446.975,-5,CC0,KB0VGD,"Golden, Table Mountain",CO,OPEN,,11.6,SW,yes,446.975,441.975,,Jefferson,On-Air,Denver Metro Area,W0DMR,,"Tac 310 Net, Sundays 18:00 Mountain Time, TS1, TG 310.",http://www.w0dmr.org/,,yes,,,"TS 1, CC 2: TG 3171 - Northern Colorado Network, TG 3100 - DCI Bridge, TG 1776 - USA Network, TG 310 - Tac 310.  

TS 2, CC 2: TG 2 - Local",,,,,,,,,,,,,,yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,CC2,KB0VGD,"Fort Collins , Horsetooth Mountain",CO,OPEN,,43,N,yes,145.265,144.665,,Larimer,On-Air,Northern Colorado Front Range Wide Area coverage.,W0DMR - NoCo C-bridge Network,,,http://www.w0dmr.org/,CCARC,yes,,,"Repeater ID: 310831, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,Brandmeister Network,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,,,,,,,,yes,2,,BrandMeister US,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,11.7,NW,yes,446.8,441.8,,Boulder,On-Air,Wide area.,Rocky Mountain Ham Radio,,,Rocky Mountain Ham Radio,CCARC,yes,,Full-time to the  Colorado TRBO System .,,,,,Rocky Mountain Ham Radio,See website for complete information regarding timeslot/colorcode/talkgroup programming.,,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,15.2,SSW,yes,145.37,144.77,,Jefferson,On-Air,,Rocky Mountain Ham Radio,,,Rocky Mountain Ham Radio,CCARC,yes,,,,,,,,See the website for programming information.,,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,17.6,NW,yes,445.05,440.05,,Boulder,On-Air,Wide area,Rocky Mountain Ham Radio,BrandMeister Network,,,CCARC,yes,,,,,,,,,,,,,,,,,yes,1,BrandMeister,,,,,,,,,BrandMeister US,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC7,N0SZ,"Boulder, Lee Hill",CO,OPEN,,17.6,NW,yes,446.9875,441.9875,,Boulder,On-Air,,Rocky Mountain Ham Radio,Linked on Time Slot 2 to  Almagre Mtn  (446.950).,,,,yes,,"Full-time to  
        446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO .
 


Full-time to the  Colorado TRBO System .",,,,,,,,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,17.6,NW,yes,447.75,442.75,141.3,Boulder,On-Air,,Rocky Mountain Ham Radio,,,,CCARC,yes,141.3,,,,,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,18.1,W,yes,449.225,444.225,141.3,Gilpin,On-Air,Wide area.,Rocky Mountain Ham Radio (RMHR),Emergency Power,,,CCARC,yes,141.3,,,,,,,"Emcomm Affiliated, Open repeater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,23.3,SSW,yes,145.175,144.575,D073,Clear Creek,Off-Air,,Rocky Mountain Ham Radio,,,Rocky Mountain Ham Radio,CCARC,yes,D073,,,,,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,,,,,,,yes,1,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,27.2,SW,yes,446.9375,441.9375,,Clear Creek,On-Air,,Rocky Mountain Ham Radio,,,Rocky Mountain Ham Radio,CCARC,yes,,Full-time to the  Colorado TRBO System .,,,,,,See the website for programming information.,,,,,,,,,yes,7,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,1,,,,2,2,2,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,27.2,SW,yes,448.225,443.225,141.3,Clear Creek,On-Air,,Rocky Mountain Ham Radio,E-power(gen).,,,CCARC,yes,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,53.2,S,yes,446.875,441.875,,Douglas,On-Air,,W0VG,,,http://www.rmham.org,CCARC,yes,,Full-time to the  Colorado TRBO System .,,,,,RMHAM,,,,,,,,,,yes,6,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,1,,,,2,2,2,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,57.2,WSW,yes,445.0875,440.0875,,Fremont,On-Air,,K2AD,,,http://www.rmham.org/,,yes,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,73.4,SW,yes,446.7625,441.7625,,Park,On-Air,,K7PFJ,,,,,yes,,,,,,,RMHAM,,,,,,,,,,yes,0,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,1,,,,,2,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,73.8,SW,yes,445.05,440.05,,Lake,On-Air,,K2AD,,,http://www.rmham.org/,CCARC,yes,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,yes,7,,RMHAM,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,1,,,,2,2,2,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,74.9,WSW,yes,445.075,440.075,,Eagle,On-Air,,K2AD,,,http://www.rmham.org/,CCARC,yes,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,82.1,S,yes,445.0625,440.0625,,El Paso,Off-Air,,Rocky Mountain Ham Radio,The DMR-MARC Worldwide Network,,,CCARC,yes,,,,,,,,,,,,,,,,,yes,1,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,1,,2,,,,,,,,1,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,107.5,SSW,yes,446.8125,441.8125,,Chaffee,On-Air,,RMHAM,,,,,yes,,,,,,,,,,,,,,,,,yes,0,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,1,,,,2,,,,,,,,,,,,,,,,,,
445.2625,-5,CC7,N0SZ,"Rangely, Cathedral Bluffs",CO,OPEN,,197.1,W,yes,445.2625,440.2625,,Rio Blanco,On-Air,,RMHAM,,,https://www.rmham.org,,yes,,,,,,,,,,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,228.7,SW,yes,445.1375,440.1375,,La Plata,On-Air,,K2AD,,,http://www.rmham.org/,CCARC,yes,,,,,,,Rocky Mountain Ham Radio,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,,,,,,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,91.5,K0DK,Boulder,CO,OPEN,,11.7,NW,yes,449.4,444.4,91.5,Boulder,Off-Air,,BARC,2,,http://www.ked-wireless.com/products1.htm,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,91.5,K0DK,Boulder,CO,OPEN,E,12.6,NW,yes,146.73,146.13,91.5,Boulder,Off-Air,Local,BARC,12,,http://www.ked-wireless.com/products1.htm,CCARC,yes,91.5,,,,115482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DN70jb,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,11.9,S,yes,147.21,147.81,100,Jefferson,On-Air,,Denver Water Amateur Radio Club,,,http://www.dwarc.com,,yes,100,,,,,3241,,,,,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,11.9,S,yes,448.35,443.35,,Jefferson,On-Air,Denver Metro and surrounding,Denver Water Amateur Radio Club (DWARC),,,http://www.DWARC.com,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,12.6,SSE,yes,447.175,442.175,100,Denver,On-Air,,W0JRL,,,,CCARC,yes,100,,Standard AllStar Link access commands.,,201712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29997,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,13.4,SSW,yes,448.125,443.125,107.2,Jefferson,On-Air,,Denver PD EEB,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,13.4,SSW,yes,927.7875,902.7875,156.7,Jefferson,On-Air,Golden and Denver.,N0PYY,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,27.1,SW,yes,147.3,147.9,103.5,Clear Creek,On-Air,Wide area.,Denver PD EEB,,,,CCARC,yes,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,13.4,SSW,yes,448.975,443.975,123,Jefferson,On-Air,Wide area.,FRG,Linkable VHF/UHF Remote Base,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42845,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,13.7,SSE,yes,449.65,444.65,,Denver,On-Air,,Colorado Amateur Repeater Network (CARN),,,,CCARC,yes,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,13.7,SSE,yes,449.675,444.675,,Denver,On-Air,,Colorado Amateur Repeater Network (CARN),,,,CCARC,yes,,,,,,7708,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,21.3,SE,yes,449.15,444.15,,Arapahoe,On-Air,,Colorado Amateur Repeater Network (CARN),,,,CCARC,yes,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,27,SW,yes,449,444,136.5,Clear Creek,On-Air,,CARN,,,,CCARC,yes,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,40.1,NNE,yes,449.325,444.325,,Weld,On-Air,,Colorado Amateur Repeater Network (CARN),,,,CCARC,yes,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,13.7,SSE,yes,145.475,144.875,100,Jefferson,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,E-power.,,Intermountain Repeater Group,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,18.5,SW,yes,145.28,144.68,100,Jefferson,On-Air,Wide area.,,"Closed autopatch, e-power, linked.",Sun at 19:30. Everyone welcome.,Intermountain Repeater Group,CCARC,yes,,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,"PL is usually off, allowing use by older transceivers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,18.5,SW,yes,449.525,444.525,CSQ,Jefferson,On-Air,,KE0SJ,E-power.,,Intermountain Repeater Group,CCARC,yes,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,20.5,E,yes,447.625,442.625,100,Adams,On-Air,Local/North Metro,Intermountain Repeater Group,,,Intermountain Repeater Group,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,13.7,SSE,yes,447.925,442.925,100,Denver,On-Air,,RADOPS El Jebel Shriners,,,,CCARC,yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,18.5,SW,yes,146.985,146.385,100,Denver,On-Air,,El Jebel RADOPS,E-power.,RADOPS: Sun at 19:00.,,CCARC,yes,100,,,,,3346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,13.7,SSE,yes,146.715,146.115,123,Denver,On-Air,,EARS,E-power.,,,CCARC,yes,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,13.7,SSE,yes,448.075,443.075,123,Denver,On-Air,,W0IG,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,13.7,SSE,yes,448.55,443.55,82.5,Denver,Off-Air,,HPRA,E-power.,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,13.7,SSE,yes,447.9,442.9,CSQ,Denver,Off-Air,,WB0TPT,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,14.3,S,yes,447.825,442.825,D073,Jefferson,On-Air,,Denver Radio Club,,,,CCARC,yes,D073,,,,,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,15.9,SSW,yes,53.09,51.39,107.2,Jefferson,On-Air,Metro Denver area.,Denver Radio Club,E-power.,,DRC Repeaters,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,16.7,S,yes,147.33,147.93,100,Jefferson,On-Air,Metro Denver and the foothills.,Denver Radio Club,E-power.,SATERN: Thu at 19:30.,DRC Repeaters,CCARC,yes,,,,,,,,Not recommeded to use tone squelch on this repeater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,16.7,S,yes,224.38,222.78,100,Jefferson,On-Air,,Denver Radio Club,,,DRC Repeaters,CCARC,yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,16.7,S,yes,449.775,444.775,100,Jefferson,On-Air,Metro Denver,Denver Radio Club,,,Denver Radio Club,CCARC,yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,18.3,SW,yes,446.7875,441.7875,,Jefferson,On-Air,,Denver Radio Club,,,http://www.w0tx.org/,CCARC,yes,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,Brandmeister Network,,,,,,,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
