Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Features,Coordination,Last update,D-STAR Enabled,Node,Sources,Notes,Web links,EchoLink,DMR Enabled,Color Code,Wide Network,Talkgroups,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Nets,Colorado,Northern Colorado,Links,Affiliate,Southern Colorado,Talkgroup Network,Worldwide English,DCI Bridge,Commands,YSF Digital Enabled,DG-ID,Mixed-Mode,Mountain Reg USA,IRLP,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Grid,Local Network,Denver Regional,Feed,Wyoming,WyLOCAL,On-air,AllStar,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Location Photo,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,66.2,SSW,yes,446.9375,441.9375,,,Clear Creek,On-Air,,Rocky Mountain Ham Radio,,CCARC,yes,,,,See the website for programming information.,Rocky Mountain Ham Radio,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,1,2,Full-time to the  Colorado TRBO System .,,2,RMHAM,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,66.2,SSW,yes,448.225,443.225,141.3,141.3,Clear Creek,On-Air,,Rocky Mountain Ham Radio,E-power(gen).,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,66.9,S,yes,145.175,144.575,D073,D073,Clear Creek,Off-Air,,Rocky Mountain Ham Radio,,CCARC,yes,,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,Rocky Mountain Ham Radio,,yes,1,,,,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,91.1,SSW,yes,445.0875,440.0875,,,Fremont,On-Air,,K2AD,,,yes,,,,,http://www.rmham.org/,,yes,7,,,,,,,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,97.5,SW,yes,445.075,440.075,,,Eagle,On-Air,,K2AD,,CCARC,yes,,,,,http://www.rmham.org/,,yes,7,,,,,,,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,99.1,S,yes,446.875,441.875,,,Douglas,On-Air,,W0VG,,CCARC,yes,,,,,http://www.rmham.org,,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,1,2,Full-time to the  Colorado TRBO System .,RMHAM,2,RMHAM,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,108.2,SSW,yes,445.05,440.05,,,Lake,On-Air,,K2AD,,CCARC,yes,,,,,http://www.rmham.org/,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,1,2,,Rocky Mountain Ham Radio,2,RMHAM,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,114.2,SSW,yes,446.7625,441.7625,,,Park,On-Air,,K7PFJ,,,yes,,,,,,,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,1,,,RMHAM,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,127.7,S,yes,445.0625,440.0625,,,El Paso,Off-Air,,Rocky Mountain Ham Radio,The DMR-MARC Worldwide Network,CCARC,yes,,,,,,,yes,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,149.8,SSW,yes,446.8125,441.8125,,,Chaffee,On-Air,,RMHAM,,,yes,,,,,,,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2625,-5,CC7,N0SZ,"Rangely, Cathedral Bluffs",CO,OPEN,,198.9,W,yes,445.2625,440.2625,,,Rio Blanco,On-Air,,RMHAM,,,yes,,,,,https://www.rmham.org,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,38.2,SSW,yes,145.46,144.86,107.2,107.2,Boulder,On-Air,Boulder/Denver Metro,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,yes,,,,,,347086,,,,,,,,,,,,,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",CRA VHF Link System,,,,,Member-only IRLP and Echolink node,,,,,3990,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,38.2,SSW,yes,447.975,442.975,107.2,107.2,Boulder,On-Air,Wide area: Boulder/Longmont area.,Colorado Repeater Association (CRA),Closed autopatch.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,66.2,SSW,yes,145.145,144.545,107.2,107.2,Clear Creek,On-Air,Wide area. Denver metro.,Colorado Repeater Assoc,E-power.,CCARC,yes,,,,,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,66.2,SSW,yes,447.575,442.575,107.2,107.2,Clear Creek,On-Air,Wide area: Denver metro.,Colorado Repeater Association (CRA),,CCARC,yes,,,,,http://www.w0cra.org,347088,,,,,,,,,,,,,,,,,,,,Member-only IRLP and Echolink node,,,,,3291,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,74.4,S,yes,1287.9,1267.9,CSQ,,Jefferson,Off-Air,Fort Collins to Colorado Springs.,Colorado Repeater Association (CRA),,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,74.4,S,yes,224.98,223.38,107.2,107.2,Jefferson,Off-Air,Wide area. Denver.,Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,yes,,,,,,347086,,,,,,,,,,,,,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,3990,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,74.4,S,yes,447.15,442.15,107.2,107.2,Jefferson,Off-Air,Wide area: Denver.,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,75.1,S,yes,53.05,51.35,107.2,107.2,Jefferson,Off-Air,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",Colorado Repeater Association (CRA),10,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,97.4,S,yes,147.225,147.825,107.2,107.2,Douglas,On-Air,Wide area,Colorado Repeater Association (CRA),Closed autopatch,CCARC,yes,,,,,Colorado Repeater Association,347086,,,,,,,,,,,"CRA Net, Sunday 9AM",,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",CRA VHF Link System,,,,,,,,,,3990,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,97.4,S,yes,448.425,443.425,107.2,107.2,Douglas,On-Air,Wide area,Colorado Repeater Association (CRA),,,yes,,,,,http://www.w0cra.org,,,,,,,,,,,,,,,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",ARESDEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,128.2,S,yes,145.16,144.56,107.2,107.2,El Paso,On-Air,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,yes,,,,Switch to this repeater at mile marker 170 on I-25.,http://www.w0cra.org/info/cosprgs.html#145160,347086,,,,,,,,,,,,,,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",CRA VHF Link System,,,,,,,,,,3990,,,,,,,,,,,,,,,,,,,,,,
1283.8625,-20,,KC0DS,Boulder,CO,OPEN,,38.6,SSW,yes,1283.8625,1263.8625,,,Boulder,On-Air,20,Boulder County ARES,E-power.,CCARC,yes,yes,KC0DS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.3875,-0.6,,KC0DS,Boulder,CO,OPEN,,38.6,SSW,yes,145.3875,144.7875,,,Boulder,On-Air,20,Boulder County ARES,E-power.,CCARC,yes,yes,KC0DS (C),"jfindu lookup 
    /   dstar-users lookup",,http://bouldercountyares.org/technical/d-star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8625,-5,,KC0DS,Boulder,CO,OPEN,,40.6,SSW,yes,446.8625,441.8625,,,Boulder,On-Air,,Boulder County ARES,,CCARC,yes,yes,KC0DS (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,131.8,WB7GR,"Cheyenne, Chalk Bluffs",WY,OPEN,,39.6,NE,yes,449.3,444.3,,,Laramie,On-Air,,WU7G,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,
444.125,5,114.8,WB7GR,"Scottsbluff, Stage Hill",NE,OPEN,,106.2,NE,yes,444.125,449.125,114.8,,Scotts Bluff,On-Air,Wide area,SBCEMA,Linked to Albin (147.165) and Cheyenne (146.775),,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,114.8,KC7SNO,"Cheyenne, Denver Hill",WY,OPEN,,39.7,NNE,yes,146.775,146.175,114.8,,Laramie,On-Air,,Shy-Wy Amateur Radio Club,"E-power, WX.",WRCG,yes,,,,,,,,,,,,,,,,,"Weather Net: Daily at 06:45. 
Shy-WY ARC: Sun at 07:00.",,,"Full-time to  
        147.16500 (KC7SNO) at Albin, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,114.8,KC7SNO,"Cheyenne, North Park",WY,OPEN,,40.7,NNE,yes,147.105,147.705,114.8,91.5,Laramie,On-Air,,ShyWyArc,,WRCG,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DN71,,,,,,,,,,,,,,,,
146.82,-0.6,114.8,KC7SNO,"Laramie, Beacon Hill",WY,OPEN,,56.7,NNW,yes,146.82,146.22,114.8,,Albany,On-Air,Wide area.,Shy-Wy Amateur Radio Club,,WRCG,yes,,,,,,,,,,,,,,,,,Shy-WY ARC: Thu at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,114.8,KC7SNO,Albin,WY,OPEN,,77.2,NE,yes,147.165,147.765,114.8,,Laramie,On-Air,,Shy-Wy Amateur Radio Club,E-power.,WRCG,yes,,,,,,,,,,,,,,,,,,,,"Full-time to  
        147.10500 (KC7SNO) at Cheyenne, North Park, WY .
 


Full-time to  
        146.77500 (KC7SNO) at Cheyenne, Denver Hill, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,KB7SWR,Cheyenne,WY,OPEN,,39.8,N,yes,448.15,443.15,100,,Laramie,Off-Air,,KB7SWR,,WRCG,yes,,,,,,,,,,,,,,,,,,,,"Full-time to  
        145.23500 (KB7SWR) at Cheyenne, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,114.8,KB7SWR,Cheyenne,WY,OPEN,,40.7,NNE,yes,145.235,144.635,114.8,,Laramie,On-Air,Local: Cheyenne.,N7GT,,WRCG,yes,,,,25,,,,,,,,,,,,,,,,"Full-time to  
        448.15000 (KB7SWR) at Cheyenne, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,39.9,SSW,yes,146.91,147.51,123,127.3,Boulder,On-Air,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,,,yes,,,,There is a MOU With BCARES for repeater use.,http://goldhilltown.com/,,,,,,,,,,,,"Summer Tue at 19:30P, Winter 19:00.",,,,"Town of Gold Hill, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.5,-20,,W0DK,Boulder,CO,OPEN,,40.6,SSW,yes,1299.5,1279.5,,,Boulder,On-Air,,Boulder County ARES,E-power.,CCARC,yes,yes,W0DK (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,W0DK,Boulder,CO,OPEN,I,43.1,SSW,yes,146.61,146.01,100,,Boulder,Off-Air,,Boulder Amateur Radio Club,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7007,,,,,,,,,,,,,,,,,,,,,,
448.9,-5,100,W0DK,"Boulder, Table Mesa",CO,OPEN,,43.1,SSW,yes,448.9,443.9,100,,Boulder,On-Air,"Wyoming border in the north, to Monument Hill in the south, near Colorado Springs. Its coverage is primarily to the east of the Front Range of the Rockies as the repeater signal is blocked to the west by the even higher Rocky Mountain peaks with altitudes of over 14,000 feet.",Boulder ARC,6,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,W0DK,"Boulder, Table Mountain",CO,OPEN,,43.2,SSW,yes,146.7,146.1,100,,Boulder,On-Air,"Wyoming border in the north, to Monument Hill (near Colorado Springs) in the south. Coverage is primarily to the east of the Rockies Front Range, as the repeater signal is blocked to the west by mountain peaks with altitudes of over 14,000 feet.",Boulder Co ARC,6,CCARC,yes,,,,,BARC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,100,N7JJY,Cheyenne,WY,OPEN,,40.7,NNE,yes,449.9,444.9,100,100,Laramie,On-Air,From 5 miles to 25 miles,N7JJY,,,yes,,,,To be used as a portable repeater for ARES/RACES or as needed for specific needs of the Amateur Community in Laramie County or other areas as needed. Repeater will be on when needed otherwise offline.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.95,-5,CC15 151.4,KC7DHF,"Cheyenne, Old airport control tower",WY,OPEN,,41.6,NNE,yes,448.95,443.95,151.4,151.4,Laramie,On-Air,Local,,,WRCG,yes,,,,Brandmiester and analog.,,,yes,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,44.4,SSE,yes,447.625,442.625,100,,Adams,On-Air,Local/North Metro,Intermountain Repeater Group,,,yes,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,58.7,S,yes,145.475,144.875,100,,Jefferson,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,E-power.,CCARC,yes,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,59.3,SSW,yes,145.28,144.68,100,,Jefferson,On-Air,Wide area.,,"Closed autopatch, e-power, linked.",CCARC,yes,,,,"PL is usually off, allowing use by older transceivers.",Intermountain Repeater Group,,,,,,,,,,,,Sun at 19:30. Everyone welcome.,,,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,59.3,SSW,yes,449.525,444.525,CSQ,,Jefferson,On-Air,,KE0SJ,E-power.,CCARC,yes,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,KD0RG,Hudson,CO,OPEN,E,45.5,SSE,yes,449.925,444.925,114.8,114.8,Weld,On-Air,,KD0RG,,CCARC,yes,,,,,,448035,,,,,,,,,,,,,,,K0UPS Club,,,,,,,,,,,,,,,,DN70,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,45.9,S,yes,449.825,444.825,103.5,,Boulder,On-Air,Along the foothills and into Boulder where the 94 repeater is shadowed.,Rocky Mountain Radio League,6,CCARC,yes,,,,,Repeater,,,,,,,,,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,66.2,SSW,yes,146.94,146.34,103.5,103.5,Clear Creek,On-Air,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",Rocky Mtn Radio League,11,CCARC,yes,,,,,Repeater,,,,,,,,,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,,,,,Autopatch: 911* / Off 0*.,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,45.9,S,yes,448.925,443.925,131.8,,Boulder,On-Air,,W0LMA,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,48.6,S,yes,147.045,147.645,123,CSQ,Adams,On-Air,,Northglenn RA,E-power.,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.225,-5,CC11,WY7EOC,"Laramie, Pilot Hill",WY,CLOSED,,50.5,NNW,yes,447.225,442.225,,,Albany,On-Air,Wide area.,Laramie County EM,,WRCG,yes,,,,,,,yes,11,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Wyoming  1  3156  Full-Time    WyLOCAL  2  100  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,Wyoming DMR Project,,Wyoming DMR Project,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,
445.05,-5,CC11,WY7EOC,Rawlins,WY,CLOSED,,139.6,NW,yes,445.05,440.05,,,Carbon,On-Air,Wide area.,Laramie County EM,,WRCG,yes,,,,,,,yes,11,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Wyoming  1  3156  Full-Time    WyLOCAL  2  100  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,Wyoming DMR Project,,Wyoming DMR Project,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,
449.9875,-5,CC11,WY7EOC,"Casper, Casper Mountain",WY,CLOSED,,169.9,NNW,yes,449.9875,444.9875,,,Natrona,On-Air,Wide Area. 40 mi radius.,Laramie County EM,,WRCG,yes,,,,,,,yes,11,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Wyoming  1  3156  Full-Time    WyLOCAL  2  100  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,,,,Wyoming DMR Project,,Wyoming DMR Project,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,51.1,SSW,yes,224.6,223,100,,Gilpin,,,W0RM,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,51.5,SSW,yes,145.31,144.71,88.5,123,Gilpin,On-Air,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Colorado Connection,10,CCARC,yes,,,,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,,,,,,,,,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,60.1,SW,yes,147.285,147.885,88.5,123,Grand,On-Air,,Colorado Connection,,CCARC,yes,,,,,,,,,,,,,,,,,,,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,68.2,W,yes,145.16,144.56,88.5,123,Jackson,On-Air,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.",Colorado Connection,8,CCARC,yes,,,,Part of the Colorado Connection system of repeaters.,,,,,,,,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,77.7,WSW,yes,147.075,147.675,88.5,123,Grand,On-Air,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,Colorado Connection,,CCARC,yes,,,,Part of the Colorado Connection system of Repeaters,,,,,,,,,,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,91.7,SSW,yes,147.39,147.99,88.5,123,Summit,On-Air,Wide area.,Colorado Connection,12,CCARC,yes,,,,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",Breckenridge Repeater,,,,,,,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
