Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Affiliate,Links,Coordination,Last update,Coverage,Features,Notes,Nets,Web links,Feed,On-air,Grid,EchoLink,IRLP,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Local Network,Mixed-Mode,Worldwide,North America,Local/Cluster,AllStar,Commands,YSF Digital Enabled,DG-ID,D-STAR Enabled,Node,Sources,Wyoming,WyLOCAL,English,Mountain Reg USA,Location Photo,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,P25 Digital Enabled,NAC,Default Reflector,Worldwide English,DCI Bridge,N. Colorado,TAC 310,WIRES-X,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,Europe,Local
147.03,0.6,100,KI0HG,"Allenspark, AFPD Station #5",CO,OPEN,,129.6,ESE,yes,147.03,147.63,100,,Boulder,On-Air,KI0HG,Boulder County Amateur Radio Emergency Service,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.775,5,CC12 123.0,AD0BN,"Green River, Green River High School",WY,OPEN,,129.7,NW,yes,444.775,449.775,123,123,Sweetwater,Testing,,,,WRCG,yes,"Note: This repeater will operate in digital mode only. It may, however, be switched to analogue mode under special circumstances and will use a tone of 123/123. Digital repeater should provide portable coverage in the Green River area when operational. Repeater is not currently on-air but has been coordinated and is awaiting installation. Please use Talkgroup 2 and Timeslot 2 for local communications. Repeater uses color 12.",,,,,,,,,,yes,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,130.7,ESE,yes,146.94,146.34,103.5,103.5,Clear Creek,On-Air,Rocky Mtn Radio League,,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",CCARC,yes,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",11,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",Repeater,Listen Live,,,,,,,,,,,,,,,,,,,,Autopatch: 911* / Off 0*.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,149.9,ESE,yes,449.825,444.825,103.5,,Boulder,On-Air,Rocky Mountain Radio League,,,CCARC,yes,Along the foothills and into Boulder where the 94 repeater is shadowed.,6,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,130.7,ESE,yes,449.45,444.45,103.5,127.3,Clear Creek,On-Air,Rocky Mountain Radio League,,,CCARC,yes,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",11,,RMRL: Mon at 20:30.,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,130.8,ESE,yes,145.145,144.545,107.2,107.2,Clear Creek,On-Air,Colorado Repeater Assoc,,,CCARC,yes,Wide area. Denver metro.,E-power.,,,http://www.w0cra.org/info/squaw.html#145145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,130.8,ESE,yes,447.575,442.575,107.2,107.2,Clear Creek,On-Air,Colorado Repeater Association (CRA),,,CCARC,yes,Wide area: Denver metro.,,,,http://www.w0cra.org,,,,347088,3291,,,,,,,,,,,,,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,135.4,ESE,yes,145.46,144.86,107.2,107.2,Boulder,On-Air,Colorado Repeater Association (CRA),CRA VHF Link System,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",CCARC,yes,Boulder/Denver Metro,"Closed autopatch, e-power.",,,,,,,347086,3990,,,,,,,,,,,,,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,135.4,ESE,yes,447.975,442.975,107.2,107.2,Boulder,On-Air,Colorado Repeater Association (CRA),,,CCARC,yes,Wide area: Boulder/Longmont area.,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,140.3,SE,yes,53.05,51.35,107.2,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),,,CCARC,yes,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,143,SE,yes,1287.9,1267.9,CSQ,,Jefferson,Off-Air,Colorado Repeater Association (CRA),,,CCARC,yes,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,143,SE,yes,224.98,223.38,107.2,107.2,Jefferson,Off-Air,Colorado Repeater Association,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",CCARC,yes,Wide area. Denver.,"Closed autopatch, e-power.",,,,,,,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,143,SE,yes,447.15,442.15,107.2,107.2,Jefferson,Off-Air,Colorado Repeater Association (CRA),,,CCARC,yes,Wide area: Denver.,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,164.4,SE,yes,147.225,147.825,107.2,107.2,Douglas,On-Air,Colorado Repeater Association (CRA),CRA VHF Link System,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",CCARC,yes,Wide area,Closed autopatch,,"CRA Net, Sunday 9AM",Colorado Repeater Association,,,,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,164.4,SE,yes,448.425,443.425,107.2,107.2,Douglas,On-Air,Colorado Repeater Association (CRA),ARESDEC,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,yes,Wide area,,,,http://www.w0cra.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,185.2,SE,yes,145.16,144.56,107.2,107.2,El Paso,On-Air,Colorado Repeater Association,CRA VHF Link System,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",CCARC,yes,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.","Closed autopatch, e-power.",Switch to this repeater at mile marker 170 on I-25.,,http://www.w0cra.org/info/cosprgs.html#145160,,,,347086,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,130.8,ESE,yes,145.49,144.89,100,100,Jefferson,On-Air,"KB0VIU,  Denver Radio Club",,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",CCARC,yes,,E-power.,,DRC: Sun at 20:30.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,130.8,ESE,yes,449.35,444.35,100,100,Clear Creek,On-Air,Denver Radio Club,,,CCARC,yes,Wide area.,11,,,DRC Repeaters,,,,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,136.3,ESE,yes,446.7875,441.7875,,,Jefferson,On-Air,Denver Radio Club,Brandmeister Network,,CCARC,yes,,,,,http://www.w0tx.org/,,,,,,yes,1,,,,,,,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,136.9,ESE,yes,448.625,443.625,100,100,Jefferson,On-Air,Denver Radio Club,,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",CCARC,yes,Denver metro area.,E-power.,,DRC: Sun at 20:30.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,146.9,ESE,yes,53.09,51.39,107.2,,Jefferson,On-Air,Denver Radio Club,,,CCARC,yes,Metro Denver area.,E-power.,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,148.9,ESE,yes,147.33,147.93,100,,Jefferson,On-Air,Denver Radio Club,,,CCARC,yes,Metro Denver and the foothills.,E-power.,Not recommeded to use tone squelch on this repeater.,SATERN: Thu at 19:30.,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,148.9,ESE,yes,224.38,222.78,100,100,Jefferson,On-Air,Denver Radio Club,,,CCARC,yes,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,148.9,ESE,yes,449.775,444.775,100,100,Jefferson,On-Air,Denver Radio Club,,,CCARC,yes,Metro Denver,,,,Denver Radio Club,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,149.2,ESE,yes,447.825,442.825,D073,D073,Jefferson,On-Air,Denver Radio Club,,,CCARC,yes,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,130.8,ESE,yes,146.67,146.07,100,100,Clear Creek,On-Air,Castle Rock Repeater Group,,,CCARC,yes,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",11,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,164.8,ESE,yes,448.5,443.5,100,,Denver,On-Air,Castle Rock Repeater Group,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",CCARC,yes,Greater Denver area.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,170.9,ESE,yes,145.4,144.6,100,,Arapahoe,On-Air,Castle Rock Repeater Group,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",CCARC,yes,Greater Denver area.,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,131,ESE,yes,147.3,147.9,103.5,103.5,Clear Creek,On-Air,Denver PD EEB,,,CCARC,yes,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,144,ESE,yes,448.125,443.125,107.2,,Jefferson,On-Air,Denver PD EEB,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,144,ESE,yes,927.7875,902.7875,156.7,,Jefferson,On-Air,N0PYY,,,,yes,Golden and Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,131,ESE,yes,448.675,443.675,100,100,Denver,On-Air,W0CFI,,,CCARC,yes,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.26,0.6,,N7PQD,Duchense,UT,OPEN,,131.3,W,yes,147.26,147.86,,,Duchesne,On-Air,Borderline ARC,,,UVHFS,yes,"Tabby mountain and nearby communities including Duchesne, Roosevelt, and Vernal.",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,131.5,ESE,yes,449,444,136.5,136.5,Clear Creek,On-Air,CARN,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,156.6,ESE,yes,449.65,444.65,,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,156.6,ESE,yes,449.675,444.675,,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),,,CCARC,yes,,,,,,,,,,7708,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,166.2,ESE,yes,449.15,444.15,,,Arapahoe,On-Air,Colorado Amateur Repeater Network (CARN),,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,171.1,ESE,yes,449.325,444.325,,,Weld,On-Air,Colorado Amateur Repeater Network (CARN),,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.32,0.6,88.5,K7SDC,"Sunnyside, Bruin Point",UT,OPEN,EI,131.8,WSW,yes,147.32,147.92,88.5,,Carbon,On-Air,Sinbad Desert ARC,,,UVHFS,yes,"Wide area: Roosevelt, Duchesne, near Vernal, and Price, with spotty coverage from Price down to I-70 on US-6 and US-10. 50 mi radius.",Remote base.,110,,http://sdarc.us/repeaters/bruin.html,,,DM49tp,64264,3270,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,88.5,K7SDC,"Sunnyside, Bruin Point",UT,OPEN,EI,131.8,WSW,yes,449.05,444.05,88.5,,Carbon,On-Air,Sinbad Desert ARC,,,UVHFS,yes,"Wide area: Roosevelt, Duchesne, near Vernal, and Price, with spotty coverage from Price down to I-70 on US-6 and US-10.",Remote base.,,,http://sdarc.us/repeaters/bruin.html,,,,64264,3270,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,88.5,K7SDC,"Castle Dale, Cedar Mountain",UT,OPEN,EI,156,WSW,yes,147.14,147.74,88.5,,Emery,On-Air,Sinbad Desert ARC,,Full-time to the  Sinbad Desert (SDARC) System .,UVHFS,yes,"Wide area: Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.","Closed autopatch, remote base.",7,,http://sdarc.us/repeaters/cedar.html,,,,64264,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,88.5,K7SDC,"Castle Dale, Cedar Mountain",UT,OPEN,I,156,WSW,yes,448.55,443.55,88.5,,Emery,On-Air,N7QLO,,,UVHFS,yes,"Wide area: Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.",Remote base.,Stand alone.,,,,,,,3280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,K7SDC,"Scofield, Ford Ridge",UT,OPEN,I,164.2,W,yes,145.31,144.71,88.5,,Carbon,On-Air,Sinbad Desert ARC,,,UVHFS,yes,Wide area: Scofield and Soldier Smt areas as well as into the Price valley as far south as Huntington and as far east as Sunnyside.,"Closed autopatch, remote base.",9,,http://sdarc.us/repeaters/ford.html,,,,,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,88.5,K7SDC,"Monticello, Abajo Peak",UT,OPEN,EI,173.2,SSW,yes,146.61,146.01,88.5,,San Juan,On-Air,Sinbad Desert ARC,,,UVHFS,yes,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",Remote base.,11.36,,http://www.sdarc.us/repeaters/abajo.html,,,,64264,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,88.5,K7SDC,"Scofield, Boardinghouse Ridge",UT,OPEN,EI,175.6,W,yes,147.08,147.68,88.5,,Carbon,On-Air,Sinbad Desert ARC,,Full-time to the  Sinbad Desert (SDARC) System .,UVHFS,yes,Wide area: Scofield and Soldier Smt areas as well as into the Price valley as far south as Huntington and as far east as Sunnyside.,"Closed autopatch, remote base.",9,,http://sdarc.us/repeaters/boardinghouse.html,,,,64264,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,88.5,K7SDC,"Castle Dale, Horn Mountain",UT,OPEN,EI,181.1,WSW,yes,147.06,147.66,88.5,,Emery,On-Air,Sinbad Desert ARC,,Full-time to the  Sinbad Desert (SDARC) System .,UVHFS,yes,"Wide area: Most of western Emery County including the towns of Castle Dale, Orangeville, Huntington, Cleveland, Ferron, and further east into the San Rafael desert. It also covers the towns of Sunnyside and East Carbon, UT.","Closed autopatch, remote base.",8,,http://sdarc.us/repeaters/horn.html,,,DM49kf,64264,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,136.5,K7SDC,"Hanksville, Ellen Peak",UT,OPEN,EI,205.7,SW,yes,147.08,147.68,136.5,,Wayne,On-Air,Sinbad Desert ARC,,Full-time to the  Sinbad Desert (SDARC) System .,UVHFS,yes,"Wide area: Areas around the Henry Mountain range in southeastern Utah including Hanksville, Hite, Boulder, Escalante, and Bullfrog.","Closed autopatch, remote base.",11,,http://sdarc.us/repeaters/mt-ellen.html,,,,64264,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,,WX7Y,"Sunny Side, Bruin Peak",UT,OPEN,,132,W,yes,145.175,144.575,,,Carbon,On-Air,SDARC,Sinbad Desert A.R.C.,,,yes,Eastern Utah,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,88.5,WX7Y,"Scofield, Boardinghouse Rdge",UT,OPEN,,176.3,W,yes,224.98,223.38,88.5,,Carbon,,"Intermountain Repeater Emergency Amateur Network,  Sinbad Desert ARC",,,UVHFS,yes,"Wide area: Price, Wellington, Helper, and Huntington areas.",Remote base.,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.92,-1.6,88.5,WX7Y,"Huntington,  Skyline Dr",UT,OPEN,,181.1,WSW,yes,223.92,222.32,88.5,,Emery,,,Sinbad Desert ARC,,UVHFS,yes,"Wide area: Extreme southern end of Utah county (to the north) and the valley communities from Fairview and Nephi down to Salina, with coverage toward Delta.","Remote base, 8,702'.",,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,123,WX7Y,"Castle Dale, Horn Mountain",UT,OPEN,,181.1,WSW,yes,447.7,442.7,123,,Emery,,,,,UVHFS,yes,Wide area.,"Closed autopatch, 8,702'.",,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,100,N7GCR,"Rawlins, Elk Mountain",WY,OPEN,,132,NNE,yes,147.24,147.84,100,,Carbon,On-Air,CCARS,,,WRCG,yes,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,132.3,SE,yes,448.575,443.575,103.5,103.5,Park,Off-Air,,,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",CCARC,yes,Western Park County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,149.2,SE,yes,449.925,444.925,103.5,103.5,Chaffee,On-Air,,Colorado ARES,,CCARC,yes,"Upper Arkansas and Platte Rivers, and the SLV",E-power (Bat),Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,132.4,ESE,yes,146.91,147.51,123,127.3,Boulder,On-Air,,"Town of Gold Hill, Colorado",,,yes,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,There is a MOU With BCARES for repeater use.,"Summer Tue at 19:30P, Winter 19:00.",http://goldhilltown.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,133,ESE,yes,447.85,442.85,141.3,141.3,Clear Creek,On-Air,AC0KQ,Rocky Mountain Ham Radio,,CCARC,yes,Wide area at 9500',AllStar node repeater providing wide area coverage along the Front Range,,,,,,,,,,,,,,,,,,,,,,,29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,"Maysville, CO",CO,OPEN,,135,SE,yes,145.325,144.725,100,,Chaffee,On-Air,Chaffee Lake Amateur Repeater Association,,,,yes,wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,W0IA,"Boulder, Lee Hill",CO,OPEN,E,135.4,ESE,yes,224.02,222.42,,,Boulder,On-Air,Rocky Mtn VHF Soc,,"Full-time to  
        449.55000 (W0IA) at Boulder, CO .",CCARC,yes,Denver metro area.,8,,,RMVHS repeaters,,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.55,-5,100,W0IA,Boulder,CO,OPEN,E,139.8,ESE,yes,449.55,444.55,100,,Boulder,On-Air,Rocky Mtn VHF Soc,,"Full-time to  
        224.02000 (W0IA) at Boulder, Lee Hill, CO .",CCARC,yes,Denver metro area.,8,,,,,,,217336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,W0IA,"Boulder, Gunbarrel Hill",CO,OPEN,,145.8,ESE,yes,146.76,146.16,100,,Boulder,On-Air,Rocky Mtn VHF Soc,Boulder County ARES,,CCARC,yes,Wide area.,5,"ARES primary repeater. 
 Voting Receivers:  
 
   
    RX Location    Tone    Pitch    PL  
   
   Gunbarrel  single beep  low  100.0 
   
   Lousville  single beep  low  100.0 
   
   Lyons  double beep  high followed by medium  100.0 
   
   Louisville #2  double beep  high followed by low  100.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tone,single beep,single beep,double beep,double beep,,,,,,,,,,,,,,,,,,,,,,,
