Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,County,Op Status,Sponsor,Last update,Denver Regional,Affiliate,Talkgroup Network,Northern Colorado,Web links,Coordination,Links,Worldwide,North America,Local/Cluster,Features,Notes,Downlink Tone,Mixed-Mode,Coverage,Local Network,IRLP,D-STAR Enabled,Node,Sources,Nets,Feed,Grid,EchoLink,AllStar,Location Photo,Commands,On-air,YSF Digital Enabled,DG-ID,P25 Digital Enabled,NAC,Default Reflector,Worldwide English,DCI Bridge,N. Colorado,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,Europe,Southwest USA,Mountain Reg USA,Wyoming,WyLOCAL
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,94.2,N,yes,147.285,147.885,88.5,,,,,,,Grand,On-Air,Colorado Connection,yes,,,,,,CCARC,Full-time to the  Colorado Connection System .,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,96.4,NW,yes,146.85,146.25,88.5,,,,,,,Garfield,On-Air,Colorado Connection,yes,,,,,,CCARC,,,,,70,Part of the Colorado Connection System of Repeaters,123,,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",,,,,,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,98.4,NNE,yes,145.31,144.71,88.5,,,,,,,Gilpin,On-Air,Colorado Connection,yes,,,,,,CCARC,Full-time to the  Colorado Connection System .,,,,10,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",123,,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",,,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,107.3,N,yes,147.075,147.675,88.5,,,,,,,Grand,On-Air,Colorado Connection,yes,,,,,,CCARC,Full-time to the  Colorado Connection System .,,,,,Part of the Colorado Connection system of Repeaters,123,,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,,,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,110.6,WNW,yes,145.355,144.755,88.5,,,,,,,Mesa,On-Air,Colorado Connection,yes,,,,,,CCARC,Full-time to the  Colorado Connection System .,,,,E-power.,Colorado Connection system of repeaters,123,,"Rifle to the east, several miles east of Green River, Utah to the west.",,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,126.4,SW,yes,147.345,147.945,88.5,,,,,,,La Plata,On-Air,Colorado Connection,yes,,,,,,CCARC,Full-time to the  Colorado Connection System .,,,,,,123,,Durango and north towards Molas Divide.,,,,,,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,141.9,NNW,yes,147.165,147.765,88.5,,,,,,,Routt,On-Air,Colorado Connection,yes,,,,,,,Full-time to the  Colorado Connection System .,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,141.9,NNW,yes,449.625,444.625,123,,,,,,,Routt,On-Air,"Colorado Connection Repeaters, Inc.",yes,,,,,http://colcon.org,,,,,,Statewide Linked System,,123,,Local Steamboat Area,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,142.7,WNW,yes,147.355,146.755,88.5,,,,,,,Mesa,On-Air,Colorado Connection,yes,,,,,,CCARC,Full-time to the  Colorado Connection System .,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,147.5,N,yes,145.16,144.56,88.5,,,,,,,Jackson,On-Air,Colorado Connection,yes,,,,,,CCARC,Full-time to the  Colorado Connection System .,,,,8,Part of the Colorado Connection system of repeaters.,123,,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.",,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,159.8,NNW,yes,146.97,146.37,88.5,,,,,,,Moffat,On-Air,Northwest Colorado Amateur Radio Association,yes,,Colorado Connection,,,,CCARC,Full-time to the  Colorado Connection System .,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,186.4,NE,yes,145.4,144.8,88.5,,,,,,,Washington,On-Air,Colorado Connection,yes,,,,,,CCARC,Full-time to the  Colorado Connection System .,,,,,Part of the Colorado Connection system of repeaters,123,,Northeastern plains of Colorado.,,,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,5.2,S,yes,145.295,144.695,107.2,,,,,,,Chaffee,On-Air,Cheyenne Mtn Repeater Group,yes,,,,,CMRG Repeaters,CCARC,,,,,,,,,Wide area.,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,5.8,S,yes,449.65,444.65,107.2,,,,,,,Chaffee,On-Air,,yes,,,,,CMRG Repeaters,CCARC,,,,,E-power.,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,44.2,NE,yes,147.36,147.96,107.2,,,,,,,Park,On-Air,,yes,,,,,CMRG Repeaters,CCARC,,,,,E-power.,,107.2,,Wide area.,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,55.8,SE,yes,449.625,444.625,107.2,,,,,,,Custer,On-Air,,yes,,,,,CMRG Repeaters,CCARC,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,61.9,E,yes,146.76,146.16,107.2,,,,,,,El Paso,On-Air,Cheyenne Mountain Repeater Group,yes,,,,,,CCARC,,,,,"Closed autopatch, e-power.",,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,61.9,E,yes,448,443,107.2,,,,,,,El Paso,On-Air,,yes,,,,,CMRG Repeaters,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,61.9,E,yes,448.1,443.1,107.2,,,,,,,El Paso,On-Air,,yes,,,,,CMRG Repeaters,CCARC,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,"Closed autopatch, e-power.",,107.2,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,62,E,yes,147.345,147.945,107.2,,,,,,,El Paso,On-Air,,yes,,,,,http://www.cmrg.org/,CCARC,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,,,"Closed autopatch, e-power.",,107.2,,Wide area.,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,63,E,yes,145.375,144.77,,,,,,,,El Paso,Off-Air,Cheyenne Mountain Repeater Group (CMRG),yes,,,,,http://www.cmrg.org,CCARC,,,,,,Repeater off air for now.,,,wide area,,,yes,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,63.1,E,yes,446.9125,441.9125,,,,,,,,El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),yes,,,,,,,,,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,yes,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,63.1,E,yes,927.85,902.85,D114,,,,,,,Teller,On-Air,CMRG,yes,,,,,http://www.cmrg.org,CCARC,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,KC0CVU,"Trinidad, Raton Pass",CO,OPEN,,124.8,SE,yes,449.6,444.6,107.2,,,,,,,Las Animas,Off-Air,Cheyenne Mtn Rptr Grp,yes,,,,,CMRG Repeaters,CCARC,,,,,E-power.,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,5.8,S,yes,449.925,444.925,103.5,,,,,,,Chaffee,On-Air,,yes,,Colorado ARES,,,,CCARC,,,,,E-power (Bat),Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,103.5,,"Upper Arkansas and Platte Rivers, and the SLV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,24.3,N,yes,448.575,443.575,103.5,,,,,,,Park,Off-Air,,yes,,,,,,CCARC,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,,,103.5,,Western Park County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,6.1,S,yes,449.975,444.975,100,,,,,,,Chaffee,On-Air,,yes,,,,,K0JSC.COM,CCARC,Full-time to the  The Fun Machine System .,,,,2,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,100,,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,,7301,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,DM68xk,363976,28368,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,38.7,ESE,yes,446.7375,441.7375,,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,Fremont,On-Air,,yes,,Rocky Mountain Ham Radio,,,http://www.k0jsc.com,CCARC,Full-time to the  Colorado TRBO System .,,,,IPSC Link to the Colorado network on Talk Slot 2.,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",,,,,,,,DM78ii,,,yes,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,38.7,ESE,yes,447.25,442.25,100,,,,,,,Fremont,On-Air,,yes,,,,,K0JSC dot Com,CCARC,Full-time to the  The Fun Machine System .,,,,,,100,,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",,7301,,,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",Listen Live,DM78ik,363976,28368,yes,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,40,SE,yes,448.325,443.325,100,,,,,,,Custer,On-Air,,yes,,The Fun Machine,,,,,Full-time to the  The Fun Machine System .,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
