Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Northern Colorado,County,Op Status,Affiliate,Features,Links,Notes,Web links,Coordination,Last update,Sponsor,Downlink Tone,Coverage,Nets,Feed,Grid,EchoLink,YSF Digital Enabled,DG-ID,Mixed-Mode,D-STAR Enabled,Node,Sources,IRLP,AllStar,Commands,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,Denver Regional,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,English,Southern Colorado,Local Network,On-air,Location Photo,Wyoming,WyLOCAL
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,146.6,WSW,yes,147.345,147.945,88.5,,,,,,,Eagle,On-Air,,9,Full-time to the  Colorado Connection System .,,,CCARC,yes,Colorado Connection,123,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,160.4,W,yes,147.165,147.765,88.5,,,,,,,Routt,On-Air,,,Full-time to the  Colorado Connection System .,,,,yes,Colorado Connection,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,160.4,W,yes,449.625,444.625,123,,,,,,,Routt,On-Air,,Statewide Linked System,,,http://colcon.org,,yes,"Colorado Connection Repeaters, Inc.",123,Local Steamboat Area,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,171,SW,yes,147.285,147.885,88.5,,,,,,,Chaffee,On-Air,,11,Full-time to the  Colorado Connection System .,,,CCARC,yes,Colorado Connection,123,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,198,W,yes,146.97,146.37,88.5,,,,,,,Moffat,On-Air,Colorado Connection,,Full-time to the  Colorado Connection System .,,,CCARC,yes,Northwest Colorado Amateur Radio Association,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,198.3,WSW,yes,146.85,146.25,88.5,,,,,,,Garfield,On-Air,,70,,Part of the Colorado Connection System of Repeaters,,CCARC,yes,Colorado Connection,123,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,,WA0JTB,"Sterling, CO",CO,OPEN,,40.6,NE,yes,145.295,144.695,,,,,,,,Logan,On-Air,,"Autopatch, e-power.",,,,CCARC,yes,NECARA,,Wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,KD0RG,Hudson,CO,OPEN,E,47.2,WSW,yes,449.925,444.925,114.8,,,,,,,Weld,On-Air,K0UPS Club,,,,,CCARC,yes,KD0RG,114.8,,,,DN70,448035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,48.6,WNW,yes,146.85,146.25,100,,,,,,,Weld,On-Air,,"E-power, WX.",,,,CCARC,yes,Northern Colorado ARC,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.025,-5,100,W0UPS,"Loveland, Budweiser Event Center",CO,OPEN,,64,WNW,yes,448.025,443.025,100,,,,,,,Larimer,On-Air,,,,,,CCARC,yes,Northern Colorado ARC,100,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,E,76.1,WNW,yes,145.115,144.515,100,,,,,,,Larimer,On-Air,,7,,,,CCARC,yes,Northern Colorado ARC,100,Wide area.,,,,4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.52,-1.6,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,76.1,WNW,yes,224.52,222.92,100,,,,,,,Larimer,Off-Air,,E-power.,,,,CCARC,yes,Northern Colorado ARC,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,W0UPS,"Fort Collins, Horsetooth Mountain",CO,OPEN,,76.1,WNW,yes,447.275,442.275,100,,,,,,,Larimer,On-Air,,"Closed autopatch, e-power.",,,,CCARC,yes,Northern Colorado ARC,100,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,83.9,WNW,yes,447.7,442.7,100,,,,,,,Larimer,On-Air,,,"Linkable to  
        146.62500 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .
 


Linkable to  
        146.85000 (W0UPS) at Greeley, UNC, CO .
 


Full-time to  
        224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,http://ncarc.net/,,yes,Northern Colorado Amateur Radio Club,100,Wide Area Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.625,-0.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,84.2,WNW,yes,146.625,146.025,100,,,,,,,Larimer,On-Air,,E-power.,"Linkable to  
        146.85000 (W0UPS) at Greeley, UNC, CO .
 


Linkable to  
        224.84000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,CCARC,yes,Northern Colorado ARC,100,Wide area: Northern front range.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.84,-1.6,100,W0UPS,"Fort Collins, Buckhorn Mountain",CO,OPEN,,84.2,WNW,yes,224.84,223.24,100,,,,,,,Larimer,On-Air,,"E-power, 25 watts.","Full-time to  
        447.70000 (W0UPS) at Fort Collins, Buckhorn Mountain, CO .",,,,yes,Northern Colorado ARC,100,"Wide Area: Northern CO Front Range and into Cheyenne - Laramie, WY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,48.7,WNW,yes,449.725,444.725,127.3,,,,,,,Weld,On-Air,,"Autopatch, WX.",,,,CCARC,yes,K0OJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,49.3,WNW,yes,449.325,444.325,,,,,,,,Weld,On-Air,,,,,,CCARC,yes,Colorado Amateur Repeater Network (CARN),,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,65.7,SW,yes,449.15,444.15,,,,,,,,Arapahoe,On-Air,,,,,,CCARC,yes,Colorado Amateur Repeater Network (CARN),,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,72,WSW,yes,449.65,444.65,,,,,,,,Denver,On-Air,,,,,,CCARC,yes,Colorado Amateur Repeater Network (CARN),,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,72,WSW,yes,449.675,444.675,,,,,,,,Denver,On-Air,,,,,,CCARC,yes,Colorado Amateur Repeater Network (CARN),,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",7708,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,97.5,WSW,yes,449,444,136.5,,,,,,,Clear Creek,On-Air,,,,,,CCARC,yes,CARN,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KC0KWD,Greeley,CO,OPEN,I,49.3,WNW,yes,147,147.6,100,,,,,,,Weld,On-Air,,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",,,,CCARC,yes,Weld ARS,100,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,3839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.475,-5,100,KC0KWD,Greeley,CO,OPEN,I,49.3,WNW,yes,448.475,443.475,100,,,,,,,Weld,On-Air,,,,,http://www.warsco.org/,CCARC,yes,Weld Amateur Radio Society (WARS),,,,,,,,,,,,,3839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,51.2,WSW,yes,447.625,442.625,100,,,,,,,Adams,On-Air,,,,,Intermountain Repeater Group,,yes,Intermountain Repeater Group,,Local/North Metro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,71.9,WSW,yes,145.475,144.875,100,,,,,,,Jefferson,On-Air,,E-power.,,,Intermountain Repeater Group,CCARC,yes,Intermountain Repeater Group,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,89.4,WSW,yes,145.28,144.68,100,,,,,,,Jefferson,On-Air,,"Closed autopatch, e-power, linked.","Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .","PL is usually off, allowing use by older transceivers.",Intermountain Repeater Group,CCARC,yes,,,Wide area.,Sun at 19:30. Everyone welcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,89.4,WSW,yes,449.525,444.525,CSQ,,,,,,,Jefferson,On-Air,,E-power.,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,Intermountain Repeater Group,CCARC,yes,KE0SJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,54.5,WSW,yes,447.3,442.3,107.2,,,,,,,Weld,On-Air,,,,,,CCARC,yes,,,,,,,405804,,,,,,,3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,54.7,WSW,yes,224.96,223.36,CSQ,,,,,,,Weld,On-Air,,,,,,CCARC,yes,AC0KC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,59.1,WSW,yes,448.15,443.15,141.3,,,,,,,Denver,On-Air,,E-power (batt).  2 meter and 70cm channel steerable remote bases.,Full-time to the  The Fun Machine System .,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,k0jsc.com,CCARC,yes,K0GUR,141.3,"Small coverage of the East Denver area SW of DIA. 
   Repeater Coverage Map","APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",Listen Live,DM79pt,24340,,,,,,,,29436,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,60.8,S,yes,449.25,444.25,123,,,,,,,Elbert,On-Air,,Full duplex node.,,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",,CCARC,yes,K0UPS Club c/o N1UPS,123,"I-70 Limon, Co area.",,,,3349,,,,,,,3349,,** [StarStar] Prefix for Echolink Node.,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,62.5,WNW,yes,447.2,442.2,82.5,,,,,,,Weld,On-Air,,,,,,CCARC,yes,N6RFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,63.5,WNW,yes,147.39,147.99,,yes,2,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  TAC 310  1  310      DCI Bridge  1  3100      N. Colorado  1  3171      Mountain Reg USA  1  3177      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,Larimer,On-Air,,,,,Documentation,CCARC,yes,KT0L - NoCo C-Bridge Network,,"Fort Collins east side, into Red Feather Lakes area.",Tac 310 Net: Sun at 18:00.,,,,,,,,,,,,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,
446.775,-5,CC2,W0DMR,"Fort Collins, Timnath",CO,OPEN,,63.8,WNW,yes,446.775,441.775,,yes,2,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Full-Time    North America  1  93  Full-Time    DCI Bridge  1  3100  Full-Time    Local/Cluster  2  2      Colorado  2  3108  Full-Time    N. Colorado  2  3171  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",2,,Larimer,On-Air,Brandmeister Network,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",W0DMR,CCARC,yes,W0DMR - NoCo C-bridge Network,,"Fort Collins east side, into Red Feather Lakes area.",,,,,,,,,,,,,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,1,2,,2,BrandMeister US,1,1,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,63.8,SW,yes,927.8375,902.025,,,,,,,,Douglas,On-Air,,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,CCARC,yes,,,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,,,,,,,,,,,,,,,,,,,,yes,294,yes,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,89.4,WSW,yes,927.8375,902.025,,,,,,,,Jefferson,On-Air,,,,The offset is -25.8125,,CCARC,yes,,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,,,,,,,,,,,45770,,,,,,,,,,yes,293,yes,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,65.4,WSW,yes,448.5,443.5,100,,,,,,,Denver,On-Air,,E-power.,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,CCARC,yes,Castle Rock Repeater Group,,Greater Denver area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,66.8,SW,yes,145.4,144.6,100,,,,,,,Arapahoe,On-Air,,"Autopatch, e-power.","Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,CCARC,yes,Castle Rock Repeater Group,,Greater Denver area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,97.9,WSW,yes,146.67,146.07,100,,,,,,,Clear Creek,On-Air,,11,,,,CCARC,yes,Castle Rock Repeater Group,100,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,65.4,WSW,yes,448.4,443.4,94.8,,,,,,,Arapahoe,On-Air,,,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,94.8,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,81.3,WNW,yes,449.425,444.425,94.8,,,,,,,Larimer,On-Air,,,"Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25,D114,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,81.3,WNW,yes,927.875,902.875,D114,,,,,,,Larimer,Off-Air,,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",Down due to lightning strike. Scheduled to return end of June 2012.,,CCARC,yes,WA6IMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,65.4,WSW,yes,448.275,443.275,156.7,,,,,,,Arapahoe,On-Air,,,,,,CCARC,yes,W0BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,65.4,WSW,yes,448.825,443.825,,,,,,,,Arapahoe,On-Air,,,,,,,yes,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,30584,,,,,,,,,,,,,,
449.3,-5,131.8,WB7GR,"Cheyenne, Chalk Bluffs",WY,OPEN,,65.7,NW,yes,449.3,444.3,,,,,,,,Laramie,On-Air,,,,,,,yes,WU7G,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.125,5,114.8,WB7GR,"Scottsbluff, Stage Hill",NE,OPEN,,100.4,N,yes,444.125,449.125,114.8,,,,,,,Scotts Bluff,On-Air,,Linked to Albin (147.165) and Cheyenne (146.775),,,,,yes,SBCEMA,,Wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,65.8,SW,yes,449.425,444.425,D023,,,,,,,Arapahoe,Off-Air,,,,Colorado SNP (Shared non-protected pair),,,yes,K0PWO,D023,,,,,,,,,,,,,29791,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,66.5,SW,yes,145.19,144.59,151.4,,,,,,,Arapahoe,On-Air,,Autopatch (please contact trustee).,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",,,yes,N0OBA,131.8,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.","""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,67.6,WSW,yes,147.045,147.645,123,,,,,,,Adams,On-Air,,E-power.,,,,CCARC,yes,Northglenn RA,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
