Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,Wide Network,County,Op Status,Coverage,Sponsor,Affiliate,Links,Notes,Web links,Coordination,Last update,Local Network,Features,Downlink Tone,IRLP,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Mixed-Mode,Worldwide,North America,Local/Cluster,D-STAR Enabled,Node,Sources,EchoLink,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Grid,Commands,Nets,Feed,On-air,Worldwide English,DCI Bridge,N. Colorado,P25 Digital Enabled,NAC,Default Reflector,AllStar,YSF Digital Enabled,DG-ID,WIRES-X,English,TAC 310,Mountain Reg USA,Location Photo,Wyoming,WyLOCAL
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,59.4,SSE,yes,448.425,443.425,107.2,,,,Douglas,On-Air,Wide area,Colorado Repeater Association (CRA),ARESDEC,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",,http://www.w0cra.org,,yes,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,90.7,SSE,yes,145.16,144.56,107.2,,,,El Paso,On-Air,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.",Colorado Repeater Association,CRA VHF Link System,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",Switch to this repeater at mile marker 170 on I-25.,http://www.w0cra.org/info/cosprgs.html#145160,CCARC,yes,,"Closed autopatch, e-power.",107.2,3990,,,,,,,,,,,,,,347086,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,0.6,123,W0JZ,Gold Hill,CO,OPEN,,8.1,WNW,yes,146.91,147.51,123,,,,Boulder,On-Air,"East of Gold Hill, The Indian Peaks, Denver, Boulder",,"Town of Gold Hill, Colorado",,There is a MOU With BCARES for repeater use.,http://goldhilltown.com/,,yes,,,127.3,,,,,,,,,,,,,,,,,,,,,,,"Summer Tue at 19:30P, Winter 19:00.",,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,11.7,SE,yes,449.825,444.825,103.5,,,,Boulder,On-Air,Along the foothills and into Boulder where the 94 repeater is shadowed.,Rocky Mountain Radio League,,,,Repeater,CCARC,yes,,6,,,,,,,,,,,,,,,,,,,,,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,26,SSW,yes,146.94,146.34,103.5,,,,Clear Creek,On-Air,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",Rocky Mtn Radio League,,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,Repeater,CCARC,yes,,11,103.5,,,,,,,,,,,,,,,,,,,,,,Autopatch: 911* / Off 0*.,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",Listen Live,,,,,,,,,,,,,,,,,
448.925,-5,131.8,W0LMA,Broomfield,CO,OPEN,,11.7,SE,yes,448.925,443.925,131.8,,,,Boulder,On-Air,,W0LMA,,,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,12.1,SW,yes,145.31,144.71,88.5,,,,Gilpin,On-Air,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Colorado Connection,,Full-time to the  Colorado Connection System .,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,CCARC,yes,,10,123,,,,,,,,,,,,,,,,,,,,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,27.6,WSW,yes,147.285,147.885,88.5,,,,Grand,On-Air,,Colorado Connection,,Full-time to the  Colorado Connection System .,,,CCARC,yes,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,54.2,SW,yes,147.39,147.99,88.5,,,,Summit,On-Air,Wide area.,Colorado Connection,,Full-time to the  Colorado Connection System .,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",Breckenridge Repeater,CCARC,yes,,12,123,,,,,,,,,,,,,,,,,,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,59.2,W,yes,147.075,147.675,88.5,,,,Grand,On-Air,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,Colorado Connection,,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of Repeaters,,CCARC,yes,,,123,,,,,,,,,,,,,,,,,,,,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,67.7,WSW,yes,147.345,147.945,88.5,,,,Eagle,On-Air,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,Colorado Connection,,Full-time to the  Colorado Connection System .,,,CCARC,yes,,9,123,,,,,,,,,,,,,,,,,,,,,,,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,,,,,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,70.3,SW,yes,145.445,144.845,88.5,,,,Lake,On-Air,,Colorado Connection,,Full-time to the  Colorado Connection System .,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",,CCARC,yes,,E-power (solar).,,,,,,,,,,,,,,,,,,,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,73.1,NW,yes,145.16,144.56,88.5,,,,Jackson,On-Air,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.",Colorado Connection,,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of repeaters.,,CCARC,yes,,8,123,,,,,,,,,,,,,,,,,,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,88.5,WNW,yes,147.165,147.765,88.5,,,,Routt,On-Air,,Colorado Connection,,Full-time to the  Colorado Connection System .,,,,yes,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,88.5,WNW,yes,449.625,444.625,123,,,,Routt,On-Air,Local Steamboat Area,"Colorado Connection Repeaters, Inc.",,,,http://colcon.org,,yes,,Statewide Linked System,123,,,,,,,,,,,,,,,,,,,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,90.4,SSE,yes,145.13,144.53,88.5,,,,El Paso,On-Air,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,,Full-time to the  Colorado Connection System .,Linked into the Colorado Connection System,,CCARC,yes,,9,123,,,,,,,,,,,,,,,,,,,,,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",Listen Live,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,109.2,ESE,yes,145.4,144.8,88.5,,,,Washington,On-Air,Northeastern plains of Colorado.,Colorado Connection,,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of repeaters,,CCARC,yes,,,123,,,,,,,,,,,,,,,,,,,,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,
