Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Features,IRLP,Coordination,Last update,DMR Enabled,Color Code,Wide Network,Affiliate,Web links,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,Links,Notes,Downlink Tone,Mixed-Mode,Coverage,Local Network,Worldwide,North America,Local/Cluster,Nets,Feed,Grid,EchoLink,AllStar,Commands,YSF Digital Enabled,DG-ID,D-STAR Enabled,Node,Sources,P25 Digital Enabled,NAC,Default Reflector,On-air,Worldwide English,DCI Bridge,N. Colorado,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Location Photo,WIRES-X,English,TAC 310,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,40.8,E,yes,446.7875,441.7875,,Jefferson,On-Air,Denver Radio Club,,,CCARC,yes,yes,1,,Brandmeister Network,http://www.w0tx.org/,,,,,,,,,,,,,,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf.  TG's are PTT enabled and will timeout after 15 minutes of inactivity.  Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,40.8,E,yes,448.625,443.625,100,Jefferson,On-Air,Denver Radio Club,E-power.,,CCARC,yes,,,,,DRC Repeaters,,,,,,,"Full-time to  
        145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,100,,Denver metro area.,,,,,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,48.2,E,yes,53.09,51.39,107.2,Jefferson,On-Air,Denver Radio Club,E-power.,,CCARC,yes,,,,,DRC Repeaters,,,,,,,,,,,Metro Denver area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,49.7,E,yes,147.33,147.93,100,Jefferson,On-Air,Denver Radio Club,E-power.,,CCARC,yes,,,,,DRC Repeaters,,,,,,,,Not recommeded to use tone squelch on this repeater.,,,Metro Denver and the foothills.,,,,,SATERN: Thu at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,49.7,E,yes,224.38,222.78,100,Jefferson,On-Air,Denver Radio Club,,,CCARC,yes,,,,,DRC Repeaters,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,49.7,E,yes,449.775,444.775,100,Jefferson,On-Air,Denver Radio Club,,,CCARC,yes,,,,,Denver Radio Club,,,,,,,,,100,Yes; analog capable.,Metro Denver,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,51,E,yes,447.825,442.825,D073,Jefferson,On-Air,Denver Radio Club,,,CCARC,yes,,,,,,,,,,,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",D073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,32.1,E,yes,146.67,146.07,100,Clear Creek,On-Air,Castle Rock Repeater Group,11,,CCARC,yes,,,,,,,,,,,,,,100,,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",,,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,66.5,E,yes,448.5,443.5,100,Denver,On-Air,Castle Rock Repeater Group,E-power.,,CCARC,yes,,,,,,,,,,,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,Greater Denver area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,69.7,ESE,yes,145.4,144.6,100,Arapahoe,On-Air,Castle Rock Repeater Group,"Autopatch, e-power.",,CCARC,yes,,,,,,,,,,,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,Greater Denver area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,32.1,E,yes,146.94,146.34,103.5,Clear Creek,On-Air,Rocky Mtn Radio League,11,,CCARC,yes,,,,,Repeater,,,,,,,"Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",,103.5,,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",Listen Live,,,,Autopatch: 911* / Off 0*.,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,103.5,W0WYX,Broomfield,CO,OPEN,,59,E,yes,449.825,444.825,103.5,Boulder,On-Air,Rocky Mountain Radio League,6,,CCARC,yes,,,,,Repeater,,,,,,,,,,,Along the foothills and into Boulder where the 94 repeater is shadowed.,,,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,32.1,E,yes,449.45,444.45,103.5,Clear Creek,On-Air,Rocky Mountain Radio League,11,,CCARC,yes,,,,,Repeater,,,,,,,,,127.3,,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",,,,,RMRL: Mon at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,32.3,E,yes,147.3,147.9,103.5,Clear Creek,On-Air,Denver PD EEB,,,CCARC,yes,,,,,,,,,,,,,,103.5,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,47.4,E,yes,448.125,443.125,107.2,Jefferson,On-Air,Denver PD EEB,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,47.4,E,yes,927.7875,902.7875,156.7,Jefferson,On-Air,N0PYY,,,,yes,,,,,,,,,,,,,,,,Golden and Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,32.3,E,yes,448.675,443.675,100,Denver,On-Air,W0CFI,,,CCARC,yes,,,,,,,,,,,,,,100,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,32.5,E,yes,449,444,136.5,Clear Creek,On-Air,CARN,,,CCARC,yes,,,,,,,,,,,,,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,58.8,E,yes,449.65,444.65,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,58.8,E,yes,449.675,444.675,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),,7708,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,67.1,E,yes,449.15,444.15,,Arapahoe,On-Air,Colorado Amateur Repeater Network (CARN),,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,95.9,NE,yes,449.325,444.325,,Weld,On-Air,Colorado Amateur Repeater Network (CARN),,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,33.2,E,yes,449.05,444.05,107.2,Denver,On-Air,WG0N,E-power.,,CCARC,yes,,,,,,,,,,,,,,107.2,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,34.7,NNE,yes,447.45,442.45,103.5,Grand,On-Air,W0IG,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,35.8,E,yes,447.85,442.85,141.3,Clear Creek,On-Air,AC0KQ,AllStar node repeater providing wide area coverage along the Front Range,,CCARC,yes,,,,Rocky Mountain Ham Radio,,,,,,,,,,141.3,,Wide area at 9500',,,,,,,,,29571,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,36.6,ESE,yes,147.12,147.72,88.5,Jefferson,On-Air,Aurora Repeater Association,E-power.,,CCARC,yes,,,,,http://www.n0ara.org,,,,,,,,,88.5,,Denver metro and east.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,39.8,E,yes,145.34,144.74,103.5,Jefferson,On-Air,Rocky Mtn Radio League,E-power.,3350,CCARC,yes,,,,,Repeater,,,,,,,,,127.3,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,40.7,E,yes,145.28,144.68,100,Jefferson,On-Air,,"Closed autopatch, e-power, linked.",,CCARC,yes,,,,,Intermountain Repeater Group,,,,,,,"Full-time to  
        449.52500 (KE0SJ) at Golden, Centennial Cone, CO .","PL is usually off, allowing use by older transceivers.",,,Wide area.,,,,,Sun at 19:30. Everyone welcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,40.7,E,yes,449.525,444.525,CSQ,Jefferson,On-Air,KE0SJ,E-power.,,CCARC,yes,,,,,Intermountain Repeater Group,,,,,,,"Full-time to  
        145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,58.9,E,yes,145.475,144.875,100,Jefferson,On-Air,Intermountain Repeater Group,E-power.,,CCARC,yes,,,,,Intermountain Repeater Group,,,,,,,,,,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,79.1,E,yes,447.625,442.625,100,Adams,On-Air,Intermountain Repeater Group,,,,yes,,,,,Intermountain Repeater Group,,,,,,,,,,,Local/North Metro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,40.7,E,yes,146.64,146.04,100,Jefferson,On-Air,Denver Radio League,E-power.,,CCARC,yes,,,,,DRL Repeaters,,,,,,,,8,,,"Wide area. 
   Repeater Coverage Map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,48.6,ESE,yes,146.88,146.28,100,Jefferson,On-Air,Denver Radio League,E-power.,,CCARC,yes,,,,,DRL Repeaters,,,,,,,,6,,,Wide Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,48.6,ESE,yes,449.6,444.6,100,Jefferson,On-Air,Denver Radio League,,3345,CCARC,yes,,,,,DRL Repeaters,,,,,,,,,,,,,,,,,,,690473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,40.7,E,yes,146.985,146.385,100,Denver,On-Air,El Jebel RADOPS,E-power.,3346,CCARC,yes,,,,,,,,,,,,,,100,,,,,,,RADOPS: Sun at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,58.8,E,yes,447.925,442.925,100,Denver,On-Air,RADOPS El Jebel Shriners,,,CCARC,yes,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,A,40.8,E,yes,927.8375,902.025,,Jefferson,On-Air,,,,CCARC,yes,,,,,,,,,,,,,The offset is -25.8125,,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills.,,,,,,,,,45770,,,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,78.4,ESE,yes,927.8375,902.025,,Douglas,On-Air,,,,CCARC,yes,,,,,,,,,,,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,,,,,,,,,,,,,,yes,294,yes,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,41,SE,yes,146.685,146.085,107.2,Park,On-Air,Mountain ARC (MARC),"Closed autopatch, e-power.",,CCARC,yes,,,,,,,,,,,,"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,107.2,,,,,,,MARC/PCRC: Tue at 19:30.,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,62.4,SE,yes,146.82,146.22,107.2,Teller,On-Air,Mountain ARC,E-power.,,CCARC,yes,,,,,,,,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,62.4,SE,yes,448.65,443.65,107.2,Teller,On-Air,Mountain ARC (MARC),E-power.,,CCARC,yes,,,,MARC,,,,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,68.6,SE,yes,147.015,147.615,107.2,Teller,On-Air,Mountain ARC,E-power.,,CCARC,yes,,,,,,,,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",,,,,,,,,MARC/PCRC: Tue at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,79.1,SE,yes,447.475,442.475,107.2,El Paso,,Mountain ARC (MARC),"Closed autopatch, e-power.",,CCARC,yes,,,,,,,,,,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,,,MARC/PCRC: Tue at 1930.,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,41.1,SE,yes,147.36,147.96,107.2,Park,On-Air,,E-power.,3854,CCARC,yes,,,,,CMRG Repeaters,,,,,,,,,107.2,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,70.6,S,yes,145.295,144.695,107.2,Chaffee,On-Air,Cheyenne Mtn Repeater Group,,,CCARC,yes,,,,,CMRG Repeaters,,,,,,,,,,,Wide area.,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,71.1,S,yes,449.65,444.65,107.2,Chaffee,On-Air,,E-power.,,CCARC,yes,,,,,CMRG Repeaters,,,,,,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,80.6,SE,yes,146.76,146.16,107.2,El Paso,On-Air,Cheyenne Mountain Repeater Group,"Closed autopatch, e-power.",,CCARC,yes,,,,,,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,80.6,SE,yes,147.345,147.945,107.2,El Paso,On-Air,,"Closed autopatch, e-power.",3854,CCARC,yes,,,,,http://www.cmrg.org/,,,,,,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,107.2,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,80.6,SE,yes,448,443,107.2,El Paso,On-Air,,,,CCARC,yes,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,80.6,SE,yes,448.1,443.1,107.2,El Paso,On-Air,,"Closed autopatch, e-power.",,CCARC,yes,,,,,CMRG Repeaters,,,,,,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,107.2,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,81,SE,yes,446.9125,441.9125,,El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),,,,yes,,,,,,,,,,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,,,,,,,,,,,yes,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,81,SE,yes,927.85,902.85,D114,Teller,On-Air,CMRG,9,,CCARC,yes,,,,,http://www.cmrg.org,,,,,,,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,81.1,SE,yes,145.375,144.77,,El Paso,Off-Air,Cheyenne Mountain Repeater Group (CMRG),,,CCARC,yes,,,,,http://www.cmrg.org,,,,,,,,Repeater off air for now.,,,wide area,,,,,,,,,,,,,yes,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,109.6,SSE,yes,449.625,444.625,107.2,Custer,On-Air,,E-power.,,CCARC,yes,,,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,KC0CVU,"Trinidad, Raton Pass",CO,OPEN,,180.2,SSE,yes,449.6,444.6,107.2,Las Animas,Off-Air,Cheyenne Mtn Rptr Grp,E-power.,,CCARC,yes,,,,,CMRG Repeaters,,,,,,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,41.5,NE,yes,224.6,223,100,Gilpin,,W0RM,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,41.7,S,yes,448.575,443.575,103.5,Park,Off-Air,,,,CCARC,yes,,,,,,,,,,,,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,103.5,,Western Park County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,71.1,S,yes,449.925,444.925,103.5,Chaffee,On-Air,,E-power (Bat),,CCARC,yes,,,,Colorado ARES,,,,,,,,,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,103.5,,"Upper Arkansas and Platte Rivers, and the SLV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,42.1,N,yes,446.875,441.875,,Clear Creek,On-Air,,,,,yes,yes,,,RMHAM,http://www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,74.4,SE,yes,446.95,441.95,,Teller,On-Air,Rocky Mountain Ham Radio,,,,yes,yes,7,,RMHAM,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",,,,Monument Hill through Pueblo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC7,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,86,NNE,yes,446.75,441.75,,Larimer,On-Air,Rocky Mountain Ham Radio,,,CCARC,yes,yes,7,,,http://www.rmham.org,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,2,Full-time to the  Colorado TRBO System .,See website for complete info on color codes/time slot assignment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9375,-5,CC7,K7PFJ,"Cheyenne, South",WY,OPEN,,125,NNE,yes,449.9375,444.9375,,Laramie,On-Air,,,,WRCG,yes,yes,7,,,https://www.rmham.org/wordpress/,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,2,Full-time to the  Rocky Mountain Ham System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,42.1,N,yes,146.82,146.22,123,Grand,,GCARA,E-power.,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,42.9,E,yes,448.85,443.85,88.5,Jefferson,On-Air,Aurora Repeater Assoc,e-power.,,CCARC,yes,,,,,ARA Repeaters,,,,,,,,,88.5,,"Denver metro, central front range",,,,,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,42.9,E,yes,224,222.4,103.5,Jefferson,On-Air,Rocky Mountain Radio League,8,,CCARC,yes,,,,,Repeater,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,42.9,E,yes,147.15,147.75,100,Jefferson,On-Air,Aurora Repeater Assoc (ARA),e-power,,CCARC,yes,,,,,ARA Repeaters,,,,,,,"Linkable to  
        224.74000 (N0POH) at Golden, Guy Hill, CO .",,100,,"Denver metro, central front range",,,,,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,43,E,yes,449.75,444.75,103.5,Jefferson,On-Air,Rocky Mtn Radio League,8,,CCARC,yes,,,,,Repeater,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
