Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Affiliate,Links,Last update,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Location Photo,Grid,Coverage,Features,Notes,Web links,Coordination,EchoLink,IRLP,AllStar,Nets,Feed,Sponsor,D-STAR Enabled,Node,Sources,Worldwide,North America,Local/Cluster,Denver Regional,Talkgroup Network,Northern Colorado,Mixed-Mode,Local Network,On-air,Commands,YSF Digital Enabled,DG-ID,WIRES-X,P25 Digital Enabled,NAC,Default Reflector,Worldwide English,DCI Bridge,N. Colorado,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,Europe,TAC 310,Southwest USA,Mountain Reg USA,Texas,COMM 1,Texas/Oklahoma Regional USA
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,141.8,NNW,yes,147.075,147.675,88.5,123,Grand,On-Air,,Full-time to the  Colorado Connection System .,yes,,,,,,,,,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,,Part of the Colorado Connection system of Repeaters,,CCARC,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,148.1,WNW,yes,145.355,144.755,88.5,123,Mesa,On-Air,,Full-time to the  Colorado Connection System .,yes,,,,,,,,,"Rifle to the east, several miles east of Green River, Utah to the west.",E-power.,Colorado Connection system of repeaters,,CCARC,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,178,NNW,yes,147.165,147.765,88.5,123,Routt,On-Air,,Full-time to the  Colorado Connection System .,yes,,,,,,,,,,,,,,,,,,,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,178,NNW,yes,449.625,444.625,123,123,Routt,On-Air,,,yes,,,,,,,,,Local Steamboat Area,Statewide Linked System,,http://colcon.org,,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",,"Colorado Connection Repeaters, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,178.9,WNW,yes,147.355,146.755,88.5,123,Mesa,On-Air,,Full-time to the  Colorado Connection System .,yes,,,,,,,,,,,,,CCARC,,,,,,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,180.5,NNW,yes,145.16,144.56,88.5,123,Jackson,On-Air,,Full-time to the  Colorado Connection System .,yes,,,,,,,,,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.",8,Part of the Colorado Connection system of repeaters.,,CCARC,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,184.8,NE,yes,145.4,144.8,88.5,123,Washington,On-Air,,Full-time to the  Colorado Connection System .,yes,,,,,,,,,Northeastern plains of Colorado.,,Part of the Colorado Connection system of repeaters,,CCARC,,,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,198.5,NNW,yes,146.97,146.37,88.5,123,Moffat,On-Air,Colorado Connection,Full-time to the  Colorado Connection System .,yes,,,,,,,,,,,,,CCARC,,,,,,Northwest Colorado Amateur Radio Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,37.1,NW,yes,449.925,444.925,103.5,103.5,Chaffee,On-Air,Colorado ARES,,yes,,,,,,,,,"Upper Arkansas and Platte Rivers, and the SLV",E-power (Bat),Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,57.6,NNW,yes,448.575,443.575,103.5,103.5,Park,Off-Air,,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",yes,,,,,,,,,Western Park County,,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC0,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,40,NW,yes,446.8125,441.8125,,,Chaffee,On-Air,,,yes,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,53.4,NE,yes,445.0625,440.0625,,,El Paso,Off-Air,,,yes,yes,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,The DMR-MARC Worldwide Network,,,CCARC,,,,,,Rocky Mountain Ham Radio,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,66.7,NNW,yes,446.7625,441.7625,,,Park,On-Air,RMHAM,,yes,yes,0,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,,,,,,,,,,,,K7PFJ,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,72.2,NNE,yes,446.875,441.875,,,Douglas,On-Air,RMHAM,Full-time to the  Colorado TRBO System .,yes,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,http://www.rmham.org,CCARC,,,,,,W0VG,,,,,,,2,RMHAM,2,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC7,N0SZ,"Leadville, Mosquito Pass",CO,OPEN,,87.1,NNW,yes,445.05,440.05,,,Lake,On-Air,Rocky Mountain Ham Radio,,yes,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,http://www.rmham.org/,CCARC,,,,,,K2AD,,,,,,,2,RMHAM,2,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0875,-5,CC7,N0SZ,"Breckenridge, Baldy",CO,OPEN,,95.6,NNW,yes,445.0875,440.0875,,,Fremont,On-Air,Rocky Mountain Ham Radio,,yes,yes,7,,,,,,,,,,http://www.rmham.org/,,,,,,,K2AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,103.9,N,yes,145.175,144.575,D073,D073,Clear Creek,Off-Air,,,yes,yes,1,,,,,,,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,Rocky Mountain Ham Radio,CCARC,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,
446.9375,-5,CC7,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,106.8,N,yes,446.9375,441.9375,,,Clear Creek,On-Air,,Full-time to the  Colorado TRBO System .,yes,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700  Full-Time    Southern Colorado  2  719  Full-Time    Denver Regional  2  720  Full-Time    Northern Colorado  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,See the website for programming information.,Rocky Mountain Ham Radio,CCARC,,,,,,Rocky Mountain Ham Radio,,,,,,,2,RMHAM,2,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,106.8,N,yes,448.225,443.225,141.3,141.3,Clear Creek,On-Air,,,yes,,,,,,,,,,E-power(gen).,,,CCARC,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,111,N,yes,145.37,144.77,,,Jefferson,On-Air,,,yes,yes,7,,,,,,,,,See the website for programming information.,Rocky Mountain Ham Radio,CCARC,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,116.3,NNW,yes,445.075,440.075,,,Eagle,On-Air,Rocky Mountain Ham Radio,,yes,yes,7,,,,,,,,,,http://www.rmham.org/,CCARC,,,,,,K2AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.225,-5,141.3,N0SZ,"Denver, Thorodin Mountain",CO,OPEN,,121.1,N,yes,449.225,444.225,141.3,141.3,Gilpin,On-Air,,,yes,,,,,,,,,Wide area.,Emergency Power,"Emcomm Affiliated, Open repeater",,CCARC,,,,,,Rocky Mountain Ham Radio (RMHR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,CC7,N0SZ,"Boulder, Mount Thorodin",CO,OPEN,,130.3,N,yes,446.8,441.8,,,Boulder,On-Air,Rocky Mountain Ham Radio,Full-time to the  Colorado TRBO System .,yes,yes,7,,,,,,,Wide area.,,See website for complete information regarding timeslot/colorcode/talkgroup programming.,Rocky Mountain Ham Radio,CCARC,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC1,N0SZ,"Boulder, Lee Hill",CO,OPEN,,134,N,yes,445.05,440.05,,,Boulder,On-Air,,,yes,yes,1,BrandMeister,,,,,,Wide area,BrandMeister Network,,,CCARC,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,BrandMeister US,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC7,N0SZ,"Boulder, Lee Hill",CO,OPEN,,134,N,yes,446.9875,441.9875,,,Boulder,On-Air,,"Full-time to  
        446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO .
 


Full-time to the  Colorado TRBO System .",yes,yes,7,,,,,,,,Linked on Time Slot 2 to  Almagre Mtn  (446.950).,,,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,134,N,yes,447.75,442.75,141.3,141.3,Boulder,On-Air,,,yes,,,,,,,,,,,,,CCARC,,3450,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,137.4,WSW,yes,445.1375,440.1375,,,La Plata,On-Air,Rocky Mountain Ham Radio,,yes,yes,7,,,,,,,,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,http://www.rmham.org/,CCARC,,,,,,K2AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2625,-5,CC7,N0SZ,"Rangely, Cathedral Bluffs",CO,OPEN,,224.1,NW,yes,445.2625,440.2625,,,Rio Blanco,On-Air,,,yes,yes,7,,,,,,,,,,https://www.rmham.org,,,,,,,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,40,NW,yes,446.975,441.975,,,Chaffee,On-Air,Crestone Amateur Radio Emergency Services,,yes,,,,,,,,,,,,KD0QPG,CCARC,,,,,,Crestone Amateur Radio Emergency Services,yes,KD0QPG (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,43.9,SW,yes,146.64,146.04,77,77,Rio Grande,On-Air,,,yes,,,,,,,,,Low level local coverage,,,,,,,28781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,44.2,SW,yes,447.1,442.1,77,,Saguache,On-Air,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,45.1,NNE,yes,147.015,147.615,107.2,,Teller,On-Air,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",yes,,,,,,,,,,E-power.,,,CCARC,,,,MARC/PCRC: Tue at 19:30.,,Mountain ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.475,-5,107.2,NX0G,Colorado Springs,CO,OPEN,,59.6,NE,yes,447.475,442.475,107.2,,El Paso,,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",yes,,,,,,,,,,"Closed autopatch, e-power.",,,CCARC,,,,MARC/PCRC: Tue at 1930.,,Mountain ARC (MARC),,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,63.2,N,yes,146.685,146.085,107.2,107.2,Park,On-Air,,"Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",yes,,,,,,,,,,"Closed autopatch, e-power.",,,CCARC,,,,MARC/PCRC: Tue at 19:30.,,Mountain ARC (MARC),,,,,,,,,,,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,63.4,NNE,yes,146.82,146.22,107.2,,Teller,On-Air,,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",yes,,,,,,,,,,E-power.,,,CCARC,,,,MARC/PCRC: Tue at 19:30.,,Mountain ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,63.4,NNE,yes,448.65,443.65,107.2,,Teller,On-Air,MARC,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",yes,,,,,,,,,,E-power.,,,CCARC,,,,MARC/PCRC: Tue at 19:30.,,Mountain ARC (MARC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,46.9,ESE,yes,147.24,147.84,103.5,CSQ,Pueblo,Off-Air,,,yes,,,,,,,,,Pueblo and Fremont Counties,,,,CCARC,,,,,,TARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,47.3,ESE,yes,146.655,146.055,123,CSQ,Pueblo,On-Air,,,yes,,,,,,,,,,,,,CCARC,,,,,,K0ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,47.3,ESE,yes,447.7,442.7,210.7,210.7,Pueblo,Off-Air,,,yes,yes,0,,,,,,,,,,,CCARC,,7389,29228,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,47.3,ESE,yes,449.725,444.725,100,,El Paso,On-Air,,,yes,,,,,,,,,,,,,CCARC,,3043,,,,N0PWZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,47.4,E,yes,147,147.6,,,Pueblo,On-Air,,,yes,,,,,,,,,,,,,CCARC,,,,,,Carl Higbee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,100,KB0SRJ,Colorado Springs,CO,OPEN,,49.6,NE,yes,145.265,144.665,100,100,El Paso,Off-Air,,,yes,,,,,,,,,Local. Good coverage of I25 in Colorado Springs.,"Closed autopatch, e-power.",Repeater has been moved.,PPFMA Repeaters,CCARC,,,,,,Pikes Peak FM Association,,,,,,,,,,Yes; analog capable.,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,
448.8,-5,100,KB0SRJ,"Colorado Springs, UCCS",CO,OPEN,,49.6,NE,yes,448.8,443.8,100,100,El Paso,Off-Air,,,yes,,,,,,,,,,,,PPFMA Repeaters,CCARC,,,,,,Pikes Peak FM Assoc,,,,,,,,,,Yes; analog capable.,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,
146.97,-0.6,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,53.9,NNE,yes,146.97,146.37,100,123,El Paso,On-Air,,"Linkable to  
        448.45000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",yes,,,,,,,,,"Wide area. line-of-sight coverage to pretty much the entire prairie of Colorado, from the mountains eastward to Kansas, with signal as far as New Mexico and Wyoming depending on where you are.","Closed autopatch, e-power.",,PPFMA Repeaters,CCARC,,,,"Southern Colorado Traffic: Daily at 2000. 
Midday Severe Weather: Daily 1230 - 1240. 
PPFMA Weekly Info: Sun at 2030. 
ARES: Tue at 1900. 
SKYWARN.",,Pikes Peak FM Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.45,-5,100,KB0SRJ,"Colorado Springs, Pikes Peak",CO,OPEN,,53.9,NNE,yes,448.45,443.45,100,,El Paso,On-Air,,"Linkable to  
        146.97000 (KB0SRJ) at Colorado Springs, Pikes Peak, CO .",yes,,,,,,,,,Wide area.,E-power.,,PPFMA Repeaters,CCARC,,,,,,Pikes Pk FM Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,-1.6,,KB0SRJ,Colorado Springs,CO,CLOSED,,59.6,NE,yes,224.06,222.46,,,El Paso,,,,yes,,,,,,,,,Wide area.,"E-power, linked.",,,CCARC,,,,,,Pikes Peak FM Association (PPFMA),,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,100,N0JPX,La Veta,CO,OPEN,I,50.2,SSE,yes,145.355,144.755,100,,Huerfano,On-Air,,,yes,,,,,,,,,,"E-power, linked.",,,CCARC,,3974,,,,N0JPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.725,-25,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,51,NNE,yes,927.725,902.725,D114,D114,Teller,On-Air,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",yes,,,,,,,,,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.",12,,Yahoo Group,CCARC,,,,,,WA6IFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,53.3,NE,yes,53.13,51.43,107.2,107.2,El Paso,On-Air,,,yes,,,,,,,,,,,,http://www.cmrg.org,CCARC,,,,,,Cheyenne Mountain Repeater Group (CMRG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,59.6,NE,yes,447.55,442.55,123,,El Paso,On-Air,,,yes,,,,,,,,,,,,,CCARC,,,,,,WA6IFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,107.2,WA6IFI,"Trinidad, Raton Pass",CO,OPEN,,95.7,SE,yes,145.43,144.83,107.2,,Las Animas,On-Air,,,yes,,,,,,,,,,,,CMRG Repeaters,CCARC,,,,,,Cheyenne Mountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.95,-5,CC7,K7PFJ,"Colorado Springs, Almagre Mountain",CO,OPEN,,51,NNE,yes,446.95,441.95,,,Teller,On-Air,RMHAM,"Full-time to  
        446.98750 (N0SZ) at Boulder, Lee Hill, CO .",yes,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,Monument Hill through Pueblo.,,,,,,,,,,Rocky Mountain Ham Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,137.2,N,yes,446.875,441.875,,,Clear Creek,On-Air,RMHAM,,yes,yes,,,,,,,,,,,http://www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.75,-5,CC7,K7PFJ,"Fort Collins, Horsetooth Mountain",CO,OPEN,,166.8,N,yes,446.75,441.75,,,Larimer,On-Air,,Full-time to the  Colorado TRBO System .,yes,yes,7,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Northern Colorado  2  721    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,,,,,See website for complete info on color codes/time slot assignment.,http://www.rmham.org,CCARC,,,,,,Rocky Mountain Ham Radio,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,100,AA0SP,"Colorado Springs, Almagre Mountain",CO,PRIVATE,,51,NNE,yes,147.18,147.78,100,,El Paso,On-Air,,,yes,,,,,,,,,"Located on South Almagre Mountain at 12,367 feet, it provides excellent coverage of nearly all of El Paso County and points east, along with coverage extending south past Pueblo. Locations very close in to the Front Range, or in the shadow of Cheyenne Mountain are not covered well. Since this peak is shorter than Pikes Peak its coverage to the north is not as good as Pikes Peak, although there are points northeast of Colorado Springs where there is coverage.",E-power (solar).,This repeater is available for public service oriented communications with prior coordination. Contact Mike Proctor KB0IAP to coordinate its use.,,CCARC,,,,,,AA0SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,52.3,NE,yes,145.16,144.56,107.2,107.2,El Paso,On-Air,CRA VHF Link System,"Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",yes,,,,,,,,,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.","Closed autopatch, e-power.",Switch to this repeater at mile marker 170 on I-25.,http://www.w0cra.org/info/cosprgs.html#145160,CCARC,347086,3990,,,,Colorado Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.225,0.6,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,EI,75.6,NNE,yes,147.225,147.825,107.2,107.2,Douglas,On-Air,CRA VHF Link System,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        224.98000 (W0CRA) at Conifer, Conifer Mountain, CO .
 


Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .",yes,,,,,,,,,Wide area,Closed autopatch,,Colorado Repeater Association,CCARC,347086,3990,,"CRA Net, Sunday 9AM",,Colorado Repeater Association (CRA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.425,-5,107.2,W0CRA,"Larkspur, Westcreek",CO,OPEN,,75.6,NNE,yes,448.425,443.425,107.2,107.2,Douglas,On-Air,ARESDEC,"Full-time to  
        147.10500 (WA0DE) at Simla, CO .",yes,,,,,,,,,Wide area,,,http://www.w0cra.org,,,,,,,Colorado Repeater Association (CRA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
