Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Features,Web links,Coordination,Last update,Coverage,Sponsor,Links,Downlink Tone,Notes,Affiliate,IRLP,Nets,Commands,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Talkgroup Network,Denver Regional,Northern Colorado,Worldwide,North America,Local/Cluster,Mixed-Mode,Local Network,Feed,Grid,AllStar,English,Europe,TAC 310,DCI Bridge,Southwest USA,EchoLink,On-air,D-STAR Enabled,Node,Sources,YSF Digital Enabled,DG-ID,Location Photo,P25 Digital Enabled,NAC,Default Reflector,Worldwide English,N. Colorado,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,Mountain Reg USA,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,186.9,N,yes,146.97,146.37,88.5,Moffat,On-Air,,,CCARC,yes,,Northwest Colorado Amateur Radio Association,Full-time to the  Colorado Connection System .,123,,Colorado Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,187.3,NE,yes,145.31,144.71,88.5,Gilpin,On-Air,10,,CCARC,yes,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Colorado Connection,Full-time to the  Colorado Connection System .,123,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",,,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,190,NNE,yes,147.165,147.765,88.5,Routt,On-Air,,,,yes,,Colorado Connection,Full-time to the  Colorado Connection System .,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,190,NNE,yes,449.625,444.625,123,Routt,On-Air,Statewide Linked System,http://colcon.org,,yes,Local Steamboat Area,"Colorado Connection Repeaters, Inc.",,123,,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,207.7,NNE,yes,145.16,144.56,88.5,Jackson,On-Air,8,,CCARC,yes,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.",Colorado Connection,Full-time to the  Colorado Connection System .,123,Part of the Colorado Connection system of repeaters.,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,33.3,ESE,yes,449.525,444.525,100,Mineral,On-Air,,,,yes,,N0PKT,Full-time to the  The Fun Machine System .,100,,The Fun Machine,,,,,,,,,,,,,,,,,,,DM67lt,43265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,38.9,SSW,yes,448.625,443.625,131.8,La Plata,On-Air,,,CCARC,yes,Wide area.,KC5EVE,,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,39.8,N,yes,447.2,442.2,107.2,Montrose,On-Air,9,GMRA Repeaters,CCARC,yes,Delta/Montrose,,Full-time to the  GMRA Open System .,107.2,Closed IRLP out - Ask for a control op,Grand Mesa Repeater Assoc,3710,RACES Net Wed at 1930 Hrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,91.5,NNW,yes,449.3,444.3,107.2,Mesa,On-Air,e-power Linked to GMRA Open System,http://www.gmra.org/,CCARC,yes,Wide Area I-70 West Rifle to Western Utah,,,107.2,Closed IRLP out,,3710,RACES Wed 1930 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,104.6,NW,yes,449.575,444.575,131.8,Mesa,On-Air,e-power. Linked to GMRA Open System,GMRA Repeaters,CCARC,yes,Grand Junction,,,131.8,Closed IRLP out,Grand Mesa Repeater Assoc,3710,Wed RACES Net 1930 Hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,115.2,N,yes,449.8,444.8,107.2,Garfield,On-Air,8,GMRA Repeaters,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,121.5,N,yes,449.85,444.85,131.8,Garfield,On-Air,e-power  Linked to GMRA Open System,http://GMRA.org,CCARC,yes,Glenwood Springs,,Full-time to the  GMRA Open System .,131.8,RACES net Wed 1930 Hrs Local,Grand Mesa Repeater Assoc,,Colorado State RACES  Wed 1930 local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,40.4,ESE,yes,146.925,146.325,,Mineral,Off-Air,,,CCARC,yes,,Creede ARC,,,WA0JS license expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,40.6,SSW,yes,145.37,144.77,100,La Plata,On-Air,E-power.,http://www.sjcham.com,CCARC,yes,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC6,N5UBJ,"Mancos, Caviness Mountain",CO,OPEN,,47,SW,yes,446.7375,441.7375,,Montezuma,On-Air,,http://www.rmham.org,CCARC,yes,,RMHAM,,,Talkgroup 700 TS 1 Talkgroup 719 TS 2,,,,,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  1  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC1,N5UBJ,Aztec,NM,OPEN,,70.7,SSW,yes,442.25,447.25,,San Juan,On-Air,,http://www.aztrbonet.com/MinimalNetwatch,NMFCC,yes,,,,,,,,,,yes,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,AZ-TrboNet,,,1,1,,,,,,,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.325,5,CC1,N5UBJ,Farmington,NM,OPEN,,80.9,SSW,yes,442.325,447.325,,San Juan,On-Air,AZ-TRBONET,http://www.aztrbonet.com/MinimalNetwatch,NMFCC,yes,,,,,,,,,,yes,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,AZ-TrboNet,,,1,1,,,,,,,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,47.5,NNW,yes,146.91,146.31,107.2,Montrose,On-Air,E-Power,,CCARC,yes,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,47.5,NNW,yes,146.79,146.19,107.2,Montrose,On-Air,E-power.,,CCARC,yes,,KC0UXX,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,,52.8,SE,yes,146.61,146.01,123,Archuleta,On-Air,,http://durangoarc.org/,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,127.3,KD5LWU,"Cortez, Downtown",CO,OPEN,EA,59.7,WSW,yes,146.79,146.19,127.3,Montezuma,On-Air,,,CCARC,yes,,KD5LWU,,127.3,,,,4,,,,,,,,,,,,,,,,,,29317,,,,,,24336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.175,-5,127.3,KD5LWU,Cortez,CO,OPEN,E,59.7,WSW,yes,449.175,444.175,127.3,Montezuma,Off-Air,,,CCARC,yes,,KD5LWU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,60.4,S,yes,147.06,147.66,100,San Juan,On-Air,,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,70.7,SSW,yes,146.74,146.14,100,San Juan,On-Air,"Closed autopatch, e-power.",,NMFCC,yes,,Totah ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,,70.8,SSE,yes,145.43,144.83,136.5,Rio Arriba,On-Air,,,NMFCC,yes,,SJC EMCOMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,NM5SJ,Lybrook,NM,OPEN,,109.2,S,yes,145.49,144.89,100,Rio Arriba,On-Air,Closed autopatch.,,NMFCC,yes,,Totah ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,100,NM5SJ,"Lukachukai, Roof Butte",AZ,OPEN,,122.2,SW,yes,146.82,146.22,100,Apache,On-Air,,,ARCA,yes,,Totah ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,64.7,NE,yes,449.95,444.95,,Gunnison,,,,CCARC,yes,,K5GF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,64.7,NE,yes,147.12,147.72,,Gunnison,On-Air,E-power.,,CCARC,yes,,W0VTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,73.1,N,yes,147.33,147.93,107.2,Delta,On-Air,,,CCARC,yes,Wide area.,North Fork Repeater Assoc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.1,-20,,KF5VBE,Aztec,NM,CLOSED,,73.3,SSW,yes,1291.1,1271.1,,Bernalillo,On-Air,DV only,,NMFCC,yes,,San Juan County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,KF5VBE (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,,KF5VBE,Farmington,NM,OPEN,,73.4,SSW,yes,145.115,144.515,,San Juan,On-Air,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,KF5VBE (C) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,76.6,N,yes,147.36,147.96,100,Delta,,,,CCARC,yes,,W0ALC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,76.6,N,yes,449.825,444.825,100,Delta,,,,CCARC,yes,,W0ALC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,76.6,N,yes,147.195,147.795,107.2,Delta,,,,,yes,Local.,,,,,Colorado District 25 ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,,78.1,SSW,yes,146.92,146.32,100,San Juan,On-Air,,,NMFCC,yes,,San Juan County OEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,K5WXI,Farmington,NM,OPEN,,80.8,SSW,yes,146.85,146.25,100,San Juan,On-Air,Closed autopatch.,,NMFCC,yes,,Totah ARC,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292.3,-20,,KF5VBD,"Bloomfield, Harris Mesa",NM,CLOSED,,80.6,S,yes,1292.3,1272.3,,San Juan,On-Air,,,NMFCC,yes,,San Juan County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,KF5VBD (A) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,100,K5WY,Farmington,NM,OPEN,,80.8,SSW,yes,449,444,100,San Juan,,E-power.,,NMFCC,yes,,K5WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.15,5,,KF5VBF,Farmington,NM,OPEN,,80.9,SSW,yes,444.15,449.15,,San Juan,On-Air,DV only,,,yes,,San Juan County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,KF5VBF (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.7,-20,,KF5VBF,"Farmington, Farmington Bluffs",NM,CLOSED,,82.3,SSW,yes,1291.7,1271.7,,San Juan,On-Air,DV only,,NMFCC,yes,,San Juan County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,KF5VBF (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,83.4,NNW,yes,447.35,442.35,107.2,Delta,,,GMRA Repeaters,CCARC,yes,,Grand Mesa Repeater Assoc (GMRA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,,Lake George,CO,OPEN,,148.7,E,yes,449.7,444.7,107.2,Park,,,,CCARC,yes,,CMRG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,,,Colorado Springs,CO,CLOSED,,169.5,E,yes,449.575,444.575,,El Paso,On-Air,,,CCARC,yes,,RMHARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,,Colorado Springs,CO,OPEN,,169.6,E,yes,147.27,147.87,,El Paso,On-Air,E-power.,,,yes,,TRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,162.2,,Santa Fe,NM,OPEN,,175.2,SSE,yes,145.19,144.59,162.2,Bernalillo,On-Air,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,182.7,E,yes,447.2,442.2,,El Paso,Testing,,,,yes,"Falcon, Black Forest, Peyton Areas",GGARC,,,,Garden of the Gods Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,67,NM5ML,"Bloomfield, Harris Mesa",NM,OPEN,,83.6,S,yes,147.28,147.88,67,San Juan,On-Air,6,,NMFCC,yes,Wide area.,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,100,NM5ML,"Tres Piedras, San Antonio Mountain",NM,OPEN,,111.8,SE,yes,147.22,147.82,100,Rio Arriba,On-Air,10,,NMFCC,yes,Wide area.,New Mexico Mega Link Assoc,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,67,NM5ML,"Cuba, Eureka Mesa",NM,OPEN,,132.3,SSE,yes,147.24,147.84,67,Sandoval,On-Air,9,,NMFCC,yes,Wide area.,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,67,NM5ML,"Gallup, Deza Bluffs",NM,OPEN,,145.4,SSW,yes,147.22,147.82,67,McKinley,On-Air,"Closed autopatch, e-power.",,NMFCC,yes,Wide area.,New Mexico Mega Link Assoc,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,67,NM5ML,"Taos, Ski Valley",NM,OPEN,,148.2,SE,yes,147.14,147.74,67,Taos,On-Air,11,http://www.taosarc.com/,,yes,,,Full-time to the  Mega-Link System .,,,TaosARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.35,5,100,NM5ML,"Eagle Nest, Iron Mountain",NM,OPEN,,157,SE,yes,444.35,449.35,100,Colfax,On-Air,,,NMFCC,yes,,,Full-time to the  Mega-Link System .,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.26,0.6,67,NM5ML,"Pecos, Elk Mountain",NM,OPEN,,183.3,SE,yes,147.26,147.86,67,San Miguel,On-Air,11,,NMFCC,yes,Wide area.,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.66,-0.6,100,NM5ML,"Grants, Microwave Ridge",NM,OPEN,,184.4,S,yes,146.66,146.06,100,Cibola,On-Air,9,,NMFCC,yes,Wide area.,Mega-Link Rptr System,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,67,NM5ML,"Grants, La Mosca",NM,OPEN,,184.4,S,yes,444.8,449.8,67,Cibola,On-Air,Full time to the New Mexico MegaLink system,,NMFCC,yes,Wide area,Mega Link Repeater System,Full-time to the  Mega-Link System .,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,100,NM5ML,"Raton, Sierra Grande",NM,OPEN,,187.9,SE,yes,147.28,147.88,100,Colfax,On-Air,8,,NMFCC,yes,Wide area.,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.29,-0.6,100,NM5ML,"Albuquerque, Sandia Crest",NM,OPEN,,192.1,SSE,yes,145.29,144.69,100,Bernalillo,On-Air,10,http://nm5ml.com/,NMFCC,yes,,New Mexico Mega Link Assoc,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.325,5,100,NM5ML,"Albuquerque, Sandia Crest",NM,OPEN,,192.1,SSE,yes,444.325,449.325,100,Bernalillo,On-Air,10,,NMFCC,yes,Wide area.,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,67,NM5ML,"Wagon Mound, Turkey Mountain",NM,OPEN,,198.1,SE,yes,147.2,147.8,67,Mora,On-Air,8,http://nm5ml.com/,,yes,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.34,0.6,67,NM5ML,"Tijeras, Cedro Peak",NM,OPEN,,204.1,SSE,yes,147.34,147.94,67,Bernalillo,On-Air,7,,NMFCC,yes,Wide area,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,NM5ML,"Conchas Dam, Mesa Rica",NM,OPEN,,261.2,SE,yes,147.36,147.96,100,San Miguel,On-Air,5,,NMFCC,yes,Wide area.,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,100,NM5ML,"Tucumcari, Tucumcari Mountain",NM,OPEN,,287.7,SE,yes,147.22,147.82,100,Quay,On-Air,4,,NMFCC,yes,Wide area.,Mega-Link Rptr System,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,77,N0KM,Center,CO,OPEN,,84.7,ESE,yes,447.1,442.1,77,Saguache,On-Air,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,85,ESE,yes,146.64,146.04,77,Rio Grande,On-Air,,,,yes,Low level local coverage,,,77,,,,,,,,,,,,,,,,,,,,,,28781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,162.2,W5SF,"Chama, Overlook Mtn",NM,OPEN,,86.2,SE,yes,147.08,147.68,162.2,Rio Arriba,On-Air,,,NMFCC,yes,,SFARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,162.2,W5SF,"Los Alamos, Pajarito Mountain",NM,OPEN,,150.2,SSE,yes,145.19,144.59,,Los Alamos,On-Air,,,NMFCC,yes,Wide Area,SFARC,,,W5SF/PAJ - Distinct from the NM5SC repeater near Cuba on Pajarito Peak.,,,Northern New Mexico Amateur Radio Net: Mon at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,yes,W5SF (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,162.2,W5SF,"Santa Fe,  Tesuque Peak",NM,OPEN,,174.6,SE,yes,146.82,146.22,162.2,Santa Fe,On-Air,"Autopatch, e-power.",SFARC Repeaters,NMFCC,yes,Wide area.,Santa Fe ARC,"Full-time to  
        442.82500 (KB5ZQE) at Santa Fe, Tesuque Peak, NM .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,,W5SF,Santa Fe,NM,OPEN,,175.2,SSE,yes,145.21,144.61,,Santa Fe,On-Air,,,,yes,Local Santa Fe,W5SF,,,Soon to move to a better location.,Santa Fe Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,W5SF (C) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.575,5,,W5SF,Santa Fe,NM,OPEN,,175.2,SSE,yes,444.575,449.575,,Santa Fe,On-Air,,,,yes,Local Santa Fe,W5SF,,,Soon to move to a better location,Santa Fe Amateur Radio CLub,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,W5SF (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,162.2,W5SF,"Santa Fe, St Vincent Hospital",NM,OPEN,,176.6,SSE,yes,147.2,147.8,162.2,Santa Fe,On-Air,E-power. Full time link to Tesuque Peak.,SFARC Repeaters,NMFCC,yes,,Santa Fe ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,162.2,W5SF,"Las Vegas,  Elk Mountain",NM,OPEN,,183.3,SE,yes,147.3,147.9,162.2,San Miguel,On-Air,"E-power, linked.",SFARC Repeaters,NMFCC,yes,Wide area.,Santa Fe ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,"Maysville, CO",CO,OPEN,,86.3,NE,yes,145.325,144.725,100,Chaffee,On-Air,,,,yes,wide area,Chaffee Lake Amateur Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
