Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Features,IRLP,Coordination,Last update,Coverage,Web links,Downlink Tone,Notes,Affiliate,Links,EchoLink,AllStar,Grid,Nets,Feed,DMR Enabled,Color Code,Wide Network,Talkgroups,Colorado,Southern Colorado,Location Photo,D-STAR Enabled,Node,Sources,YSF Digital Enabled,DG-ID,Mixed-Mode,WIRES-X,On-air,Commands,Worldwide,North America,Local/Cluster,Talkgroup Network,Denver Regional,Northern Colorado,Local Network,P25 Digital Enabled,NAC,Default Reflector,English,Europe,TAC 310,DCI Bridge,Southwest USA,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Texas,COMM 1,Texas/Oklahoma Regional USA,Amarillo WIRES-X,N. Colorado,NORCAL 1,NORCAL 5150,Local or Reflector,UA English 1,UA English 2,CAL 1,Hytera USA,Parrott,Audio Test
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,88.4,NW,yes,449.65,444.65,107.2,Chaffee,On-Air,,E-power.,,CCARC,yes,Wide area.,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,106.1,NNW,yes,147.36,147.96,107.2,Park,On-Air,,E-power.,3854,CCARC,yes,Wide area.,CMRG Repeaters,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Trinidad, Raton Pass",CO,OPEN,,35,SSE,yes,446.775,441.775,,Las Animas,On-Air,Cheyenne Mountain Repeater Group (CMRG),,,CCARC,yes,,,,,,,,,,,,,,,,,,,yes,KD0RDI (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RDI,"Raton, Raton Pass",NM,OPEN,,46.8,SSE,yes,446.775,441.775,,Colfax,On-Air,Cheyenne Mountain Repeater Group,,,NMFCC,yes,,http://www.cmrg.org/,,,,,,,,,,,,,,,,,yes,KD0RDI (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,100,K0BV,"Trinidad, Raton Pass",CO,OPEN,,35,SSE,yes,147.375,147.975,100,Las Animas,Off-Air,K0BV,,,CCARC,yes,Good coverage along I-25 between CO/NM state line and 40 miles north.,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.375,-5,100,KG5JL,"Trinidad, Raton Pass",CO,OPEN,,35,SSE,yes,447.375,442.375,100,Las Animas,On-Air,KG5JL,E-power (batt).,,CCARC,yes,"Covers I-25 from CO/NM border to north of Trinidad, CO.",,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,42.9,NNE,yes,147.24,147.84,103.5,Pueblo,Off-Air,TARA,,,CCARC,yes,Pueblo and Fremont Counties,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,44.5,NNE,yes,146.655,146.055,123,Pueblo,On-Air,K0ST,,,CCARC,yes,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,44.5,NNE,yes,447.7,442.7,210.7,Pueblo,Off-Air,,,7389,CCARC,yes,,,210.7,,,,,29228,,,,yes,0,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,44.5,NNE,yes,449.725,444.725,100,El Paso,On-Air,N0PWZ,,3043,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,107.2,WA6IFI,"Trinidad, Raton Pass",CO,OPEN,,46.6,SSE,yes,145.43,144.83,107.2,Las Animas,On-Air,Cheyenne Mountain Repeater Group,,,CCARC,yes,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,77.6,N,yes,53.13,51.43,107.2,El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),,,CCARC,yes,,http://www.cmrg.org,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.725,-25,D114,WA6IFI,"Colorado Springs, Almagre Mountain",CO,OPEN,,80.2,N,yes,927.725,902.725,D114,Teller,On-Air,WA6IFI,12,,CCARC,yes,"Wide area: Along I-25 from Raton Pass to Pueblo, really solid from Pueblo through Colorado Springs, to Castle Rock, and spotty from Castle Rock north through Denver.  50 mi radius.",Yahoo Group,D114,,,"Full-time to  
        449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 


Full-time to  
        927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.55,-5,123,WA6IFI,Colorado Springs,CO,OPEN,,83.6,N,yes,447.55,442.55,123,El Paso,On-Air,WA6IFI,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,48,N,yes,147,147.6,,Pueblo,On-Air,Carl Higbee,,,CCARC,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,51.4,NW,yes,147.06,147.66,77,Custer,On-Air,http://www.qsl.net/rghc,E-power,,CCARC,yes,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,51.4,NW,yes,448.15,443.15,103.5,Custer,On-Air,Royal George ARC,E-power.,,CCARC,yes,,http://www.qsl.net/rghc,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,51.4,NW,yes,927.775,902.775,D116,Custer,On-Air,Royal Gorge Amateur Radio Club,,,CCARC,yes,,,D116,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,63.6,NNW,yes,927.7,902.7,D114,Fremont,On-Air,Royal Gorge ARC,,,CCARC,yes,,,D114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,100,NM5ML,"Raton, Sierra Grande",NM,OPEN,,53.2,SSE,yes,147.28,147.88,100,Colfax,On-Air,,8,,NMFCC,yes,Wide area.,,,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.35,5,100,NM5ML,"Eagle Nest, Iron Mountain",NM,OPEN,,75.3,SSW,yes,444.35,449.35,100,Colfax,On-Air,,,,NMFCC,yes,,,,11,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,67,NM5ML,"Taos, Ski Valley",NM,OPEN,,79.8,SSW,yes,147.14,147.74,67,Taos,On-Air,,11,,,yes,,http://www.taosarc.com/,,,TaosARC,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,100,NM5ML,"Tres Piedras, San Antonio Mountain",NM,OPEN,,86.2,SW,yes,147.22,147.82,100,Rio Arriba,On-Air,New Mexico Mega Link Assoc,10,,NMFCC,yes,Wide area.,,,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,67,NM5ML,"Wagon Mound, Turkey Mountain",NM,OPEN,,113.5,S,yes,147.2,147.8,67,Mora,On-Air,,8,,,yes,,http://nm5ml.com/,,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.26,0.6,67,NM5ML,"Pecos, Elk Mountain",NM,OPEN,,135.3,SSW,yes,147.26,147.86,67,San Miguel,On-Air,,11,,NMFCC,yes,Wide area.,,,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,67,NM5ML,"Cuba, Eureka Mesa",NM,OPEN,,159.4,SW,yes,147.24,147.84,67,Sandoval,On-Air,,9,,NMFCC,yes,Wide area.,,,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,NM5ML,"Conchas Dam, Mesa Rica",NM,OPEN,,168.1,S,yes,147.36,147.96,100,San Miguel,On-Air,,5,,NMFCC,yes,Wide area.,,,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,67,NM5ML,"Bloomfield, Harris Mesa",NM,OPEN,,180.9,WSW,yes,147.28,147.88,67,San Juan,On-Air,,6,,NMFCC,yes,Wide area.,,,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,100,NM5ML,"Tucumcari, Tucumcari Mountain",NM,OPEN,,182.2,SSE,yes,147.22,147.82,100,Quay,On-Air,Mega-Link Rptr System,4,,NMFCC,yes,Wide area.,,,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.29,-0.6,100,NM5ML,"Albuquerque, Sandia Crest",NM,OPEN,,190.9,SSW,yes,145.29,144.69,100,Bernalillo,On-Air,New Mexico Mega Link Assoc,10,,NMFCC,yes,,http://nm5ml.com/,,,,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
