Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Web links,Coordination,Last update,Features,Coverage,Sponsor,Links,Notes,Downlink Tone,Nets,Affiliate,Feed,Grid,IRLP,EchoLink,Location Photo,AllStar,Commands,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Mixed-Mode
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,165.5,S,yes,448.65,443.65,127.3,San Juan,On-Air,,NMFCC,yes,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,KB5ITS,"Bloomfield, Harris mesa",NM,OPEN,,174.3,SSE,yes,147.1,147.7,100,San Juan,On-Air,http://www.sjcham.com,NMFCC,yes,,,San Juan connection,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,
145.25,-0.6,100,KB5ITS,"Lukachukai, Roof Butte",AZ,OPEN,,182.3,S,yes,145.25,144.65,100,Apache,On-Air,,ARCA,yes,"E-power, linked.",,San Juan Connection,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,1.1,SW,yes,147.355,146.755,88.5,Mesa,On-Air,,CCARC,yes,,,Colorado Connection,Full-time to the  Colorado Connection System .,,123,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,33,ESE,yes,145.355,144.755,88.5,Mesa,On-Air,,CCARC,yes,E-power.,"Rifle to the east, several miles east of Green River, Utah to the west.",Colorado Connection,Full-time to the  Colorado Connection System .,Colorado Connection system of repeaters,123,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,67.5,E,yes,146.85,146.25,88.5,Garfield,On-Air,,CCARC,yes,70,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",Colorado Connection,,Part of the Colorado Connection System of Repeaters,123,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,113.6,NNE,yes,146.97,146.37,88.5,Moffat,On-Air,,CCARC,yes,,,Northwest Colorado Amateur Radio Association,Full-time to the  Colorado Connection System .,,123,,Colorado Connection,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,119.1,E,yes,147.345,147.945,88.5,Eagle,On-Air,,CCARC,yes,9,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,Colorado Connection,Full-time to the  Colorado Connection System .,,123,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome):  Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,125.8,SSE,yes,147.345,147.945,88.5,La Plata,On-Air,,CCARC,yes,,Durango and north towards Molas Divide.,Colorado Connection,Full-time to the  Colorado Connection System .,,123,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,
145.445,-0.6,88.5,KB0VJJ,"Leadville, Mosquito Pass",CO,OPEN,,127.5,ESE,yes,145.445,144.845,88.5,Lake,On-Air,,CCARC,yes,E-power (solar).,,Colorado Connection,Full-time to the  Colorado Connection System .,"At 13,685;, it is one of the highest 2-meter repeaters in North America.",,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,
449.625,-5,123,KB0VJJ,Steamboat Springs,CO,OPEN,,134,NE,yes,449.625,444.625,123,Routt,On-Air,http://colcon.org,,yes,Statewide Linked System,Local Steamboat Area,"Colorado Connection Repeaters, Inc.",,,123,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net: Thu at 20:00 (All welcome).  
Statewide ARES Net: Sundays at 20:00.",,,,,,,,,,,,,,
147.165,0.6,88.5,KB0VJJ,Steamboat Springs,CO,OPEN,,134,NE,yes,147.165,147.765,88.5,Routt,On-Air,,,yes,,,Colorado Connection,Full-time to the  Colorado Connection System .,,123,,,,,,,,,,,,,,,
147.075,0.6,88.5,KB0VJJ,"Kremmling, Santoy Peak",CO,OPEN,,134.1,E,yes,147.075,147.675,88.5,Grand,On-Air,,CCARC,yes,,Flattops Wilderness Area well and can even be worked from the Front Range in some locations. Coverage at the east end of Glenwood Canyon to Eagle is available in some spots along I-70.  Map,Colorado Connection,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of Repeaters,123,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,
147.39,0.6,88.5,KB0VJJ,"Breckenridge, Bald Mountain",CO,OPEN,,140.6,E,yes,147.39,147.99,88.5,Summit,On-Air,Breckenridge Repeater,CCARC,yes,12,Wide area.,Colorado Connection,Full-time to the  Colorado Connection System .,"Please Note that 146.790 is the old Breckenridge frequency and this repeater may return to that frequency eventually but is now working on 147.390-.  This machine has a split tone, 88.5 rx and 123.0 tx",123,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,143,SE,yes,147.285,147.885,88.5,Chaffee,On-Air,,CCARC,yes,11,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",Colorado Connection,Full-time to the  Colorado Connection System .,,123,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,
145.16,-0.6,88.5,KB0VJJ,"Walden, Peterson Ridge",CO,OPEN,,158.8,NE,yes,145.16,144.56,88.5,Jackson,On-Air,,CCARC,yes,8,"North Park, along with portions of I-80 from Laramie, Wyoming, to Rock Springs, Wyoming.",Colorado Connection,Full-time to the  Colorado Connection System .,Part of the Colorado Connection system of repeaters.,123,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,159.2,E,yes,147.285,147.885,88.5,Grand,On-Air,,CCARC,yes,,,Colorado Connection,Full-time to the  Colorado Connection System .,,123,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,176.1,E,yes,145.31,144.71,88.5,Gilpin,On-Air,,CCARC,yes,10,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Colorado Connection,Full-time to the  Colorado Connection System .,"Split tone.  The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",123,"Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,199.5,ESE,yes,145.13,144.53,88.5,El Paso,On-Air,,CCARC,yes,9,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,Colorado Connection,Full-time to the  Colorado Connection System .,Linked into the Colorado Connection System,123,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",,Listen Live,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,142.8,SE,yes,449.65,444.65,107.2,Chaffee,On-Air,CMRG Repeaters,CCARC,yes,E-power.,Wide area.,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,143,SE,yes,145.295,144.695,107.2,Chaffee,On-Air,CMRG Repeaters,CCARC,yes,,Wide area.,Cheyenne Mtn Repeater Group,,,,,,,DM78ik,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,163,ESE,yes,147.36,147.96,107.2,Park,On-Air,CMRG Repeaters,CCARC,yes,E-power.,Wide area.,,,,107.2,,,,,3854,,,,,,,,,,
449.625,-5,107.2,KC0CVU,"Pueblo, Deer Peak",CO,OPEN,,195.1,SE,yes,449.625,444.625,107.2,Custer,On-Air,CMRG Repeaters,CCARC,yes,E-power.,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,198.6,ESE,yes,448,443,107.2,El Paso,On-Air,CMRG Repeaters,CCARC,yes,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,198.6,ESE,yes,147.345,147.945,107.2,El Paso,On-Air,http://www.cmrg.org/,CCARC,yes,"Closed autopatch, e-power.",Wide area.,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,107.2,,,,,3854,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,198.6,ESE,yes,448.1,443.1,107.2,El Paso,On-Air,CMRG Repeaters,CCARC,yes,"Closed autopatch, e-power.",Wide area.,,"Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,107.2,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,198.6,ESE,yes,146.76,146.16,107.2,El Paso,On-Air,,CCARC,yes,"Closed autopatch, e-power.",,Cheyenne Mountain Repeater Group,,,107.2,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,199.5,ESE,yes,927.85,902.85,D114,Teller,On-Air,http://www.cmrg.org,CCARC,yes,9,,CMRG,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,
146.61,-0.6,88.5,K7SDC,"Monticello, Abajo Peak",UT,OPEN,EI,97.9,SSW,yes,146.61,146.01,88.5,San Juan,On-Air,http://www.sdarc.us/repeaters/abajo.html,UVHFS,yes,Remote base.,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",Sinbad Desert ARC,,11.36,,,,,,3270,64264,,,,,,,,,
147.32,0.6,88.5,K7SDC,"Sunnyside, Bruin Point",UT,OPEN,EI,103.6,WNW,yes,147.32,147.92,88.5,Carbon,On-Air,http://sdarc.us/repeaters/bruin.html,UVHFS,yes,Remote base.,"Wide area: Roosevelt, Duchesne, near Vernal, and Price, with spotty coverage from Price down to I-70 on US-6 and US-10. 50 mi radius.",Sinbad Desert ARC,,110,,,,,DM49tp,3270,64264,yes,,,,,,,,
449.05,-5,88.5,K7SDC,"Sunnyside, Bruin Point",UT,OPEN,EI,103.6,WNW,yes,449.05,444.05,88.5,Carbon,On-Air,http://sdarc.us/repeaters/bruin.html,UVHFS,yes,Remote base.,"Wide area: Roosevelt, Duchesne, near Vernal, and Price, with spotty coverage from Price down to I-70 on US-6 and US-10.",Sinbad Desert ARC,,,,,,,,3270,64264,yes,,,,,,,,
448.55,-5,88.5,K7SDC,"Castle Dale, Cedar Mountain",UT,OPEN,I,111.1,W,yes,448.55,443.55,88.5,Emery,On-Air,,UVHFS,yes,Remote base.,"Wide area: Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.",N7QLO,,Stand alone.,,,,,,3280,,,,,,,,,,
147.14,0.6,88.5,K7SDC,"Castle Dale, Cedar Mountain",UT,OPEN,EI,111.2,W,yes,147.14,147.74,88.5,Emery,On-Air,http://sdarc.us/repeaters/cedar.html,UVHFS,yes,"Closed autopatch, remote base.","Wide area: Price on the west to Green River, Utah toward the south, bounded by the Bookcliffs on the north and east.",Sinbad Desert ARC,Full-time to the  Sinbad Desert (SDARC) System .,7,,,,,,3270,64264,,,,,,,,,
145.31,-0.6,88.5,K7SDC,"Scofield, Ford Ridge",UT,OPEN,I,138.7,WNW,yes,145.31,144.71,88.5,Carbon,On-Air,http://sdarc.us/repeaters/ford.html,UVHFS,yes,"Closed autopatch, remote base.",Wide area: Scofield and Soldier Smt areas as well as into the Price valley as far south as Huntington and as far east as Sunnyside.,Sinbad Desert ARC,,9,,,,,,3270,,,,,,,,,,
147.06,0.6,88.5,K7SDC,"Castle Dale, Horn Mountain",UT,OPEN,EI,139.2,W,yes,147.06,147.66,88.5,Emery,On-Air,http://sdarc.us/repeaters/horn.html,UVHFS,yes,"Closed autopatch, remote base.","Wide area: Most of western Emery County including the towns of Castle Dale, Orangeville, Huntington, Cleveland, Ferron, and further east into the San Rafael desert. It also covers the towns of Sunnyside and East Carbon, UT.",Sinbad Desert ARC,Full-time to the  Sinbad Desert (SDARC) System .,8,,,,,DM49kf,3270,64264,,,,,,,,,
147.08,0.6,136.5,K7SDC,"Hanksville, Ellen Peak",UT,OPEN,EI,139.2,WSW,yes,147.08,147.68,136.5,Wayne,On-Air,http://sdarc.us/repeaters/mt-ellen.html,UVHFS,yes,"Closed autopatch, remote base.","Wide area: Areas around the Henry Mountain range in southeastern Utah including Hanksville, Hite, Boulder, Escalante, and Bullfrog.",Sinbad Desert ARC,Full-time to the  Sinbad Desert (SDARC) System .,11,,,,,,3270,64264,,,,,,,,,
147.08,0.6,88.5,K7SDC,"Scofield, Boardinghouse Ridge",UT,OPEN,EI,146.6,WNW,yes,147.08,147.68,88.5,Carbon,On-Air,http://sdarc.us/repeaters/boardinghouse.html,UVHFS,yes,"Closed autopatch, remote base.",Wide area: Scofield and Soldier Smt areas as well as into the Price valley as far south as Huntington and as far east as Sunnyside.,Sinbad Desert ARC,Full-time to the  Sinbad Desert (SDARC) System .,9,,,,,,3270,64264,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,143.3,SE,yes,449.975,444.975,100,Chaffee,On-Air,K0JSC.COM,CCARC,yes,2,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,,Full-time to the  The Fun Machine System .,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,100,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,DM68xk,7301,363976,,28368,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,178.5,SE,yes,448.325,443.325,100,Custer,On-Air,,,yes,,,,Full-time to the  The Fun Machine System .,,100,,The Fun Machine,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,180.6,SE,yes,447.25,442.25,100,Fremont,On-Air,K0JSC dot Com,CCARC,yes,,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",,Full-time to the  The Fun Machine System .,,100,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,Listen Live,DM78ik,7301,363976,yes,28368,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,184.1,SE,yes,447.975,442.975,100,Fremont,On-Air,http://www.k0jsc.com,CCARC,yes,Autopatch.,"Canon City area. 
   Repeater Coverage Map",K0JSC,Full-time to the  The Fun Machine System .,,100,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",,Listen Live,,7301,363976,,28368,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,185.7,SE,yes,449.975,444.975,100,Fremont,On-Air,http://www.k0jsc.com,CCARC,yes,Simulcast TX / Voted RX with Cedarwood and Salida,,K0JSC,Full-time to the  The Fun Machine System .,,100,,The Fun Machine,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Larkspur, Westcreek",CO,OPEN,,188.7,ESE,yes,449.975,444.975,100,Douglas,On-Air,The Fun Machine,CCARC,yes,Simulcast and Voted with Cedarwood and Methodist.,,K0JSC,Full-time to the  The Fun Machine System .,"Can be linked to Allstar, Echolink and others by a Sysop",100,,The Fun Machine,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,212.4,SE,yes,448.975,443.975,100,Pueblo,On-Air,http://www.k0jsc.com,CCARC,yes,,,,Full-time to the  The Fun Machine System .,Off air.  Will return to service,100,,,Listen Live,,7301,363976,,28368,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,220.2,SE,yes,447.275,442.275,100,Pueblo,On-Air,The Fun Machine,CCARC,yes,,,,Full-time to the  The Fun Machine System .,"Moved to Pueblo.  Now called ""Pueblo Metro""",100,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",The Fun Machine,Listen Live,,,,,,,,,,,,
145.27,-0.6,103.5,K7JL,"Levan, Levan Peak",UT,OPEN,,177.8,W,yes,145.27,144.67,103.5,Juab,On-Air,http://www.utahvhfs.org/snowlink.html,UVHFS,yes,E-power.,Wide area.,K7JL,Full-time to the  Intermountain Intertie System .,8,,State RACES: 3rd Thursday of even-numbered months.,Intermountain Intertie,,,,,,,,,,,,,
145.27,-0.6,100,K7JL,"Brighton, Scotts Peak",UT,OPEN,,192.9,NW,yes,145.27,144.67,100,Salt Lake,On-Air,http://utahvhfs.org/snowlink.html,UVHFS,yes,E-power.,"Wide area: Park City, Heber, Coalville and other nearby communities. Western side of the Salt Lake valley.",,Full-time to the  Intermountain Intertie System .,10,,State RACES: 3rd Thursday of even-numbered months.,Intermountain Intertie,,,,,,,,,,,,,
449.525,-5,131.8,K7JL,"Brighton, Scott's Peak",UT,OPEN,,192.9,NW,yes,449.525,444.525,131.8,Salt Lake,On-Air,http://utahvhfs.org/snowlink.html,UVHFS,yes,,"Wide area: Western Salt Lake Valley up to Malad, East to Evanston and Vernal.",K7JL,"Full-time to  
        147.20000 (N7ZOI) at Midway, Wilson Peak, UT .
 


Full-time to the  Intermountain Intertie System .",10,131.8,,Intermountain Intertie,,,,,,,,,,,,,
147.18,0.6,100,K7JL,"Snowbird, Hidden Peak",UT,OPEN,,194,WNW,yes,147.18,147.78,100,Utah,On-Air,,UVHFS,yes,E-power.,"Wide area: Northern Utah, extreme Southwestern Wyoming, Southeastern Idaho, spotty coverage into Western Colorado and Eastern Nevada.  Map",K7JL,"Full-time to  
        146.94000 (WR7AAA) at Milford, Frisco Peak, UT .
 


Full-time to  
        147.12000 (K7JL) at Salt Lake City, Farnsworth Peak, UT .
 


Full-time to  
        147.02000 (K7OGM) at Laketown, Bear Lake, UT .
 


Full-time to  
        146.86000 (K7JL) at Evanston, Medicine Butte, WY .
 


Full-time to the  Intermountain Intertie System .",11,,UVHFS: Tue at 20:00.,Intermountain Intertie,,,,,,,,,,,,,
146.86,-0.6,100,K7JL,"Evanston, Medicine Butte",WY,OPEN,,200.8,NW,yes,146.86,146.26,100,Uinta,On-Air,http://www.utahvhfs.org/snowlink.html,WRCG,yes,,Wide area: Southwestern Wyoming including Kemmerer and Evanston.,Utah VHF Society,"Full-time to  
        147.18000 (K7JL) at Snowbird, Hidden Peak, UT .",8,,Utah VHF Society Tuesday: 20:00,Intermountain Intertie,,,,,,,,,,,,,
449.4,-5,100,K7JL,"Salt Lake City, Ensign Peak",UT,OPEN,,214.2,NW,yes,449.4,444.4,100,Salt Lake,On-Air,http://www.utahvhfs.org/snowlink.html,UVHFS,yes,2,Salt Lake Valley communities from Salt Lake City to Draper. 50 mi radius.,K7JL,Full-time to the  Intermountain Intertie System .,5,,UVHFS Net: Tue at 20:00.,Intermountain Intertie,,,,,,,,,,,,,
449.5,-5,100,K7JL,"Salt Lake City,  Farnsworth Peak",UT,OPEN,,222.8,WNW,yes,449.5,444.5,100,Salt Lake,On-Air,,UVHFS,yes,9,Wide area: Wasatch Front from Payson to Tremonton. Interstate 80 corridor west of the Wasatch Front to the Nevada border. Tooele Valley and communities from Grantsville down toward Vernon. West Desert areas around Dugway and into Wendover and areas generally to the north and west of the Great Salt Lake.,K7JL,,,,,,,,,,,,,,,,,,
147.12,0.6,100,K7JL,"Salt Lake City, Farnsworth Peak",UT,OPEN,,222.8,WNW,yes,147.12,147.72,100,Salt Lake,On-Air,http://www.utahvhfs.org/snowlink.html,UVHFS,yes,E-power.,Wide area: Wasatch Front from Payson to Tremonton.  I-80 corridor west of the Wasatch Front to the Nevada border.  Tooele Valley and communities from Grantsville down toward Vernon.  West Desert areas around Dugway and into Wendover and areas generally to the north and west of the Great Salt Lake.,K7JL,"Full-time to  
        146.94000 (WR7AAA) at Milford, Frisco Peak, UT .
 


Full-time to  
        147.18000 (K7JL) at Snowbird, Hidden Peak, UT .
 


Full-time to  
        147.02000 (K7OGM) at Laketown, Bear Lake, UT .
 


Full-time to the  Intermountain Intertie System .",9,,VHF Society Net: Tue at 20:00.,Intermountain Intertie,,,,,,,,,,,,,
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,168.8,E,yes,145.145,144.545,107.2,Clear Creek,On-Air,http://www.w0cra.org/info/squaw.html#145145,CCARC,yes,E-power.,Wide area. Denver metro.,Colorado Repeater Assoc,,,107.2,,,,,,,,,,,,,,,
